
Loading the model ...
  input file   : /home/rstudio/RAM4_large/39631cdfe.pomdpx
  loading time : 5.06s 

SARSOP initializing ...
  initialization time : 8450.88s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8450.88 0       0        -7455.06   -3907.45   3547.6      101      1        
 8458.02 0       50       -7454.44   -6498.6    955.84      52       13       
 8458.45 0       100      -7454.44   -6498.6    955.84      47       13       
 8474.96 1       241      -7260.3    -6499.67   760.622     9        25       
 8474.97 1       242      -7260.3    -6499.67   760.622     9        25       
 8475.02 1       250      -7260.3    -6499.67   760.622     7        25       
 8475.23 1       300      -7260.3    -6499.67   760.622     6        25       
 8475.44 1       350      -7260.3    -6499.67   760.622     6        25       
 8485.76 2       495      -7194.87   -6499.76   695.109     6        31       
 8485.77 2       496      -7194.87   -6499.76   695.109     5        31       
 8485.8  2       500      -7194.87   -6499.76   695.109     6        31       
 8486.03 2       550      -7194.87   -6499.76   695.109     7        31       
 8486.25 2       600      -7194.87   -6499.76   695.109     7        31       
 8505.89 3       745      -7101.85   -6499.85   602         6        41       
 8505.91 3       746      -7101.85   -6499.85   602         6        41       
 8505.94 3       750      -7101.85   -6499.85   602         5        41       
 8506.17 3       800      -7101.85   -6499.85   602         6        41       
 8506.39 3       850      -7101.85   -6499.85   602         6        41       
 8522.39 4       999      -7054.44   -6499.99   554.454     7        47       
 8522.42 4       1000     -7054.44   -6499.99   554.454     6        47       
 8522.44 4       1001     -7054.44   -6499.99   554.454     6        47       
 8522.68 4       1050     -7054.44   -6499.99   554.454     7        47       
 8530.36 4       1100     -7054.44   -6499.99   554.454     8        51       
 8552.11 5       1251     -6992.43   -6500.11   492.319     6        58       
 8552.14 5       1252     -6992.43   -6500.11   492.319     6        58       
 8552.17 5       1253     -6992.43   -6500.11   492.319     6        58       
 8552.4  5       1300     -6992.43   -6500.11   492.319     5        58       
 8552.64 5       1350     -6992.43   -6500.11   492.319     5        58       
 8594.04 6       1507     -6952.1    -6500.21   451.888     6        71       
 8594.07 6       1508     -6952.1    -6500.21   451.888     6        71       
 8594.1  6       1509     -6952.1    -6500.21   451.888     6        71       
 8594.32 6       1550     -6952.1    -6500.21   451.888     5        71       
 8594.56 6       1600     -6952.1    -6500.21   451.888     5        71       
 8635.68 7       1761     -6907.28   -6500.31   406.974     6        80       
 8635.73 7       1762     -6907.28   -6500.31   406.974     6        80       
 8635.78 7       1763     -6907.28   -6500.31   406.974     6        80       
 8636.03 7       1800     -6907.28   -6500.31   406.974     7        80       
 8636.35 7       1850     -6907.28   -6500.31   406.974     7        80       
 8676.86 8       2015     -6872.85   -6500.38   372.467     6        89       
 8676.9  8       2016     -6872.85   -6500.38   372.467     6        89       
 8676.94 8       2017     -6872.85   -6500.38   372.467     6        89       
 8677.13 8       2050     -6872.85   -6500.38   372.467     7        89       
 8677.38 8       2100     -6872.85   -6500.38   372.467     7        89       
 8727.83 9       2269     -6842.58   -6500.43   342.145     7        100      
 8727.88 9       2270     -6842.58   -6500.43   342.145     7        100      
 8727.92 9       2271     -6842.58   -6500.43   342.145     7        100      
 8728.1  9       2300     -6842.58   -6500.43   342.145     7        100      
 8728.37 9       2350     -6842.58   -6500.43   342.145     7        100      
 8783.74 10      2527     -6818.31   -6500.52   317.789     7        111      
