
Loading the model ...
  input file   : /home/rstudio/RAM4_large/3c76e2bb6f.pomdpx
  loading time : 5.08s 

SARSOP initializing ...
  initialization time : 4896.72s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4896.72 0       0        -8635.66   -5946.76   2688.91     101      1        
 4903.74 0       50       -8634.96   -7972.26   662.7       54       15       
 4904.13 0       100      -8634.96   -7972.26   662.7       48       15       
 4951.45 1       267      -8418.46   -7974.55   443.905     17       41       
 4951.47 1       268      -8418.46   -7974.55   443.905     17       41       
 4951.49 1       269      -8418.46   -7974.55   443.905     16       41       
 4952.87 1       300      -8418.46   -7974.55   443.905     12       42       
 4953.05 1       350      -8418.46   -7974.55   443.905     10       42       
 4977.44 1       400      -8418.46   -7974.55   443.905     11       53       
 4993.91 2       545      -8349.53   -7974.96   374.569     9        58       
 4993.95 2       546      -8349.53   -7974.96   374.569     9        58       
 4994.01 2       550      -8349.53   -7974.96   374.569     9        58       
 4994.22 2       600      -8349.53   -7974.96   374.569     9        58       
 5002.27 2       650      -8349.53   -7974.96   374.569     9        61       
 5063.38 3       823      -8282.11   -7975.21   306.906     10       79       
 5067.29 3       824      -8282.11   -7975.21   306.906     10       80       
 5071.33 3       825      -8282.11   -7975.21   306.906     10       81       
 5074.89 3       850      -8282.11   -7975.21   306.906     10       82       
 5075.11 3       900      -8282.11   -7975.21   306.906     10       82       
 5084.54 3       950      -8282.11   -7975.21   306.906     9        84       
 5140.81 4       1103     -8235.25   -7975.35   259.9       8        96       
 5140.86 4       1104     -8235.25   -7975.35   259.9       8        96       
 5140.91 4       1105     -8235.25   -7975.35   259.9       8        96       
 5141.13 4       1150     -8235.25   -7975.35   259.9       8        96       
 5141.34 4       1200     -8235.25   -7975.35   259.9       8        96       
 5219.25 5       1379     -8193.34   -7975.6    217.744     12       111      
 5224.42 5       1380     -8193.34   -7975.6    217.744     12       112      
 5229.55 5       1381     -8193.34   -7975.6    217.744     12       113      
 5234.38 5       1400     -8193.34   -7975.6    217.744     12       114      
 5234.6  5       1450     -8193.34   -7975.6    217.744     12       114      
 5246.12 5       1500     -8193.34   -7975.6    217.744     13       116      
 5324.03 6       1661     -8165.25   -7975.72   189.525     7        129      
 5324.09 6       1662     -8165.25   -7975.72   189.525     6        129      
 5330.73 6       1663     -8165.25   -7975.72   189.525     6        130      
 5342.6  6       1700     -8165.25   -7975.72   189.525     7        132      
 5342.83 6       1750     -8165.25   -7975.72   189.525     7        132      
 5466.72 7       1937     -8135.1    -7975.93   159.165     9        151      
 5466.8  7       1938     -8135.1    -7975.93   159.165     9        151      
 5466.88 7       1939     -8135.1    -7975.93   159.165     9        151      
 5467.01 7       1950     -8135.1    -7975.93   159.165     9        151      
 5467.24 7       2000     -8135.1    -7975.93   159.165     9        151      
 5467.49 7       2050     -8135.1    -7975.93   159.165     9        151      
 5610.25 8       2219     -8118.38   -7976.06   142.32      9        170      
 5617.83 8       2220     -8118.38   -7976.06   142.32      9        171      
 5625.56 8       2221     -8118.38   -7976.06   142.32      9        172      
 5631.69 8       2250     -8118.38   -7976.06   142.32      9        173      
 5631.95 8       2300     -8118.38   -7976.06   142.32      9        173      
 5705.97 8       2350     -8118.38   -7976.06   142.32      10       181      
 5798.2  9       2503     -8102.93   -7976.22   126.708     11       190      
 5808.44 9       2504     -8102.93   -7976.22   126.708     11       191      
 5817.09 9       2505     -8102.93   -7976.22   126.708     11       192      
 5822.41 9       2550     -8102.93   -7976.22   126.708     11       193      
 5822.69 9       2600     -8102.93   -7976.22   126.708     11       193      
 5976.24 10      2785     -8088.8    -7976.31   112.486     10       206      
 5976.34 10      2786     -8088.8    -7976.31   112.486     9        206      
 5976.45 10      2787     -8088.8    -7976.31   112.486     9        206      
 5995.85 10      2800     -8088.8    -7976.31   112.486     11       209      
 5996.12 10      2850     -8088.8    -7976.31   112.486     11       209      
 6063.76 10      2900     -8088.8    -7976.31   112.486     12       217      
 6203.74 11      3065     -8076.34   -7976.45   99.8904     11       229      
 6203.87 11      3066     -8076.34   -7976.45   99.8904     11       229      
 6203.99 11      3067     -8076.34   -7976.45   99.8904     11       229      
 6204.26 11      3100     -8076.34   -7976.45   99.8904     11       229      
 6204.58 11      3150     -8076.34   -7976.45   99.8904     11       229      
 6327.81 11      3200     -8076.34   -7976.45   99.8904     13       237      
 6441.32 12      3349     -8069.84   -7976.55   93.2964     12       243      
 6441.42 12      3350     -8069.84   -7976.55   93.2964     12       243      
 6441.54 12      3351     -8069.84   -7976.55   93.2964     12       243      
 6441.91 12      3400     -8069.84   -7976.55   93.2964     12       243      
 6442.27 12      3450     -8069.84   -7976.55   93.2964     12       243      
 6779.42 13      3633     -8062.34   -7976.63   85.7037     12       262      
 6797.23 13      3634     -8062.34   -7976.63   85.7037     12       263      
 6814.56 13      3635     -8062.34   -7976.63   85.7037     12       264      
 6840.08 13      3650     -8062.34   -7976.63   85.7037     12       266      
 6840.42 13      3700     -8062.34   -7976.63   85.7037     12       266      
 6840.81 13      3750     -8062.34   -7976.63   85.7037     13       266      
 7050.51 14      3915     -8056.1    -7976.73   79.3748     11       277      
 7050.64 14      3916     -8056.1    -7976.73   79.3748     11       277      
 7050.77 14      3917     -8056.1    -7976.73   79.3748     11       277      
 7051.09 14      3950     -8056.1    -7976.73   79.3748     10       277      
 7051.48 14      4000     -8056.1    -7976.73   79.3748     11       277      
 7170.12 14      4050     -8056.1    -7976.73   79.3748     13       283      
 7297.65 15      4199     -8051.17   -7976.79   74.3804     11       288      
 7297.77 15      4200     -8051.17   -7976.79   74.3804     11       288      
 7297.89 15      4201     -8051.17   -7976.79   74.3804     11       288      
 7298.25 15      4250     -8051.17   -7976.79   74.3804     11       288      
 7298.59 15      4300     -8051.17   -7976.79   74.3804     11       288      
 7702.48 16      4481     -8045.24   -7976.87   68.3723     11       310      
 7702.61 16      4482     -8045.24   -7976.87   68.3723     11       310      
 7702.74 16      4483     -8045.24   -7976.87   68.3723     11       310      
 7702.98 16      4500     -8045.24   -7976.87   68.3723     11       310      
 7703.36 16      4550     -8045.24   -7976.87   68.3723     11       310      
 7744.37 16      4600     -8045.24   -7976.87   68.3723     11       313      
 8117.63 17      4763     -8040.87   -7976.94   63.9236     13       329      
 8139.37 17      4764     -8040.87   -7976.94   63.9236     13       330      
 8162.07 17      4765     -8040.87   -7976.94   63.9236     13       331      
 8203.5  17      4800     -8040.87   -7976.94   63.9236     13       333      
 8203.91 17      4850     -8040.87   -7976.94   63.9236     13       333      
 8415.22 17      4900     -8040.87   -7976.94   63.9236     14       343      
 8465.38 18      5045     -8038.04   -7977      61.0407     13       345      
 8465.53 18      5046     -8038.04   -7977      61.0407     14       345      
 8465.73 18      5050     -8038.04   -7977      61.0407     13       345      
 8466.16 18      5100     -8038.04   -7977      61.0407     13       345      
 8509.23 18      5150     -8038.04   -7977      61.0407     14       347      
 8966.54 19      5329     -8034.71   -7977.06   57.6568     12       365      
 8966.7  19      5330     -8034.71   -7977.06   57.6568     12       365      
 8991.25 19      5331     -8034.71   -7977.06   57.6568     12       366      
 9016.22 19      5350     -8034.71   -7977.06   57.6568     12       367      
 9016.64 19      5400     -8034.71   -7977.06   57.6568     12       367      
 9089.52 19      5450     -8034.71   -7977.06   57.6568     12       370      
 9492.15 20      5609     -8031.06   -7977.14   53.915      14       385      
 9518.27 20      5610     -8031.06   -7977.14   53.915      14       386      
 9543.22 20      5611     -8031.06   -7977.14   53.915      14       387      
 9559.85 20      5650     -8031.06   -7977.14   53.915      14       388      
 9560.33 20      5700     -8031.06   -7977.14   53.915      15       388      
 9969.75 21      5889     -8028.82   -7977.2    51.6268     15       404      
 9969.93 21      5890     -8028.82   -7977.2    51.6268     15       404      
 9995.13 21      5891     -8028.82   -7977.2    51.6268     15       405      
 9995.49 21      5900     -8028.82   -7977.2    51.6268     15       405      
 9995.94 21      5950     -8028.82   -7977.2    51.6268     15       405      
 10013.3 21      6000     -8028.82   -7977.2    51.6268     15       406      
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10013.320000s

-------------------------------------------------------------------------------
