
Loading the model ...
  input file   : /home/rstudio/RAM4_large/3e729b1cbd.pomdpx
  loading time : 4.95s 

SARSOP initializing ...
  initialization time : 7022.19s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7022.19 0       0        -8169.85   -4612.24   3557.61     101      1        
 7031.18 0       50       -8169.18   -7126.22   1042.96     62       15       
 7031.94 0       100      -8169.18   -7126.22   1042.96     57       15       
 7056.42 1       259      -7967.27   -7127.97   839.297     10       31       
 7056.43 1       260      -7967.27   -7127.97   839.297     10       31       
 7056.45 1       261      -7967.27   -7127.97   839.297     10       31       
 7058.53 1       300      -7967.27   -7127.97   839.297     6        33       
 7058.67 1       350      -7967.27   -7127.97   839.297     5        33       
 7082.63 2       527      -7872.81   -7128.14   744.677     7        46       
 7082.65 2       528      -7872.81   -7128.14   744.677     6        46       
 7082.67 2       529      -7872.81   -7128.14   744.677     5        46       
 7085.68 2       550      -7872.81   -7128.14   744.677     6        48       
 7085.83 2       600      -7872.81   -7128.14   744.677     6        48       
 7098.18 2       650      -7872.81   -7128.14   744.677     6        54       
 7116.85 3       789      -7764.94   -7128.26   636.677     6        61       
 7119.38 3       790      -7764.94   -7128.26   636.677     6        62       
 7124.45 3       800      -7764.94   -7128.26   636.677     7        64       
 7124.62 3       850      -7764.94   -7128.26   636.677     7        64       
 7124.79 3       900      -7764.94   -7128.26   636.677     7        64       
 7149.16 4       1059     -7707.11   -7128.52   578.588     10       71       
 7149.2  4       1060     -7707.11   -7128.52   578.588     8        71       
 7152.08 4       1061     -7707.11   -7128.52   578.588     8        72       
 7156.3  4       1100     -7707.11   -7128.52   578.588     7        74       
 7156.47 4       1150     -7707.11   -7128.52   578.588     7        74       
 7194.09 5       1325     -7633.42   -7128.68   504.735     7        86       
 7194.13 5       1326     -7633.42   -7128.68   504.735     7        86       
 7194.17 5       1327     -7633.42   -7128.68   504.735     7        86       
 7194.28 5       1350     -7633.42   -7128.68   504.735     7        86       
 7194.46 5       1400     -7633.42   -7128.68   504.735     7        86       
 7194.66 5       1450     -7633.42   -7128.68   504.735     8        86       
 7226.37 6       1593     -7597.02   -7128.83   468.19      10       94       
 7226.42 6       1594     -7597.02   -7128.83   468.19      8        94       
 7226.49 6       1600     -7597.02   -7128.83   468.19      9        94       
 7226.68 6       1650     -7597.02   -7128.83   468.19      8        94       
 7226.88 6       1700     -7597.02   -7128.83   468.19      9        94       
 7270.42 7       1859     -7546.51   -7129.01   417.501     8        104      
 7270.47 7       1860     -7546.51   -7129.01   417.501     8        104      
 7270.51 7       1861     -7546.51   -7129.01   417.501     8        104      
 7273.98 7       1900     -7546.51   -7129.01   417.501     10       105      
 7274.16 7       1950     -7546.51   -7129.01   417.501     10       105      
 7340.05 8       2125     -7501.27   -7129.13   372.143     10       121      
 7340.11 8       2126     -7501.27   -7129.13   372.143     9        121      
 7340.16 8       2127     -7501.27   -7129.13   372.143     8        121      
 7340.31 8       2150     -7501.27   -7129.13   372.143     9        121      
 7340.51 8       2200     -7501.27   -7129.13   372.143     9        121      
 7340.77 8       2250     -7501.27   -7129.13   372.143     9        121      
 7390.26 9       2395     -7467.94   -7129.27   338.678     8        130      
 7390.31 9       2396     -7467.94   -7129.27   338.678     7        130      
 7390.39 9       2400     -7467.94   -7129.27   338.678     7        130      
 7390.6  9       2450     -7467.94   -7129.27   338.678     8        130      
 7390.81 9       2500     -7467.94   -7129.27   338.678     9        130      
 7455.64 10      2661     -7436.37   -7129.37   307         8        143      
 7461.15 10      2662     -7436.37   -7129.37   307         7        144      
 7466.7  10      2663     -7436.37   -7129.37   307         7        145      
 7474.26 10      2700     -7436.37   -7129.37   307         9        147      
 7474.5  10      2750     -7436.37   -7129.37   307         9        147      
 7544.58 11      2929     -7406.29   -7129.46   276.827     7        158      
 7544.66 11      2930     -7406.29   -7129.46   276.827     7        158      
 7544.73 11      2931     -7406.29   -7129.46   276.827     7        158      
 7544.87 11      2950     -7406.29   -7129.46   276.827     7        158      
 7545.12 11      3000     -7406.29   -7129.46   276.827     8        158      
