
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3736dc35fc.pomdpx
  loading time : 4.94s 

SARSOP initializing ...
  initialization time : 4755.31s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4755.31 0       0        -177.694   -165.598   12.0963     101      1        
 4759.79 1       50       -169.958   -165.881   4.07751     10       27       
 4769.06 2       119      -168.952   -165.881   3.07112     17       61       
 4776.09 2       150      -168.952   -165.881   3.07112     26       92       
 4778.74 3       203      -168.23    -165.881   2.34943     16       98       
 4778.87 3       250      -168.23    -165.881   2.34943     24       98       
 4780.41 4       307      -167.813   -165.881   1.93204     35       103      
 4792.74 4       350      -167.813   -165.881   1.93204     36       132      
 4796.11 5       431      -167.662   -165.881   1.78094     26       137      
 4805.66 5       450      -167.662   -165.881   1.78094     25       155      
 4808.2  6       549      -167.482   -165.882   1.60005     15       158      
 4808.72 6       550      -167.482   -165.882   1.60005     16       159      
 4819.78 6       600      -167.482   -165.882   1.60005     23       178      
 4823.91 7       669      -167.367   -165.882   1.48545     18       183      
 4838.87 7       700      -167.367   -165.882   1.48545     16       205      
 4842.72 8       783      -167.206   -165.882   1.3242      10       209      
 4842.82 8       800      -167.206   -165.882   1.3242      9        209      
 4845.43 9       899      -167.107   -165.882   1.22448     12       213      
 4845.48 9       900      -167.107   -165.882   1.22448     12       213      
 4855.03 9       950      -167.107   -165.882   1.22448     9        229      
 4856.65 10      1007     -166.972   -165.882   1.09033     8        231      
 4856.81 10      1050     -166.972   -165.882   1.09033     12       231      
 4859.13 11      1121     -166.895   -165.882   1.01284     8        235      
 4871.09 11      1150     -166.895   -165.882   1.01284     11       253      
 4884.66 12      1225     -166.78    -165.882   0.898109    9        268      
 4905.44 12      1250     -166.78    -165.882   0.898109    11       293      
 4928.85 13      1327     -166.668   -165.882   0.785954    8        313      
 4948.74 13      1350     -166.668   -165.882   0.785954    9        336      
 4963.31 14      1425     -166.574   -165.882   0.69205     9        349      
 4976.87 14      1450     -166.574   -165.882   0.69205     11       364      
 4985.88 15      1529     -166.52    -165.882   0.638232    8        372      
 5008.19 15      1550     -166.52    -165.882   0.638232    9        393      
 5037.24 16      1631     -166.453   -165.882   0.57042     8        415      
 5052.15 16      1650     -166.453   -165.882   0.57042     11       429      
 5068.45 17      1739     -166.417   -165.882   0.535214    10       442      
 5081.21 17      1750     -166.417   -165.882   0.535214    10       453      
 5099.28 18      1847     -166.376   -165.883   0.492972    12       467      
 5102.83 18      1850     -166.376   -165.883   0.492972    9        470      
 5134.88 18      1900     -166.376   -165.883   0.492972    9        494      
 5139.97 19      1959     -166.342   -165.883   0.458931    12       497      
 5163.4  19      2000     -166.342   -165.883   0.458931    14       514      
 5176.46 20      2075     -166.315   -165.883   0.43183     10       522      
 5176.76 20      2100     -166.315   -165.883   0.43183     11       522      
 5188.35 21      2193     -166.299   -165.883   0.415937    19       530      
 5198.13 21      2200     -166.299   -165.883   0.415937    14       537      
 5232.58 21      2250     -166.299   -165.883   0.415937    14       560      
 5233.2  22      2309     -166.28    -165.883   0.397337    7        560      
 5266.82 22      2350     -166.28    -165.883   0.397337    12       584      
 5273.66 23      2423     -166.26    -165.883   0.377019    15       588      
 5273.98 23      2450     -166.26    -165.883   0.377019    13       588      
 5286.04 24      2539     -166.243   -165.883   0.359896    13       596      
 5294.51 24      2550     -166.243   -165.883   0.359896    15       602      
 5315.35 25      2657     -166.229   -165.883   0.345979    12       615      
 5315.47 25      2658     -166.229   -165.883   0.345979    13       615      
 5315.86 25      2700     -166.229   -165.883   0.345979    12       615      
 5323.93 26      2773     -166.219   -165.883   0.335563    11       620      
 5360.44 26      2800     -166.219   -165.883   0.335563    11       644      
 5369.73 27      2889     -166.208   -165.883   0.324991    13       649      
 5385.77 27      2900     -166.208   -165.883   0.324991    12       659      
 5408.45 28      3003     -166.189   -165.883   0.305771    10       672      
 5408.58 28      3004     -166.189   -165.883   0.305771    9        672      
 5429.21 28      3050     -166.189   -165.883   0.305771    10       684      
 5440.89 29      3119     -166.174   -165.883   0.291123    9        690      
 5469.58 29      3150     -166.174   -165.883   0.291123    10       707      
 5505.24 30      3235     -166.163   -165.883   0.279499    11       725      
 5532.02 30      3250     -166.163   -165.883   0.279499    12       739      
 5568.78 31      3349     -166.153   -165.883   0.270237    14       756      
 5571    31      3350     -166.153   -165.883   0.270237    13       757      
 5620.78 31      3400     -166.153   -165.883   0.270237    15       780      
 5632.93 32      3463     -166.139   -165.883   0.25542     11       785      
 5668.38 32      3500     -166.139   -165.883   0.25542     10       803      
 5690.99 33      3581     -166.128   -165.883   0.245068    13       813      
 5691.31 33      3600     -166.128   -165.883   0.245068    13       813      
 5701.78 34      3701     -166.122   -165.883   0.238476    13       818      
 5701.95 34      3702     -166.122   -165.883   0.238476    14       818      
 5803.37 34      3750     -166.122   -165.883   0.238476    15       864      
 5829.99 35      3819     -166.114   -165.883   0.230811    12       873      
 5902.15 35      3850     -166.114   -165.883   0.230811    13       904      
 5968.36 36      3931     -166.104   -165.883   0.221102    12       928      
 5968.73 36      3950     -166.104   -165.883   0.221102    13       928      
 6005.07 37      4045     -166.094   -165.883   0.210331    12       942      
 6011.61 37      4050     -166.094   -165.883   0.210331    14       945      
 6062.58 37      4100     -166.094   -165.883   0.210331    14       967      
 6071.02 38      4163     -166.088   -165.883   0.204793    14       970      
 6120.34 38      4200     -166.088   -165.883   0.204793    12       990      
 6160.79 39      4279     -166.082   -165.883   0.199005    16       1005     
 6194.86 39      4300     -166.082   -165.883   0.199005    18       1019     
 6211.83 40      4395     -166.074   -165.883   0.190566    16       1025     
 6224.43 40      4400     -166.074   -165.883   0.190566    11       1030     
 6279.34 40      4450     -166.074   -165.883   0.190566    13       1049     
 6292.91 41      4515     -166.069   -165.883   0.18571     12       1053     
 6341.34 41      4550     -166.069   -165.883   0.18571     13       1072     
 6364.41 42      4637     -166.066   -165.883   0.182811    13       1080     
 6397.86 42      4650     -166.066   -165.883   0.182811    13       1092     
 6473.29 43      4759     -166.063   -165.883   0.179521    15       1117     
 6473.57 43      4760     -166.063   -165.883   0.179521    16       1117     
 6528.93 43      4800     -166.063   -165.883   0.179521    14       1135     
 6578.64 44      4881     -166.062   -165.884   0.178004    12       1149     
 6640.3  44      4900     -166.062   -165.884   0.178004    17       1168     
 6706.04 45      5001     -166.057   -165.884   0.17378     15       1187     
 6706.27 45      5002     -166.057   -165.884   0.17378     14       1187     
 6771.61 45      5050     -166.057   -165.884   0.17378     16       1209     
 6803.89 46      5121     -166.054   -165.884   0.170149    14       1219     
 6882.02 46      5150     -166.054   -165.884   0.170149    14       1244     
 6906.95 47      5239     -166.051   -165.884   0.167921    15       1251     
 6931.75 47      5250     -166.051   -165.884   0.167921    14       1259     
 7085.68 48      5359     -166.048   -165.884   0.164156    21       1305     
 7085.92 48      5360     -166.048   -165.884   0.164156    20       1305     
 7137.24 48      5400     -166.048   -165.884   0.164156    23       1322     
 7201.21 49      5479     -166.045   -165.884   0.16183     23       1339     
 7256.51 49      5500     -166.045   -165.884   0.16183     15       1357     
 7302.98 50      5599     -166.043   -165.884   0.159208    16       1371     
 7306.27 50      5600     -166.043   -165.884   0.159208    17       1372     
