
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3744ccf7cd.pomdpx
  loading time : 4.57s 

SARSOP initializing ...
  initialization time : 3651.88s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3651.88 0       0        -190.32    -184.969   5.35139     101      1        
 3654.22 1       50       -187.451   -185.095   2.35579     34       30       
 3657.61 2       100      -186.799   -185.095   1.70433     30       61       
 3659.35 3       150      -186.363   -185.095   1.26812     29       84       
 3661.99 4       207      -186.127   -185.096   1.03098     35       105      
 3667.74 5       271      -185.849   -185.096   0.752722    42       137      
 3674.95 5       300      -185.849   -185.096   0.752722    53       166      
 3680.16 6       350      -185.723   -185.096   0.626869    38       181      
 3688.35 7       400      -185.624   -185.096   0.52848     46       203      
 3699.82 8       450      -185.547   -185.096   0.451218    54       228      
 3712.14 9       500      -185.492   -185.096   0.395768    38       253      
 3723.32 10      550      -185.408   -185.096   0.311464    30       280      
 3733.68 11      607      -185.361   -185.096   0.264424    66       305      
 3748.84 12      669      -185.336   -185.096   0.239358    66       336      
 3762.74 13      721      -185.31    -185.096   0.213316    48       362      
 3776.48 14      771      -185.277   -185.096   0.180661    50       387      
 3793.86 15      800      -185.277   -185.096   0.180661    34       415      
 3807.3  15      850      -185.261   -185.097   0.164794    33       437      
 3822.27 16      900      -185.25    -185.097   0.153025    32       459      
 3831.86 17      950      -185.235   -185.097   0.138299    36       483      
 3844.6  18      1000     -185.213   -185.097   0.11607     39       504      
 3866.39 19      1073     -185.208   -185.097   0.111235    43       536      
 3886.22 19      1100     -185.208   -185.097   0.111235    38       563      
 3899.59 20      1150     -185.197   -185.097   0.100309    40       578      
 3925.97 21      1217     -185.189   -185.097   0.092637    41       608      
 3956.62 21      1250     -185.189   -185.097   0.092637    38       641      
 3967.26 22      1300     -185.183   -185.097   0.0859674   38       651      
 4003.09 23      1373     -185.177   -185.097   0.0805538   41       685      
 4033.13 23      1400     -185.177   -185.097   0.0805538   37       712      
 4048.08 24      1451     -185.174   -185.097   0.0772897   42       724      
 4098.74 25      1531     -185.172   -185.097   0.074819    40       764      
 4124.1  25      1550     -185.172   -185.097   0.074819    38       783      
 4153.46 26      1611     -185.167   -185.097   0.0703558   42       804      
 4211.62 26      1650     -185.167   -185.097   0.0703558   41       843      
 4224.37 27      1700     -185.163   -185.097   0.0663128   41       850      
 4293.97 28      1789     -185.161   -185.097   0.0642341   35       892      
 4313.14 28      1800     -185.161   -185.097   0.0642341   42       903      
 4376.97 29      1881     -185.159   -185.097   0.0621248   39       938      
 4413.48 29      1900     -185.159   -185.097   0.0621248   37       957      
 4472.25 30      1973     -185.158   -185.097   0.0605197   43       984      
 4522.91 30      2000     -185.158   -185.097   0.0605197   35       1011     
 4562.89 31      2063     -185.156   -185.097   0.0588936   33       1029     
 4641.02 31      2100     -185.156   -185.097   0.0588936   30       1066     
 4658.05 32      2153     -185.155   -185.097   0.0571115   33       1073     
 4751.16 33      2245     -185.153   -185.097   0.0559106   37       1119     
 4760.6  33      2250     -185.153   -185.097   0.0559106   39       1124     
 4839.64 34      2337     -185.152   -185.098   0.0547318   31       1165     
 4860.32 34      2350     -185.152   -185.098   0.0547318   29       1178     
 4926.72 35      2429     -185.151   -185.098   0.0536831   30       1210     
 4966.68 35      2450     -185.151   -185.098   0.0536831   26       1231     
