
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/376bcb460d.pomdpx
  loading time : 4.93s 

SARSOP initializing ...
  initialization time : 4759.06s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4759.06 0       0        -241.33    -234.954   6.37614     101      1        
 4763.72 1       67       -238.155   -235.106   3.04891     13       35       
 4770.74 1       100      -238.155   -235.106   3.04891     15       66       
 4772.65 2       150      -237.5     -235.106   2.39384     27       79       
 4780.86 3       227      -236.985   -235.106   1.87873     34       113      
 4786.79 3       250      -236.985   -235.106   1.87873     27       134      
 4790.07 4       325      -236.612   -235.107   1.5056      36       142      
 4798.4  4       350      -236.612   -235.107   1.5056      32       163      
 4801.83 5       437      -236.469   -235.107   1.36258     25       169      
 4807.83 5       450      -236.469   -235.107   1.36258     22       182      
 4816.19 6       545      -236.341   -235.107   1.23427     30       197      
 4818.98 6       550      -236.341   -235.107   1.23427     19       202      
 4830.82 7       651      -236.237   -235.107   1.12999     25       222      
 4831.55 7       652      -236.237   -235.107   1.12999     25       223      
 4845.62 7       700      -236.237   -235.107   1.12999     24       245      
 4848.25 8       755      -236.131   -235.107   1.02398     15       248      
 4864.68 8       800      -236.131   -235.107   1.02398     23       271      
 4869.34 9       855      -236.044   -235.107   0.936303    13       276      
 4884.68 9       900      -236.044   -235.107   0.936303    14       296      
 4890.43 10      957      -235.954   -235.107   0.846173    16       302      
 4908.31 10      1000     -235.954   -235.107   0.846173    15       326      
 4914.14 11      1055     -235.875   -235.108   0.767231    12       332      
 4932.77 11      1100     -235.875   -235.108   0.767231    11       353      
 4934.91 12      1150     -235.812   -235.108   0.704558    10       355      
 4952.41 13      1241     -235.747   -235.108   0.639018    10       374      
 4960.55 13      1250     -235.747   -235.108   0.639018    10       383      
 4981.65 14      1341     -235.689   -235.108   0.581409    8        404      
 4989.71 14      1350     -235.689   -235.108   0.581409    10       413      
 5004.21 15      1441     -235.646   -235.108   0.538602    10       428      
