
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/37737acb0e.pomdpx
  loading time : 4.64s 

SARSOP initializing ...
  initialization time : 3740.66s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3740.66 0       0        -154.736   -144.137   10.5987     101      1        
 3742.75 2       77       -146.593   -144.387   2.20615     20       40       
 3745.19 2       100      -146.593   -144.387   2.20615     31       63       
 3748.35 3       153      -145.957   -144.387   1.5694      33       78       
 3760.15 4       235      -145.646   -144.388   1.25848     22       118      
 3764.08 4       250      -145.646   -144.388   1.25848     31       129      
 3774.98 5       313      -145.436   -144.388   1.04831     46       152      
 3791.97 6       377      -145.255   -144.388   0.867681    46       183      
 3797.33 6       400      -145.255   -144.388   0.867681    27       203      
 3803.11 7       450      -145.057   -144.388   0.668985    44       217      
 3819.76 8       529      -144.923   -144.388   0.534956    59       254      
 3830.66 8       550      -144.923   -144.388   0.534956    47       274      
 3843.14 9       613      -144.831   -144.388   0.44328     35       294      
 3867.34 9       650      -144.831   -144.388   0.44328     35       330      
 3873.23 10      700      -144.783   -144.388   0.394894    44       337      
 3906.57 11      777      -144.73    -144.388   0.342399    42       375      
 3929.04 11      800      -144.73    -144.388   0.342399    35       398      
 3948.09 12      857      -144.705   -144.388   0.316583    34       415      
 3987.74 13      929      -144.668   -144.388   0.279036    22       450      
 4010.64 13      950      -144.668   -144.388   0.279036    23       471      
 4033.26 14      1005     -144.64    -144.388   0.251679    21       488      
 4088.02 15      1087     -144.624   -144.389   0.23543     19       529      
 4103.18 15      1100     -144.624   -144.389   0.23543     12       542      
 4145.81 16      1171     -144.606   -144.389   0.217111    14       570      
 4182.88 16      1200     -144.606   -144.389   0.217111    11       599      
 4203.6  17      1255     -144.585   -144.389   0.196382    16       612      
 4266    18      1341     -144.573   -144.389   0.184126    17       654      
 4276.21 18      1350     -144.573   -144.389   0.184126    20       662      
 4333.97 19      1429     -144.562   -144.389   0.172546    20       697      
 4366.43 19      1450     -144.562   -144.389   0.172546    15       718      
 4413.27 20      1519     -144.551   -144.389   0.161429    16       742      
 4466.31 20      1550     -144.551   -144.389   0.161429    17       773      
 4497.33 21      1611     -144.541   -144.389   0.151445    17       787      
 4568.27 21      1650     -144.541   -144.389   0.151445    17       824      
 4584.92 22      1707     -144.532   -144.389   0.14233     14       832      
 4670.12 22      1750     -144.532   -144.389   0.14233     19       875      
 4685.44 23      1807     -144.527   -144.389   0.13799     20       881      
 4763.58 23      1850     -144.527   -144.389   0.13799     21       920      
 4782.56 24      1909     -144.523   -144.389   0.134133    28       928      
 4869.53 24      1950     -144.523   -144.389   0.134133    26       969      
 4895.02 25      2011     -144.521   -144.389   0.131952    22       979      
 4991.63 25      2050     -144.521   -144.389   0.131952    20       1018     
 5030.11 26      2115     -144.518   -144.389   0.128318    26       1031     
 5110.25 26      2150     -144.518   -144.389   0.128318    22       1066     
 5157.74 27      2219     -144.514   -144.39    0.123977    26       1082     
 5227.04 27      2250     -144.514   -144.39    0.123977    23       1111     
 5278.85 28      2325     -144.511   -144.39    0.120992    22       1132     
 5342.9  28      2350     -144.511   -144.39    0.120992    21       1157     
 5420.09 29      2431     -144.509   -144.39    0.119094    20       1184     
 5464.12 29      2450     -144.509   -144.39    0.119094    19       1202     
 5553.73 30      2533     -144.506   -144.39    0.116726    23       1233     
 5588.33 30      2550     -144.506   -144.39    0.116726    26       1248     
 5688.31 31      2635     -144.503   -144.39    0.113505    24       1281     
 5725.14 31      2650     -144.503   -144.39    0.113505    22       1296     
 5827.2  32      2737     -144.501   -144.39    0.111166    18       1331     
 5860.03 32      2750     -144.501   -144.39    0.111166    23       1344     
 5970.09 33      2841     -144.497   -144.39    0.107835    22       1382     
 5994.09 33      2850     -144.497   -144.39    0.107835    25       1391     
 6134.91 34      2947     -144.496   -144.39    0.106563    25       1434     
 6140.47 34      2950     -144.496   -144.39    0.106563    24       1436     
 6296.16 35      3000     -144.496   -144.39    0.106563    23       1485     
 6297.56 35      3053     -144.494   -144.39    0.104508    22       1485     
 6451.26 35      3100     -144.494   -144.39    0.104508    25       1532     
 6479.64 36      3161     -144.493   -144.39    0.103833    36       1539     
 6617.36 36      3200     -144.493   -144.39    0.103833    21       1578     
 6676.06 37      3271     -144.49    -144.39    0.100562    23       1593     
 6773.69 37      3300     -144.49    -144.39    0.100562    21       1622     
 6875.17 38      3383     -144.489   -144.39    0.0991959   23       1648     
 6920.08 38      3400     -144.489   -144.39    0.0991959   27       1662     
 7066.06 39      3495     -144.488   -144.39    0.0980501   24       1700     
 7076.63 39      3500     -144.488   -144.39    0.0980501   23       1703     
 7274.84 39      3550     -144.488   -144.39    0.0980501   23       1753     
 7281.76 40      3609     -144.487   -144.39    0.0969193   28       1754     
 7440.91 40      3650     -144.487   -144.39    0.0969193   27       1794     
 7511.78 41      3723     -144.486   -144.39    0.0965934   26       1809     
 7621.09 41      3750     -144.486   -144.39    0.0965934   34       1836     
 7759.03 42      3837     -144.486   -144.39    0.095969    27       1865     
 7803.69 42      3850     -144.486   -144.39    0.095969    29       1877     
 7979.02 43      3947     -144.485   -144.39    0.0956086   29       1918     
 7989.65 43      3950     -144.485   -144.39    0.0956086   30       1921     
 8218.84 43      4000     -144.485   -144.39    0.0956086   29       1971     
 8227.17 44      4057     -144.484   -144.39    0.0941483   33       1972     
 8406.93 44      4100     -144.484   -144.39    0.0941483   29       2014     
 8462.92 45      4171     -144.483   -144.39    0.0935963   28       2027     
 8573.32 45      4200     -144.483   -144.39    0.0935963   27       2055     
 8683.2  46      4283     -144.483   -144.39    0.0927504   33       2081     
 8738.76 46      4300     -144.483   -144.39    0.0927504   29       2095     
 8907.63 47      4395     -144.482   -144.39    0.0925499   30       2133     
 8920.3  47      4400     -144.482   -144.39    0.0925499   33       2136     
 9132.66 47      4450     -144.482   -144.39    0.0925499   32       2186     
 9139.16 48      4509     -144.482   -144.39    0.0921529   33       2187     
 9305.97 48      4550     -144.482   -144.39    0.0921529   40       2226     
 9371.62 49      4621     -144.482   -144.39    0.0919564   43       2240     
 9495.54 49      4650     -144.482   -144.39    0.0919564   36       2268     
 9622.07 50      4733     -144.481   -144.39    0.091633    35       2294     
 9696.84 50      4750     -144.481   -144.39    0.091633    31       2310     
 9898.21 51      4845     -144.481   -144.39    0.0913163   35       2348     
 9916.54 51      4850     -144.481   -144.39    0.0913163   37       2352     
 10157.3 51      4900     -144.481   -144.39    0.0913163   40       2402     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10157.280000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10157.3 51      4900     -144.481   -144.39    0.0913163   40       2402     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/37737acb0e.policyx

