
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/377d42afc7.pomdpx
  loading time : 5.04s 

SARSOP initializing ...
  initialization time : 8656.49s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8656.49 0       0        -7455.06   -3361.48   4093.58     101      1        
 8658.23 0       50       -7454.43   -6194.92   1259.52     68       7        
 8658.74 0       100      -7454.43   -6194.92   1259.52     63       7        
 8664.19 1       241      -7216.26   -6194.99   1021.27     9        17       
 8664.2  1       242      -7216.26   -6194.99   1021.27     9        17       
 8664.23 1       250      -7216.26   -6194.99   1021.27     7        17       
 8664.33 1       300      -7216.26   -6194.99   1021.27     6        17       
 8664.43 1       350      -7216.26   -6194.99   1021.27     6        17       
 8666.94 2       493      -7118.54   -6195.05   923.49      6        21       
 8666.95 2       494      -7118.54   -6195.05   923.49      5        21       
 8666.97 2       500      -7118.54   -6195.05   923.49      6        21       
 8667.09 2       550      -7118.54   -6195.05   923.49      6        21       
 8667.19 2       600      -7118.54   -6195.05   923.49      6        21       
 8669.81 3       743      -7025.9    -6195.06   830.835     5        24       
 8669.82 3       744      -7025.9    -6195.06   830.835     5        24       
 8669.85 3       750      -7025.9    -6195.06   830.835     6        24       
 8669.95 3       800      -7025.9    -6195.06   830.835     6        24       
 8670.06 3       850      -7025.9    -6195.06   830.835     6        24       
 8674.05 4       997      -6963.42   -6195.11   768.313     5        28       
 8674.06 4       998      -6963.42   -6195.11   768.313     5        28       
 8674.08 4       1000     -6963.42   -6195.11   768.313     6        28       
 8674.21 4       1050     -6963.42   -6195.11   768.313     6        28       
 8674.32 4       1100     -6963.42   -6195.11   768.313     6        28       
 8678.55 5       1249     -6894.14   -6195.13   699.014     5        32       
 8678.56 5       1250     -6894.14   -6195.13   699.014     5        32       
 8678.57 5       1251     -6894.14   -6195.13   699.014     5        32       
 8678.7  5       1300     -6894.14   -6195.13   699.014     6        32       
 8678.81 5       1350     -6894.14   -6195.13   699.014     6        32       
 8683.48 6       1503     -6836.25   -6195.17   641.084     5        36       
 8683.49 6       1504     -6836.25   -6195.17   641.084     5        36       
 8683.51 6       1505     -6836.25   -6195.17   641.084     5        36       
 8683.64 6       1550     -6836.25   -6195.17   641.084     6        36       
 8683.78 6       1600     -6836.25   -6195.17   641.084     6        36       
 8690.02 7       1755     -6783.67   -6195.19   588.477     5        41       
 8690.04 7       1756     -6783.67   -6195.19   588.477     5        41       
 8690.06 7       1757     -6783.67   -6195.19   588.477     5        41       
 8690.19 7       1800     -6783.67   -6195.19   588.477     6        41       
 8690.32 7       1850     -6783.67   -6195.19   588.477     6        41       
 8697.59 8       2009     -6740.05   -6195.21   544.839     5        46       
 8697.61 8       2010     -6740.05   -6195.21   544.839     5        46       
 8697.63 8       2011     -6740.05   -6195.21   544.839     5        46       
 8697.76 8       2050     -6740.05   -6195.21   544.839     7        46       
 8697.9  8       2100     -6740.05   -6195.21   544.839     7        46       
 8705.09 9       2261     -6688.43   -6195.24   493.192     5        51       
 8705.11 9       2262     -6688.43   -6195.24   493.192     5        51       
 8705.13 9       2263     -6688.43   -6195.24   493.192     5        51       
 8705.25 9       2300     -6688.43   -6195.24   493.192     6        51       
 8705.39 9       2350     -6688.43   -6195.24   493.192     6        51       
 8713.54 10      2515     -6649.56   -6195.3    454.265     6        56       
 8713.56 10      2516     -6649.56   -6195.3    454.265     6        56       
 8713.58 10      2517     -6649.56   -6195.3    454.265     6        56       
 8713.67 10      2550     -6649.56   -6195.3    454.265     6        56       
 8713.81 10      2600     -6649.56   -6195.3    454.265     6        56       
 8725.01 11      2769     -6615.7    -6195.33   420.373     7        63       
 8725.03 11      2770     -6615.7    -6195.33   420.373     6        63       
 8725.06 11      2771     -6615.7    -6195.33   420.373     7        63       
 8725.16 11      2800     -6615.7    -6195.33   420.373     6        63       
 8725.31 11      2850     -6615.7    -6195.33   420.373     6        63       
 8733.67 12      3023     -6585.63   -6195.34   390.282     7        68       
 8733.7  12      3024     -6585.63   -6195.34   390.282     7        68       
 8733.73 12      3025     -6585.63   -6195.34   390.282     7        68       
 8733.82 12      3050     -6585.63   -6195.34   390.282     7        68       
 8733.97 12      3100     -6585.63   -6195.34   390.282     7        68       
 8743.72 12      3150     -6585.63   -6195.34   390.282     6        74       
 8744.35 13      3279     -6557.32   -6195.36   361.955     6        74       
 8744.38 13      3280     -6557.32   -6195.36   361.955     6        74       
 8744.45 13      3300     -6557.32   -6195.36   361.955     6        74       
 8744.6  13      3350     -6557.32   -6195.36   361.955     6        74       
 8750.62 13      3400     -6557.32   -6195.36   361.955     6        77       
 8758.85 14      3533     -6526.12   -6195.37   330.748     6        81       
 8758.88 14      3534     -6526.12   -6195.37   330.748     6        81       
 8758.95 14      3550     -6526.12   -6195.37   330.748     7        81       
 8759.1  14      3600     -6526.12   -6195.37   330.748     7        81       
 8760.97 14      3650     -6526.12   -6195.37   330.748     7        82       
 8774.48 15      3787     -6500.26   -6195.39   304.871     9        88       
 8774.52 15      3788     -6500.26   -6195.39   304.871     8        88       
 8774.59 15      3800     -6500.26   -6195.39   304.871     9        88       
 8774.77 15      3850     -6500.26   -6195.39   304.871     9        88       
 8774.96 15      3900     -6500.26   -6195.39   304.871     9        88       
 8791.53 16      4043     -6478.28   -6195.4    282.886     6        95       
 8791.56 16      4044     -6478.28   -6195.4    282.886     6        95       
 8791.61 16      4050     -6478.28   -6195.4    282.886     7        95       
 8791.79 16      4100     -6478.28   -6195.4    282.886     6        95       
 8791.95 16      4150     -6478.28   -6195.4    282.886     6        95       
 8805.68 17      4297     -6456.45   -6195.4    261.045     6        101      
 8805.71 17      4298     -6456.45   -6195.4    261.045     6        101      
 8805.75 17      4300     -6456.45   -6195.4    261.045     7        101      
 8805.91 17      4350     -6456.45   -6195.4    261.045     7        101      
 8806.06 17      4400     -6456.45   -6195.4    261.045     7        101      
 8817.72 18      4551     -6434.83   -6195.41   239.42      9        106      
 8817.76 18      4552     -6434.83   -6195.41   239.42      8        106      
 8817.8  18      4553     -6434.83   -6195.41   239.42      7        106      
 8817.98 18      4600     -6434.83   -6195.41   239.42      9        106      
 8818.17 18      4650     -6434.83   -6195.41   239.42      9        106      
 8830.99 19      4809     -6424.25   -6195.42   228.828     9        111      
 8831.03 19      4810     -6424.25   -6195.42   228.828     7        111      
 8833.17 19      4811     -6424.25   -6195.42   228.828     8        112      
 8833.35 19      4850     -6424.25   -6195.42   228.828     9        112      
 8833.55 19      4900     -6424.25   -6195.42   228.828     9        112      
 8843.43 20      5061     -6403.8    -6195.43   208.371     8        116      
 8843.47 20      5062     -6403.8    -6195.43   208.371     6        116      
 8843.51 20      5063     -6403.8    -6195.43   208.371     7        116      
 8843.67 20      5100     -6403.8    -6195.43   208.371     8        116      
 8843.86 20      5150     -6403.8    -6195.43   208.371     8        116      
 8865.83 21      5317     -6391.72   -6195.43   196.294     8        126      
 8865.88 21      5318     -6391.72   -6195.43   196.294     7        126      
 8865.92 21      5319     -6391.72   -6195.43   196.294     7        126      
 8866.06 21      5350     -6391.72   -6195.43   196.294     8        126      
 8866.26 21      5400     -6391.72   -6195.43   196.294     8        126      
 8876.3  22      5573     -6374.81   -6195.44   179.369     9        129      
 8876.34 22      5574     -6374.81   -6195.44   179.369     8        129      
 8876.39 22      5575     -6374.81   -6195.44   179.369     8        129      
 8876.5  22      5600     -6374.81   -6195.44   179.369     9        129      
 8876.67 22      5650     -6374.81   -6195.44   179.369     9        129      
 8897.58 22      5700     -6374.81   -6195.44   179.369     9        137      
 8898.45 23      5829     -6362.74   -6195.44   167.301     10       137      
 8898.5  23      5830     -6362.74   -6195.44   167.301     9        137      
 8898.6  23      5850     -6362.74   -6195.44   167.301     9        137      
 8898.79 23      5900     -6362.74   -6195.44   167.301     9        137      
 8903.76 23      5950     -6362.74   -6195.44   167.301     10       139      
 8909.48 24      6083     -6349.69   -6195.44   154.243     9        141      
 8909.53 24      6084     -6349.69   -6195.44   154.243     8        141      
 8909.62 24      6100     -6349.69   -6195.44   154.243     9        141      
 8909.79 24      6150     -6349.69   -6195.44   154.243     9        141      
 8909.98 24      6200     -6349.69   -6195.44   154.243     11       141      
 8921.6  25      6341     -6342.28   -6195.45   146.824     9        144      
 8921.65 25      6342     -6342.28   -6195.45   146.824     7        144      
 8921.72 25      6350     -6342.28   -6195.45   146.824     8        144      
 8921.89 25      6400     -6342.28   -6195.45   146.824     8        144      
 8922.07 25      6450     -6342.28   -6195.45   146.824     8        144      
 8932.39 26      6597     -6332.71   -6195.46   137.256     9        147      
 8932.44 26      6598     -6332.71   -6195.46   137.256     8        147      
 8932.49 26      6600     -6332.71   -6195.46   137.256     9        147      
 8932.69 26      6650     -6332.71   -6195.46   137.256     9        147      
 8932.88 26      6700     -6332.71   -6195.46   137.256     9        147      
 8945.71 27      6853     -6324.33   -6195.46   128.866     10       151      
 8945.76 27      6854     -6324.33   -6195.46   128.866     9        151      
 8945.81 27      6855     -6324.33   -6195.46   128.866     9        151      
 8946.01 27      6900     -6324.33   -6195.46   128.866     10       151      
 8946.24 27      6950     -6324.33   -6195.46   128.866     10       151      
 8963.06 28      7109     -6316.92   -6195.46   121.455     10       157      
 8963.12 28      7110     -6316.92   -6195.46   121.455     9        157      
 8963.17 28      7111     -6316.92   -6195.46   121.455     9        157      
 8963.34 28      7150     -6316.92   -6195.46   121.455     11       157      
 8963.54 28      7200     -6316.92   -6195.46   121.455     11       157      
 8980.02 29      7365     -6310.55   -6195.46   115.086     10       162      
 8980.07 29      7366     -6310.55   -6195.46   115.086     9        162      
 8980.13 29      7367     -6310.55   -6195.46   115.086     9        162      
 8980.28 29      7400     -6310.55   -6195.46   115.086     10       162      
 8980.48 29      7450     -6310.55   -6195.46   115.086     10       162      
 8991.14 30      7623     -6303.48   -6195.47   108.009     10       165      
 8991.2  30      7624     -6303.48   -6195.47   108.009     9        165      
 8991.26 30      7625     -6303.48   -6195.47   108.009     9        165      
 8991.38 30      7650     -6303.48   -6195.47   108.009     11       165      
 8991.58 30      7700     -6303.48   -6195.47   108.009     11       165      
 9006.76 30      7750     -6303.48   -6195.47   108.009     9        170      
 9007.67 31      7879     -6297.21   -6195.48   101.734     10       170      
 9007.73 31      7880     -6297.21   -6195.48   101.734     9        170      
 9007.87 31      7900     -6297.21   -6195.48   101.734     11       170      
 9008.11 31      7950     -6297.21   -6195.48   101.734     11       170      
 9014.27 31      8000     -6297.21   -6195.48   101.734     9        172      
 9019.24 32      8135     -6291.01   -6195.48   95.5302     10       173      
 9019.3  32      8136     -6291.01   -6195.48   95.5302     9        173      
 9019.41 32      8150     -6291.01   -6195.48   95.5302     9        173      
 9019.63 32      8200     -6291.01   -6195.48   95.5302     9        173      
 9019.87 32      8250     -6291.01   -6195.48   95.5302     11       173      
 9036.7  33      8393     -6285.58   -6195.48   90.0956     10       177      
 9039.91 33      8394     -6285.58   -6195.48   90.0956     9        178      
 9042.03 33      8400     -6285.58   -6195.48   90.0956     8        179      
