
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3813580c6a.pomdpx
  loading time : 4.72s 

SARSOP initializing ...
  initialization time : 4172.62s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4172.62 0       0        -250.762   -248.139   2.62289     101      1        
 4179.95 1       73       -249.992   -248.305   1.68749     17       38       
 4188.57 1       100      -249.992   -248.305   1.68749     38       65       
 4194.69 2       157      -249.602   -248.306   1.2966      15       80       
 4214.39 3       239      -249.402   -248.306   1.09534     14       121      
 4217.36 3       250      -249.402   -248.306   1.09534     11       132      
 4223.6  4       313      -249.211   -248.306   0.905035    18       158      
 4233.29 5       350      -249.211   -248.306   0.905035    21       194      
 4238.1  5       400      -249.035   -248.307   0.728415    20       208      
 4249.84 6       469      -248.926   -248.307   0.619027    15       236      
 4263.51 6       500      -248.926   -248.307   0.619027    16       267      
 4270.38 7       555      -248.861   -248.308   0.553767    15       279      
 4293.48 8       641      -248.825   -248.308   0.517087    18       322      
 4297.9  8       650      -248.825   -248.308   0.517087    21       331      
 4317.76 9       721      -248.779   -248.308   0.471119    19       362      
 4334.73 9       750      -248.779   -248.308   0.471119    20       391      
 4345.71 10      809      -248.752   -248.309   0.442921    21       406      
 4370.18 10      850      -248.752   -248.309   0.442921    18       447      
 4373.17 11      900      -248.733   -248.309   0.423483    17       452      
 4390.11 12      993      -248.682   -248.31    0.371753    40       498      
 4394.4  12      1000     -248.682   -248.31    0.371753    37       505      
 4425.93 13      1103     -248.668   -248.31    0.358059    35       553      
 4426.93 13      1104     -248.668   -248.31    0.358059    33       554      
 4455.67 13      1150     -248.668   -248.31    0.358059    39       593      
 4465.27 14      1217     -248.655   -248.311   0.343988    39       603      
 4489.14 14      1250     -248.655   -248.311   0.343988    37       629      
 4501.8  15      1335     -248.646   -248.311   0.335218    36       641      
 4517.38 15      1350     -248.646   -248.311   0.335218    34       656      
 4551.73 16      1455     -248.639   -248.311   0.327351    34       689      
 4553.11 16      1456     -248.639   -248.311   0.327351    35       690      
 4590.06 16      1500     -248.639   -248.311   0.327351    37       724      
 4606.58 17      1575     -248.631   -248.312   0.318839    39       737      
 4637.03 17      1600     -248.631   -248.312   0.318839    37       762      
 4681.74 18      1693     -248.626   -248.312   0.314121    38       796      
 4691.9  18      1700     -248.626   -248.312   0.314121    41       803      
 4741.1  18      1750     -248.626   -248.312   0.314121    30       840      
 4745.51 19      1811     -248.621   -248.312   0.308442    36       842      
 4804.98 19      1850     -248.621   -248.312   0.308442    34       881      
 4834.1  20      1923     -248.615   -248.313   0.302101    41       898      
 4878.86 20      1950     -248.615   -248.313   0.302101    47       925      
 4898.32 21      2039     -248.61    -248.313   0.297134    40       935      
 4918.73 21      2050     -248.61    -248.313   0.297134    39       946      
 4963.67 22      2157     -248.604   -248.313   0.291053    36       971      
 4965.87 22      2158     -248.604   -248.313   0.291053    35       972      
 5010.75 22      2200     -248.604   -248.313   0.291053    45       998      
 5021.44 23      2275     -248.599   -248.313   0.285675    37       1003     
 5070.53 23      2300     -248.599   -248.313   0.285675    39       1028     
 5139.67 24      2395     -248.597   -248.313   0.283053    36       1062     
 5150.24 24      2400     -248.597   -248.313   0.283053    38       1067     
 5225.76 24      2450     -248.597   -248.313   0.283053    30       1104     
 5236.54 25      2513     -248.594   -248.314   0.280535    37       1108     
 5322.3  25      2550     -248.594   -248.314   0.280535    39       1145     
 5378.74 26      2633     -248.591   -248.314   0.27759     42       1168     
 5420.4  26      2650     -248.591   -248.314   0.27759     46       1185     
 5526.09 27      2749     -248.587   -248.314   0.273408    40       1225     
 5529.19 27      2750     -248.587   -248.314   0.273408    39       1226     
 5638.99 27      2800     -248.587   -248.314   0.273408    37       1266     
 5660.04 28      2865     -248.585   -248.314   0.270931    40       1272     
 5760.99 28      2900     -248.585   -248.314   0.270931    43       1303     
 5844.36 29      2983     -248.582   -248.314   0.267984    39       1324     
 5909.82 29      3000     -248.582   -248.314   0.267984    39       1341     
 5987.72 30      3099     -248.578   -248.315   0.263532    36       1364     
 5991.91 30      3100     -248.578   -248.315   0.263532    37       1365     
 6144.93 30      3150     -248.578   -248.315   0.263532    45       1405     
 6174.97 31      3219     -248.577   -248.315   0.26255     31       1413     
 6264.94 31      3250     -248.577   -248.315   0.26255     36       1435     
 6315.81 32      3337     -248.575   -248.315   0.260432    35       1446     
 6361.04 32      3350     -248.575   -248.315   0.260432    39       1459     
 6459.64 33      3457     -248.573   -248.315   0.258625    27       1492     
 6463.08 33      3458     -248.573   -248.315   0.258625    28       1493     
 6538.4  33      3500     -248.573   -248.315   0.258625    31       1519     
 6591.42 34      3575     -248.572   -248.315   0.257628    36       1535     
 6666.75 34      3600     -248.572   -248.315   0.257628    38       1560     
 6774.34 35      3693     -248.569   -248.315   0.253906    33       1593     
 6795.45 35      3700     -248.569   -248.315   0.253906    35       1600     
 6951.96 35      3750     -248.569   -248.315   0.253906    38       1650     
 6956.44 36      3811     -248.567   -248.315   0.251698    31       1651     
 7045.68 36      3850     -248.567   -248.315   0.251698    33       1690     
 7095.46 37      3931     -248.564   -248.315   0.248946    31       1710     
 7135.14 37      3950     -248.564   -248.315   0.248946    38       1729     
 7196.6  38      4051     -248.563   -248.315   0.247991    34       1756     
 7199.48 38      4052     -248.563   -248.315   0.247991    35       1757     
 7309.24 38      4100     -248.563   -248.315   0.247991    34       1805     
 7335.6  39      4171     -248.562   -248.316   0.245829    26       1815     
 7396.96 39      4200     -248.562   -248.316   0.245829    25       1844     
 7466.14 40      4291     -248.559   -248.316   0.243138    24       1874     
 7485.08 40      4300     -248.559   -248.316   0.243138    30       1883     
 7600.55 40      4350     -248.559   -248.316   0.243138    31       1933     
 7605.23 41      4411     -248.558   -248.316   0.241781    41       1934     
 7688.86 41      4450     -248.558   -248.316   0.241781    35       1973     
 7735.13 42      4531     -248.556   -248.316   0.239685    34       1993     
 7778.59 42      4550     -248.556   -248.316   0.239685    40       2012     
 7877.93 43      4651     -248.555   -248.316   0.238974    38       2052     
 7881.02 43      4652     -248.555   -248.316   0.238974    37       2053     
 8006.56 43      4700     -248.555   -248.316   0.238974    52       2101     
 8034.32 44      4769     -248.554   -248.316   0.237698    40       2110     
 8110.06 44      4800     -248.554   -248.316   0.237698    33       2141     
 8184.12 45      4887     -248.553   -248.316   0.237037    30       2168     
 8217.38 45      4900     -248.553   -248.316   0.237037    33       2181     
 8352.28 46      5007     -248.553   -248.316   0.236599    42       2228     
 8355.18 46      5008     -248.553   -248.316   0.236599    41       2229     
 8471.87 46      5050     -248.553   -248.316   0.236599    50       2271     
 8518.12 47      5125     -248.551   -248.317   0.233948    41       2286     
 8589.38 47      5150     -248.551   -248.317   0.233948    43       2311     
 8702.03 48      5247     -248.55    -248.317   0.233484    58       2346     
 8711.17 48      5250     -248.55    -248.317   0.233484    59       2349     
 8863.02 48      5300     -248.55    -248.317   0.233484    50       2399     
 8887.3  49      5369     -248.549   -248.317   0.232294    38       2406     
 8976.21 49      5400     -248.549   -248.317   0.232294    43       2437     
 9063.09 50      5489     -248.548   -248.317   0.231012    37       2465     
 9095.27 50      5500     -248.548   -248.317   0.231012    48       2476     
 9249.49 51      5609     -248.547   -248.317   0.230328    42       2524     
 9253.1  51      5610     -248.547   -248.317   0.230328    41       2525     
 9379.34 51      5650     -248.547   -248.317   0.230328    49       2565     
 9438.32 52      5727     -248.547   -248.317   0.22966     38       2582     
 9504.9  52      5750     -248.547   -248.317   0.22966     39       2604     
 9620.2  53      5847     -248.546   -248.317   0.22894     36       2640     
 9630.26 53      5850     -248.546   -248.317   0.22894     35       2643     
 9787.7  53      5900     -248.546   -248.317   0.22894     39       2693     
 9805.44 54      5965     -248.545   -248.317   0.227704    43       2698     
 9922.08 54      6000     -248.545   -248.317   0.227704    56       2733     
 10020.7 55      6085     -248.544   -248.317   0.227235    44       2758     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10020.670000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10020.7 55      6085     -248.544   -248.317   0.227235    44       2758     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/3813580c6a.policyx

