
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/38290b2316.pomdpx
  loading time : 4.61s 

SARSOP initializing ...
  initialization time : 3166.16s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3166.16 0       0        -165.286   -158.659   6.62658     101      1        
 3168.24 1       50       -161.608   -158.835   2.77307     19       32       
 3170.9  2       100      -160.807   -158.835   1.97149     26       61       
 3174.03 3       150      -160.214   -158.836   1.37892     22       81       
 3179.78 4       207      -159.927   -158.836   1.09115     15       105      
 3183.18 5       279      -159.709   -158.836   0.872683    41       141      
 3187    5       300      -159.709   -158.836   0.872683    55       162      
 3190.9  6       351      -159.541   -158.836   0.70526     71       177      
 3199.68 7       415      -159.406   -158.836   0.569883    59       209      
 3210.57 8       477      -159.318   -158.837   0.481641    56       240      
 3219.28 8       500      -159.318   -158.837   0.481641    52       263      
 3229.49 9       550      -159.247   -158.837   0.410383    61       286      
 3241.06 10      600      -159.203   -158.837   0.366062    55       309      
 3248.52 11      650      -159.164   -158.837   0.327241    59       333      
 3255.55 12      700      -159.101   -158.837   0.26407     46       353      
 3267.93 13      767      -159.063   -158.837   0.226563    53       382      
 3284.7  13      800      -159.063   -158.837   0.226563    55       415      
 3292.99 14      850      -159.042   -158.837   0.205098    45       427      
 3311.16 15      917      -159.021   -158.837   0.184455    45       457      
 3333.14 15      950      -159.021   -158.837   0.184455    40       490      
 3342.37 16      1000     -159.007   -158.837   0.16956     42       502      
 3364.12 17      1065     -158.998   -158.837   0.161059    42       530      
 3392.75 18      1133     -158.989   -158.837   0.151952    37       564      
 3408.14 18      1150     -158.989   -158.837   0.151952    33       581      
 3424.19 19      1200     -158.976   -158.837   0.138759    32       598      
 3452.18 20      1261     -158.963   -158.837   0.125376    30       627      
 3488.63 21      1331     -158.955   -158.837   0.117331    38       662      
 3509.12 21      1350     -158.955   -158.837   0.117331    36       681      
 3527.78 22      1401     -158.947   -158.837   0.109894    29       697      
 3570.24 23      1473     -158.942   -158.838   0.104109    24       733      
 3601.34 23      1500     -158.942   -158.838   0.104109    25       760      
 3619.78 24      1550     -158.935   -158.838   0.0977561   22       774      
 3660.38 25      1621     -158.931   -158.838   0.0934645   23       806      
 3674.37 25      1650     -158.931   -158.838   0.0934645   35       830      
 3686.11 26      1701     -158.92    -158.838   0.0824851   40       841      
 3736.06 27      1797     -158.918   -158.838   0.0797663   44       889      
 3739.99 27      1800     -158.918   -158.838   0.0797663   45       892      
 3789.23 28      1891     -158.914   -158.838   0.0758889   43       935      
 3801.36 28      1900     -158.914   -158.838   0.0758889   44       944      
 3855.12 29      1989     -158.912   -158.838   0.0740719   48       984      
 3871.39 29      2000     -158.912   -158.838   0.0740719   47       995      
 3926.82 30      2089     -158.91    -158.838   0.0721084   51       1033     
 3944.24 30      2100     -158.91    -158.838   0.0721084   52       1044     
 4004.67 31      2189     -158.909   -158.838   0.0712581   52       1083     
 4022.77 31      2200     -158.909   -158.838   0.0712581   54       1094     
 4084.78 32      2289     -158.908   -158.838   0.0697398   45       1133     
 4102.97 32      2300     -158.908   -158.838   0.0697398   46       1144     
 4166.47 33      2387     -158.905   -158.838   0.0665245   44       1181     
 4189.02 33      2400     -158.905   -158.838   0.0665245   46       1194     
 4256.42 34      2489     -158.904   -158.838   0.065741    48       1231     
 4278.13 34      2500     -158.904   -158.838   0.065741    56       1242     
 4354.8  35      2593     -158.903   -158.838   0.0651118   50       1282     
 4369.94 35      2600     -158.903   -158.838   0.0651118   51       1289     
 4459.41 36      2695     -158.902   -158.838   0.0636377   49       1333     
 4471.4  36      2700     -158.902   -158.838   0.0636377   51       1338     
 4569.61 37      2797     -158.901   -158.838   0.062801    51       1384     
 4577.21 37      2800     -158.901   -158.838   0.062801    51       1387     
 4679.98 38      2899     -158.9     -158.838   0.061505    56       1434     
 4682.8  38      2900     -158.9     -158.838   0.061505    57       1435     
 4800.86 38      2950     -158.9     -158.838   0.061505    48       1485     
 4807.46 39      3007     -158.899   -158.838   0.0608797   51       1487     
 4909.4  39      3050     -158.899   -158.838   0.0608797   54       1530     
 4934.99 40      3113     -158.899   -158.838   0.0602735   48       1540     
 5028.84 40      3150     -158.899   -158.838   0.0602735   48       1577     
 5072.2  41      3221     -158.898   -158.839   0.0595505   48       1593     
 5151.79 41      3250     -158.898   -158.839   0.0595505   49       1622     
 5219.5  42      3327     -158.897   -158.839   0.0589424   50       1645     
 5286.95 42      3350     -158.897   -158.839   0.0589424   58       1668     
 5388.68 43      3437     -158.897   -158.839   0.0586959   51       1700     
 5432.99 43      3450     -158.897   -158.839   0.0586959   55       1713     
 5575.25 44      3547     -158.896   -158.839   0.0576197   62       1755     
 5584.19 44      3550     -158.896   -158.839   0.0576197   59       1758     
 5757.05 44      3600     -158.896   -158.839   0.0576197   49       1808     
 5766.34 45      3659     -158.895   -158.839   0.0565779   54       1810     
 5917.81 45      3700     -158.895   -158.839   0.0565779   56       1851     
 5983.85 46      3775     -158.895   -158.839   0.0561446   54       1867     
 6079.96 46      3800     -158.895   -158.839   0.0561446   50       1892     
 6203.22 47      3889     -158.895   -158.839   0.0558805   54       1923     
 6248.35 47      3900     -158.895   -158.839   0.0558805   61       1934     
 6439.57 48      4003     -158.894   -158.839   0.0557466   61       1979     
 6444.47 48      4004     -158.894   -158.839   0.0557466   61       1980     
 6650.82 48      4050     -158.894   -158.839   0.0557466   69       2026     
 6700.93 49      4119     -158.894   -158.839   0.0556359   57       2036     
 6858.32 49      4150     -158.894   -158.839   0.0556359   56       2067     
 6997.87 50      4235     -158.894   -158.839   0.0555368   47       2093     
 7070.53 50      4250     -158.894   -158.839   0.0555368   53       2108     
 7274.92 51      4349     -158.894   -158.839   0.0552542   54       2149     
 7275.6  51      4350     -158.894   -158.839   0.0552542   55       2149     
 7515.62 51      4400     -158.894   -158.839   0.0552542   52       2198     
 7546.29 52      4465     -158.894   -158.839   0.0551069   51       2204     
 7700.95 52      4500     -158.894   -158.839   0.0551069   47       2239     
 7799.06 53      4579     -158.894   -158.839   0.0549979   51       2260     
 7887.78 53      4600     -158.894   -158.839   0.0549979   57       2281     
 8041.84 54      4693     -158.894   -158.839   0.0547749   67       2316     
 8065.89 54      4700     -158.894   -158.839   0.0547749   72       2322     
 8267.72 55      4750     -158.894   -158.839   0.0547749   71       2371     
 8269.87 55      4807     -158.893   -158.839   0.0546823   64       2371     
 8439.27 55      4850     -158.893   -158.839   0.0546823   75       2414     
 8493.67 56      4919     -158.893   -158.839   0.0542371   53       2426     
 8619.06 56      4950     -158.893   -158.839   0.0542371   66       2457     
 8743.09 57      5037     -158.893   -158.839   0.0541744   48       2484     
 8799.92 57      5050     -158.893   -158.839   0.0541744   54       2497     
 8961.63 58      5151     -158.893   -158.839   0.0540867   49       2534     
 8965.77 58      5152     -158.893   -158.839   0.0540867   49       2535     
 9171.41 58      5200     -158.893   -158.839   0.0540867   53       2583     
 9201.48 59      5265     -158.893   -158.839   0.0539498   58       2590     
 9357.54 59      5300     -158.893   -158.839   0.0539498   59       2625     
 9455.52 60      5379     -158.893   -158.839   0.0538754   53       2646     
 9532.48 60      5400     -158.893   -158.839   0.0538754   64       2666     
 9693.94 61      5495     -158.893   -158.839   0.053807    57       2702     
 9714.44 61      5500     -158.893   -158.839   0.053807    59       2707     
 9934.92 61      5550     -158.893   -158.839   0.053807    55       2757     
 9946.84 62      5611     -158.893   -158.839   0.0537367   58       2759     
 10117.2 62      5650     -158.893   -158.839   0.0537367   58       2796     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10117.210000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10117.2 62      5650     -158.893   -158.839   0.0537367   58       2796     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/38290b2316.policyx

