
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/391c3de078.pomdpx
  loading time : 4.30s 

SARSOP initializing ...
  initialization time : 2893.05s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2893.05 0       0        -144.128   -137.775   6.35314     101      1        
 2893.72 1       50       -140.577   -137.942   2.63536     31       37       
 2894.45 2       100      -139.997   -137.942   2.05507     49       61       
 2895.54 3       150      -139.396   -137.942   1.45332     54       81       
 2897.19 4       207      -139.09    -137.943   1.14727     55       105      
 2900.36 5       263      -138.929   -137.943   0.98648     41       133      
 2903.93 6       309      -138.746   -137.943   0.802999    42       156      
 2906.95 7       351      -138.581   -137.943   0.637825    65       176      
 2908.94 8       419      -138.501   -137.943   0.557796    44       210      
 2912.63 9       479      -138.395   -137.943   0.452131    78       240      
 2916.28 9       500      -138.395   -137.943   0.452131    70       261      
 2920.59 10      550      -138.329   -137.943   0.38533     63       282      
 2926.52 11      600      -138.263   -137.943   0.319494    56       309      
 2933.38 12      650      -138.225   -137.943   0.281555    71       335      
 2940.28 14      717      -138.17    -137.944   0.226063    71       359      
 2946.85 15      757      -138.146   -137.944   0.202386    85       378      
 2950.76 16      831      -138.112   -137.944   0.16797     90       409      
 2955    16      850      -138.112   -137.944   0.16797     58       428      
 2959.84 17      907      -138.099   -137.944   0.154937    63       447      
 2968.95 18      971      -138.082   -137.944   0.138341    72       479      
 2978.57 18      1000     -138.082   -137.944   0.138341    60       508      
 2986.1  19      1050     -138.074   -137.944   0.130026    50       526      
 2994.48 20      1100     -138.065   -137.944   0.121074    57       546      
 3003.85 21      1151     -138.056   -137.944   0.111656    46       568      
 3016.97 22      1209     -138.05    -137.944   0.10566     53       597      
 3030.87 23      1269     -138.044   -137.944   0.100275    53       627      
 3045.82 24      1300     -138.044   -137.944   0.100275    48       657      
 3055.08 24      1350     -138.04    -137.944   0.0961846   49       676      
 3066.39 25      1400     -138.033   -137.944   0.0885286   49       696      
 3079.97 26      1459     -138.029   -137.944   0.0852147   43       720      
 3100.13 27      1523     -138.026   -137.944   0.0816604   37       752      
 3118.89 27      1550     -138.026   -137.944   0.0816604   47       779      
 3131.39 28      1600     -138.022   -137.944   0.0779006   43       796      
 3148.41 29      1659     -138.02    -137.944   0.0751969   22       819      
 3175.09 30      1733     -138.018   -137.944   0.0731558   23       855      
 3184.84 30      1750     -138.018   -137.944   0.0731558   29       872      
 3200.05 31      1807     -138.015   -137.944   0.0705204   22       891      
 3223.56 32      1883     -138.014   -137.944   0.069394    24       929      
 3234.56 32      1900     -138.014   -137.944   0.069394    24       946      
 3248.51 33      1955     -138.011   -137.945   0.0665434   25       965      
 3272.05 34      2031     -138.009   -137.945   0.0647933   24       1002     
 3283.91 34      2050     -138.009   -137.945   0.0647933   25       1021     
 3298.25 35      2107     -138.008   -137.945   0.0635954   27       1040     
 3324.01 36      2181     -138.007   -137.945   0.0619396   25       1076     
 3337.13 36      2200     -138.007   -137.945   0.0619396   34       1095     
 3354.17 37      2261     -138.005   -137.945   0.0606136   31       1115     
 3381.58 37      2300     -138.005   -137.945   0.0606136   39       1154     
 3389.12 38      2350     -138.003   -137.945   0.0586189   33       1163     
 3413.12 39      2427     -138.002   -137.945   0.0574155   28       1197     
 3430.35 39      2450     -138.002   -137.945   0.0574155   33       1220     
 3448.93 40      2513     -138.001   -137.945   0.056682    34       1240     
 3481    40      2550     -138.001   -137.945   0.056682    34       1277     
 3487.73 41      2601     -138       -137.945   0.055584    33       1283     
 3525.28 42      2687     -137.999   -137.945   0.0544547   35       1325     
 3537.08 42      2700     -137.999   -137.945   0.0544547   39       1338     
 3569.42 43      2777     -137.999   -137.945   0.0537788   38       1370     
 3591.05 43      2800     -137.999   -137.945   0.0537788   37       1393     
 3614.46 44      2869     -137.998   -137.945   0.0526339   33       1415     
 3645.52 44      2900     -137.998   -137.945   0.0526339   38       1446     
 3664.98 45      2965     -137.997   -137.945   0.0516573   33       1462     
 3702.16 45      3000     -137.997   -137.945   0.0516573   36       1497     
 3715.88 46      3059     -137.996   -137.945   0.0510249   38       1508     
 3761.86 46      3100     -137.996   -137.945   0.0510249   43       1549     
 3769.88 47      3155     -137.995   -137.945   0.0502765   35       1555     
 3818.45 47      3200     -137.995   -137.945   0.0502765   40       1600     
 3823.3  48      3253     -137.995   -137.945   0.0497432   40       1603     
 3872.46 48      3300     -137.995   -137.945   0.0497432   41       1650     
 3876.86 49      3353     -137.994   -137.945   0.0493001   41       1653     
 3926.99 49      3400     -137.994   -137.945   0.0493001   40       1700     
 3929.47 50      3451     -137.993   -137.945   0.048285    42       1701     
 3983.75 50      3500     -137.993   -137.945   0.048285    46       1749     
 3986.43 51      3553     -137.993   -137.945   0.0479219   40       1750     
 4041.38 51      3600     -137.993   -137.945   0.0479219   48       1797     
 4047.85 52      3657     -137.993   -137.945   0.0476563   46       1801     
 4099.82 52      3700     -137.993   -137.945   0.0476563   56       1844     
 4113.53 53      3763     -137.992   -137.945   0.0473105   51       1853     
 4161.1  53      3800     -137.992   -137.945   0.0473105   53       1890     
 4184.22 54      3869     -137.992   -137.945   0.0470901   46       1905     
 4222.64 54      3900     -137.992   -137.945   0.0470901   50       1935     
 4254.49 55      3975     -137.992   -137.945   0.0468867   53       1956     
 4286.82 55      4000     -137.992   -137.945   0.0468867   57       1981     
 4328.65 56      4081     -137.992   -137.945   0.0467229   49       2008     
 4353.75 56      4100     -137.992   -137.945   0.0467229   55       2027     
 4406.24 57      4185     -137.992   -137.945   0.0465959   61       2059     
 4427.6  57      4200     -137.992   -137.945   0.0465959   63       2074     
 4488.54 58      4289     -137.991   -137.945   0.0463794   56       2110     
 4504.97 58      4300     -137.991   -137.945   0.0463794   65       2121     
