
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/392663705.pomdpx
  loading time : 4.16s 

SARSOP initializing ...
  initialization time : 1759.49s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1759.49 0       0        -99.0099   -96.8287   2.18117     101      1        
 1762.86 1       50       -98.3982   -96.8665   1.53172     24       27       
 1774.78 2       100      -98.3982   -96.8665   1.53172     40       76       
 1775.66 2       151      -98.02     -96.8666   1.15342     84       77       
 1783.12 3       201      -97.8187   -96.8667   0.952002    87       102      
 1793.57 4       250      -97.6778   -96.8668   0.810957    80       128      
 1808.84 5       333      -97.5701   -96.8668   0.703251    95       168      
 1812.73 5       350      -97.5701   -96.8668   0.703251    93       185      
 1819.69 6       400      -97.426    -96.8669   0.559092    130      208      
 1827.94 8       457      -97.2394   -96.8671   0.372297    134      230      
 1836.32 9       500      -97.204    -96.8672   0.336836    160      253      
 1846.12 11      550      -97.1375   -96.8673   0.270196    182      279      
 1858.37 13      600      -97.0909   -96.8675   0.223388    191      303      
 1873.44 14      650      -97.0591   -96.8676   0.191501    209      342      
 1889.32 15      769      -97.0339   -96.8676   0.166314    204      386      
 1890.15 15      770      -97.0339   -96.8676   0.166314    204      387      
 1898.62 16      813      -97.022    -96.8677   0.154375    208      408      
 1906.88 17      850      -97.0073   -96.8678   0.139564    210      427      
 1916.36 19      909      -96.9876   -96.8678   0.119843    229      454      
 1930.86 21      963      -96.9705   -96.868    0.102522    234      481      
 1942.91 22      1000     -96.9633   -96.868    0.0953042   243      505      
 1956.36 23      1050     -96.9583   -96.8681   0.090255    238      541      
 1967.18 24      1133     -96.9525   -96.8681   0.0843965   248      566      
 1975.5  25      1150     -96.9525   -96.8681   0.0843965   255      582      
 1987.76 26      1200     -96.945    -96.8683   0.0766873   264      600      
 2006.04 28      1255     -96.9379   -96.8684   0.0694453   269      627      
 2023.31 30      1307     -96.9338   -96.8685   0.0652988   273      652      
 2038.32 30      1350     -96.9338   -96.8685   0.0652988   283      695      
 2057.86 30      1400     -96.9338   -96.8685   0.0652988   332      745      
 2063.31 31      1497     -96.933    -96.8687   0.0642921   423      747      
 2067.54 31      1500     -96.933    -96.8687   0.0642921   424      750      
 2097.54 32      1550     -96.9313   -96.8688   0.0625403   446      787      
 2111.85 33      1613     -96.9277   -96.8688   0.0588348   487      805      
 2124.97 33      1650     -96.9277   -96.8688   0.0588348   521      842      
 2134.11 34      1749     -96.9271   -96.8689   0.0581561   601      873      
 2137.53 34      1750     -96.9271   -96.8689   0.0581561   601      874      
 2169.2  36      1807     -96.9219   -96.869    0.0528732   597      902      
 2201.05 37      1850     -96.9205   -96.8691   0.0513597   610      929      
 2219.06 38      1900     -96.9186   -96.8692   0.0494264   644      963      
 2232.2  39      1950     -96.9186   -96.8692   0.0494264   691      1012     
 2240.84 39      2029     -96.9186   -96.8692   0.0493208   761      1012     
 2246.01 39      2050     -96.9186   -96.8692   0.0493208   782      1030     
 2263.04 39      2100     -96.9186   -96.8692   0.0493208   830      1080     
 2267.67 40      2181     -96.9184   -96.8692   0.0492096   911      1084     
 2272.94 40      2200     -96.9184   -96.8692   0.0492096   921      1099     
 2279.73 40      2250     -96.9184   -96.8692   0.0492096   971      1138     
 2285.02 41      2329     -96.9184   -96.8692   0.0491339   1048     1142     
 2289.93 41      2350     -96.9184   -96.8692   0.0491339   1069     1157     
 2300.69 41      2400     -96.9184   -96.8692   0.0491339   1119     1207     
 2306.14 42      2477     -96.9183   -96.8692   0.0490799   1189     1209     
 2311.51 42      2500     -96.9183   -96.8692   0.0490799   1212     1224     
 2338.52 42      2550     -96.9183   -96.8692   0.0490799   1201     1274     
 2344.1  43      2625     -96.9183   -96.8692   0.0490114   1276     1274     
 2353.95 43      2650     -96.9183   -96.8692   0.0490114   1301     1298     
 2370.66 44      2769     -96.9182   -96.8692   0.0489209   1419     1342     
 2371.02 44      2770     -96.9182   -96.8692   0.0489209   1420     1342     
