
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3948db649.pomdpx
  loading time : 4.82s 

SARSOP initializing ...
  initialization time : 4733.73s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4733.73 0       0        -9171.45   -5880.94   3290.51     101      1        
 4734.74 0       50       -9170.35   -8182.11   988.241     65       9        
 4735.12 0       100      -9170.35   -8182.11   988.241     60       9        
 4738.73 1       295      -8982.3    -8182.38   799.925     61       23       
 4738.74 1       296      -8982.3    -8182.38   799.925     62       23       
 4738.75 1       297      -8982.3    -8182.38   799.925     63       23       
 4738.76 1       300      -8982.3    -8182.38   799.925     66       23       
 4738.87 1       350      -8982.3    -8182.38   799.925     67       23       
 4738.97 1       400      -8982.3    -8182.38   799.925     73       23       
 4740.66 2       597      -8865.74   -8182.44   683.303     9        29       
 4740.81 2       598      -8865.74   -8182.44   683.303     8        30       
 4740.97 2       599      -8865.74   -8182.44   683.303     7        31       
 4740.98 2       600      -8865.74   -8182.44   683.303     6        31       
 4741.06 2       650      -8865.74   -8182.44   683.303     7        31       
 4741.14 2       700      -8865.74   -8182.44   683.303     7        31       
 4742.98 3       901      -8768.55   -8182.51   586.045     6        37       
 4742.99 3       902      -8768.55   -8182.51   586.045     6        37       
 4743    3       903      -8768.55   -8182.51   586.045     6        37       
 4743.01 3       904      -8768.55   -8182.51   586.045     5        37       
 4743.09 3       950      -8768.55   -8182.51   586.045     6        37       
 4743.17 3       1000     -8768.55   -8182.51   586.045     6        37       
 4744.55 3       1050     -8768.55   -8182.51   586.045     8        42       
 4745.69 4       1205     -8709.12   -8182.61   526.512     8        44       
 4745.7  4       1206     -8709.12   -8182.61   526.512     6        44       
 4745.72 4       1207     -8709.12   -8182.61   526.512     6        44       
 4745.8  4       1250     -8709.12   -8182.61   526.512     7        44       
 4745.89 4       1300     -8709.12   -8182.61   526.512     7        44       
 4747.19 4       1350     -8709.12   -8182.61   526.512     9        47       
 4750.31 5       1507     -8637.31   -8182.77   454.544     8        52       
 4750.33 5       1508     -8637.31   -8182.77   454.544     8        52       
 4750.34 5       1509     -8637.31   -8182.77   454.544     8        52       
 4750.43 5       1550     -8637.31   -8182.77   454.544     8        52       
 4750.52 5       1600     -8637.31   -8182.77   454.544     8        52       
 4751.1  5       1650     -8637.31   -8182.77   454.544     11       53       
 4755.69 6       1815     -8581.03   -8182.88   398.152     9        59       
 4755.71 6       1816     -8581.03   -8182.88   398.152     7        59       
 4755.73 6       1817     -8581.03   -8182.88   398.152     6        59       
 4755.79 6       1850     -8581.03   -8182.88   398.152     6        59       
 4755.89 6       1900     -8581.03   -8182.88   398.152     6        59       
 4755.99 6       1950     -8581.03   -8182.88   398.152     6        59       
 4763.36 7       2119     -8524.02   -8182.93   341.086     8        68       
 4763.37 7       2120     -8524.02   -8182.93   341.086     7        68       
 4763.39 7       2121     -8524.02   -8182.93   341.086     8        68       
 4763.46 7       2150     -8524.02   -8182.93   341.086     7        68       
 4763.56 7       2200     -8524.02   -8182.93   341.086     7        68       
 4763.66 7       2250     -8524.02   -8182.93   341.086     7        68       
 4774.02 8       2421     -8480.65   -8183.01   297.646     10       80       
