
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3a13580c6a.pomdpx
  loading time : 4.62s 

SARSOP initializing ...
  initialization time : 3233.09s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3233.09 0       0        -204.361   -201.091   3.26994     101      1        
 3234.58 2       55       -202.419   -201.168   1.25163     27       29       
 3236.49 3       100      -202.069   -201.168   0.900987    32       55       
 3239.26 4       150      -201.912   -201.168   0.744083    40       79       
 3241.61 5       200      -201.784   -201.168   0.615878    34       107      
 3242.68 6       250      -201.693   -201.168   0.525171    64       128      
 3245.5  7       307      -201.608   -201.168   0.439805    67       155      
 3249.13 8       355      -201.529   -201.168   0.361021    79       179      
 3253.33 9       401      -201.487   -201.168   0.318675    87       202      
 3259.98 10      450      -201.462   -201.168   0.293186    66       232      
 3265.39 12      513      -201.378   -201.169   0.209021    50       258      
 3270.8  13      561      -201.352   -201.169   0.183812    69       282      
 3276.51 14      603      -201.333   -201.169   0.164526    55       303      
 3284.43 15      650      -201.315   -201.169   0.146723    46       332      
 3288.14 16      700      -201.293   -201.169   0.124163    58       359      
 3291.36 17      750      -201.275   -201.169   0.106457    61       374      
 3297.97 18      817      -201.264   -201.169   0.0955202   54       406      
 3305.46 19      873      -201.255   -201.169   0.0860334   50       434      
 3313.65 20      925      -201.249   -201.169   0.0797491   53       460      
 3321.17 21      973      -201.24    -201.169   0.0714035   44       483      
 3330.07 22      1000     -201.24    -201.169   0.0714035   44       509      
 3339.38 22      1050     -201.237   -201.169   0.0678506   41       533      
 3350.33 23      1100     -201.231   -201.169   0.0620733   39       558      
 3361.16 25      1150     -201.228   -201.169   0.0593321   40       582      
 3373.8  26      1200     -201.223   -201.169   0.053861    41       609      
 3386.07 26      1250     -201.221   -201.169   0.0513955   41       633      
 3398.39 27      1300     -201.218   -201.169   0.0491872   41       656      
 3411.95 28      1350     -201.216   -201.169   0.0471789   41       680      
 3419.99 29      1400     -201.214   -201.169   0.0444304   27       703      
 3424.3  30      1451     -201.207   -201.169   0.0379805   38       721      
 3440.75 31      1537     -201.206   -201.169   0.0367509   43       764      
 3446.65 31      1550     -201.206   -201.169   0.0367509   46       777      
 3461.01 32      1623     -201.205   -201.169   0.0358744   51       807      
 3474.46 32      1650     -201.205   -201.169   0.0358744   43       834      
 3483.22 33      1707     -201.205   -201.169   0.0352104   47       849      
 3506.91 34      1787     -201.204   -201.169   0.0341307   48       889      
 3515.72 34      1800     -201.204   -201.169   0.0341307   49       902      
 3534.56 35      1869     -201.203   -201.17    0.0333317   45       930      
 3556.58 35      1900     -201.203   -201.17    0.0333317   43       961      
 3567.51 36      1950     -201.202   -201.17    0.0322135   47       973      
 3593.54 37      2021     -201.201   -201.17    0.0315214   48       1006     
 3616.72 37      2050     -201.201   -201.17    0.0315214   42       1035     
 3625.98 38      2100     -201.199   -201.17    0.0296984   43       1045     
 3664.38 39      2183     -201.199   -201.17    0.0290374   45       1086     
 3680.74 39      2200     -201.199   -201.17    0.0290374   48       1103     
 3707.48 40      2267     -201.198   -201.17    0.0282698   51       1128     
 3746.29 40      2300     -201.198   -201.17    0.0282698   45       1161     
 3760.58 41      2355     -201.197   -201.17    0.0275868   48       1171     
 3814.61 42      2441     -201.197   -201.17    0.0267612   45       1213     
 3825.56 42      2450     -201.197   -201.17    0.0267612   47       1222     
 3874.15 43      2533     -201.196   -201.17    0.0262787   48       1259     
 3897.15 43      2550     -201.196   -201.17    0.0262787   59       1276     
 3946.45 44      2625     -201.196   -201.17    0.02575     52       1305     
 3992.86 44      2650     -201.196   -201.17    0.02575     49       1330     
 4035.06 45      2721     -201.195   -201.17    0.0253136   54       1353     
 4087.22 45      2750     -201.195   -201.17    0.0253136   51       1382     
 4131.24 46      2817     -201.195   -201.17    0.0248316   53       1401     
 4192    46      2850     -201.195   -201.17    0.0248316   48       1434     
 4221.52 47      2915     -201.195   -201.17    0.0246055   49       1450     
 4294.23 47      2950     -201.195   -201.17    0.0246055   49       1485     
 4327.43 48      3013     -201.194   -201.17    0.0243481   47       1499     
 4413.15 48      3050     -201.194   -201.17    0.0243481   46       1536     
 4451.26 49      3115     -201.194   -201.17    0.0240689   48       1550     
 4556.94 49      3150     -201.194   -201.17    0.0240689   48       1585     
 4600.73 50      3213     -201.194   -201.17    0.0236936   58       1599     
 4702.51 50      3250     -201.194   -201.17    0.0236936   61       1636     
 4751.42 51      3315     -201.194   -201.17    0.023529    58       1650     
 4865.48 51      3350     -201.194   -201.17    0.023529    52       1685     
 4917.4  52      3415     -201.194   -201.17    0.0233783   55       1700     
 5033.06 52      3450     -201.194   -201.17    0.0233783   45       1735     
 5091.52 53      3517     -201.193   -201.17    0.0232098   52       1751     
 5209.79 53      3550     -201.193   -201.17    0.0232098   53       1784     
 5268.8  54      3617     -201.193   -201.17    0.0230161   51       1800     
 5389.27 54      3650     -201.193   -201.17    0.0230161   53       1833     
 5464.22 55      3721     -201.193   -201.17    0.0227341   55       1852     
 5566.42 55      3750     -201.193   -201.17    0.0227341   56       1881     
 5642.67 56      3825     -201.193   -201.17    0.0225569   65       1903     
 5726.88 56      3850     -201.193   -201.17    0.0225569   62       1928     
 5831.88 57      3929     -201.193   -201.17    0.0224298   55       1954     
 5912.47 57      3950     -201.193   -201.17    0.0224298   60       1975     
 6042.23 58      4035     -201.193   -201.17    0.0223015   56       2006     
 6095.71 58      4050     -201.193   -201.17    0.0223015   65       2021     
 6239.14 59      4137     -201.193   -201.17    0.0221307   58       2056     
 6286.16 59      4150     -201.193   -201.17    0.0221307   61       2069     
 6455.6  60      4245     -201.192   -201.17    0.0219964   67       2110     
 6479.61 60      4250     -201.192   -201.17    0.0219964   70       2115     
 6684.85 61      4351     -201.192   -201.17    0.021865    72       2163     
 6690.78 61      4352     -201.192   -201.17    0.021865    72       2164     
 6901.7  61      4400     -201.192   -201.17    0.021865    79       2212     
 6929.19 62      4459     -201.192   -201.17    0.0217344   76       2217     
 7135.46 62      4500     -201.192   -201.17    0.0217344   76       2258     
 7193.36 63      4565     -201.192   -201.171   0.0216303   76       2270     
 7375.93 63      4600     -201.192   -201.171   0.0216303   76       2305     
 7480.2  64      4673     -201.192   -201.171   0.0212671   82       2324     
 7624.44 64      4700     -201.192   -201.171   0.0212671   87       2351     
 7784.96 65      4785     -201.192   -201.171   0.0211618   70       2380     
 7867.74 65      4800     -201.192   -201.171   0.0211618   76       2395     
 8079.54 66      4895     -201.192   -201.171   0.0210533   70       2434     
 8107.51 66      4900     -201.192   -201.171   0.0210533   72       2439     
 8374.75 66      4950     -201.192   -201.171   0.0210533   73       2489     
 8378.32 67      5007     -201.192   -201.171   0.0209298   73       2489     
 8614.94 67      5050     -201.192   -201.171   0.0209298   80       2532     
 8691.44 68      5121     -201.192   -201.171   0.020882    82       2545     
 8859.21 68      5150     -201.192   -201.171   0.020882    96       2574     
 9014.86 69      5233     -201.191   -201.171   0.0208339   101      2601     
 9114.58 69      5250     -201.191   -201.171   0.0208339   102      2618     
 9330.81 70      5347     -201.191   -201.171   0.0207075   77       2657     
 9348.99 70      5350     -201.191   -201.171   0.0207075   78       2660     
 9611.2  70      5400     -201.191   -201.171   0.0207075   82       2710     
 9631.58 71      5461     -201.191   -201.171   0.0206407   75       2713     
 9822.64 71      5500     -201.191   -201.171   0.0206407   77       2752     
 9912.89 72      5577     -201.191   -201.171   0.0205879   69       2770     
 10022.6 72      5600     -201.191   -201.171   0.0205879   76       2793     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10022.560000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10022.6 72      5600     -201.191   -201.171   0.0205879   76       2793     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/3a13580c6a.policyx

