
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3a13aeef07.pomdpx
  loading time : 4.88s 

SARSOP initializing ...
  initialization time : 4653.27s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4653.27 0       0        -225.159   -218.936   6.22308     101      1        
 4661.16 1       87       -222.465   -219.179   3.28529     15       45       
 4664.67 1       100      -222.465   -219.179   3.28529     18       58       
 4671.94 2       175      -221.861   -219.18    2.68052     15       81       
 4680.15 2       200      -221.861   -219.18    2.68052     27       104      
 4685.37 3       265      -221.464   -219.181   2.28274     27       114      
 4691.77 3       300      -221.464   -219.181   2.28274     25       132      
 4696.44 4       355      -221.212   -219.181   2.03139     38       142      
 4706.89 4       400      -221.212   -219.181   2.03139     26       182      
 4707.75 5       450      -220.83    -219.181   1.64886     25       184      
 4716.1  5       500      -220.83    -219.181   1.64886     25       206      
 4717.94 6       559      -220.597   -219.181   1.41605     25       209      
 4734.72 6       600      -220.597   -219.181   1.41605     27       239      
 4738.55 7       677      -220.428   -219.182   1.24612     22       244      
 4738.72 7       700      -220.428   -219.182   1.24612     20       244      
 4744.39 8       799      -220.329   -219.182   1.14682     16       252      
 4745.12 8       800      -220.329   -219.182   1.14682     16       253      
 4782.84 8       850      -220.329   -219.182   1.14682     17       303      
 4784.18 9       903      -220.12    -219.182   0.937827    13       304      
 4805.58 9       950      -220.12    -219.182   0.937827    18       331      
 4812.2  10      1015     -220.052   -219.183   0.869868    12       338      
 4826.45 10      1050     -220.052   -219.183   0.869868    19       356      
 4834.26 11      1127     -219.986   -219.183   0.802941    10       364      
 4854.55 11      1150     -219.986   -219.183   0.802941    11       387      
 4885.76 12      1233     -219.902   -219.184   0.718218    11       416      
 4901.98 12      1250     -219.902   -219.184   0.718218    11       433      
 4943.41 13      1337     -219.834   -219.184   0.650155    14       468      
 4957.02 13      1350     -219.834   -219.184   0.650155    12       481      
 4974.56 14      1449     -219.786   -219.184   0.602306    12       496      
 4975.78 14      1450     -219.786   -219.184   0.602306    13       497      
 5000.9  14      1500     -219.786   -219.184   0.602306    11       520      
 5009.11 15      1563     -219.762   -219.184   0.57781     16       526      
 5035.58 15      1600     -219.762   -219.184   0.57781     12       548      
 5041.62 16      1677     -219.729   -219.185   0.544688    12       552      
 5070.85 16      1700     -219.729   -219.185   0.544688    13       575      
 5122.26 17      1791     -219.701   -219.185   0.51675     16       608      
 5134.44 17      1800     -219.701   -219.185   0.51675     17       617      
 5155.11 18      1905     -219.682   -219.185   0.496964    13       631      
 5155.22 18      1906     -219.682   -219.185   0.496964    12       631      
 5205.32 18      1950     -219.682   -219.185   0.496964    11       668      
 5222.06 19      2017     -219.658   -219.185   0.473426    13       678      
 5253.82 19      2050     -219.658   -219.185   0.473426    15       701      
 5266.53 20      2129     -219.63    -219.185   0.445162    12       709      
 5295.46 20      2150     -219.63    -219.185   0.445162    11       730      
 5312.82 21      2247     -219.615   -219.185   0.430271    14       742      
 5317.03 21      2250     -219.615   -219.185   0.430271    16       745      
 5399.18 21      2300     -219.615   -219.185   0.430271    12       795      
 5405.65 22      2361     -219.598   -219.185   0.41306     15       798      
 5478.12 22      2400     -219.598   -219.185   0.41306     12       837      
 5512.34 23      2471     -219.573   -219.185   0.38875     14       853      
 5565.89 23      2500     -219.573   -219.185   0.38875     16       882      
 5620.19 24      2583     -219.558   -219.185   0.373451    16       908      
 5654.23 24      2600     -219.558   -219.185   0.373451    19       925      
 5680.85 25      2695     -219.544   -219.185   0.358549    12       937      
 5690.8  25      2700     -219.544   -219.185   0.358549    15       942      
 5725.78 25      2750     -219.544   -219.185   0.358549    19       960      
 5730.71 26      2811     -219.527   -219.185   0.342199    13       962      
 5814.74 26      2850     -219.527   -219.185   0.342199    13       1001     
 5862.97 27      2927     -219.515   -219.185   0.32956     15       1019     
 5893.21 27      2950     -219.515   -219.185   0.32956     16       1033     
 5960.91 28      3043     -219.505   -219.185   0.319941    16       1063     
 5976.9  28      3050     -219.505   -219.185   0.319941    15       1070     
 6110.41 29      3100     -219.505   -219.185   0.319941    16       1119     
 6111.26 29      3157     -219.496   -219.185   0.31095     12       1119     
 6223.75 29      3200     -219.496   -219.185   0.31095     17       1162     
 6264.21 30      3271     -219.489   -219.185   0.303644    16       1175     
 6317.31 30      3300     -219.489   -219.185   0.303644    15       1195     
 6381.89 31      3387     -219.482   -219.185   0.296867    19       1218     
 6415    31      3400     -219.482   -219.185   0.296867    19       1231     
 6546.62 32      3505     -219.472   -219.186   0.286426    16       1276     
 6549.49 32      3506     -219.472   -219.186   0.286426    16       1277     
 6679.91 32      3550     -219.472   -219.186   0.286426    18       1321     
 6730.09 33      3627     -219.469   -219.186   0.282841    25       1336     
 6754.81 33      3650     -219.469   -219.186   0.282841    24       1345     
 6786.64 34      3749     -219.465   -219.186   0.278854    18       1355     
 6789.79 34      3750     -219.465   -219.186   0.278854    19       1356     
 6889.6  34      3800     -219.465   -219.186   0.278854    20       1390     
 6920.31 35      3871     -219.463   -219.186   0.276781    20       1399     
 6976.73 35      3900     -219.463   -219.186   0.276781    28       1418     
 7007.2  36      3995     -219.46    -219.186   0.274462    19       1427     
 7022.4  36      4000     -219.46    -219.186   0.274462    19       1432     
 7129.73 36      4050     -219.46    -219.186   0.274462    20       1467     
 7143.93 37      4115     -219.455   -219.186   0.269447    21       1471     
 7202.91 37      4150     -219.455   -219.186   0.269447    16       1491     
 7283.27 38      4237     -219.451   -219.186   0.264998    19       1515     
 7322.2  38      4250     -219.451   -219.186   0.264998    24       1527     
 7367.41 39      4359     -219.449   -219.186   0.263359    25       1541     
 7367.67 39      4360     -219.449   -219.186   0.263359    26       1541     
 7502.38 39      4400     -219.449   -219.186   0.263359    23       1581     
 7575.59 40      4481     -219.446   -219.186   0.259768    20       1600     
 7634.05 40      4500     -219.446   -219.186   0.259768    23       1618     
 7750.88 41      4601     -219.441   -219.186   0.255062    21       1649     
 7754.61 41      4602     -219.441   -219.186   0.255062    22       1650     
 7935.22 41      4650     -219.441   -219.186   0.255062    26       1698     
 7977.66 42      4721     -219.438   -219.186   0.251721    25       1708     
 8086.02 42      4750     -219.438   -219.186   0.251721    23       1737     
 8211.43 43      4839     -219.431   -219.186   0.245187    27       1766     
 8246.16 43      4850     -219.431   -219.186   0.245187    26       1775     
 8436.75 44      4959     -219.43    -219.186   0.243791    27       1823     
 8440.65 44      4960     -219.43    -219.186   0.243791    25       1824     
 8607.56 44      5000     -219.43    -219.186   0.243791    30       1864     
 8698.59 45      5081     -219.426   -219.186   0.239557    23       1883     
 8777.08 45      5100     -219.426   -219.186   0.239557    26       1902     
 8915.51 46      5203     -219.424   -219.186   0.238259    23       1932     
 8919.65 46      5204     -219.424   -219.186   0.238259    24       1933     
 9021.95 46      5250     -219.424   -219.186   0.238259    24       1959     
 9083.58 47      5327     -219.423   -219.186   0.236994    31       1973     
 9140.61 47      5350     -219.423   -219.186   0.236994    27       1988     
 9193.85 48      5451     -219.422   -219.186   0.235904    22       2001     
 9194.18 48      5452     -219.422   -219.186   0.235904    22       2001     
 9360.56 48      5500     -219.422   -219.186   0.235904    26       2042     
 9409.69 49      5573     -219.421   -219.186   0.235192    28       2053     
 9499.86 49      5600     -219.421   -219.186   0.235192    31       2075     
 9588.22 50      5695     -219.42    -219.186   0.234142    30       2095     
 9600.67 50      5700     -219.42    -219.186   0.234142    28       2098     
 9747.45 50      5750     -219.42    -219.186   0.234142    27       2133     
 9762.01 51      5813     -219.419   -219.186   0.232418    22       2136     
 9916.86 51      5850     -219.419   -219.186   0.232418    24       2172     
 10016   52      5931     -219.417   -219.186   0.23061     19       2193     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
