
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3a540f5974.pomdpx
  loading time : 5.40s 

SARSOP initializing ...
  initialization time : 5605.59s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5605.59 0       0        -8635.66   -5308.41   3327.25     101      1        
 5606.91 0       50       -8634.92   -7670.41   964.511     66       7        
 5607.28 0       100      -8634.92   -7670.41   964.511     61       7        
 5612.9  1       269      -8416      -7670.54   745.454     9        21       
 5613.18 1       270      -8416      -7670.54   745.454     9        22       
 5613.45 1       271      -8416      -7670.54   745.454     8        23       
 5613.52 1       300      -8416      -7670.54   745.454     6        23       
 5613.6  1       350      -8416      -7670.54   745.454     6        23       
 5613.68 1       400      -8416      -7670.54   745.454     6        23       
 5616.89 2       551      -8324.68   -7670.59   654.097     7        28       
 5616.9  2       552      -8324.68   -7670.59   654.097     7        28       
 5616.91 2       553      -8324.68   -7670.59   654.097     7        28       
 5617.01 2       600      -8324.68   -7670.59   654.097     7        28       
 5617.1  2       650      -8324.68   -7670.59   654.097     7        28       
 5620.59 3       831      -8236.94   -7670.64   566.299     6        34       
 5620.6  3       832      -8236.94   -7670.64   566.299     6        34       
 5620.61 3       833      -8236.94   -7670.64   566.299     6        34       
 5620.65 3       850      -8236.94   -7670.64   566.299     7        34       
 5620.75 3       900      -8236.94   -7670.64   566.299     7        34       
 5620.84 3       950      -8236.94   -7670.64   566.299     7        34       
 5625.35 4       1113     -8171.52   -7670.72   500.802     6        40       
 5625.36 4       1114     -8171.52   -7670.72   500.802     6        40       
 5625.37 4       1115     -8171.52   -7670.72   500.802     6        40       
 5625.45 4       1150     -8171.52   -7670.72   500.802     8        40       
 5625.55 4       1200     -8171.52   -7670.72   500.802     8        40       
 5629.67 4       1250     -8171.52   -7670.72   500.802     7        45       
 5631.11 5       1393     -8103.23   -7670.8    432.424     9        46       
 5631.13 5       1394     -8103.23   -7670.8    432.424     8        46       
 5631.16 5       1400     -8103.23   -7670.8    432.424     7        46       
 5631.26 5       1450     -8103.23   -7670.8    432.424     8        46       
 5631.36 5       1500     -8103.23   -7670.8    432.424     8        46       
 5638.68 6       1675     -8053.47   -7670.88   382.584     6        53       
 5638.7  6       1676     -8053.47   -7670.88   382.584     6        53       
 5638.73 6       1677     -8053.47   -7670.88   382.584     6        53       
 5638.81 6       1700     -8053.47   -7670.88   382.584     7        53       
 5638.94 6       1750     -8053.47   -7670.88   382.584     7        53       
 5639.07 6       1800     -8053.47   -7670.88   382.584     8        53       
 5650.73 7       1955     -7998.99   -7671.01   327.983     8        62       
 5650.75 7       1956     -7998.99   -7671.01   327.983     7        62       
 5650.77 7       1957     -7998.99   -7671.01   327.983     7        62       
 5650.87 7       2000     -7998.99   -7671.01   327.983     7        62       
 5650.98 7       2050     -7998.99   -7671.01   327.983     7        62       
 5663.83 8       2237     -7958.13   -7671.05   287.075     10       71       
 5663.85 8       2238     -7958.13   -7671.05   287.075     9        71       
 5665.18 8       2239     -7958.13   -7671.05   287.075     9        72       
 5665.23 8       2250     -7958.13   -7671.05   287.075     11       72       
 5665.36 8       2300     -7958.13   -7671.05   287.075     11       72       
 5665.48 8       2350     -7958.13   -7671.05   287.075     11       72       
 5677.92 9       2515     -7920.81   -7671.12   249.696     10       80       
 5677.95 9       2516     -7920.81   -7671.12   249.696     8        80       
 5677.98 9       2517     -7920.81   -7671.12   249.696     9        80       
 5678.08 9       2550     -7920.81   -7671.12   249.696     10       80       
 5678.21 9       2600     -7920.81   -7671.12   249.696     10       80       
 5682.82 9       2650     -7920.81   -7671.12   249.696     9        84       
 5693.09 10      2799     -7893.77   -7671.14   222.631     9        90       
 5693.12 10      2800     -7893.77   -7671.14   222.631     8        90       
 5693.15 10      2801     -7893.77   -7671.14   222.631     8        90       
 5693.29 10      2850     -7893.77   -7671.14   222.631     9        90       
 5693.42 10      2900     -7893.77   -7671.14   222.631     9        90       
 5708.36 11      3083     -7867.39   -7671.15   196.233     8        99       
 5708.39 11      3084     -7867.39   -7671.15   196.233     7        99       
 5708.42 11      3085     -7867.39   -7671.15   196.233     7        99       
 5708.48 11      3100     -7867.39   -7671.15   196.233     8        99       
 5708.6  11      3150     -7867.39   -7671.15   196.233     8        99       
 5708.73 11      3200     -7867.39   -7671.15   196.233     8        99       
 5722.02 12      3363     -7844.19   -7671.16   173.023     8        107      
 5722.06 12      3364     -7844.19   -7671.16   173.023     7        107      
 5722.09 12      3365     -7844.19   -7671.16   173.023     7        107      
 5722.2  12      3400     -7844.19   -7671.16   173.023     8        107      
 5722.34 12      3450     -7844.19   -7671.16   173.023     8        107      
 5730.79 12      3500     -7844.19   -7671.16   173.023     10       112      
 5740.28 13      3649     -7829.47   -7671.18   158.289     9        116      
 5740.32 13      3650     -7829.47   -7671.18   158.289     8        116      
 5740.36 13      3651     -7829.47   -7671.18   158.289     8        116      
 5740.51 13      3700     -7829.47   -7671.18   158.289     9        116      
 5740.66 13      3750     -7829.47   -7671.18   158.289     9        116      
 5761.22 14      3927     -7808.03   -7671.21   136.821     11       126      
 5761.26 14      3928     -7808.03   -7671.21   136.821     11       126      
 5761.3  14      3929     -7808.03   -7671.21   136.821     10       126      
 5761.39 14      3950     -7808.03   -7671.21   136.821     11       126      
 5761.53 14      4000     -7808.03   -7671.21   136.821     11       126      
 5761.68 14      4050     -7808.03   -7671.21   136.821     10       126      
 5776.21 15      4213     -7793.36   -7671.26   122.096     9        132      
 5776.25 15      4214     -7793.36   -7671.26   122.096     8        132      
 5776.29 15      4215     -7793.36   -7671.26   122.096     8        132      
 5776.4  15      4250     -7793.36   -7671.26   122.096     10       132      
 5776.55 15      4300     -7793.36   -7671.26   122.096     10       132      
 5778.54 15      4350     -7793.36   -7671.26   122.096     8        133      
 5782.49 16      4495     -7781.61   -7671.28   110.331     9        135      
 5784.52 16      4496     -7781.61   -7671.28   110.331     9        136      
 5786.31 16      4500     -7781.61   -7671.28   110.331     8        137      
 5786.46 16      4550     -7781.61   -7671.28   110.331     8        137      
 5786.62 16      4600     -7781.61   -7671.28   110.331     10       137      
 5802.26 17      4779     -7772.75   -7671.31   101.443     10       143      
 5802.3  17      4780     -7772.75   -7671.31   101.443     9        143      
 5802.35 17      4781     -7772.75   -7671.31   101.443     8        143      
 5802.43 17      4800     -7772.75   -7671.31   101.443     11       143      
 5802.59 17      4850     -7772.75   -7671.31   101.443     11       143      
 5804.99 17      4900     -7772.75   -7671.31   101.443     9        144      
 5824.18 18      5061     -7760.15   -7671.34   88.8177     10       152      
 5824.22 18      5062     -7760.15   -7671.34   88.8177     10       152      
 5824.27 18      5063     -7760.15   -7671.34   88.8177     9        152      
 5824.4  18      5100     -7760.15   -7671.34   88.8177     10       152      
 5824.56 18      5150     -7760.15   -7671.34   88.8177     11       152      
 5831.31 18      5200     -7760.15   -7671.34   88.8177     8        155      
 5835.34 19      5345     -7751.79   -7671.35   80.4475     11       156      
 5835.38 19      5346     -7751.79   -7671.35   80.4475     11       156      
 5835.44 19      5350     -7751.79   -7671.35   80.4475     11       156      
 5835.6  19      5400     -7751.79   -7671.35   80.4475     11       156      
 5835.77 19      5450     -7751.79   -7671.35   80.4475     11       156      
 5855.66 20      5627     -7744.2    -7671.36   72.836      13       164      
 5855.71 20      5628     -7744.2    -7671.36   72.836      13       164      
 5855.77 20      5629     -7744.2    -7671.36   72.836      12       164      
 5855.87 20      5650     -7744.2    -7671.36   72.836      12       164      
 5856.05 20      5700     -7744.2    -7671.36   72.836      13       164      
 5856.25 20      5750     -7744.2    -7671.36   72.836      13       164      
 5870.8  21      5913     -7737.61   -7671.38   66.2339     10       169      
 5870.86 21      5914     -7737.61   -7671.38   66.2339     10       169      
 5870.92 21      5915     -7737.61   -7671.38   66.2339     9        169      
 5871.07 21      5950     -7737.61   -7671.38   66.2339     10       169      
 5871.24 21      6000     -7737.61   -7671.38   66.2339     10       169      
