
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3a6d35a87a.pomdpx
  loading time : 4.70s 

SARSOP initializing ...
  initialization time : 2685.45s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2685.45 0       0        -128.586   -119.093   9.49228     101      1        
 2686.58 2       50       -120.908   -119.335   1.5737      44       34       
 2688.43 3       105      -120.48    -119.335   1.14495     41       54       
 2692.58 4       171      -120.213   -119.335   0.877795    39       86       
 2697.49 4       200      -120.213   -119.335   0.877795    55       114      
 2701.57 5       250      -120.083   -119.335   0.747763    54       134      
 2704.03 6       300      -119.957   -119.336   0.621234    34       159      
 2706.04 7       350      -119.816   -119.336   0.480521    44       174      
 2712.35 8       429      -119.745   -119.336   0.408925    76       211      
 2716.61 8       450      -119.745   -119.336   0.408925    66       231      
 2721.67 9       500      -119.667   -119.336   0.331212    64       249      
 2729.66 10      559      -119.637   -119.336   0.301319    69       275      
 2738.55 11      613      -119.595   -119.336   0.258739    80       301      
 2749.88 12      671      -119.567   -119.336   0.231304    90       330      
 2762.35 13      700      -119.567   -119.336   0.231304    65       358      
 2770.96 13      750      -119.549   -119.336   0.212921    64       380      
 2780.75 14      800      -119.526   -119.336   0.189885    58       402      
 2788.39 15      850      -119.51    -119.337   0.173607    60       419      
 2794.61 16      909      -119.482   -119.337   0.145707    51       445      
 2808.75 16      950      -119.482   -119.337   0.145707    41       486      
 2811.02 17      1000     -119.468   -119.337   0.131383    46       491      
 2826.92 18      1079     -119.458   -119.337   0.121078    44       528      
 2837.97 18      1100     -119.458   -119.337   0.121078    42       549      
 2849.72 19      1163     -119.452   -119.337   0.11513     45       570      
 2872.81 19      1200     -119.452   -119.337   0.11513     46       607      
 2881.48 20      1250     -119.448   -119.337   0.110821    53       617      
 2901.97 21      1319     -119.444   -119.337   0.106469    42       647      
 2923.13 21      1350     -119.444   -119.337   0.106469    44       678      
 2930.44 22      1400     -119.438   -119.337   0.100821    43       687      
 2959.96 23      1479     -119.433   -119.337   0.0953976   45       725      
 2976.62 23      1500     -119.433   -119.337   0.0953976   49       746      
 2994.82 24      1565     -119.431   -119.337   0.0938031   48       767      
 3026.71 24      1600     -119.431   -119.337   0.0938031   49       802      
 3033.92 25      1650     -119.429   -119.337   0.091933    50       809      
 3071.72 26      1731     -119.428   -119.337   0.090443    46       848      
 3089.15 26      1750     -119.428   -119.337   0.090443    53       867      
 3112.93 27      1813     -119.426   -119.337   0.0886959   57       889      
 3151.02 27      1850     -119.426   -119.337   0.0886959   53       926      
 3160.92 28      1900     -119.423   -119.337   0.0856906   52       935      
 3200.32 29      1979     -119.421   -119.337   0.0838102   46       970      
 3223.82 29      2000     -119.421   -119.337   0.0838102   48       991      
 3251.8  30      2067     -119.42    -119.337   0.0822797   44       1013     
 3295.12 30      2100     -119.42    -119.337   0.0822797   56       1046     
 3310.05 31      2155     -119.417   -119.337   0.0801159   42       1056     
 3368.08 31      2200     -119.417   -119.337   0.0801159   37       1100     
 3371.57 32      2250     -119.415   -119.337   0.0777262   34       1102     
 3432.56 33      2347     -119.414   -119.337   0.0769524   37       1149     
 3435.26 33      2350     -119.414   -119.337   0.0769524   35       1152     
 3495.11 34      2445     -119.414   -119.337   0.076242    36       1197     
 3499.85 34      2450     -119.414   -119.337   0.076242    36       1202     
 3554.77 35      2545     -119.413   -119.337   0.0757557   33       1246     
 3559.85 35      2550     -119.413   -119.337   0.0757557   37       1251     
 3608.71 36      2643     -119.413   -119.337   0.075427    30       1294     
 3615.49 36      2650     -119.413   -119.337   0.075427    34       1301     
 3668.84 37      2741     -119.413   -119.337   0.0751201   34       1342     
 3677.29 37      2750     -119.413   -119.337   0.0751201   38       1350     
 3725.71 38      2839     -119.412   -119.337   0.0745581   39       1390     
 3738.72 38      2850     -119.412   -119.337   0.0745581   47       1401     
 3790.02 39      2933     -119.411   -119.337   0.0737427   45       1436     
 3807.19 39      2950     -119.411   -119.337   0.0737427   46       1451     
 3847.05 40      3031     -119.411   -119.337   0.0734525   40       1482     
 3869.66 40      3050     -119.411   -119.337   0.0734525   50       1501     
 3903.49 41      3125     -119.411   -119.337   0.0730649   46       1528     
 3933.7  41      3150     -119.411   -119.337   0.0730649   52       1553     
 3962.44 42      3219     -119.41    -119.337   0.0728991   48       1574     
 4000.13 42      3250     -119.41    -119.337   0.0728991   43       1604     
 4023.06 43      3315     -119.409   -119.337   0.0719046   38       1620     
 4068.25 43      3350     -119.409   -119.337   0.0719046   43       1654     
 4089.05 44      3413     -119.409   -119.338   0.0716373   39       1667     
 4139.11 44      3450     -119.409   -119.338   0.0716373   45       1703     
 4157.71 45      3511     -119.409   -119.338   0.0713806   44       1714     
 4218.61 45      3550     -119.409   -119.338   0.0713806   54       1753     
 4236.4  46      3611     -119.408   -119.338   0.0709536   45       1763     
 4295.48 46      3650     -119.408   -119.338   0.0709536   54       1800     
 4314.84 47      3711     -119.408   -119.338   0.0707588   47       1810     
 4380.08 47      3750     -119.408   -119.338   0.0707588   49       1848     
 4397.06 48      3807     -119.408   -119.338   0.0706149   45       1856     
 4472.63 48      3850     -119.408   -119.338   0.0706149   52       1899     
 4485.69 49      3905     -119.408   -119.338   0.0704799   57       1905     
 4570.85 49      3950     -119.408   -119.338   0.0704799   58       1950     
 4581.61 50      4005     -119.407   -119.338   0.069541    60       1954     
 4653.07 50      4050     -119.407   -119.338   0.069541    58       1998     
 4661.2  51      4105     -119.407   -119.338   0.0693881   50       2002     
 4731.11 51      4150     -119.407   -119.338   0.0693881   53       2045     
 4739.59 52      4205     -119.407   -119.338   0.0692991   49       2049     
 4813.7  52      4250     -119.407   -119.338   0.0692991   54       2093     
 4823.02 53      4305     -119.407   -119.338   0.0691228   52       2097     
 4900.02 53      4350     -119.407   -119.338   0.0691228   66       2140     
 4909.17 54      4405     -119.407   -119.338   0.0690741   58       2144     
 4984.84 54      4450     -119.407   -119.338   0.0690741   56       2188     
 4993.96 55      4505     -119.407   -119.338   0.0689713   49       2192     
 5068.88 55      4550     -119.407   -119.338   0.0689713   45       2236     
 5077.96 56      4605     -119.406   -119.338   0.0688558   47       2240     
 5158.55 56      4650     -119.406   -119.338   0.0688558   50       2284     
 5166.75 57      4705     -119.406   -119.338   0.0688165   53       2288     
 5248.42 57      4750     -119.406   -119.338   0.0688165   61       2331     
 5257.69 58      4803     -119.406   -119.338   0.0687307   52       2334     
 5353.43 58      4850     -119.406   -119.338   0.0687307   67       2381     
 5357.53 59      4900     -119.406   -119.338   0.0680758   68       2382     
 5464.71 60      4999     -119.406   -119.338   0.0678982   68       2430     
 5465.26 60      5000     -119.406   -119.338   0.0678982   68       2430     
 5566.6  61      5050     -119.406   -119.338   0.0678982   65       2479     
 5568.73 61      5101     -119.405   -119.338   0.067758    63       2479     
 5661.92 62      5150     -119.405   -119.338   0.067758    49       2526     
 5663.61 62      5200     -119.405   -119.338   0.0675036   48       2526     
 5758.35 62      5250     -119.405   -119.338   0.0675036   61       2576     
 5760.46 63      5303     -119.405   -119.338   0.0672586   52       2576     
 5844.94 63      5350     -119.405   -119.338   0.0672586   54       2622     
 5850.47 64      5403     -119.404   -119.338   0.0666171   51       2624     
 5935.38 64      5450     -119.404   -119.338   0.0666171   55       2671     
 5944.82 65      5505     -119.404   -119.338   0.0664397   61       2675     
 6033.55 65      5550     -119.404   -119.338   0.0664397   71       2720     
 6046.78 66      5609     -119.403   -119.338   0.0652211   59       2726     
 6123.85 66      5650     -119.403   -119.338   0.0652211   62       2765     
 6148.63 67      5717     -119.403   -119.338   0.0649888   56       2777     
 6214.39 67      5750     -119.403   -119.338   0.0649888   66       2810     
 6258.47 68      5827     -119.402   -119.338   0.0646372   59       2831     
 6300.37 68      5850     -119.402   -119.338   0.0646372   68       2852     
 6365.62 69      5931     -119.402   -119.338   0.0645201   62       2880     
 6402.09 69      5950     -119.402   -119.338   0.0645201   68       2899     
 6475.45 70      6039     -119.402   -119.338   0.0643383   72       2933     
 6495.26 70      6050     -119.402   -119.338   0.0643383   77       2943     
 6585.81 71      6149     -119.402   -119.338   0.0642773   77       2986     
 6586.49 71      6150     -119.402   -119.338   0.0642773   77       2986     
 6690.69 71      6200     -119.402   -119.338   0.0642773   80       3036     
 6699.03 72      6259     -119.402   -119.338   0.0642583   81       3039     
 6784.92 72      6300     -119.402   -119.338   0.0642583   89       3077     
 6813.48 73      6367     -119.402   -119.338   0.064231    77       3089     
 6881.83 73      6400     -119.402   -119.338   0.064231    87       3120     
 6929.3  74      6473     -119.402   -119.338   0.0641633   64       3139     
 6981.59 74      6500     -119.402   -119.338   0.0641633   68       3163     
 7040.02 75      6579     -119.402   -119.338   0.0641331   65       3188     
 7085.58 75      6600     -119.402   -119.338   0.0641331   71       3209     
 7157.23 76      6683     -119.402   -119.338   0.064029    72       3239     
 7191.04 76      6700     -119.402   -119.338   0.064029    78       3253     
 7279.71 77      6791     -119.402   -119.338   0.0640081   77       3289     
 7294.66 77      6800     -119.402   -119.338   0.0640081   79       3295     
 7402.95 78      6895     -119.402   -119.338   0.0639878   81       3337     
 7408.51 78      6900     -119.402   -119.338   0.0639878   85       3339     
 7542.15 79      6950     -119.402   -119.338   0.0639878   91       3388     
 7545.55 79      7005     -119.402   -119.338   0.063975    85       3388     
 7653.5  79      7050     -119.402   -119.338   0.063975    78       3429     
 7671.48 80      7109     -119.402   -119.338   0.0639722   74       3435     
 7774.39 80      7150     -119.402   -119.338   0.0639722   82       3474     
 7807.23 81      7215     -119.402   -119.338   0.0639705   79       3485     
 7897.31 81      7250     -119.402   -119.338   0.0639705   91       3517     
 7950.74 82      7323     -119.402   -119.338   0.0639697   87       3535     
 8019.26 82      7350     -119.402   -119.338   0.0639697   98       3559     
 8090.66 83      7431     -119.402   -119.338   0.0639643   78       3585     
 8129.38 83      7450     -119.402   -119.338   0.0639643   80       3599     
 8232.62 84      7539     -119.402   -119.338   0.063948    78       3633     
 8256.44 84      7550     -119.402   -119.338   0.063948    86       3641     
 8378.9  85      7645     -119.402   -119.338   0.0639414   84       3682     
 8391.43 85      7650     -119.402   -119.338   0.0639414   83       3686     
 8533.82 86      7749     -119.402   -119.338   0.0638751   91       3732     
 8535.03 86      7750     -119.402   -119.338   0.0638751   91       3732     
 8680.49 86      7800     -119.402   -119.338   0.0638751   95       3780     
 8692.44 87      7859     -119.402   -119.338   0.0638612   87       3783     
 8814.69 87      7900     -119.402   -119.338   0.0638612   92       3823     
 8854.88 88      7967     -119.402   -119.338   0.0638434   88       3835     
 8938.4  88      8000     -119.402   -119.338   0.0638434   99       3860     
 9000.62 89      8073     -119.402   -119.338   0.0638345   94       3879     
 9082.19 89      8100     -119.402   -119.338   0.0638345   93       3902     
 9165.32 90      8179     -119.402   -119.338   0.0638302   92       3927     
 9219.76 90      8200     -119.402   -119.338   0.0638302   103      3944     
 9326.84 91      8285     -119.402   -119.338   0.0638244   96       3975     
 9358    91      8300     -119.402   -119.338   0.0638244   94       3986     
 9475.28 92      8391     -119.402   -119.338   0.0638174   94       4023     
 9485.52 92      8400     -119.402   -119.338   0.0638174   98       4026     
 9612.6  93      8499     -119.402   -119.338   0.0638142   108      4070     
 9614.33 93      8500     -119.402   -119.338   0.0638142   108      4070     
 9743.48 93      8550     -119.402   -119.338   0.0638142   125      4117     
 9748.9  94      8603     -119.402   -119.338   0.0638132   119      4117     
