
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3b3ce04f58.pomdpx
  loading time : 4.48s 

SARSOP initializing ...
  initialization time : 2506.45s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2506.45 0       0        -151.607   -148.186   3.42087     101      1        
 2507.13 3       50       -149.428   -148.272   1.15572     39       28       
 2507.43 4       109      -149.293   -148.273   1.01997     78       56       
 2508.4  5       163      -149.078   -148.273   0.805447    96       83       
 2509.44 6       201      -148.933   -148.273   0.660408    86       102      
 2511.44 7       250      -148.861   -148.273   0.587755    91       134      
 2513.01 9       300      -148.694   -148.273   0.421011    75       152      
 2514.28 10      371      -148.649   -148.273   0.375871    70       186      
 2516.24 11      417      -148.609   -148.273   0.336501    90       209      
 2518.55 12      450      -148.532   -148.273   0.259004    55       227      
 2522.4  13      500      -148.515   -148.273   0.241814    66       255      
 2526.34 15      553      -148.462   -148.273   0.189221    76       277      
 2531.81 17      613      -148.425   -148.273   0.151552    74       307      
 2536.95 18      650      -148.407   -148.273   0.133319    79       329      
 2542.41 20      700      -148.386   -148.273   0.112105    96       350      
 2545.89 21      775      -148.373   -148.273   0.100082    115      387      
 2550.47 22      823      -148.366   -148.273   0.0923445   121      410      
 2554.58 23      861      -148.36    -148.273   0.0862917   117      429      
 2560.67 24      900      -148.35    -148.274   0.076939    85       452      
 2568.55 26      963      -148.342   -148.274   0.0682669   104      480      
 2575.18 27      1000     -148.338   -148.274   0.0642983   70       501      
 2581.85 29      1051     -148.328   -148.274   0.0540268   74       522      
 2591.39 30      1100     -148.325   -148.274   0.0517151   70       550      
 2601.87 32      1165     -148.321   -148.274   0.04689     66       577      
 2609.57 33      1203     -148.319   -148.274   0.0450901   57       596      
 2619.68 34      1250     -148.314   -148.274   0.0400423   53       623      
 2629.45 35      1300     -148.312   -148.274   0.0387114   50       646      
 2640.03 36      1350     -148.31    -148.274   0.0360657   41       670      
 2653.21 37      1407     -148.309   -148.274   0.034974    36       698      
 2666.1  38      1463     -148.308   -148.274   0.03366     37       726      
 2679.19 39      1517     -148.306   -148.274   0.0324566   42       753      
 2692.44 40      1573     -148.304   -148.274   0.0303414   37       781      
 2704.51 40      1600     -148.304   -148.274   0.0303414   38       808      
 2712.78 41      1650     -148.304   -148.274   0.0294994   42       826      
 2722.05 42      1700     -148.303   -148.274   0.0286984   43       845      
 2737.35 43      1763     -148.302   -148.274   0.0279255   42       876      
 2753.68 44      1827     -148.301   -148.274   0.0272621   45       908      
 2765.67 44      1850     -148.301   -148.274   0.0272621   51       931      
 2776.51 45      1900     -148.301   -148.274   0.0265407   51       948      
 2792.06 46      1961     -148.3     -148.274   0.0260546   52       975      
 2813.37 47      2029     -148.3     -148.274   0.0256461   54       1009     
 2826.68 47      2050     -148.3     -148.274   0.0256461   57       1030     
 2837.01 48      2100     -148.299   -148.274   0.0250371   52       1045     
 2858.38 49      2171     -148.299   -148.274   0.0246531   52       1080     
 2875.5  49      2200     -148.299   -148.274   0.0246531   53       1109     
 2884.52 50      2250     -148.299   -148.274   0.0241334   52       1122     
 2904.12 51      2319     -148.298   -148.274   0.0234784   57       1154     
 2922.6  51      2350     -148.298   -148.274   0.0234784   52       1185     
 2930.91 52      2400     -148.297   -148.274   0.0223565   54       1196     
 2957.76 53      2481     -148.297   -148.274   0.0220473   58       1235     
 2972.01 53      2500     -148.297   -148.274   0.0220473   60       1254     
 2990.45 54      2567     -148.296   -148.275   0.0217481   62       1277     
 3017.64 54      2600     -148.296   -148.275   0.0217481   68       1310     
 3028.02 55      2653     -148.296   -148.275   0.0214932   63       1320     
 3067.8  56      2739     -148.296   -148.275   0.0212081   56       1362     
 3075.61 56      2750     -148.296   -148.275   0.0212081   64       1373     
 3107.01 57      2829     -148.296   -148.275   0.0210289   66       1407     
 3125.74 57      2850     -148.296   -148.275   0.0210289   71       1428     
 3150.73 58      2919     -148.295   -148.275   0.0208341   69       1452     
 3178.89 58      2950     -148.295   -148.275   0.0208341   72       1483     
 3191.15 59      3007     -148.295   -148.275   0.0206621   62       1495     
 3228.16 59      3050     -148.295   -148.275   0.0206621   67       1538     
 3233.1  60      3100     -148.295   -148.275   0.0204646   69       1542     
 3271.19 61      3187     -148.295   -148.275   0.0202615   67       1583     
 3282.13 61      3200     -148.295   -148.275   0.0202615   70       1596     
 3315.92 62      3281     -148.295   -148.275   0.0201147   68       1630     
 3333.79 62      3300     -148.295   -148.275   0.0201147   75       1649     
 3361.26 63      3371     -148.295   -148.275   0.0199473   66       1674     
 3387.55 63      3400     -148.295   -148.275   0.0199473   73       1703     
 3406.54 64      3465     -148.294   -148.275   0.0197507   75       1721     
 3438.39 64      3500     -148.294   -148.275   0.0197507   72       1756     
 3450.36 65      3561     -148.294   -148.275   0.0196096   63       1768     
 3489.01 65      3600     -148.294   -148.275   0.0196096   70       1807     
 3498.56 66      3655     -148.294   -148.275   0.0194729   63       1814     
 3543.13 66      3700     -148.294   -148.275   0.0194729   65       1859     
 3546.55 67      3751     -148.294   -148.275   0.0193911   61       1861     
 3594.04 68      3800     -148.294   -148.275   0.0193911   67       1909     
 3597.58 68      3850     -148.294   -148.275   0.0191979   71       1911     
 3648.02 69      3949     -148.294   -148.275   0.0190533   71       1959     
 3649.33 69      3950     -148.294   -148.275   0.0190533   72       1960     
 3699.41 70      4049     -148.294   -148.275   0.0189819   76       2009     
 3700.85 70      4050     -148.294   -148.275   0.0189819   77       2010     
 3753.91 71      4149     -148.294   -148.275   0.018889    75       2058     
 3754.29 71      4150     -148.294   -148.275   0.018889    75       2058     
 3806.15 72      4249     -148.294   -148.275   0.0187127   68       2106     
 3807.21 72      4250     -148.294   -148.275   0.0187127   69       2107     
 3858.54 73      4349     -148.294   -148.275   0.0186286   68       2155     
 3859.74 73      4350     -148.294   -148.275   0.0186286   68       2156     
 3910.59 74      4447     -148.293   -148.275   0.0185482   72       2203     
 3914.13 74      4450     -148.293   -148.275   0.0185482   72       2206     
 3967.62 75      4547     -148.293   -148.275   0.0184667   72       2253     
 3971.74 75      4550     -148.293   -148.275   0.0184667   70       2256     
 4031.29 76      4651     -148.293   -148.275   0.0183561   85       2305     
 4032.86 76      4652     -148.293   -148.275   0.0183561   84       2306     
 4093.45 76      4700     -148.293   -148.275   0.0183561   78       2354     
 4095.18 77      4751     -148.293   -148.275   0.0181078   84       2354     
 4157.55 77      4800     -148.293   -148.275   0.0181078   87       2403     
 4162.15 78      4855     -148.293   -148.275   0.0180302   76       2405     
 4220.58 78      4900     -148.293   -148.275   0.0180302   83       2450     
 4233.39 79      4963     -148.293   -148.275   0.0179718   74       2458     
 4282.98 79      5000     -148.293   -148.275   0.0179718   87       2495     
 4307.39 80      5069     -148.293   -148.275   0.0179027   72       2510     
 4349.01 80      5100     -148.293   -148.275   0.0179027   91       2541     
 4380.5  81      5175     -148.293   -148.275   0.0178471   90       2562     
 4415.36 81      5200     -148.293   -148.275   0.0178471   101      2587     
 4461.82 82      5283     -148.293   -148.275   0.0177782   81       2616     
 4487.09 82      5300     -148.293   -148.275   0.0177782   93       2633     
 4547.72 83      5391     -148.293   -148.275   0.0177016   91       2669     
 4560.88 83      5400     -148.293   -148.275   0.0177016   94       2678     
 4636.5  84      5501     -148.293   -148.275   0.0176632   88       2723     
 4638.55 84      5502     -148.293   -148.275   0.0176632   89       2724     
 4713.21 84      5550     -148.293   -148.275   0.0176632   93       2772     
 4719.37 85      5607     -148.293   -148.275   0.0176242   89       2775     
 4781.71 85      5650     -148.293   -148.275   0.0176242   104      2818     
 4800.84 86      5717     -148.293   -148.275   0.0175667   95       2829     
 4845.26 86      5750     -148.293   -148.275   0.0175667   97       2862     
 4879.08 87      5823     -148.293   -148.275   0.017529    90       2881     
 4914.68 87      5850     -148.293   -148.275   0.017529    102      2908     
 4956.67 88      5933     -148.293   -148.275   0.0174852   95       2935     
 4979.77 88      5950     -148.293   -148.275   0.0174852   101      2952     
 5035.72 89      6041     -148.292   -148.275   0.0174181   88       2988     
 5048.5  89      6050     -148.292   -148.275   0.0174181   94       2997     
 5119.01 90      6149     -148.292   -148.275   0.0173518   106      3041     
 5119.64 90      6150     -148.292   -148.275   0.0173518   107      3041     
 5196.89 90      6200     -148.292   -148.275   0.0173518   115      3090     
 5204    91      6259     -148.292   -148.275   0.0173174   111      3093     
 5271.3  91      6300     -148.292   -148.275   0.0173174   110      3134     
 5300.35 92      6371     -148.292   -148.275   0.0172987   109      3149     
 5350.95 92      6400     -148.292   -148.275   0.0172987   122      3178     
 5399.94 93      6481     -148.292   -148.275   0.0172199   131      3203     
 5434.09 93      6500     -148.292   -148.275   0.0172199   137      3222     
 5501.74 94      6589     -148.292   -148.275   0.017186    144      3256     
 5522.71 94      6600     -148.292   -148.275   0.017186    149      3267     
 5615.93 95      6703     -148.292   -148.275   0.01717     136      3312     
 5618.86 95      6704     -148.292   -148.275   0.01717     136      3313     
 5715.61 95      6750     -148.292   -148.275   0.01717     123      3359     
 5733.18 96      6811     -148.292   -148.275   0.0171229   114      3365     
 5818.86 96      6850     -148.292   -148.275   0.0171229   124      3404     
 5850.59 97      6923     -148.292   -148.275   0.0170972   118      3420     
 5896.87 97      6950     -148.292   -148.275   0.0170972   131      3447     
 5959.24 98      7035     -148.292   -148.275   0.0170836   116      3476     
 5991.04 98      7050     -148.292   -148.275   0.0170836   124      3491     
 6076.51 99      7145     -148.292   -148.275   0.0169761   123      3530     
 6084.96 99      7150     -148.292   -148.275   0.0169761   124      3535     
 6180.71 99      7200     -148.292   -148.275   0.0169761   128      3585     
 6183.66 100     7257     -148.292   -148.275   0.0169378   119      3585     
 6265.9  100     7300     -148.292   -148.275   0.0169378   132      3628     
 6297.26 101     7371     -148.292   -148.275   0.0169137   127      3642     
 6353.48 101     7400     -148.292   -148.275   0.0169137   136      3671     
 6412.67 102     7485     -148.292   -148.275   0.016863    121      3698     
 6443.2  102     7500     -148.292   -148.275   0.016863    130      3713     
 6537.03 103     7601     -148.292   -148.275   0.0168195   134      3755     
 6539.94 103     7602     -148.292   -148.275   0.0168195   135      3756     
 6651.71 103     7650     -148.292   -148.275   0.0168195   143      3804     
 6671.92 104     7715     -148.292   -148.275   0.016773    136      3811     
 6748.83 104     7750     -148.292   -148.275   0.016773    156      3845     
 6800.75 105     7827     -148.292   -148.275   0.0167485   135      3865     
 6854.83 105     7850     -148.292   -148.275   0.0167485   149      3888     
 6946.55 106     7941     -148.292   -148.275   0.0167258   125      3921     
 6966.32 106     7950     -148.292   -148.275   0.0167258   129      3930     
 7118.49 107     8055     -148.292   -148.275   0.0167036   142      3978     
 7122.15 107     8056     -148.292   -148.275   0.0167036   143      3979     
 7251.17 107     8100     -148.292   -148.275   0.0167036   152      4023     
 7289.94 108     8171     -148.292   -148.275   0.0166461   140      4035     
 7367.39 108     8200     -148.292   -148.275   0.0166461   159      4064     
 7449.47 109     8287     -148.292   -148.275   0.016628    143      4092     
 7488.01 109     8300     -148.292   -148.275   0.016628    150      4105     
 7608.71 110     8397     -148.292   -148.275   0.0166094   138      4146     
 7617.54 110     8400     -148.292   -148.275   0.0166094   137      4149     
 7766.33 110     8450     -148.292   -148.275   0.0166094   154      4199     
 7782.52 111     8513     -148.292   -148.275   0.0165948   144      4203     
 7892.73 111     8550     -148.292   -148.275   0.0165948   149      4240     
 7963.64 112     8629     -148.292   -148.275   0.0165378   152      4260     
 8031.3  112     8650     -148.292   -148.275   0.0165378   156      4281     
 8149.8  113     8743     -148.292   -148.275   0.0165203   154      4316     
 8172.88 113     8750     -148.292   -148.275   0.0165203   158      4323     
 8344.88 114     8800     -148.292   -148.275   0.0165203   154      4372     
 8348.8  114     8857     -148.292   -148.275   0.0165118   144      4372     
 8500.65 114     8900     -148.292   -148.275   0.0165118   154      4415     
 8549.19 115     8971     -148.292   -148.275   0.0165011   151      4428     
 8653.07 115     9000     -148.292   -148.275   0.0165011   163      4457     
 8767.48 116     9089     -148.292   -148.275   0.016495    157      4486     
 8806.69 116     9100     -148.292   -148.275   0.016495    158      4496     
 8998.03 117     9203     -148.292   -148.275   0.0164661   164      4541     
 9002.76 117     9204     -148.292   -148.275   0.0164661   163      4542     
 9194.58 117     9250     -148.292   -148.275   0.0164661   178      4588     
 9241.82 118     9319     -148.292   -148.275   0.016451    165      4598     
 9373.89 118     9350     -148.292   -148.275   0.016451    180      4629     
 9500.03 119     9435     -148.292   -148.275   0.0164472   183      4655     
 9563.79 119     9450     -148.292   -148.275   0.0164472   190      4669     
 9765.37 120     9549     -148.292   -148.275   0.0164363   180      4710     
 9771.94 120     9550     -148.292   -148.275   0.0164363   179      4711     
 10030.5 120     9600     -148.292   -148.275   0.0164363   182      4761     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10030.510000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10030.5 120     9600     -148.292   -148.275   0.0164363   182      4761     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/3b3ce04f58.policyx

