
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3b540f5974.pomdpx
  loading time : 4.82s 

SARSOP initializing ...
  initialization time : 4709.46s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4709.46 0       0        -8653.23   -5567.41   3085.81     101      1        
 4710.62 0       50       -8652.48   -7939.72   712.761     64       8        
 4710.92 0       100      -8652.48   -7939.72   712.761     59       8        
 4715.44 1       291      -8509.23   -7939.92   569.311     59       21       
 4715.7  1       292      -8509.23   -7939.92   569.311     9        22       
 4715.93 1       293      -8509.23   -7939.92   569.311     8        23       
 4715.95 1       300      -8509.23   -7939.92   569.311     6        23       
 4716.03 1       350      -8509.23   -7939.92   569.311     7        23       
 4716.11 1       400      -8509.23   -7939.92   569.311     7        23       
 4718.41 2       583      -8439.12   -7940.01   499.106     7        28       
 4718.42 2       584      -8439.12   -7940.01   499.106     6        28       
 4718.43 2       585      -8439.12   -7940.01   499.106     5        28       
 4718.46 2       600      -8439.12   -7940.01   499.106     6        28       
 4718.54 2       650      -8439.12   -7940.01   499.106     6        28       
 4718.61 2       700      -8439.12   -7940.01   499.106     6        28       
 4720.94 3       879      -8382.03   -7940.08   441.949     6        32       
 4720.94 3       880      -8382.03   -7940.08   441.949     5        32       
 4720.95 3       881      -8382.03   -7940.08   441.949     5        32       
 4720.99 3       900      -8382.03   -7940.08   441.949     6        32       
 4721.07 3       950      -8382.03   -7940.08   441.949     6        32       
 4721.15 3       1000     -8382.03   -7940.08   441.949     6        32       
 4725.94 4       1171     -8309.11   -7940.13   368.974     7        40       
 4725.95 4       1172     -8309.11   -7940.13   368.974     6        40       
 4725.95 4       1173     -8309.11   -7940.13   368.974     6        40       
 4726.01 4       1200     -8309.11   -7940.13   368.974     6        40       
 4726.09 4       1250     -8309.11   -7940.13   368.974     6        40       
 4726.18 4       1300     -8309.11   -7940.13   368.974     6        40       
 4732.4  5       1467     -8260.99   -7940.23   320.758     7        48       
 4732.42 5       1468     -8260.99   -7940.23   320.758     7        48       
 4732.43 5       1469     -8260.99   -7940.23   320.758     7        48       
 4732.5  5       1500     -8260.99   -7940.23   320.758     9        48       
 4732.59 5       1550     -8260.99   -7940.23   320.758     9        48       
 4733.07 5       1600     -8260.99   -7940.23   320.758     9        49       
 4739.79 6       1759     -8213.08   -7940.3    272.783     7        57       
 4739.81 6       1760     -8213.08   -7940.3    272.783     7        57       
 4739.82 6       1761     -8213.08   -7940.3    272.783     7        57       
 4739.9  6       1800     -8213.08   -7940.3    272.783     8        57       
 4740    6       1850     -8213.08   -7940.3    272.783     8        57       
 4742.17 6       1900     -8213.08   -7940.3    272.783     9        60       
 4746.07 7       2057     -8182.58   -7940.39   242.192     6        63       
 4746.08 7       2058     -8182.58   -7940.39   242.192     6        63       
 4746.1  7       2059     -8182.58   -7940.39   242.192     5        63       
 4746.19 7       2100     -8182.58   -7940.39   242.192     6        63       
 4746.29 7       2150     -8182.58   -7940.39   242.192     6        63       
 4752.77 7       2200     -8182.58   -7940.39   242.192     7        71       
 4755.9  8       2351     -8151.7    -7940.41   211.291     7        74       
 4755.92 8       2352     -8151.7    -7940.41   211.291     7        74       
 4755.94 8       2353     -8151.7    -7940.41   211.291     7        74       
 4756.05 8       2400     -8151.7    -7940.41   211.291     8        74       
 4756.15 8       2450     -8151.7    -7940.41   211.291     8        74       
 4763.22 9       2500     -8151.7    -7940.41   211.291     7        81       
 4764.01 9       2649     -8126.57   -7940.46   186.104     8        81       
 4765.05 9       2650     -8126.57   -7940.46   186.104     8        82       
 4766.14 9       2651     -8126.57   -7940.46   186.104     9        83       
 4766.87 9       2700     -8126.57   -7940.46   186.104     10       84       
 4766.98 9       2750     -8126.57   -7940.46   186.104     10       84       
 4774.3  10      2947     -8104.81   -7940.5    164.308     9        89       
 4774.32 10      2948     -8104.81   -7940.5    164.308     8        89       
 4774.35 10      2949     -8104.81   -7940.5    164.308     8        89       
 4774.37 10      2950     -8104.81   -7940.5    164.308     9        89       
 4774.48 10      3000     -8104.81   -7940.5    164.308     9        89       
 4774.6  10      3050     -8104.81   -7940.5    164.308     9        89       
 4787.66 11      3245     -8085.33   -7940.51   144.814     9        100      
 4787.69 11      3246     -8085.33   -7940.51   144.814     9        100      
 4788.78 11      3247     -8085.33   -7940.51   144.814     10       101      
 4788.82 11      3250     -8085.33   -7940.51   144.814     10       101      
