
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3b62949c0a.pomdpx
  loading time : 5.08s 

SARSOP initializing ...
  initialization time : 4538.91s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4538.91 0       0        -7930.35   -6310.04   1620.32     101      1        
 4540.1  0       50       -7929.8    -7747.62   182.189     40       8        
 4540.28 0       100      -7929.8    -7747.62   182.189     35       8        
 4552.31 1       233      -7855.41   -7747.7    107.712     17       24       
 4552.32 1       234      -7855.41   -7747.7    107.712     16       24       
 4553.91 1       250      -7855.41   -7747.7    107.712     14       27       
 4554.02 1       300      -7855.41   -7747.7    107.712     13       27       
 4557.53 1       350      -7855.41   -7747.7    107.712     10       31       
 4560.67 2       475      -7829.74   -7747.78   81.9604     6        34       
 4560.68 2       476      -7829.74   -7747.78   81.9604     7        34       
 4560.74 2       500      -7829.74   -7747.78   81.9604     6        34       
 4560.84 2       550      -7829.74   -7747.78   81.9604     5        34       
 4574.16 3       715      -7808.41   -7747.93   60.482      7        46       
 4574.18 3       716      -7808.41   -7747.93   60.482      5        46       
 4574.2  3       717      -7808.41   -7747.93   60.482      5        46       
 4574.29 3       750      -7808.41   -7747.93   60.482      5        46       
 4579.74 3       800      -7808.41   -7747.93   60.482      5        51       
 4595.31 4       957      -7795.31   -7747.98   47.3247     8        61       
 4595.33 4       958      -7795.31   -7747.98   47.3247     6        61       
 4595.35 4       959      -7795.31   -7747.98   47.3247     7        61       
 4595.47 4       1000     -7795.31   -7747.98   47.3247     6        61       
 4595.59 4       1050     -7795.31   -7747.98   47.3247     6        61       
 4619.34 5       1197     -7785.35   -7748.01   37.3359     7        75       
 4619.37 5       1198     -7785.35   -7748.01   37.3359     7        75       
 4619.4  5       1200     -7785.35   -7748.01   37.3359     5        75       
 4619.54 5       1250     -7785.35   -7748.01   37.3359     5        75       
 4619.69 5       1300     -7785.35   -7748.01   37.3359     5        75       
 4648.9  6       1441     -7777.37   -7748.03   29.343      7        90       
 4648.94 6       1442     -7777.37   -7748.03   29.343      7        90       
 4654.39 6       1450     -7777.37   -7748.03   29.343      8        93       
 4654.65 6       1500     -7777.37   -7748.03   29.343      8        93       
 4669.91 6       1550     -7777.37   -7748.03   29.343      7        101      
 4695.38 7       1683     -7771.25   -7748.04   23.2095     8        111      
 4695.42 7       1684     -7771.25   -7748.04   23.2095     8        111      
 4695.51 7       1700     -7771.25   -7748.04   23.2095     9        111      
 4695.68 7       1750     -7771.25   -7748.04   23.2095     9        111      
 4717.57 7       1800     -7771.25   -7748.04   23.2095     8        120      
 4723.9  8       1925     -7767.26   -7748.07   19.196      8        122      
 4723.95 8       1926     -7767.26   -7748.07   19.196      7        122      
 4724.06 8       1950     -7767.26   -7748.07   19.196      9        122      
 4724.23 8       2000     -7767.26   -7748.07   19.196      9        122      
