
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3c13580c6a.pomdpx
  loading time : 4.60s 

SARSOP initializing ...
  initialization time : 2755.25s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2755.25 0       0        -167.638   -164.018   3.61969     101      1        
 2757.1  2       50       -165.708   -164.103   1.60451     31       32       
 2757.87 3       100      -165.295   -164.103   1.1919      65       67       
 2758.61 4       150      -165.126   -164.104   1.0228      53       79       
 2760.35 5       205      -164.884   -164.104   0.780449    64       104      
 2763.18 6       255      -164.735   -164.104   0.631662    61       129      
 2766.66 7       300      -164.648   -164.104   0.544085    56       154      
 2770.74 9       361      -164.496   -164.104   0.392204    49       182      
 2773.91 10      401      -164.437   -164.104   0.33336     70       201      
 2776.17 11      471      -164.402   -164.104   0.298626    75       236      
 2779.62 12      521      -164.369   -164.104   0.264624    87       261      
 2783.17 13      557      -164.338   -164.104   0.233794    69       279      
 2789.26 14      600      -164.316   -164.104   0.211539    66       306      
 2794.1  16      650      -164.265   -164.104   0.161099    80       325      
 2802.36 17      700      -164.251   -164.104   0.146963    82       355      
 2809.96 19      750      -164.225   -164.104   0.120373    74       376      
 2816.06 20      800      -164.217   -164.104   0.11293     60       409      
 2818.89 21      859      -164.2     -164.104   0.0956308   74       429      
 2825.1  22      911      -164.195   -164.104   0.0907798   84       455      
 2830.89 23      950      -164.186   -164.104   0.0817865   89       475      
 2840.28 24      1000     -164.178   -164.104   0.073375    62       505      
 2849.6  25      1050     -164.173   -164.104   0.0685064   64       532      
 2859.46 27      1117     -164.165   -164.104   0.0600508   60       557      
 2868.25 28      1161     -164.162   -164.104   0.0576376   51       579      
 2876.36 29      1200     -164.159   -164.105   0.0541793   45       598      
 2890.14 30      1250     -164.157   -164.105   0.052092    50       628      
 2901.77 32      1300     -164.155   -164.105   0.0500304   31       657      
 2915.13 33      1377     -164.145   -164.105   0.0407425   35       686      
 2925.95 33      1400     -164.145   -164.105   0.0407425   30       709      
 2934.71 34      1450     -164.144   -164.105   0.0392603   33       726      
 2945.61 35      1503     -164.142   -164.105   0.0373339   44       748      
 2961.32 36      1567     -164.141   -164.105   0.0359425   36       780      
 2976.84 37      1629     -164.139   -164.105   0.0346467   35       810      
 2987.08 37      1650     -164.139   -164.105   0.0346467   33       831      
 2997.27 38      1700     -164.138   -164.105   0.0334333   38       850      
 3010.39 39      1757     -164.136   -164.105   0.0314018   36       874      
 3029.94 40      1831     -164.135   -164.105   0.0303912   38       910      
 3039.88 40      1850     -164.135   -164.105   0.0303912   37       929      
 3050.45 41      1905     -164.134   -164.105   0.0295031   43       947      
 3071.42 42      1981     -164.134   -164.105   0.0288611   42       984      
 3081.66 42      2000     -164.134   -164.105   0.0288611   42       1003     
 3093.43 43      2057     -164.133   -164.105   0.0282495   49       1022     
 3118.93 44      2137     -164.133   -164.105   0.0275792   46       1062     
 3128.05 44      2150     -164.133   -164.105   0.0275792   50       1075     
 3148.21 45      2219     -164.132   -164.105   0.026885    53       1103     
 3170.82 45      2250     -164.132   -164.105   0.026885    56       1134     
 3179.99 46      2301     -164.131   -164.105   0.0264399   53       1144     
 3213.66 47      2383     -164.131   -164.105   0.0259087   55       1185     
 3227.63 47      2400     -164.131   -164.105   0.0259087   60       1202     
 3248.85 48      2467     -164.131   -164.105   0.0255304   56       1227     
 3276.75 48      2500     -164.131   -164.105   0.0255304   57       1260     
 3286.17 49      2550     -164.13    -164.105   0.0250789   57       1269     
 3320.21 50      2635     -164.13    -164.105   0.0247463   55       1311     
 3332.9  50      2650     -164.13    -164.105   0.0247463   59       1326     
 3359.85 51      2723     -164.13    -164.105   0.0244891   52       1355     
 3382.78 51      2750     -164.13    -164.105   0.0244891   57       1382     
 3399.79 52      2809     -164.129   -164.105   0.0241331   65       1398     
 3445.93 52      2850     -164.129   -164.105   0.0241331   58       1439     
 3454.66 53      2900     -164.129   -164.105   0.0238549   56       1445     
 3496.1  54      2985     -164.129   -164.105   0.023551    57       1486     
 3508.53 54      3000     -164.129   -164.105   0.023551    60       1501     
 3538.02 55      3079     -164.129   -164.105   0.0232378   47       1532     
 3557.52 55      3100     -164.129   -164.105   0.0232378   54       1553     
 3582.88 56      3169     -164.128   -164.105   0.0229483   51       1577     
 3614.27 56      3200     -164.128   -164.105   0.0229483   60       1608     
 3634.4  57      3265     -164.128   -164.105   0.0226227   49       1625     
 3672.43 57      3300     -164.128   -164.105   0.0226227   53       1660     
 3687.16 58      3359     -164.128   -164.105   0.0220569   49       1671     
 3731.73 58      3400     -164.128   -164.105   0.0220569   53       1712     
 3745.41 59      3463     -164.127   -164.105   0.021797    52       1722     
 3787.02 59      3500     -164.127   -164.105   0.021797    56       1759     
 3804.76 60      3565     -164.127   -164.105   0.0216289   51       1772     
 3843.81 60      3600     -164.127   -164.105   0.0216289   54       1807     
 3866.77 61      3667     -164.127   -164.105   0.0214808   56       1823     
 3903.66 61      3700     -164.127   -164.105   0.0214808   62       1856     
 3929.32 62      3771     -164.127   -164.106   0.0213034   64       1875     
 3961.74 62      3800     -164.127   -164.106   0.0213034   55       1904     
 3990.71 63      3875     -164.127   -164.106   0.0211361   61       1926     
 4017.37 63      3900     -164.127   -164.106   0.0211361   63       1950     
 4052.01 64      3979     -164.127   -164.106   0.0209882   64       1976     
 4077.41 64      4000     -164.127   -164.106   0.0209882   73       1997     
 4121.45 65      4085     -164.126   -164.106   0.0208923   67       2029     
 4140.63 65      4100     -164.126   -164.106   0.0208923   74       2044     
 4193.6  66      4191     -164.126   -164.106   0.0207644   68       2081     
 4205.01 66      4200     -164.126   -164.106   0.0207644   74       2090     
 4267.46 67      4297     -164.126   -164.106   0.0206688   66       2134     
 4272.01 67      4300     -164.126   -164.106   0.0206688   66       2137     
 4337.28 67      4350     -164.126   -164.106   0.0206688   64       2187     
 4339.15 68      4405     -164.126   -164.106   0.0205613   57       2187     
 4395.55 68      4450     -164.126   -164.106   0.0205613   66       2232     
 4409.06 69      4513     -164.126   -164.106   0.0204526   68       2240     
 4456.91 69      4550     -164.126   -164.106   0.0204526   81       2277     
 4484.23 70      4623     -164.126   -164.106   0.0203833   66       2294     
 4521.06 70      4650     -164.126   -164.106   0.0203833   69       2321     
 4565.36 71      4735     -164.126   -164.106   0.0203344   62       2349     
 4586.18 71      4750     -164.126   -164.106   0.0203344   72       2364     
 4648.56 72      4843     -164.126   -164.106   0.0202685   62       2403     
 4659.52 72      4850     -164.126   -164.106   0.0202685   65       2410     
 4734.57 73      4951     -164.126   -164.106   0.0201799   61       2456     
 4736.19 73      4952     -164.126   -164.106   0.0201799   61       2457     
 4801.92 73      5000     -164.126   -164.106   0.0201799   72       2505     
 4808.44 74      5057     -164.126   -164.106   0.0200679   60       2508     
 4868.43 74      5100     -164.126   -164.106   0.0200679   77       2551     
 4888.24 75      5169     -164.126   -164.106   0.0199894   67       2563     
 4932.01 75      5200     -164.126   -164.106   0.0199894   72       2594     
 4969.52 76      5279     -164.126   -164.106   0.0199377   67       2617     
 4999.15 76      5300     -164.126   -164.106   0.0199377   79       2638     
 5052.39 77      5387     -164.126   -164.106   0.0198948   76       2671     
 5072.67 77      5400     -164.126   -164.106   0.0198948   86       2684     
 5144.37 78      5499     -164.126   -164.106   0.0198049   81       2726     
 5146.23 78      5500     -164.126   -164.106   0.0198049   81       2727     
 5227.08 78      5550     -164.126   -164.106   0.0198049   89       2777     
 5234.6  79      5609     -164.126   -164.106   0.0197654   77       2780     
 5301.56 79      5650     -164.126   -164.106   0.0197654   83       2821     
 5324.49 80      5721     -164.125   -164.106   0.019657    70       2835     
 5365.69 80      5750     -164.125   -164.106   0.019657    86       2864     
 5415.12 81      5835     -164.125   -164.106   0.0196044   80       2891     
 5436.63 81      5850     -164.125   -164.106   0.0196044   90       2906     
 5501.69 82      5947     -164.125   -164.106   0.0195716   86       2946     
 5506.3  82      5950     -164.125   -164.106   0.0195716   88       2949     
 5588.81 82      6000     -164.125   -164.106   0.0195716   90       2999     
 5592.83 83      6057     -164.125   -164.106   0.0195381   82       3000     
 5663.77 83      6100     -164.125   -164.106   0.0195381   99       3043     
 5685.79 84      6167     -164.125   -164.106   0.0194589   85       3054     
 5737.76 84      6200     -164.125   -164.106   0.0194589   101      3085     
 5780.91 85      6281     -164.125   -164.106   0.0193996   94       3108     
 5813.06 85      6300     -164.125   -164.106   0.0193996   102      3127     
 5879.17 86      6393     -164.125   -164.106   0.0193702   87       3163     
 5891.54 86      6400     -164.125   -164.106   0.0193702   91       3170     
 5983.12 87      6505     -164.125   -164.106   0.0193061   91       3218     
 5983.81 87      6506     -164.125   -164.106   0.0193061   91       3218     
 6064.77 87      6550     -164.125   -164.106   0.0193061   104      3260     
 6089.9  88      6619     -164.125   -164.106   0.0192782   98       3271     
 6150.2  88      6650     -164.125   -164.106   0.0192782   111      3302     
 6204.56 89      6733     -164.125   -164.106   0.0192513   111      3327     
 6239.13 89      6750     -164.125   -164.106   0.0192513   119      3344     
 6334.02 90      6849     -164.125   -164.106   0.0192217   118      3385     
 6337.13 90      6850     -164.125   -164.106   0.0192217   118      3386     
 6449.49 90      6900     -164.125   -164.106   0.0192217   117      3436     
 6462.28 91      6961     -164.125   -164.106   0.0191574   110      3440     
 6548.71 91      7000     -164.125   -164.106   0.0191574   110      3479     
