
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3c1c3de078.pomdpx
  loading time : 4.59s 

SARSOP initializing ...
  initialization time : 2978.43s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2978.43 0       0        -156.866   -151.439   5.42639     101      1        
 2979.4  2       50       -153.034   -151.586   1.44815     27       35       
 2980.67 3       100      -152.65    -151.586   1.0642      27       60       
 2981.48 4       150      -152.398   -151.586   0.811958    34       83       
 2982.33 5       213      -152.265   -151.586   0.678952    54       108      
 2985.23 6       283      -152.124   -151.586   0.53731     59       143      
 2987.12 6       300      -152.124   -151.586   0.53731     59       160      
 2990.37 7       350      -152.048   -151.587   0.461488    56       181      
 2994.57 8       400      -151.961   -151.587   0.373975    62       207      
 3000.47 9       450      -151.93    -151.587   0.343232    80       234      
 3002.9  10      500      -151.881   -151.587   0.294169    65       265      
 3005.36 11      550      -151.83    -151.587   0.243111    57       282      
 3008.79 12      603      -151.802   -151.587   0.214859    97       302      
 3014.65 13      659      -151.779   -151.587   0.191622    85       329      
 3020.47 14      709      -151.765   -151.587   0.177966    84       354      
 3026.45 15      750      -151.739   -151.587   0.151537    87       375      
 3034.17 16      803      -151.732   -151.587   0.145093    92       401      
 3042.85 17      850      -151.72    -151.587   0.132978    98       427      
 3052.91 18      900      -151.711   -151.587   0.124041    64       453      
 3062.92 19      950      -151.704   -151.587   0.116549    55       478      
 3073.64 20      1000     -151.696   -151.588   0.108364    59       503      
 3086.05 21      1050     -151.688   -151.588   0.100672    60       530      
 3092.58 22      1100     -151.683   -151.588   0.0951308   34       548      
 3096.74 23      1150     -151.67    -151.588   0.0821475   49       567      
 3107.97 24      1225     -151.667   -151.588   0.0792604   46       604      
 3116.22 24      1250     -151.667   -151.588   0.0792604   45       629      
 3121.94 25      1300     -151.661   -151.588   0.0733231   48       643      
 3135.37 26      1369     -151.655   -151.588   0.0676354   49       675      
 3150.39 26      1400     -151.655   -151.588   0.0676354   57       706      
 3156.53 27      1450     -151.653   -151.588   0.0655927   52       716      
 3177.54 28      1531     -151.652   -151.588   0.0636674   48       755      
 3188.01 28      1550     -151.652   -151.588   0.0636674   46       774      
 3199.18 29      1609     -151.65    -151.588   0.0616356   45       793      
 3223.39 30      1687     -151.647   -151.588   0.0589717   47       832      
 3232.36 30      1700     -151.647   -151.588   0.0589717   45       845      
 3251.99 31      1767     -151.645   -151.588   0.0569069   49       872      
 3276.85 31      1800     -151.645   -151.588   0.0569069   52       905      
 3286.1  32      1850     -151.643   -151.588   0.0553005   58       915      
 3316.42 33      1929     -151.642   -151.588   0.0543518   50       953      
 3333.99 33      1950     -151.642   -151.588   0.0543518   53       974      
 3351.59 34      2011     -151.641   -151.588   0.0529008   50       994      
 3384.54 34      2050     -151.641   -151.588   0.0529008   50       1033     
 3394.73 35      2100     -151.64    -151.588   0.0513112   58       1042     
 3433.8  36      2179     -151.639   -151.588   0.0505092   57       1078     
 3458.07 36      2200     -151.639   -151.588   0.0505092   54       1099     
 3481.66 37      2265     -151.638   -151.588   0.0495012   52       1121     
 3522.83 37      2300     -151.638   -151.588   0.0495012   56       1156     
 3531.54 38      2351     -151.637   -151.588   0.0486631   57       1163     
 3584.45 39      2439     -151.636   -151.588   0.0470593   52       1206     
 3598.61 39      2450     -151.636   -151.588   0.0470593   50       1217     
 3647.15 40      2531     -151.635   -151.589   0.0464945   49       1252     
 3670.87 40      2550     -151.635   -151.589   0.0464945   53       1271     
 3713.5  41      2623     -151.634   -151.589   0.045772    56       1298     
 3757.3  41      2650     -151.634   -151.589   0.045772    57       1325     
 3793.92 42      2715     -151.634   -151.589   0.0450836   54       1344     
 3849.66 42      2750     -151.634   -151.589   0.0450836   53       1379     
 3869.94 43      2811     -151.633   -151.589   0.0441925   54       1391     
 3931.6  43      2850     -151.633   -151.589   0.0441925   52       1430     
 3951.55 44      2911     -151.632   -151.589   0.0434783   48       1440     
 4014.54 44      2950     -151.632   -151.589   0.0434783   51       1479     
 4033.52 45      3011     -151.632   -151.589   0.0430422   51       1490     
 4087.43 45      3050     -151.632   -151.589   0.0430422   46       1529     
 4104.71 46      3113     -151.631   -151.589   0.042568    48       1540     
 4149.89 46      3150     -151.631   -151.589   0.042568    52       1577     
 4167.97 47      3213     -151.631   -151.589   0.0418173   52       1589     
 4213.95 47      3250     -151.631   -151.589   0.0418173   50       1626     
 4239.49 48      3321     -151.63    -151.589   0.0416082   42       1642     
 4269.76 48      3350     -151.63    -151.589   0.0416082   46       1671     
 4296.88 49      3427     -151.63    -151.589   0.0413096   42       1694     
 4320.8  49      3450     -151.63    -151.589   0.0413096   49       1717     
 4355.47 50      3529     -151.63    -151.589   0.0411055   43       1744     
 4375.68 50      3550     -151.63    -151.589   0.0411055   51       1763     
 4412.32 51      3633     -151.63    -151.589   0.040934    45       1793     
 4431.4  51      3650     -151.63    -151.589   0.040934    61       1810     
 4478.21 52      3739     -151.63    -151.589   0.0407831   51       1845     
 4492.2  52      3750     -151.63    -151.589   0.0407831   58       1856     
 4543.85 53      3841     -151.63    -151.589   0.0406396   45       1895     
 4555.85 53      3850     -151.63    -151.589   0.0406396   48       1904     
 4622.62 54      3949     -151.629   -151.589   0.0405096   60       1949     
 4624.72 54      3950     -151.629   -151.589   0.0405096   61       1950     
 4699    54      4000     -151.629   -151.589   0.0405096   56       2000     
 4702.24 55      4055     -151.629   -151.589   0.040137    55       2001     
 4765.69 55      4100     -151.629   -151.589   0.040137    59       2046     
 4775.08 56      4159     -151.629   -151.589   0.0397929   49       2052     
 4830.63 56      4200     -151.629   -151.589   0.0397929   63       2093     
 4851.3  57      4269     -151.629   -151.589   0.0397415   66       2107     
 4892.17 57      4300     -151.629   -151.589   0.0397415   70       2138     
 4926.46 58      4379     -151.628   -151.589   0.0393175   61       2161     
 4955.18 58      4400     -151.628   -151.589   0.0393175   63       2182     
 5004.08 59      4489     -151.628   -151.589   0.0388626   53       2215     
 5018.6  59      4500     -151.628   -151.589   0.0388626   60       2225     
 5085.1  60      4601     -151.628   -151.589   0.0387544   53       2269     
 5086.9  60      4602     -151.628   -151.589   0.0387544   53       2270     
 5157.39 60      4650     -151.628   -151.589   0.0387544   62       2318     
 5169.61 61      4713     -151.628   -151.589   0.0385802   62       2324     
 5224.24 61      4750     -151.628   -151.589   0.0385802   64       2361     
 5256.69 62      4827     -151.628   -151.589   0.0385167   68       2380     
 5293.13 62      4850     -151.628   -151.589   0.0385167   75       2403     
 5350.7  63      4939     -151.628   -151.589   0.0384597   66       2435     
 5366.24 63      4950     -151.628   -151.589   0.0384597   75       2445     
 5440.99 64      5051     -151.627   -151.589   0.0384144   65       2489     
 5441.55 64      5052     -151.627   -151.589   0.0384144   64       2489     
 5520.07 64      5100     -151.627   -151.589   0.0384144   81       2537     
 5532.6  65      5163     -151.627   -151.589   0.0383834   68       2543     
 5594.6  65      5200     -151.627   -151.589   0.0383834   76       2580     
 5631.75 66      5277     -151.627   -151.589   0.0383299   72       2599     
 5672.2  66      5300     -151.627   -151.589   0.0383299   81       2622     
 5733.07 67      5387     -151.627   -151.589   0.0383064   71       2653     
 5757.07 67      5400     -151.627   -151.589   0.0383064   77       2666     
 5843.99 68      5499     -151.627   -151.589   0.03829     80       2709     
