
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3c2d022d74.pomdpx
  loading time : 4.42s 

SARSOP initializing ...
  initialization time : 2095.22s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2095.22 0       0        -120.205   -115.704   4.50154     101      1        
 2097.64 1       50       -118.198   -115.804   2.39438     23       33       
 2098.53 3       125      -117.558   -115.804   1.75393     68       64       
 2099.77 4       171      -117.074   -115.804   1.2698      78       87       
 2101.94 5       219      -116.81    -115.804   1.00547     75       111      
 2104.25 6       259      -116.647   -115.804   0.842409    78       131      
 2106.23 7       300      -116.499   -115.804   0.69457     49       148      
 2106.94 8       351      -116.445   -115.804   0.640312    64       165      
 2109.52 9       400      -116.332   -115.804   0.527636    66       192      
 2113.22 11      457      -116.169   -115.804   0.364824    63       218      
 2116.98 12      500      -116.138   -115.805   0.33351     84       242      
 2118.9  13      550      -116.084   -115.805   0.279242    74       275      
 2122.07 13      600      -116.084   -115.805   0.279242    122      325      
 2125.1  14      731      -116.048   -115.805   0.243839    123      349      
 2125.43 14      732      -116.048   -115.805   0.243839    122      350      
 2128.27 14      750      -116.048   -115.805   0.243839    129      368      
 2132.14 16      801      -116.006   -115.805   0.20095     122      384      
 2137.96 18      853      -115.963   -115.805   0.158628    141      410      
 2144.29 20      901      -115.931   -115.805   0.125828    118      433      
 2147.38 21      983      -115.915   -115.805   0.11053     84       466      
 2150.39 21      1000     -115.915   -115.805   0.11053     83       483      
 2155.2  23      1061     -115.902   -115.805   0.0969192   75       504      
 2162.45 25      1113     -115.887   -115.805   0.0821057   72       530      
 2168.95 26      1150     -115.883   -115.805   0.078062    68       553      
 2176.76 28      1200     -115.87    -115.805   0.0654705   70       576      
 2184.73 30      1251     -115.864   -115.805   0.0586956   64       599      
 2193.67 32      1305     -115.857   -115.805   0.0515381   60       624      
 2199.43 33      1350     -115.857   -115.805   0.0515381   48       668      
 2202.32 33      1400     -115.851   -115.805   0.0459046   68       674      
 2211.76 34      1450     -115.849   -115.805   0.0437528   70       702      
 2221.71 36      1511     -115.845   -115.805   0.0394652   71       727      
 2229.34 37      1550     -115.843   -115.805   0.0376586   70       746      
 2242.41 38      1600     -115.84    -115.805   0.0344039   72       775      
 2252.37 39      1650     -115.838   -115.805   0.0330558   75       798      
 2264.87 40      1700     -115.837   -115.805   0.0319124   76       823      
 2276.09 41      1750     -115.836   -115.805   0.0310858   79       847      
 2288.72 42      1800     -115.836   -115.805   0.0304597   72       872      
 2303.23 43      1850     -115.834   -115.805   0.0289231   80       899      
 2316.02 44      1900     -115.833   -115.805   0.0277279   75       923      
 2329.96 45      1950     -115.832   -115.805   0.0269713   71       946      
 2343.13 46      2000     -115.831   -115.805   0.0260733   74       968      
 2357.97 47      2051     -115.831   -115.805   0.025546    73       992      
 2374.96 48      2105     -115.831   -115.805   0.0251651   75       1018     
 2391.34 49      2157     -115.83    -115.805   0.024778    74       1044     
 2407.55 50      2211     -115.829   -115.805   0.0236972   80       1070     
 2426.15 51      2269     -115.829   -115.805   0.0233645   80       1099     
 2445.26 52      2327     -115.829   -115.805   0.0231116   76       1127     
 2461.22 52      2350     -115.829   -115.805   0.0231116   81       1150     
 2477.16 53      2400     -115.828   -115.805   0.0226687   80       1171     
 2493.26 54      2450     -115.828   -115.806   0.0222087   76       1192     
 2511.85 55      2505     -115.827   -115.806   0.0218258   69       1216     
 2538.46 56      2567     -115.827   -115.806   0.0213242   62       1247     
 2562.63 57      2631     -115.826   -115.806   0.0208427   54       1278     
 2576.71 57      2650     -115.826   -115.806   0.0208427   63       1297     
 2591.64 58      2700     -115.826   -115.806   0.0203859   59       1314     
 2618.08 59      2767     -115.826   -115.806   0.019999    60       1346     
 2644.19 59      2800     -115.826   -115.806   0.019999    62       1379     
 2656.42 60      2850     -115.825   -115.806   0.0197071   60       1395     
 2672.02 61      2905     -115.825   -115.806   0.0194825   51       1414     
 2699.8  62      2977     -115.825   -115.806   0.0191829   52       1449     
 2717.36 62      3000     -115.825   -115.806   0.0191829   62       1472     
 2729.58 63      3051     -115.825   -115.806   0.018953    54       1485     
