
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3c540f5974.pomdpx
  loading time : 4.97s 

SARSOP initializing ...
  initialization time : 4384.69s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4384.69 0       0        -8846.23   -6007.99   2838.24     101      1        
 4386.03 0       50       -8845.46   -8087.34   758.125     58       8        
 4386.33 0       100      -8845.46   -8087.34   758.125     53       8        
 4392.23 1       277      -8658.03   -8087.53   570.495     9        21       
 4392.51 1       278      -8658.03   -8087.53   570.495     9        22       
 4392.82 1       279      -8658.03   -8087.53   570.495     8        23       
 4392.88 1       300      -8658.03   -8087.53   570.495     6        23       
 4392.97 1       350      -8658.03   -8087.53   570.495     6        23       
 4393.06 1       400      -8658.03   -8087.53   570.495     6        23       
 4396.86 2       561      -8562.55   -8087.62   474.926     6        30       
 4396.87 2       562      -8562.55   -8087.62   474.926     6        30       
 4396.88 2       563      -8562.55   -8087.62   474.926     6        30       
 4396.98 2       600      -8562.55   -8087.62   474.926     6        30       
 4397.07 2       650      -8562.55   -8087.62   474.926     6        30       
 4399.04 2       700      -8562.55   -8087.62   474.926     8        33       
 4402.71 3       849      -8497.54   -8087.77   409.772     8        37       
 4402.73 3       850      -8497.54   -8087.77   409.772     7        37       
 4402.74 3       851      -8497.54   -8087.77   409.772     7        37       
 4402.85 3       900      -8497.54   -8087.77   409.772     7        37       
 4402.95 3       950      -8497.54   -8087.77   409.772     7        37       
 4408.59 4       1129     -8425.59   -8087.82   337.764     7        44       
 4408.6  4       1130     -8425.59   -8087.82   337.764     7        44       
 4408.62 4       1131     -8425.59   -8087.82   337.764     7        44       
 4408.68 4       1150     -8425.59   -8087.82   337.764     8        44       
 4408.78 4       1200     -8425.59   -8087.82   337.764     8        44       
 4408.89 4       1250     -8425.59   -8087.82   337.764     9        44       
 4415.03 5       1417     -8381.72   -8087.93   293.785     9        50       
 4415.05 5       1418     -8381.72   -8087.93   293.785     8        50       
 4415.07 5       1419     -8381.72   -8087.93   293.785     8        50       
 4415.15 5       1450     -8381.72   -8087.93   293.785     9        50       
 4415.26 5       1500     -8381.72   -8087.93   293.785     9        50       
 4416.22 5       1550     -8381.72   -8087.93   293.785     9        51       
 4424.21 6       1707     -8344.06   -8087.98   256.08      6        58       
 4424.23 6       1708     -8344.06   -8087.98   256.08      6        58       
 4424.25 6       1709     -8344.06   -8087.98   256.08      6        58       
 4424.35 6       1750     -8344.06   -8087.98   256.08      7        58       
 4424.45 6       1800     -8344.06   -8087.98   256.08      7        58       
 4434.07 6       1850     -8344.06   -8087.98   256.08      7        67       
 4434.76 7       1995     -8311.03   -8088.04   222.989     8        67       
 4434.78 7       1996     -8311.03   -8088.04   222.989     7        67       
 4434.81 7       2000     -8311.03   -8088.04   222.989     8        67       
 4434.93 7       2050     -8311.03   -8088.04   222.989     8        67       
 4435.04 7       2100     -8311.03   -8088.04   222.989     8        67       
 4449.6  8       2283     -8279.96   -8088.08   191.873     8        78       
 4449.63 8       2284     -8279.96   -8088.08   191.873     7        78       
 4449.65 8       2285     -8279.96   -8088.08   191.873     7        78       
 4449.71 8       2300     -8279.96   -8088.08   191.873     8        78       
 4449.83 8       2350     -8279.96   -8088.08   191.873     8        78       
 4449.94 8       2400     -8279.96   -8088.08   191.873     8        78       
 4468.17 9       2571     -8253.35   -8088.16   165.192     8        91       
 4468.2  9       2572     -8253.35   -8088.16   165.192     7        91       
 4468.23 9       2573     -8253.35   -8088.16   165.192     7        91       
 4468.31 9       2600     -8253.35   -8088.16   165.192     8        91       
 4468.43 9       2650     -8253.35   -8088.16   165.192     8        91       
 4469.94 9       2700     -8253.35   -8088.16   165.192     10       92       
 4481.74 10      2863     -8231.77   -8088.19   143.58      9        99       
 4481.77 10      2864     -8231.77   -8088.19   143.58      8        99       
 4481.8  10      2865     -8231.77   -8088.19   143.58      8        99       
 4481.9  10      2900     -8231.77   -8088.19   143.58      9        99       
 4482.03 10      2950     -8231.77   -8088.19   143.58      9        99       
