
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3c737acb0e.pomdpx
  loading time : 4.94s 

SARSOP initializing ...
  initialization time : 8819.74s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8819.74 0       0        -8477.62   -2909.65   5567.97     101      1        
 8821.69 0       50       -8476.47   -6353.55   2122.92     56       8        
 8822.11 0       100      -8476.47   -6353.55   2122.92     51       8        
 8828.54 1       267      -8236.93   -6353.63   1883.3      9        16       
 8828.55 1       268      -8236.93   -6353.63   1883.3      8        16       
 8828.56 1       269      -8236.93   -6353.63   1883.3      5        16       
 8828.64 1       300      -8236.93   -6353.63   1883.3      5        16       
 8828.74 1       350      -8236.93   -6353.63   1883.3      5        16       
 8830.89 1       400      -8236.93   -6353.63   1883.3      6        19       
 8831.54 2       535      -8078.73   -6353.65   1725.08     6        19       
 8831.55 2       536      -8078.73   -6353.65   1725.08     6        19       
 8831.6  2       550      -8078.73   -6353.65   1725.08     5        19       
 8831.7  2       600      -8078.73   -6353.65   1725.08     5        19       
 8831.81 2       650      -8078.73   -6353.65   1725.08     5        19       
 8834.39 3       805      -7903.64   -6353.66   1549.98     5        22       
 8834.4  3       806      -7903.64   -6353.66   1549.98     5        22       
 8834.41 3       807      -7903.64   -6353.66   1549.98     5        22       
 8834.52 3       850      -7903.64   -6353.66   1549.98     5        22       
 8834.63 3       900      -7903.64   -6353.66   1549.98     5        22       
 8835.76 4       1077     -7765.52   -6353.66   1411.87     5        23       
 8835.77 4       1078     -7765.52   -6353.66   1411.87     5        23       
 8835.78 4       1079     -7765.52   -6353.66   1411.87     5        23       
 8835.84 4       1100     -7765.52   -6353.66   1411.87     6        23       
 8835.96 4       1150     -7765.52   -6353.66   1411.87     6        23       
 8836.06 4       1200     -7765.52   -6353.66   1411.87     6        23       
 8838.67 5       1349     -7650.96   -6353.68   1297.28     5        26       
 8838.68 5       1350     -7650.96   -6353.68   1297.28     5        26       
 8839.3  5       1351     -7650.96   -6353.68   1297.28     5        27       
 8839.43 5       1400     -7650.96   -6353.68   1297.28     6        27       
 8839.55 5       1450     -7650.96   -6353.68   1297.28     6        27       
 8842.75 6       1623     -7549.65   -6353.69   1195.96     6        30       
 8842.76 6       1624     -7549.65   -6353.69   1195.96     6        30       
 8842.77 6       1625     -7549.65   -6353.69   1195.96     5        30       
 8842.85 6       1650     -7549.65   -6353.69   1195.96     5        30       
 8842.96 6       1700     -7549.65   -6353.69   1195.96     5        30       
 8843.08 6       1750     -7549.65   -6353.69   1195.96     5        30       
 8847.71 7       1897     -7474.04   -6353.73   1120.31     5        34       
 8847.73 7       1898     -7474.04   -6353.73   1120.31     5        34       
 8847.74 7       1900     -7474.04   -6353.73   1120.31     5        34       
 8847.87 7       1950     -7474.04   -6353.73   1120.31     5        34       
 8847.99 7       2000     -7474.04   -6353.73   1120.31     5        34       
 8852.79 8       2171     -7374.25   -6353.74   1020.51     5        38       
 8852.81 8       2172     -7374.25   -6353.74   1020.51     5        38       
 8852.82 8       2173     -7374.25   -6353.74   1020.51     5        38       
 8852.91 8       2200     -7374.25   -6353.74   1020.51     5        38       
 8853.03 8       2250     -7374.25   -6353.74   1020.51     5        38       
 8853.15 8       2300     -7374.25   -6353.74   1020.51     5        38       
 8859.16 9       2447     -7291.25   -6353.74   937.513     5        43       
 8859.18 9       2448     -7291.25   -6353.74   937.513     5        43       
 8859.2  9       2450     -7291.25   -6353.74   937.513     5        43       
 8859.34 9       2500     -7291.25   -6353.74   937.513     5        43       
 8859.46 9       2550     -7291.25   -6353.74   937.513     5        43       
 8864.85 10      2721     -7227.16   -6353.79   873.369     6        47       
 8864.87 10      2722     -7227.16   -6353.79   873.369     6        47       
 8864.89 10      2723     -7227.16   -6353.79   873.369     5        47       
 8864.98 10      2750     -7227.16   -6353.79   873.369     6        47       
 8865.11 10      2800     -7227.16   -6353.79   873.369     6        47       
 8865.23 10      2850     -7227.16   -6353.79   873.369     6        47       
 8873.22 11      2997     -7169.44   -6353.83   815.603     5        53       
 8873.24 11      2998     -7169.44   -6353.83   815.603     5        53       
 8873.26 11      3000     -7169.44   -6353.83   815.603     5        53       
 8873.4  11      3050     -7169.44   -6353.83   815.603     5        53       
 8873.53 11      3100     -7169.44   -6353.83   815.603     5        53       
 8881.35 12      3273     -7108.42   -6353.86   754.567     5        58       
 8881.37 12      3274     -7108.42   -6353.86   754.567     5        58       
 8881.39 12      3275     -7108.42   -6353.86   754.567     5        58       
 8881.48 12      3300     -7108.42   -6353.86   754.567     5        58       
 8881.62 12      3350     -7108.42   -6353.86   754.567     5        58       
 8881.76 12      3400     -7108.42   -6353.86   754.567     5        58       
 8890.07 13      3549     -7060.02   -6353.9    706.117     5        63       
 8890.1  13      3550     -7060.02   -6353.9    706.117     5        63       
 8890.12 13      3551     -7060.02   -6353.9    706.117     5        63       
 8890.26 13      3600     -7060.02   -6353.9    706.117     5        63       
 8890.38 13      3650     -7060.02   -6353.9    706.117     5        63       
 8899.41 14      3825     -7016.77   -6353.93   662.845     5        68       
 8899.43 14      3826     -7016.77   -6353.93   662.845     5        68       
 8899.46 14      3827     -7016.77   -6353.93   662.845     5        68       
 8899.54 14      3850     -7016.77   -6353.93   662.845     5        68       
 8899.68 14      3900     -7016.77   -6353.93   662.845     5        68       
 8899.81 14      3950     -7016.77   -6353.93   662.845     5        68       
 8913.13 15      4103     -6983.61   -6353.98   629.638     6        75       
 8913.16 15      4104     -6983.61   -6353.98   629.638     6        75       
 8913.18 15      4105     -6983.61   -6353.98   629.638     6        75       
 8913.32 15      4150     -6983.61   -6353.98   629.638     6        75       
 8913.46 15      4200     -6983.61   -6353.98   629.638     6        75       
 8925.6  16      4377     -6942.22   -6354.01   588.212     7        81       
 8925.63 16      4378     -6942.22   -6354.01   588.212     7        81       
 8925.66 16      4379     -6942.22   -6354.01   588.212     6        81       
 8925.75 16      4400     -6942.22   -6354.01   588.212     6        81       
 8925.91 16      4450     -6942.22   -6354.01   588.212     6        81       
 8926.06 16      4500     -6942.22   -6354.01   588.212     6        81       
 8937.36 17      4655     -6911.25   -6354.02   557.226     6        86       
