
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3d2d022d74.pomdpx
  loading time : 4.81s 

SARSOP initializing ...
  initialization time : 6890.48s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6890.48 0       0        -267.558   -257.582   9.97638     101      1        
 6905.63 1       93       -263.054   -257.829   5.22502     10       48       
 6908.79 1       100      -263.054   -257.829   5.22502     17       55       
 6919.93 2       193      -262.169   -257.829   4.3404      19       73       
 6923.49 2       200      -262.169   -257.829   4.3404      8        79       
 6949.36 3       295      -261.486   -257.829   3.65726     9        104      
 6951.14 3       300      -261.486   -257.829   3.65726     7        107      
 6969.63 4       395      -260.801   -257.829   2.97203     6        129      
 6969.67 4       400      -260.801   -257.829   2.97203     7        129      
 6980.98 5       503      -260.453   -257.829   2.62355     9        143      
 6981.02 5       504      -260.453   -257.829   2.62355     9        143      
 6989.65 5       550      -260.453   -257.829   2.62355     7        154      
 6996.74 6       619      -260.156   -257.829   2.32676     9        161      
 7003.13 6       650      -260.156   -257.829   2.32676     6        169      
 7007.13 7       741      -259.964   -257.829   2.13439     9        173      
 7007.2  7       750      -259.964   -257.829   2.13439     8        173      
 7009.79 7       800      -259.964   -257.829   2.13439     8        176      
 7011.79 8       865      -259.821   -257.829   1.99145     7        178      
 7031.21 8       900      -259.821   -257.829   1.99145     8        197      
 7045.09 9       983      -259.54    -257.829   1.71062     7        207      
 7058.18 9       1000     -259.54    -257.829   1.71062     7        220      
 7065.91 10      1109     -259.464   -257.829   1.63478     9        226      
 7067.14 10      1110     -259.464   -257.829   1.63478     9        227      
 7085.88 10      1150     -259.464   -257.829   1.63478     9        242      
 7112.25 11      1229     -259.317   -257.83    1.48735     7        258      
 7138.47 11      1250     -259.317   -257.83    1.48735     10       277      
 7167.6  12      1353     -259.21    -257.83    1.37951     11       293      
 7169.18 12      1354     -259.21    -257.83    1.37951     11       294      
 7180.31 12      1400     -259.21    -257.83    1.37951     9        302      
 7193.88 13      1481     -259.119   -257.83    1.2881      13       310      
 7225.36 13      1500     -259.119   -257.83    1.2881      10       329      
 7241.76 14      1609     -259.057   -257.831   1.22587     11       337      
 7241.84 14      1610     -259.057   -257.831   1.22587     11       337      
 7242.05 14      1650     -259.057   -257.831   1.22587     8        337      
 7255.29 15      1739     -258.989   -257.831   1.15778     8        345      
 7273.6  15      1750     -258.989   -257.831   1.15778     8        356      
 7296.06 15      1800     -258.989   -257.831   1.15778     9        368      
 7304.87 16      1869     -258.943   -257.831   1.11256     13       372      
 7333.63 16      1900     -258.943   -257.831   1.11256     9        387      
 7352.05 17      1997     -258.9     -257.831   1.06874     9        395      
 7355.97 17      2000     -258.9     -257.831   1.06874     11       397      
 7389.28 17      2050     -258.9     -257.831   1.06874     11       413      
 7412.54 18      2125     -258.853   -257.831   1.0214      11       423      
 7448.32 18      2150     -258.853   -257.831   1.0214      10       440      
 7497.87 19      2253     -258.795   -257.832   0.963396    9        459      
 7497.98 19      2254     -258.795   -257.832   0.963396    9        459      
 7498.3  19      2300     -258.795   -257.832   0.963396    9        459      
 7511.65 20      2383     -258.752   -257.832   0.919975    8        465      
 7543.15 20      2400     -258.752   -257.832   0.919975    12       479      
 7567.95 21      2513     -258.714   -257.832   0.881898    15       489      
 7568.07 21      2514     -258.714   -257.832   0.881898    14       489      
 7589.84 21      2550     -258.714   -257.832   0.881898    12       498      
 7626.84 22      2643     -258.68    -257.832   0.847996    10       512      
 7636.57 22      2650     -258.68    -257.832   0.847996    10       516      
 7754.72 22      2700     -258.68    -257.832   0.847996    13       557      
 7775.15 23      2771     -258.648   -257.832   0.816115    9        563      
 7828.98 23      2800     -258.648   -257.832   0.816115    11       582      
 7855.45 24      2901     -258.613   -257.832   0.781753    10       590      
 7858.4  24      2902     -258.613   -257.832   0.781753    10       591      
 7880.52 24      2950     -258.613   -257.832   0.781753    10       599      
 7901.62 25      3031     -258.586   -257.832   0.754666    9        606      
 7935.76 25      3050     -258.586   -257.832   0.754666    8        618      
 7958.99 26      3163     -258.562   -257.832   0.730033    12       625      
 7962.13 26      3164     -258.562   -257.832   0.730033    13       626      
 8038.68 26      3200     -258.562   -257.832   0.730033    14       650      
 8110.94 27      3293     -258.539   -257.832   0.707119    12       670      
 8135.27 27      3300     -258.539   -257.832   0.707119    12       677      
 8177.04 27      3350     -258.539   -257.832   0.707119    12       689      
 8204.25 28      3423     -258.517   -257.832   0.684859    11       696      
 8244.42 28      3450     -258.517   -257.832   0.684859    10       708      
 8302.1  29      3553     -258.499   -257.832   0.666605    14       723      
 8302.28 29      3554     -258.499   -257.832   0.666605    14       723      
 8337.46 29      3600     -258.499   -257.832   0.666605    13       733      
 8383.98 30      3687     -258.483   -257.832   0.650663    13       745      
 8412.04 30      3700     -258.483   -257.832   0.650663    11       753      
 8461.17 30      3750     -258.483   -257.832   0.650663    10       766      
 8469.91 31      3819     -258.469   -257.832   0.636629    14       768      
 8503.95 31      3850     -258.469   -257.832   0.636629    12       778      
 8536.46 32      3951     -258.45    -257.832   0.617064    12       786      
 8536.65 32      3952     -258.45    -257.832   0.617064    13       786      
 8648.12 32      4000     -258.45    -257.832   0.617064    15       814      
 8725.5  33      4083     -258.437   -257.832   0.604281    13       830      
 8774.51 33      4100     -258.437   -257.832   0.604281    11       842      
 8987.7  34      4213     -258.419   -257.833   0.586203    12       886      
 8992.18 34      4214     -258.419   -257.833   0.586203    11       887      
 9082.94 34      4250     -258.419   -257.833   0.586203    14       907      
 9206.54 35      4341     -258.403   -257.833   0.570864    12       930      
 9228.98 35      4350     -258.403   -257.833   0.570864    12       935      
 9390.35 35      4400     -258.403   -257.833   0.570864    14       966      
 9420.25 36      4469     -258.388   -257.833   0.555562    15       971      
 9483.69 36      4500     -258.388   -257.833   0.555562    14       984      
 9559.55 37      4597     -258.37    -257.833   0.536901    13       998      
 9564.89 37      4600     -258.37    -257.833   0.536901    13       999      
 9675.96 37      4650     -258.37    -257.833   0.536901    12       1021     
 9745.43 38      4729     -258.359   -257.833   0.525915    12       1033     
 9815.68 38      4750     -258.359   -257.833   0.525915    19       1047     
 9862.93 39      4861     -258.349   -257.833   0.515525    15       1055     
 9868.33 39      4862     -258.349   -257.833   0.515525    15       1056     
 10045.3 39      4900     -258.349   -257.833   0.515525    17       1089     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10045.300000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10045.3 39      4900     -258.349   -257.833   0.515525    17       1089     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : RAM4_medium/3d2d022d74.policyx

