
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3d62949c0a.pomdpx
  loading time : 4.58s 

SARSOP initializing ...
  initialization time : 3117.12s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3117.12 0       0        -182.897   -177.78    5.1168      101      1        
 3120.1  1       55       -180.574   -177.899   2.67461     11       29       
 3122.76 2       107      -179.888   -177.899   1.98855     20       55       
 3124.42 3       175      -179.529   -177.899   1.62984     30       88       
 3126.88 3       200      -179.529   -177.899   1.62984     48       111      
 3131    4       250      -179.079   -177.899   1.17915     40       132      
 3135.77 5       300      -178.843   -177.9     0.943653    52       150      
 3142.39 6       350      -178.671   -177.9     0.771424    38       172      
 3149.54 7       400      -178.54    -177.9     0.639992    55       194      
 3156.01 8       450      -178.417   -177.9     0.516958    35       217      
 3160.61 9       507      -178.344   -177.9     0.443782    43       242      
 3168.7  10      565      -178.274   -177.9     0.374194    84       271      
 3179.78 11      623      -178.222   -177.9     0.321606    86       300      
 3190.49 12      671      -178.169   -177.9     0.268689    54       324      
 3202.24 13      721      -178.129   -177.9     0.228587    53       349      
 3215.68 14      771      -178.109   -177.9     0.209163    63       374      
 3228.79 15      815      -178.085   -177.9     0.185187    45       396      
 3243.01 16      861      -178.072   -177.9     0.17212     45       418      
 3256.25 17      903      -178.058   -177.9     0.157344    45       437      
 3262.78 18      957      -178.029   -177.9     0.129063    50       464      
 3281.21 19      1033     -178.021   -177.9     0.120736    46       502      
 3290.64 19      1050     -178.021   -177.9     0.120736    46       519      
 3300.8  20      1101     -178.008   -177.9     0.107228    42       536      
 3320.99 21      1167     -178.002   -177.9     0.101755    40       568      
 3342.88 22      1227     -177.997   -177.9     0.0961688   44       598      
 3360.91 22      1250     -177.997   -177.9     0.0961688   37       621      
 3377.61 23      1300     -177.988   -177.901   0.0874048   37       640      
 3395.5  24      1353     -177.983   -177.901   0.082377    42       661      
 3425.62 25      1417     -177.979   -177.901   0.0784226   40       693      
 3457.3  26      1479     -177.975   -177.901   0.0741111   38       724      
 3481.39 26      1500     -177.975   -177.901   0.0741111   38       745      
 3501.63 27      1550     -177.972   -177.901   0.0713323   40       763      
 3532.37 28      1609     -177.967   -177.901   0.0660394   38       789      
 3571.27 29      1679     -177.964   -177.901   0.0626936   38       823      
 3594.42 29      1700     -177.964   -177.901   0.0626936   42       844      
 3613.29 30      1755     -177.961   -177.901   0.0604949   38       860      
 3660.42 31      1835     -177.96    -177.901   0.0589048   36       900      
 3679.63 31      1850     -177.96    -177.901   0.0589048   31       915      
 3711.93 32      1915     -177.957   -177.901   0.0563186   33       940      
 3754.97 32      1950     -177.957   -177.901   0.0563186   32       975      
 3765.06 33      2000     -177.956   -177.901   0.0544599   34       982      
 3816.94 34      2087     -177.954   -177.901   0.0532352   29       1025     
 3832.21 34      2100     -177.954   -177.901   0.0532352   33       1038     
 3871.72 35      2175     -177.953   -177.901   0.0516554   28       1069     
 3902.29 35      2200     -177.953   -177.901   0.0516554   31       1094     
 3928.8  36      2265     -177.951   -177.901   0.0502549   31       1114     
 3972.29 36      2300     -177.951   -177.901   0.0502549   26       1149     
 3986.55 37      2355     -177.95    -177.901   0.0489281   27       1159     
 4044.17 37      2400     -177.95    -177.901   0.0489281   31       1204     
 4049.94 38      2450     -177.949   -177.901   0.0480014   34       1207     
 4112.7  39      2543     -177.949   -177.901   0.0472366   29       1253     
 4123.57 39      2550     -177.949   -177.901   0.0472366   30       1260     
 4183.88 40      2637     -177.948   -177.901   0.0463122   32       1300     
 4202.45 40      2650     -177.948   -177.901   0.0463122   35       1313     
 4254.32 41      2733     -177.947   -177.901   0.0455781   29       1348     
 4280.35 41      2750     -177.947   -177.901   0.0455781   29       1365     
 4331.21 42      2829     -177.946   -177.902   0.0446673   32       1396     
 4364.88 42      2850     -177.946   -177.902   0.0446673   28       1417     
 4412.7  43      2927     -177.946   -177.902   0.0439565   27       1445     
 4447.12 43      2950     -177.946   -177.902   0.0439565   36       1468     
 4491.74 44      3027     -177.944   -177.902   0.0425147   30       1495     
 4527.84 44      3050     -177.944   -177.902   0.0425147   35       1518     
 4575.91 45      3131     -177.943   -177.902   0.0417636   34       1546     
 4606.87 45      3150     -177.943   -177.902   0.0417636   43       1565     
 4664.86 46      3235     -177.943   -177.902   0.0412693   30       1597     
 4689.75 46      3250     -177.943   -177.902   0.0412693   31       1612     
 4755.6  47      3341     -177.942   -177.902   0.0406863   27       1649     
 4772.38 47      3350     -177.942   -177.902   0.0406863   31       1658     
 4850.07 48      3449     -177.942   -177.902   0.0400777   34       1702     
 4852.24 48      3450     -177.942   -177.902   0.0400777   34       1703     
 4941.95 48      3500     -177.942   -177.902   0.0400777   38       1753     
 4951.55 49      3559     -177.941   -177.902   0.0397222   36       1757     
 5028.8  49      3600     -177.941   -177.902   0.0397222   37       1798     
 5058.7  50      3669     -177.941   -177.902   0.039267    40       1812     
 5115.88 50      3700     -177.941   -177.902   0.039267    40       1843     
 5163.79 51      3781     -177.941   -177.902   0.0386862   36       1867     
 5200.67 51      3800     -177.941   -177.902   0.0386862   41       1886     
 5279.6  52      3897     -177.94    -177.902   0.0384894   42       1924     
 5280.03 52      3900     -177.94    -177.902   0.0384894   43       1924     
 5379.11 52      3950     -177.94    -177.902   0.0384894   40       1974     
 5387.09 53      4011     -177.94    -177.902   0.0382629   40       1977     
 5469.22 53      4050     -177.94    -177.902   0.0382629   43       2016     
 5511.04 54      4125     -177.94    -177.902   0.0380217   44       2034     
 5562.67 54      4150     -177.94    -177.902   0.0380217   45       2059     
 5630.08 55      4239     -177.94    -177.902   0.0376173   38       2090     
 5653.44 55      4250     -177.94    -177.902   0.0376173   44       2101     
 5756.29 56      4353     -177.939   -177.902   0.0374245   42       2146     
 5759.06 56      4354     -177.939   -177.902   0.0374245   43       2147     
 5863.71 56      4400     -177.939   -177.902   0.0374245   49       2193     
 5890.52 57      4467     -177.939   -177.902   0.0372942   52       2203     
 5970.11 57      4500     -177.939   -177.902   0.0372942   55       2236     
 6031.84 58      4583     -177.939   -177.902   0.0369471   50       2260     
 6074.1  58      4600     -177.939   -177.902   0.0369471   56       2277     
 6175.98 59      4699     -177.939   -177.902   0.0368555   53       2317     
 6179.23 59      4700     -177.939   -177.902   0.0368555   53       2318     
 6307.34 59      4750     -177.939   -177.902   0.0368555   64       2368     
 6322.67 60      4813     -177.939   -177.902   0.0367622   54       2373     
 6415.1  60      4850     -177.939   -177.902   0.0367622   54       2410     
 6466.84 61      4929     -177.939   -177.902   0.0366894   53       2430     
