
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3d7d42afc7.pomdpx
  loading time : 4.65s 

SARSOP initializing ...
  initialization time : 3103.54s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3103.54 0       0        -161.445   -156.299   5.14579     101      1        
 3106.62 1       57       -159.059   -156.475   2.58315     20       30       
 3110.15 2       111      -158.462   -156.475   1.9868      18       57       
 3111.23 3       175      -158.105   -156.476   1.62917     30       88       
 3112.63 3       200      -158.105   -156.476   1.62917     46       111      
 3115.08 4       250      -157.62    -156.476   1.14465     43       132      
 3117.78 5       301      -157.362   -156.476   0.885416    46       149      
 3123.05 6       357      -157.193   -156.476   0.716287    44       177      
 3128.2  7       407      -157.081   -156.476   0.604895    53       201      
 3131.25 8       465      -157.011   -156.476   0.534756    36       230      
 3134.92 9       517      -156.901   -156.476   0.42409     67       256      
 3140.2  10      573      -156.827   -156.477   0.350557    61       284      
 3145.72 11      600      -156.827   -156.477   0.350557    53       310      
 3151.87 11      650      -156.781   -156.477   0.304158    49       334      
 3158.51 13      721      -156.715   -156.477   0.237589    74       358      
 3166.22 14      769      -156.69    -156.477   0.213135    69       382      
 3174.49 15      817      -156.674   -156.477   0.196485    70       406      
 3182.38 16      863      -156.658   -156.478   0.180846    60       428      
 3186.87 17      931      -156.629   -156.478   0.150998    62       456      
 3191.91 17      950      -156.629   -156.478   0.150998    47       475      
 3197.07 18      1005     -156.621   -156.478   0.143       55       493      
 3206.6  19      1065     -156.608   -156.478   0.13027     52       523      
 3217.86 20      1125     -156.599   -156.478   0.121037    45       553      
 3228.07 20      1150     -156.599   -156.478   0.121037    48       578      
 3236.6  21      1200     -156.593   -156.478   0.115375    45       597      
 3246.17 22      1250     -156.586   -156.478   0.108146    47       617      
 3258.41 23      1307     -156.581   -156.478   0.103283    49       643      
 3273.69 24      1369     -156.576   -156.478   0.0980358   41       673      
 3289.14 25      1429     -156.572   -156.478   0.0937348   43       702      
 3300.36 25      1450     -156.572   -156.478   0.0937348   42       723      
 3311.6  26      1500     -156.566   -156.478   0.0877592   44       742      
 3324.33 27      1555     -156.563   -156.478   0.0847491   46       764      
 3345.13 28      1621     -156.56    -156.478   0.0818277   45       797      
 3363.91 28      1650     -156.56    -156.478   0.0818277   46       826      
 3375.76 29      1700     -156.557   -156.478   0.0790103   44       843      
 3390.76 30      1755     -156.555   -156.479   0.0761862   50       864      
 3418.02 31      1825     -156.552   -156.479   0.0731208   45       899      
 3438.64 31      1850     -156.552   -156.479   0.0731208   42       924      
 3450.18 32      1900     -156.551   -156.479   0.0717956   43       937      
 3477.49 33      1969     -156.548   -156.479   0.0687326   44       970      
 3507.29 33      2000     -156.548   -156.479   0.0687326   46       1001     
 3519.26 34      2050     -156.546   -156.479   0.0670716   48       1013     
 3554.19 35      2121     -156.545   -156.479   0.0658659   33       1045     
 3581.35 35      2150     -156.545   -156.479   0.0658659   30       1074     
 3593.95 36      2200     -156.543   -156.479   0.0641804   32       1085     
 3628.35 37      2279     -156.541   -156.479   0.0622776   30       1123     
 3645.54 37      2300     -156.541   -156.479   0.0622776   30       1144     
 3662.17 38      2361     -156.54    -156.479   0.0611408   31       1163     
 3691.85 38      2400     -156.54    -156.479   0.0611408   29       1202     
 3699.74 39      2450     -156.539   -156.479   0.0601171   36       1211     
 3726.3  40      2527     -156.538   -156.479   0.0588374   33       1246     
 3742.96 40      2550     -156.538   -156.479   0.0588374   31       1269     
 3758.35 41      2613     -156.536   -156.479   0.0567316   28       1288     
 3785.49 41      2650     -156.536   -156.479   0.0567316   24       1325     
 3792.74 42      2705     -156.535   -156.479   0.0555159   30       1333     
 3827.53 42      2750     -156.535   -156.479   0.0555159   36       1378     
 3831.67 43      2800     -156.534   -156.479   0.0546455   46       1381     
 3872.36 44      2895     -156.533   -156.48    0.0534763   35       1427     
 3877.18 44      2900     -156.533   -156.48    0.0534763   38       1432     
 3920.04 45      2995     -156.532   -156.48    0.0529558   37       1476     
 3925.1  45      3000     -156.532   -156.48    0.0529558   37       1481     
 3968.82 46      3095     -156.532   -156.48    0.0523344   33       1525     
 3973.08 46      3100     -156.532   -156.48    0.0523344   36       1530     
 4015.21 47      3193     -156.531   -156.48    0.0518328   32       1573     
 4021.77 47      3200     -156.531   -156.48    0.0518328   36       1580     
