
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3e13580c6a.pomdpx
  loading time : 4.90s 

SARSOP initializing ...
  initialization time : 9476.16s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9476.16 0       0        -6399.8    -190.697   6209.1      101      1        
 9478.01 0       50       -6298.24   -5110.91   1187.33     71       12       
 9478.5  0       100      -6298.24   -5110.91   1187.33     82       12       
 9480.24 1       245      -6005.95   -5110.91   895.038     88       14       
 9480.25 1       246      -6005.95   -5110.91   895.038     89       14       
 9480.27 1       250      -6005.95   -5110.91   895.038     93       14       
 9480.45 1       300      -6005.95   -5110.91   895.038     76       14       
 9480.64 1       350      -6005.95   -5110.91   895.038     82       14       
 9481.68 2       477      -5785.18   -5110.91   674.264     72       16       
 9481.69 2       478      -5785.18   -5110.91   674.264     73       16       
 9481.77 2       500      -5785.18   -5110.91   674.264     85       16       
 9481.94 2       550      -5785.18   -5110.91   674.264     105      16       
 9483.23 3       711      -5622.27   -5110.91   511.362     13       18       
 9483.23 3       712      -5622.27   -5110.91   511.362     11       18       
 9483.24 3       713      -5622.27   -5110.91   511.362     10       18       
 9483.32 3       750      -5622.27   -5110.91   511.362     9        18       
 9483.39 3       800      -5622.27   -5110.91   511.362     8        18       
 9484.03 4       947      -5510.66   -5110.91   399.745     9        18       
 9484.04 4       948      -5510.66   -5110.91   399.745     9        18       
 9484.04 4       950      -5510.66   -5110.91   399.745     8        18       
 9484.14 4       1000     -5510.66   -5110.91   399.745     8        18       
 9484.21 4       1050     -5510.66   -5110.91   399.745     8        18       
 9484.83 5       1187     -5433.14   -5110.91   322.231     8        19       
 9484.83 5       1188     -5433.14   -5110.91   322.231     7        19       
 9484.86 5       1200     -5433.14   -5110.91   322.231     8        19       
 9484.95 5       1250     -5433.14   -5110.91   322.231     8        19       
 9485.02 5       1300     -5433.14   -5110.91   322.231     8        19       
 9485.65 6       1427     -5377.22   -5110.91   266.31      8        20       
 9485.66 6       1428     -5377.22   -5110.91   266.31      7        20       
 9485.7  6       1450     -5377.22   -5110.91   266.31      7        20       
 9485.78 6       1500     -5377.22   -5110.91   266.31      7        20       
 9486.32 7       1667     -5332.93   -5110.91   222.017     8        20       
 9486.32 7       1668     -5332.93   -5110.91   222.017     7        20       
 9486.33 7       1669     -5332.93   -5110.91   222.017     6        20       
 9486.39 7       1700     -5332.93   -5110.91   222.017     9        20       
 9486.46 7       1750     -5332.93   -5110.91   222.017     7        20       
 9487.29 8       1909     -5298.99   -5110.91   188.083     8        22       
 9487.3  8       1910     -5298.99   -5110.91   188.083     7        22       
 9487.3  8       1911     -5298.99   -5110.91   188.083     6        22       
 9487.37 8       1950     -5298.99   -5110.91   188.083     8        22       
 9487.44 8       2000     -5298.99   -5110.91   188.083     8        22       
 9487.98 9       2151     -5271.81   -5110.91   160.902     8        22       
 9487.98 9       2152     -5271.81   -5110.91   160.902     7        22       
 9487.98 9       2153     -5271.81   -5110.91   160.902     5        22       
 9488.07 9       2200     -5271.81   -5110.91   160.902     6        22       
 9488.14 9       2250     -5271.81   -5110.91   160.902     6        22       
 9488.79 10      2395     -5251.21   -5110.91   140.303     8        23       
 9488.79 10      2396     -5251.21   -5110.91   140.303     8        23       
 9488.8  10      2400     -5251.21   -5110.91   140.303     8        23       
 9488.89 10      2450     -5251.21   -5110.91   140.303     9        23       
 9488.96 10      2500     -5251.21   -5110.91   140.303     9        23       
 9489.77 11      2639     -5234.65   -5110.91   123.737     8        25       
 9489.78 11      2640     -5234.65   -5110.91   123.737     7        25       
 9489.81 11      2650     -5234.65   -5110.91   123.737     7        25       
 9489.88 11      2700     -5234.65   -5110.91   123.737     7        25       
 9489.96 11      2750     -5234.65   -5110.91   123.737     8        25       
 9490.63 12      2883     -5219.51   -5110.91   108.599     9        26       
 9490.64 12      2884     -5219.51   -5110.91   108.599     9        26       
 9490.67 12      2900     -5219.51   -5110.91   108.599     9        26       
 9490.76 12      2950     -5219.51   -5110.91   108.599     12       26       
 9490.84 12      3000     -5219.51   -5110.91   108.599     12       26       
 9491.3  13      3129     -5207.05   -5110.91   96.1377     8        26       
 9491.3  13      3130     -5207.05   -5110.91   96.1377     8        26       
 9491.34 13      3150     -5207.05   -5110.91   96.1377     8        26       
 9491.42 13      3200     -5207.05   -5110.91   96.1377     11       26       
 9491.71 13      3250     -5207.05   -5110.91   96.1377     11       27       
 9492.37 14      3375     -5196.73   -5110.91   85.8218     8        28       
 9492.38 14      3376     -5196.73   -5110.91   85.8218     7        28       
 9492.42 14      3400     -5196.73   -5110.91   85.8218     9        28       
 9492.5  14      3450     -5196.73   -5110.91   85.8218     8        28       
 9494.04 15      3623     -5191.64   -5110.91   80.7245     9        31       
 9494.05 15      3624     -5191.64   -5110.91   80.7245     9        31       
 9494.06 15      3625     -5191.64   -5110.91   80.7245     8        31       
 9494.11 15      3650     -5191.64   -5110.91   80.7245     9        31       
 9494.18 15      3700     -5191.64   -5110.91   80.7245     9        31       
 9496.53 16      3863     -5187.89   -5110.91   76.9759     11       35       
 9497.07 16      3864     -5187.89   -5110.91   76.9759     9        36       
 9497.74 16      3865     -5187.89   -5110.91   76.9759     8        37       
 9499.29 16      3900     -5187.89   -5110.91   76.9759     9        40       
 9499.38 16      3950     -5187.89   -5110.91   76.9759     9        40       
 9501.79 17      4093     -5168.12   -5110.91   57.212      6        43       
 9501.8  17      4094     -5168.12   -5110.91   57.212      7        43       
 9501.83 17      4100     -5168.12   -5110.91   57.212      8        43       
 9501.92 17      4150     -5168.12   -5110.91   57.212      8        43       
 9502.01 17      4200     -5168.12   -5110.91   57.212      8        43       
 9502.71 18      4359     -5165.22   -5110.91   54.3125     11       43       
 9502.73 18      4360     -5165.22   -5110.91   54.3125     9        43       
 9502.73 18      4361     -5165.22   -5110.91   54.3125     8        43       
 9502.81 18      4400     -5165.22   -5110.91   54.3125     9        43       
 9502.91 18      4450     -5165.22   -5110.91   54.3125     9        43       
 9504.27 19      4623     -5162.78   -5110.91   51.8681     9        44       
 9504.28 19      4624     -5162.78   -5110.91   51.8681     8        44       
 9504.29 19      4625     -5162.78   -5110.91   51.8681     8        44       
 9504.35 19      4650     -5162.78   -5110.91   51.8681     9        44       
 9504.43 19      4700     -5162.78   -5110.91   51.8681     9        44       
 9504.52 19      4750     -5162.78   -5110.91   51.8681     8        44       
 9505.63 20      4879     -5160.85   -5110.91   49.9356     10       45       
 9506.26 20      4880     -5160.85   -5110.91   49.9356     8        46       
 9508.36 20      4900     -5160.85   -5110.91   49.9356     8        49       
 9508.46 20      4950     -5160.85   -5110.91   49.9356     8        49       
 9508.56 20      5000     -5160.85   -5110.91   49.9356     8        49       
 9510.08 21      5129     -5152.18   -5110.91   41.2667     5        50       
 9510.09 21      5130     -5152.18   -5110.91   41.2667     6        50       
 9510.15 21      5150     -5152.18   -5110.91   41.2667     8        50       
 9510.25 21      5200     -5152.18   -5110.91   41.2667     8        50       
 9510.34 21      5250     -5152.18   -5110.91   41.2667     8        50       
 9511.06 22      5399     -5150.16   -5110.91   39.2524     8        50       
 9511.07 22      5400     -5150.16   -5110.91   39.2524     8        50       
 9511.09 22      5401     -5150.16   -5110.91   39.2524     8        50       
 9511.19 22      5450     -5150.16   -5110.91   39.2524     9        50       
 9511.29 22      5500     -5150.16   -5110.91   39.2524     9        50       
 9514.3  23      5663     -5148.6    -5110.91   37.6919     9        53       
 9514.32 23      5664     -5148.6    -5110.91   37.6919     8        53       
 9514.33 23      5665     -5148.6    -5110.91   37.6919     8        53       
 9514.41 23      5700     -5148.6    -5110.91   37.6919     8        53       
 9514.51 23      5750     -5148.6    -5110.91   37.6919     8        53       
 9518.72 24      5923     -5147.33   -5110.91   36.4129     8        57       
 9519.68 24      5924     -5147.33   -5110.91   36.4129     9        58       
 9520.79 24      5925     -5147.33   -5110.91   36.4129     8        59       
 9522.46 24      5950     -5147.33   -5110.91   36.4129     10       61       
 9522.57 24      6000     -5147.33   -5110.91   36.4129     10       61       
 9525.61 25      6175     -5141.74   -5110.91   30.8299     7        63       
 9525.64 25      6176     -5141.74   -5110.91   30.8299     7        63       
 9525.66 25      6177     -5141.74   -5110.91   30.8299     6        63       
 9525.72 25      6200     -5141.74   -5110.91   30.8299     8        63       
 9525.82 25      6250     -5141.74   -5110.91   30.8299     8        63       
 9525.93 25      6300     -5141.74   -5110.91   30.8299     8        63       
 9527.7  26      6445     -5140.48   -5110.91   29.5633     10       64       
 9527.72 26      6446     -5140.48   -5110.91   29.5633     9        64       
 9527.75 26      6450     -5140.48   -5110.91   29.5633     9        64       
 9527.86 26      6500     -5140.48   -5110.91   29.5633     9        64       
 9527.96 26      6550     -5140.48   -5110.91   29.5633     9        64       
 9531.03 27      6711     -5139.48   -5110.91   28.5676     7        66       
 9532.25 27      6712     -5139.48   -5110.91   28.5676     7        67       
 9533.51 27      6713     -5139.48   -5110.91   28.5676     7        68       
 9534.67 27      6750     -5139.48   -5110.91   28.5676     8        69       
 9534.78 27      6800     -5139.48   -5110.91   28.5676     8        69       
 9535.4  28      6971     -5138.36   -5110.91   27.4509     7        69       
 9535.43 28      6972     -5138.36   -5110.91   27.4509     8        69       
 9535.45 28      6973     -5138.36   -5110.91   27.4509     8        69       
 9535.53 28      7000     -5138.36   -5110.91   27.4509     9        69       
 9535.64 28      7050     -5138.36   -5110.91   27.4509     9        69       
 9539.93 29      7100     -5138.36   -5110.91   27.4509     11       72       
 9540.58 29      7229     -5137.63   -5110.91   26.7169     12       72       
 9540.6  29      7230     -5137.63   -5110.91   26.7169     12       72       
 9540.68 29      7250     -5137.63   -5110.91   26.7169     14       72       
 9540.79 29      7300     -5137.63   -5110.91   26.7169     14       72       
 9540.91 29      7350     -5137.63   -5110.91   26.7169     14       72       
 9542.9  30      7479     -5133.36   -5110.91   22.445      7        73       
 9544.25 30      7480     -5133.36   -5110.91   22.445      7        74       
 9545.2  30      7500     -5133.36   -5110.91   22.445      9        75       
 9545.31 30      7550     -5133.36   -5110.91   22.445      9        75       
 9545.43 30      7600     -5133.36   -5110.91   22.445      9        75       
 9549.38 31      7751     -5132.62   -5110.91   21.7027     8        77       
 9549.41 31      7752     -5132.62   -5110.91   21.7027     8        77       
 9549.44 31      7753     -5132.62   -5110.91   21.7027     8        77       
