
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3e44ccf7cd.pomdpx
  loading time : 4.26s 

SARSOP initializing ...
  initialization time : 2012.23s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2012.23 0       0        -112.537   -110.325   2.21211     101      1        
 2015.95 1       50       -111.945   -110.371   1.5739      23       31       
 2020.49 2       100      -111.622   -110.371   1.25136     24       57       
 2026.76 4       165      -111.249   -110.371   0.877881    43       84       
 2029.1  5       201      -111.129   -110.371   0.758416    43       102      
 2032.74 6       250      -110.993   -110.371   0.622133    59       134      
 2035.37 8       300      -110.829   -110.371   0.458468    51       157      
 2036.58 8       350      -110.829   -110.371   0.458468    86       207      
 2037.7  9       433      -110.789   -110.371   0.417897    121      218      
 2039.49 9       450      -110.789   -110.371   0.417897    120      235      
 2042.93 11      500      -110.697   -110.371   0.325756    142      254      
 2046.88 12      550      -110.652   -110.371   0.280304    48       294      
 2048.27 13      615      -110.606   -110.371   0.234999    65       309      
 2051.38 14      659      -110.594   -110.371   0.222282    101      331      
 2056.84 16      713      -110.548   -110.371   0.176463    74       358      
 2062.98 18      757      -110.509   -110.371   0.137136    72       380      
 2069.36 20      800      -110.486   -110.371   0.114651    45       403      
 2070.51 21      863      -110.482   -110.372   0.110394    47       431      
 2075.34 22      900      -110.476   -110.372   0.10443     52       453      
 2078.45 23      950      -110.469   -110.372   0.0977019   68       493      
 2082.97 23      1000     -110.469   -110.372   0.0977019   60       543      
 2085.98 24      1123     -110.459   -110.372   0.0877271   116      560      
 2086.37 24      1124     -110.459   -110.372   0.0877271   113      561      
 2089.62 25      1155     -110.451   -110.372   0.0790772   114      576      
 2097.36 27      1207     -110.442   -110.372   0.0699762   111      602      
 2104.13 29      1253     -110.432   -110.372   0.060703    110      623      
 2114.13 31      1300     -110.425   -110.372   0.0532877   109      649      
 2121.22 33      1350     -110.42    -110.372   0.0484323   104      673      
 2127.14 33      1400     -110.42    -110.372   0.0484323   81       723      
