
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3e56b16b36.pomdpx
  loading time : 4.78s 

SARSOP initializing ...
  initialization time : 3018.05s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3018.05 0       0        -9103.61   -7155.12   1948.49     101      1        
 3019.11 0       50       -9102.85   -8690.14   412.705     57       7        
 3019.34 0       100      -9102.85   -8690.14   412.705     52       7        
 3024.91 1       269      -8935.37   -8690.39   244.978     10       23       
 3024.92 1       270      -8935.37   -8690.39   244.978     10       23       
 3024.93 1       271      -8935.37   -8690.39   244.978     9        23       
 3024.98 1       300      -8935.37   -8690.39   244.978     7        23       
 3025.06 1       350      -8935.37   -8690.39   244.978     7        23       
 3025.14 1       400      -8935.37   -8690.39   244.978     7        23       
 3028.96 2       565      -8871.49   -8690.5    180.988     5        31       
 3028.98 2       566      -8871.49   -8690.5    180.988     6        31       
 3028.98 2       567      -8871.49   -8690.5    180.988     5        31       
 3029.05 2       600      -8871.49   -8690.5    180.988     5        31       
 3029.13 2       650      -8871.49   -8690.5    180.988     5        31       
 3032.09 2       700      -8871.49   -8690.5    180.988     7        37       
 3036.07 3       853      -8826.54   -8690.61   135.929     8        42       
 3036.09 3       854      -8826.54   -8690.61   135.929     8        42       
 3036.1  3       855      -8826.54   -8690.61   135.929     8        42       
 3036.2  3       900      -8826.54   -8690.61   135.929     9        42       
 3036.3  3       950      -8826.54   -8690.61   135.929     9        42       
 3044    3       1000     -8826.54   -8690.61   135.929     6        51       
 3046.1  4       1151     -8790.86   -8690.75   100.106     6        52       
 3046.11 4       1152     -8790.86   -8690.75   100.106     7        52       
 3046.98 4       1153     -8790.86   -8690.75   100.106     6        53       
 3047.67 4       1200     -8790.86   -8690.75   100.106     7        54       
 3047.78 4       1250     -8790.86   -8690.75   100.106     7        54       
 3065.15 5       1445     -8765.6    -8690.82   74.7772     8        71       
 3065.17 5       1446     -8765.6    -8690.82   74.7772     8        71       
 3065.2  5       1447     -8765.6    -8690.82   74.7772     8        71       
 3065.23 5       1450     -8765.6    -8690.82   74.7772     8        71       
 3065.36 5       1500     -8765.6    -8690.82   74.7772     8        71       
 3065.5  5       1550     -8765.6    -8690.82   74.7772     9        71       
 3081.26 6       1739     -8749.55   -8690.92   58.6285     9        83       
 3082.48 6       1740     -8749.55   -8690.92   58.6285     9        84       
 3083.74 6       1741     -8749.55   -8690.92   58.6285     10       85       
 3085.53 6       1750     -8749.55   -8690.92   58.6285     11       87       
 3085.67 6       1800     -8749.55   -8690.92   58.6285     11       87       
