
Loading the model ...
  input file   : /home/rstudio/RAM4_medium/3e6bcb460d.pomdpx
  loading time : 4.75s 

SARSOP initializing ...
  initialization time : 3597.45s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3597.45 0       0        -204.48    -200.45    4.02968     101      1        
 3600.58 1       50       -202.678   -200.553   2.12433     26       31       
 3604.47 3       117      -201.8     -200.553   1.24706     29       60       
 3605.99 3       150      -201.8     -200.553   1.24706     38       93       
 3607.91 4       200      -201.56    -200.554   1.00668     43       108      
 3611.3  5       253      -201.305   -200.554   0.751262    38       128      
 3619.03 6       319      -201.183   -200.554   0.629384    56       161      
 3627.53 7       375      -201.093   -200.554   0.539166    53       189      
 3635.54 8       421      -201.021   -200.554   0.466546    41       212      
 3641.55 9       465      -200.937   -200.554   0.382893    38       234      
 3649.77 10      515      -200.871   -200.554   0.316855    61       259      
 3659.32 11      565      -200.832   -200.554   0.278008    54       284      
 3668.2  12      609      -200.79    -200.554   0.235422    53       305      
 3674.14 13      673      -200.757   -200.554   0.202251    42       332      
 3683.1  13      700      -200.757   -200.554   0.202251    54       359      
 3690.12 14      750      -200.733   -200.555   0.178901    62       375      
 3699.87 15      805      -200.715   -200.555   0.160491    50       398      
 3713.21 16      859      -200.696   -200.555   0.141214    39       425      
 3726.49 17      911      -200.68    -200.555   0.125572    40       450      
 3743.19 18      967      -200.672   -200.555   0.117729    43       478      
 3759.64 19      1019     -200.665   -200.555   0.109696    40       504      
 3777.49 20      1071     -200.655   -200.555   0.0999104   39       530      
 3797.86 21      1127     -200.648   -200.555   0.0929551   42       558      
 3815.32 21      1150     -200.648   -200.555   0.0929551   38       581      
 3833.56 22      1200     -200.643   -200.555   0.0881592   36       603      
 3853.06 23      1250     -200.637   -200.555   0.0820306   35       626      
 3874.4  24      1300     -200.633   -200.555   0.0776715   34       649      
 3896.73 25      1350     -200.628   -200.555   0.0729006   32       672      
 3916.67 26      1400     -200.625   -200.555   0.0699646   25       694      
 3927.58 27      1457     -200.615   -200.555   0.0594495   43       722      
 3955.69 28      1539     -200.612   -200.555   0.0570174   42       763      
 3965.08 28      1550     -200.612   -200.555   0.0570174   44       774      
 3986.32 29      1615     -200.611   -200.555   0.0551707   46       801      
 4015.86 29      1650     -200.611   -200.555   0.0551707   41       836      
