
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3714dbd602.pomdpx
  loading time : 4.56s 

SARSOP initializing ...
  initialization time : 4922.56s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4922.56 0       0        -5490.64   -103.543   5387.1      101      1        
 4923.14 0       50       -5482.42   -5473.69   8.7291      82       19       
 4923.91 1       159      -5477.5    -5473.69   3.80201     119      28       
 4923.95 1       160      -5477.5    -5473.69   3.80201     120      29       
 4924.35 1       200      -5477.5    -5473.69   3.80201     80       37       
 4924.48 1       250      -5477.5    -5473.69   3.80201     90       37       
 4925.14 2       381      -5476.75   -5473.69   3.05137     86       43       
 4925.16 2       382      -5476.75   -5473.69   3.05137     87       44       
 4925.53 2       400      -5476.75   -5473.69   3.05137     78       55       
 4925.59 2       450      -5476.75   -5473.69   3.05137     83       55       
 4926.21 3       597      -5475.53   -5473.69   1.83989     109      61       
 4926.25 3       598      -5475.53   -5473.69   1.83989     110      62       
 4926.34 3       600      -5475.53   -5473.69   1.83989     112      64       
 4926.64 3       650      -5475.53   -5473.69   1.83989     100      70       
 4926.71 3       700      -5475.53   -5473.69   1.83989     93       70       
 4927.43 4       879      -5475.36   -5473.69   1.66415     116      75       
 4927.44 4       880      -5475.36   -5473.69   1.66415     117      75       
 4927.46 4       881      -5475.36   -5473.69   1.66415     118      75       
 4927.52 4       900      -5475.36   -5473.69   1.66415     124      75       
 4927.6  4       950      -5475.36   -5473.69   1.66415     126      75       
 4927.68 4       1000     -5475.36   -5473.69   1.66415     116      75       
 4928.46 5       1161     -5475.3    -5473.69   1.60346     47       80       
 4928.47 5       1162     -5475.3    -5473.69   1.60346     40       80       
 4928.49 5       1163     -5475.3    -5473.69   1.60346     31       80       
 4928.54 5       1200     -5475.3    -5473.69   1.60346     30       80       
 4928.6  5       1250     -5475.3    -5473.69   1.60346     28       80       
 4928.88 6       1300     -5475.3    -5473.69   1.60346     28       85       
 4929.18 6       1439     -5475.25   -5473.69   1.55551     28       85       
 4929.2  6       1440     -5475.25   -5473.69   1.55551     27       85       
 4929.23 6       1450     -5475.25   -5473.69   1.55551     27       85       
 4929.28 6       1500     -5475.25   -5473.69   1.55551     25       85       
 4929.34 6       1550     -5475.25   -5473.69   1.55551     22       85       
 4929.83 7       1713     -5475.22   -5473.69   1.52583     24       89       
 4929.84 7       1714     -5475.22   -5473.69   1.52583     24       89       
 4929.86 7       1715     -5475.22   -5473.69   1.52583     22       89       
 4929.91 7       1750     -5475.22   -5473.69   1.52583     23       89       
 4929.96 7       1800     -5475.22   -5473.69   1.52583     22       89       
 4930.48 8       1985     -5475.15   -5473.69   1.45529     15       93       
 4930.49 8       1986     -5475.15   -5473.69   1.45529     15       93       
 4930.5  8       1987     -5475.15   -5473.69   1.45529     15       93       
 4930.53 8       2000     -5475.15   -5473.69   1.45529     15       93       
 4930.58 8       2050     -5475.15   -5473.69   1.45529     15       93       
 4930.64 8       2100     -5475.15   -5473.69   1.45529     15       93       
 4931.1  9       2257     -5475.12   -5473.69   1.42224     14       96       
 4931.12 9       2258     -5475.12   -5473.69   1.42224     15       96       
 4931.14 9       2259     -5475.12   -5473.69   1.42224     14       96       
 4931.2  9       2300     -5475.12   -5473.69   1.42224     15       96       
 4931.25 9       2350     -5475.12   -5473.69   1.42224     15       96       
 4931.73 10      2525     -5475.06   -5473.69   1.36376     13       99       
 4931.75 10      2526     -5475.06   -5473.69   1.36376     14       99       
 4931.77 10      2527     -5475.06   -5473.69   1.36376     13       99       
 4931.81 10      2550     -5475.06   -5473.69   1.36376     16       99       
 4931.86 10      2600     -5475.06   -5473.69   1.36376     16       99       
 4931.92 10      2650     -5475.06   -5473.69   1.36376     16       99       
 4932.66 11      2791     -5475.03   -5473.69   1.3328      14       105      
 4932.68 11      2792     -5475.03   -5473.69   1.3328      14       105      
 4932.71 11      2800     -5475.03   -5473.69   1.3328      13       105      
 4932.76 11      2850     -5475.03   -5473.69   1.3328      13       105      
 4932.82 11      2900     -5475.03   -5473.69   1.3328      13       105      
 4933.53 12      3053     -5474.98   -5473.69   1.28345     15       110      
 4933.56 12      3054     -5474.98   -5473.69   1.28345     16       110      
 4933.58 12      3055     -5474.98   -5473.69   1.28345     13       110      
 4933.64 12      3100     -5474.98   -5473.69   1.28345     14       110      
 4933.7  12      3150     -5474.98   -5473.69   1.28345     14       110      
 4934.64 13      3311     -5474.95   -5473.69   1.25543     15       116      
 4934.73 13      3312     -5474.95   -5473.69   1.25543     12       117      
 4934.82 13      3313     -5474.95   -5473.69   1.25543     11       118      
 4935.47 13      3350     -5474.95   -5473.69   1.25543     12       124      
 4935.53 13      3400     -5474.95   -5473.69   1.25543     12       124      
 4936.68 14      3563     -5474.72   -5473.7    1.02332     9        130      
 4936.69 14      3564     -5474.72   -5473.7    1.02332     9        130      
 4936.71 14      3565     -5474.72   -5473.7    1.02332     9        130      
 4936.77 14      3600     -5474.72   -5473.7    1.02332     11       130      
 4936.83 14      3650     -5474.72   -5473.7    1.02332     11       130      
 4936.95 14      3700     -5474.72   -5473.7    1.02332     10       131      
 4937.57 15      3847     -5474.69   -5473.7    0.991607    11       135      
 4937.59 15      3848     -5474.69   -5473.7    0.991607    11       135      
 4937.62 15      3850     -5474.69   -5473.7    0.991607    11       135      
 4937.69 15      3900     -5474.69   -5473.7    0.991607    13       135      
 4937.75 15      3950     -5474.69   -5473.7    0.991607    13       135      
 4938.35 16      4127     -5474.66   -5473.7    0.962747    12       138      
 4938.37 16      4128     -5474.66   -5473.7    0.962747    12       138      
 4938.39 16      4129     -5474.66   -5473.7    0.962747    12       138      
 4938.43 16      4150     -5474.66   -5473.7    0.962747    11       138      
 4938.49 16      4200     -5474.66   -5473.7    0.962747    11       138      
 4938.55 16      4250     -5474.66   -5473.7    0.962747    11       138      
 4939.53 17      4403     -5474.64   -5473.7    0.94208     13       144      
 4939.55 17      4404     -5474.64   -5473.7    0.94208     13       144      
 4939.58 17      4405     -5474.64   -5473.7    0.94208     13       144      
 4939.64 17      4450     -5474.64   -5473.7    0.94208     13       144      
 4939.71 17      4500     -5474.64   -5473.7    0.94208     13       144      
 4940.68 18      4677     -5474.62   -5473.7    0.926434    13       149      
 4940.7  18      4678     -5474.62   -5473.7    0.926434    14       149      
 4940.73 18      4679     -5474.62   -5473.7    0.926434    13       149      
 4940.78 18      4700     -5474.62   -5473.7    0.926434    13       149      
 4940.84 18      4750     -5474.62   -5473.7    0.926434    13       149      
 4940.91 18      4800     -5474.62   -5473.7    0.926434    13       149      
 4941.97 19      4947     -5474.61   -5473.7    0.911142    18       154      
 4942    19      4948     -5474.61   -5473.7    0.911142    19       154      
 4942.03 19      4950     -5474.61   -5473.7    0.911142    19       154      
 4942.11 19      5000     -5474.61   -5473.7    0.911142    19       154      
 4942.18 19      5050     -5474.61   -5473.7    0.911142    19       154      
 4944.09 20      5215     -5474.58   -5473.7    0.883051    17       163      
 4944.12 20      5216     -5474.58   -5473.7    0.883051    17       163      
 4944.15 20      5217     -5474.58   -5473.7    0.883051    15       163      
 4944.21 20      5250     -5474.58   -5473.7    0.883051    16       163      
 4944.28 20      5300     -5474.58   -5473.7    0.883051    16       163      
 4945.14 21      5481     -5474.56   -5473.7    0.866239    16       166      
 4945.17 21      5482     -5474.56   -5473.7    0.866239    17       166      
 4945.2  21      5483     -5474.56   -5473.7    0.866239    16       166      
 4945.25 21      5500     -5474.56   -5473.7    0.866239    16       166      
 4945.33 21      5550     -5474.56   -5473.7    0.866239    16       166      
 4945.4  21      5600     -5474.56   -5473.7    0.866239    16       166      
 4946.06 22      5745     -5474.55   -5473.7    0.854439    19       168      
 4946.09 22      5746     -5474.55   -5473.7    0.854439    20       168      
 4946.13 22      5750     -5474.55   -5473.7    0.854439    19       168      
 4946.21 22      5800     -5474.55   -5473.7    0.854439    20       168      
 4946.29 22      5850     -5474.55   -5473.7    0.854439    20       168      
 4947.48 23      6005     -5474.53   -5473.7    0.834903    15       173      
 4947.52 23      6006     -5474.53   -5473.7    0.834903    16       173      
 4947.55 23      6007     -5474.53   -5473.7    0.834903    15       173      
 4947.63 23      6050     -5474.53   -5473.7    0.834903    15       173      
 4947.71 23      6100     -5474.53   -5473.7    0.834903    15       173      
 4949.15 24      6263     -5474.52   -5473.7    0.824725    18       179      
 4949.19 24      6264     -5474.52   -5473.7    0.824725    18       179      
 4949.23 24      6265     -5474.52   -5473.7    0.824725    18       179      
 4949.3  24      6300     -5474.52   -5473.7    0.824725    18       179      
 4949.38 24      6350     -5474.52   -5473.7    0.824725    18       179      
 4950.07 25      6519     -5474.51   -5473.7    0.81704     16       181      
 4950.11 25      6520     -5474.51   -5473.7    0.81704     17       181      
 4950.15 25      6521     -5474.51   -5473.7    0.81704     16       181      
 4950.22 25      6550     -5474.51   -5473.7    0.81704     16       181      
 4950.3  25      6600     -5474.51   -5473.7    0.81704     16       181      
 4951.71 26      6773     -5474.5    -5473.7    0.806159    18       186      
 4951.75 26      6774     -5474.5    -5473.7    0.806159    19       186      
 4951.79 26      6775     -5474.5    -5473.7    0.806159    19       186      
 4951.85 26      6800     -5474.5    -5473.7    0.806159    18       186      
 4951.94 26      6850     -5474.5    -5473.7    0.806159    18       186      
 4953.67 27      7023     -5474.49   -5473.7    0.797385    20       193      
 4953.71 27      7024     -5474.49   -5473.7    0.797385    20       193      
 4953.75 27      7025     -5474.49   -5473.7    0.797385    19       193      
 4953.82 27      7050     -5474.49   -5473.7    0.797385    19       193      
 4953.91 27      7100     -5474.49   -5473.7    0.797385    19       193      
 4955.16 28      7271     -5474.48   -5473.7    0.780902    14       197      
 4955.2  28      7272     -5474.48   -5473.7    0.780902    15       197      
 4955.24 28      7273     -5474.48   -5473.7    0.780902    15       197      
 4955.3  28      7300     -5474.48   -5473.7    0.780902    15       197      
 4955.39 28      7350     -5474.48   -5473.7    0.780902    15       197      
 4957.05 29      7519     -5474.47   -5473.7    0.77377     18       203      
 4957.09 29      7520     -5474.47   -5473.7    0.77377     18       203      
 4957.14 29      7521     -5474.47   -5473.7    0.77377     17       203      
 4957.21 29      7550     -5474.47   -5473.7    0.77377     17       203      
 4957.3  29      7600     -5474.47   -5473.7    0.77377     17       203      
 4959.2  30      7765     -5474.46   -5473.7    0.764233    16       209      
 4959.27 30      7766     -5474.46   -5473.7    0.764233    13       210      
 4959.39 30      7767     -5474.46   -5473.7    0.764233    12       211      
 4960.26 30      7800     -5474.46   -5473.7    0.764233    11       217      
 4960.34 30      7850     -5474.46   -5473.7    0.764233    11       217      
 4961.81 31      8003     -5474.25   -5473.7    0.556935    10       223      
 4961.85 31      8004     -5474.25   -5473.7    0.556935    9        223      
 4961.88 31      8005     -5474.25   -5473.7    0.556935    8        223      
 4961.96 31      8050     -5474.25   -5473.7    0.556935    8        223      
 4962.03 31      8100     -5474.25   -5473.7    0.556935    8        223      
 4962.66 32      8150     -5474.25   -5473.7    0.556935    10       227      
 4963.04 32      8297     -5474.24   -5473.7    0.545795    12       227      
 4963.08 32      8298     -5474.24   -5473.7    0.545795    11       227      
 4963.12 32      8300     -5474.24   -5473.7    0.545795    11       227      
 4963.2  32      8350     -5474.24   -5473.7    0.545795    11       227      
 4963.28 32      8400     -5474.24   -5473.7    0.545795    11       227      
 4964.83 33      8591     -5474.24   -5473.7    0.540738    12       234      
 4964.87 33      8592     -5474.24   -5473.7    0.540738    13       234      
 4964.91 33      8593     -5474.24   -5473.7    0.540738    13       234      
 4964.96 33      8600     -5474.24   -5473.7    0.540738    12       234      
 4965.04 33      8650     -5474.24   -5473.7    0.540738    12       234      
 4965.13 33      8700     -5474.24   -5473.7    0.540738    12       234      
 4965.62 34      8883     -5474.23   -5473.7    0.531725    10       235      
 4965.66 34      8884     -5474.23   -5473.7    0.531725    11       235      
 4965.69 34      8885     -5474.23   -5473.7    0.531725    11       235      
 4965.75 34      8900     -5474.23   -5473.7    0.531725    12       235      
 4965.83 34      8950     -5474.23   -5473.7    0.531725    12       235      
 4965.92 34      9000     -5474.23   -5473.7    0.531725    12       235      
 4966.93 35      9175     -5474.22   -5473.7    0.524239    12       239      
 4966.97 35      9176     -5474.22   -5473.7    0.524239    12       239      
 4967.01 35      9177     -5474.22   -5473.7    0.524239    12       239      
 4967.07 35      9200     -5474.22   -5473.7    0.524239    13       239      
 4967.16 35      9250     -5474.22   -5473.7    0.524239    13       239      
 4967.24 35      9300     -5474.22   -5473.7    0.524239    13       239      
 4968.09 36      9465     -5474.22   -5473.7    0.520493    14       242      
 4968.13 36      9466     -5474.22   -5473.7    0.520493    14       242      
 4968.17 36      9467     -5474.22   -5473.7    0.520493    13       242      
 4968.25 36      9500     -5474.22   -5473.7    0.520493    13       242      
 4968.34 36      9550     -5474.22   -5473.7    0.520493    13       242      
 4968.43 36      9600     -5474.22   -5473.7    0.520493    13       242      
 4969.58 37      9753     -5474.21   -5473.7    0.510849    14       246      
 4969.62 37      9754     -5474.21   -5473.7    0.510849    14       246      
 4969.66 37      9755     -5474.21   -5473.7    0.510849    14       246      
 4969.75 37      9800     -5474.21   -5473.7    0.510849    14       246      
 4969.85 37      9850     -5474.21   -5473.7    0.510849    14       246      
 4971.1  38      10039    -5474.2    -5473.7    0.50463     16       250      
 4971.14 38      10040    -5474.2    -5473.7    0.50463     16       250      
 4971.19 38      10041    -5474.2    -5473.7    0.50463     17       250      
 4971.25 38      10050    -5474.2    -5473.7    0.50463     15       250      
 4971.34 38      10100    -5474.2    -5473.7    0.50463     15       250      
 4971.43 38      10150    -5474.2    -5473.7    0.50463     15       250      
 4972.22 39      10323    -5474.19   -5473.7    0.495675    13       252      
 4972.26 39      10324    -5474.19   -5473.7    0.495675    14       252      
 4972.3  39      10325    -5474.19   -5473.7    0.495675    14       252      
 4972.37 39      10350    -5474.19   -5473.7    0.495675    14       252      
 4972.47 39      10400    -5474.19   -5473.7    0.495675    14       252      
 4972.56 39      10450    -5474.19   -5473.7    0.495675    14       252      
 4973.57 40      10605    -5474.18   -5473.7    0.488796    14       255      
 4973.62 40      10606    -5474.18   -5473.7    0.488796    14       255      
 4973.66 40      10607    -5474.18   -5473.7    0.488796    15       255      
 4973.75 40      10650    -5474.18   -5473.7    0.488796    14       255      
 4973.84 40      10700    -5474.18   -5473.7    0.488796    14       255      
 4976.2  41      10887    -5474.18   -5473.7    0.483853    15       263      
 4976.25 41      10888    -5474.18   -5473.7    0.483853    16       263      
 4976.3  41      10889    -5474.18   -5473.7    0.483853    16       263      
 4976.37 41      10900    -5474.18   -5473.7    0.483853    17       263      
 4976.47 41      10950    -5474.18   -5473.7    0.483853    17       263      
 4976.57 41      11000    -5474.18   -5473.7    0.483853    17       263      
 4977.66 42      11167    -5474.16   -5473.7    0.469211    13       266      
 4977.7  42      11168    -5474.16   -5473.7    0.469211    13       266      
 4977.75 42      11169    -5474.16   -5473.7    0.469211    12       266      
 4977.83 42      11200    -5474.16   -5473.7    0.469211    12       266      
 4977.93 42      11250    -5474.16   -5473.7    0.469211    12       266      
 4978.02 42      11300    -5474.16   -5473.7    0.469211    12       266      
 4979.34 43      11447    -5474.16   -5473.7    0.464872    16       270      
 4979.39 43      11448    -5474.16   -5473.7    0.464872    16       270      
 4979.45 43      11450    -5474.16   -5473.7    0.464872    15       270      
