
Loading the model ...
  input file   : /home/rstudio/RAM4_small/372a18b23a.pomdpx
  loading time : 4.10s 

SARSOP initializing ...
  initialization time : 2061.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2061    0       0        -115.806   -112.079   3.72733     101      1        
 2061.62 2       51       -113.587   -112.163   1.42359     26       27       
 2061.98 3       100      -113.271   -112.163   1.10749     41       62       
 2062.38 5       150      -113.093   -112.163   0.930289    51       86       
 2062.94 6       207      -112.755   -112.163   0.591391    43       104      
 2063.66 7       250      -112.652   -112.163   0.488433    48       130      
 2064.28 9       300      -112.524   -112.163   0.360668    53       154      
 2064.5  9       350      -112.524   -112.163   0.360668    89       204      
 2064.95 10      459      -112.458   -112.163   0.295025    114      229      
 2065.01 10      460      -112.458   -112.163   0.295025    115      230      
 2065.87 11      505      -112.412   -112.163   0.248938    139      252      
 2067.45 12      550      -112.367   -112.163   0.203818    121      281      
 2069.05 14      600      -112.319   -112.163   0.155487    109      302      
 2070.63 16      650      -112.284   -112.163   0.120788    52       330      
 2072.15 18      711      -112.252   -112.163   0.0891193   67       355      
 2073.74 19      750      -112.243   -112.163   0.0797095   93       377      
 2074.31 20      800      -112.232   -112.163   0.0687309   104      392      
 2074.88 21      879      -112.225   -112.163   0.0613469   110      415      
 2076.13 21      900      -112.225   -112.163   0.0613469   102      436      
 2077.53 23      961      -112.212   -112.163   0.049117    144      452      
 2079.54 24      1000     -112.206   -112.163   0.0431105   112      475      
 2082.01 26      1059     -112.199   -112.163   0.0356688   122      499      
 2085.01 27      1100     -112.196   -112.163   0.033072    129      525      
 2087.37 29      1150     -112.191   -112.163   0.027701    135      544      
 2091.75 30      1200     -112.19    -112.163   0.0261079   98       576      
 2093.64 32      1261     -112.185   -112.163   0.0212963   76       599      
 2096.48 33      1317     -112.183   -112.163   0.0197989   68       627      
 2099.65 34      1373     -112.182   -112.163   0.0183703   70       655      
 2102.86 34      1400     -112.182   -112.163   0.0183703   67       682      
 2105.75 35      1450     -112.181   -112.163   0.017293    56       703      
 2108.7  36      1500     -112.18    -112.163   0.0163627   48       725      
 2111.69 37      1550     -112.179   -112.163   0.015486    47       748      
 2114.51 38      1600     -112.178   -112.163   0.0146115   45       768      
 2118.95 39      1661     -112.177   -112.163   0.0138328   43       798      
 2124.24 40      1727     -112.177   -112.163   0.0133681   44       831      
 2127.99 40      1750     -112.177   -112.163   0.0133681   39       854      
 2130.94 41      1800     -112.176   -112.164   0.0128857   39       871      
 2135.69 42      1859     -112.176   -112.164   0.0124792   42       896      
 2142.04 43      1927     -112.175   -112.164   0.011882    42       930      
 2146.43 43      1950     -112.175   -112.164   0.011882    44       953      
