
Loading the model ...
  input file   : /home/rstudio/RAM4_small/382c8b3eb9.pomdpx
  loading time : 4.83s 

SARSOP initializing ...
  initialization time : 9385.18s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9385.18 0       0        -332.718   -322.771   9.94645     101      1        
 9387.76 0       50       -331.572   -323.097   8.47451     14       20       
 9388.68 1       109      -329.363   -323.097   6.26591     6        24       
 9389.2  1       150      -329.363   -323.097   6.26591     15       31       
 9389.83 2       227      -328.091   -323.097   4.99329     6        35       
 9389.88 2       250      -328.091   -323.097   4.99329     9        35       
 9390.23 3       351      -327.261   -323.097   4.16387     15       38       
 9390.24 3       352      -327.261   -323.097   4.16387     16       38       
 9390.33 3       400      -327.261   -323.097   4.16387     18       38       
 9390.67 4       485      -326.801   -323.097   3.70348     4        41       
 9390.73 4       500      -326.801   -323.097   3.70348     14       42       
 9390.9  4       550      -326.801   -323.097   3.70348     26       44       
 9391.17 5       619      -326.403   -323.097   3.30594     6        45       
 9391.23 5       650      -326.403   -323.097   3.30594     18       45       
 9391.63 6       753      -326.113   -323.097   3.01552     6        48       
 9391.64 6       754      -326.113   -323.097   3.01552     7        48       
 9391.73 6       800      -326.113   -323.097   3.01552     17       48       
 9392.12 7       887      -325.865   -323.097   2.76788     13       51       
 9392.16 7       900      -325.865   -323.097   2.76788     10       51       
 9392.26 7       950      -325.865   -323.097   2.76788     23       51       
 9392.64 8       1021     -325.65    -323.097   2.55244     13       54       
 9392.7  8       1050     -325.65    -323.097   2.55244     15       54       
 9393.02 9       1157     -325.446   -323.097   2.3485      11       55       
 9393.03 9       1158     -325.446   -323.097   2.3485      12       55       
 9393.27 9       1200     -325.446   -323.097   2.3485      11       58       
 9394.03 10      1295     -325.319   -323.097   2.2219      11       62       
 9394.05 10      1300     -325.319   -323.097   2.2219      9        62       
 9394.13 10      1350     -325.319   -323.097   2.2219      8        62       
 9394.73 11      1433     -325.191   -323.098   2.09377     9        67       
 9394.78 11      1450     -325.191   -323.098   2.09377     11       67       
