
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3841323669.pomdpx
  loading time : 4.44s 

SARSOP initializing ...
  initialization time : 3251.83s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3251.83 0       0        -159.49    -152.302   7.18846     101      1        
 3252.98 1       53       -155.22    -152.491   2.72897     11       28       
 3253.82 2       103      -154.371   -152.491   1.87998     13       52       
 3254.62 3       161      -153.803   -152.491   1.31147     15       75       
 3257.2  4       231      -153.507   -152.491   1.0161      17       110      
 3258.38 4       250      -153.507   -152.491   1.0161      26       129      
 3259.72 5       300      -153.297   -152.491   0.806092    16       146      
 3261.61 6       350      -153.153   -152.491   0.662211    27       169      
 3262.95 7       400      -152.982   -152.491   0.491167    28       193      
 3264.77 8       459      -152.863   -152.491   0.372179    44       220      
 3268.71 9       529      -152.798   -152.491   0.306818    44       254      
 3269.06 9       550      -152.798   -152.491   0.306818    40       258      
 3270.07 10      600      -152.74    -152.491   0.249041    26       270      
 3272.91 11      655      -152.708   -152.491   0.216518    52       293      
 3276.74 12      707      -152.673   -152.491   0.182056    54       319      
 3281    13      761      -152.647   -152.491   0.156316    54       346      
 3283.57 14      819      -152.619   -152.491   0.127947    47       375      
 3286.66 14      850      -152.619   -152.491   0.127947    39       406      
 3288.58 15      900      -152.6     -152.491   0.108404    33       420      
 3293.74 16      969      -152.588   -152.491   0.0969034   32       449      
 3298.86 16      1000     -152.588   -152.491   0.0969034   26       476      
 3301.17 17      1050     -152.579   -152.491   0.087668    26       488      
 3308.79 18      1119     -152.566   -152.491   0.074944    20       520      
 3315.73 18      1150     -152.566   -152.491   0.074944    19       551      
 3319.91 19      1207     -152.559   -152.491   0.067879    15       563      
 3328.86 19      1250     -152.559   -152.491   0.067879    12       599      
 3330.01 20      1300     -152.555   -152.491   0.0636508   13       603      
 3341.8  21      1385     -152.55    -152.491   0.05832     12       645      
 3345.52 21      1400     -152.55    -152.491   0.05832     15       660      
 3353.14 22      1473     -152.546   -152.491   0.0548798   17       683      
 3360.98 22      1500     -152.546   -152.491   0.0548798   15       710      
 3365.97 23      1563     -152.542   -152.491   0.0505678   15       724      
 3374.64 23      1600     -152.542   -152.491   0.0505678   16       753      
 3379.05 24      1659     -152.539   -152.491   0.047824    16       764      
 3387.89 24      1700     -152.539   -152.491   0.047824    17       796      
 3391.51 25      1759     -152.537   -152.491   0.0457313   18       805      
 3398.74 25      1800     -152.537   -152.491   0.0457313   18       830      
 3401.09 26      1861     -152.535   -152.491   0.0439402   20       836      
 3411.89 26      1900     -152.535   -152.491   0.0439402   19       870      
 3415.64 27      1963     -152.532   -152.491   0.0406764   20       879      
 3428.15 27      2000     -152.532   -152.491   0.0406764   20       916      
 3435.79 28      2071     -152.531   -152.491   0.0391668   18       932      
 3444.2  28      2100     -152.531   -152.491   0.0391668   22       957      
 3451.27 29      2179     -152.53    -152.491   0.0382086   19       973      
 3457.83 29      2200     -152.53    -152.491   0.0382086   23       994      
 3471.04 30      2287     -152.529   -152.491   0.0374049   20       1027     
 3474.67 30      2300     -152.529   -152.491   0.0374049   23       1040     
 3485.83 31      2395     -152.527   -152.491   0.035605    20       1070     
 3487.27 31      2400     -152.527   -152.491   0.035605    22       1075     
 3507.62 32      2450     -152.527   -152.491   0.035605    21       1124     
 3508.08 32      2505     -152.526   -152.491   0.0346596   18       1124     
 3525.44 32      2550     -152.526   -152.491   0.0346596   18       1168     
 3528.58 33      2607     -152.525   -152.491   0.0335985   21       1174     
 3546.52 33      2650     -152.525   -152.491   0.0335985   16       1217     
 3550.11 34      2707     -152.523   -152.491   0.0313634   18       1223     
 3567.7  34      2750     -152.523   -152.491   0.0313634   23       1265     
 3573.44 35      2815     -152.522   -152.491   0.0304243   24       1275     
 3584.83 35      2850     -152.522   -152.491   0.0304243   33       1303     
 3595    36      2925     -152.521   -152.491   0.0294189   27       1322     
 3602.41 36      2950     -152.521   -152.491   0.0294189   20       1340     
 3618.5  37      3037     -152.52    -152.491   0.0288763   19       1370     
 3622.88 37      3050     -152.52    -152.491   0.0288763   21       1381     
 3636.18 38      3149     -152.52    -152.491   0.0285601   22       1408     
 3636.62 38      3150     -152.52    -152.491   0.0285601   22       1409     
 3658.1  38      3200     -152.52    -152.491   0.0285601   22       1455     
 3661.03 39      3261     -152.52    -152.491   0.0281816   19       1459     
 3676.6  39      3300     -152.52    -152.491   0.0281816   21       1492     
 3685.78 40      3371     -152.519   -152.491   0.0277352   19       1507     
 3697.97 40      3400     -152.519   -152.491   0.0277352   18       1534     
 3712.35 41      3479     -152.519   -152.491   0.0273379   20       1559     
 3720.93 41      3500     -152.519   -152.491   0.0273379   21       1578     
 3736.64 42      3585     -152.518   -152.491   0.0261065   18       1605     
 3742.46 42      3600     -152.518   -152.491   0.0261065   18       1618     
 3766.44 43      3699     -152.517   -152.491   0.0257884   22       1659     
 3766.66 43      3700     -152.517   -152.491   0.0257884   23       1659     
 3793.93 43      3750     -152.517   -152.491   0.0257884   18       1708     
 3797.13 44      3811     -152.517   -152.491   0.0254887   20       1712     
 3809.65 44      3850     -152.517   -152.491   0.0254887   23       1742     
 3818.05 45      3923     -152.516   -152.491   0.0250112   24       1758     
 3830.31 45      3950     -152.516   -152.491   0.0250112   28       1782     
 3848.36 46      4035     -152.516   -152.491   0.0247039   18       1810     
 3853.28 46      4050     -152.516   -152.491   0.0247039   19       1821     
 3875.85 47      4147     -152.516   -152.491   0.0245659   26       1862     
 3877.33 47      4150     -152.516   -152.491   0.0245659   25       1865     
 3908.6  47      4200     -152.516   -152.491   0.0245659   25       1915     
 3910.02 48      4257     -152.515   -152.491   0.0238778   27       1916     
 3928.19 48      4300     -152.515   -152.491   0.0238778   21       1948     
 3937.55 49      4371     -152.515   -152.491   0.0237033   25       1961     
