
Loading the model ...
  input file   : /home/rstudio/RAM4_small/384ea096db.pomdpx
  loading time : 4.70s 

SARSOP initializing ...
  initialization time : 6228.38s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6228.38 0       0        -253.207   -242.362   10.8446     101      1        
 6229.3  1       87       -247.609   -242.645   4.96428     5        18       
 6229.52 1       100      -247.609   -242.645   4.96428     10       23       
 6229.87 2       177      -246.578   -242.645   3.93301     7        26       
 6230.06 2       200      -246.578   -242.645   3.93301     14       31       
 6230.5  3       269      -245.809   -242.645   3.16402     8        36       
 6230.54 3       300      -245.809   -242.645   3.16402     28       36       
 6230.95 4       363      -245.225   -242.645   2.5802      5        43       
 6231    4       400      -245.225   -242.645   2.5802      17       43       
 6231.18 5       461      -244.654   -242.645   2.00845     6        46       
 6231.23 5       500      -244.654   -242.645   2.00845     22       46       
 6231.7  6       573      -244.314   -242.645   1.66881     21       53       
 6231.74 6       600      -244.314   -242.645   1.66881     25       53       
 6231.96 7       691      -244.122   -242.645   1.47713     46       55       
 6231.98 7       700      -244.122   -242.645   1.47713     55       55       
 6232.12 7       750      -244.122   -242.645   1.47713     45       57       
 6232.33 8       813      -243.973   -242.645   1.32814     57       58       
 6232.39 8       850      -243.973   -242.645   1.32814     34       58       
 6232.71 9       935      -243.859   -242.645   1.21438     48       61       
 6232.74 9       950      -243.859   -242.645   1.21438     22       61       
 6233.18 10      1057     -243.716   -242.645   1.07105     47       66       
 6233.19 10      1058     -243.716   -242.645   1.07105     48       66       
 6233.25 10      1100     -243.716   -242.645   1.07105     40       66       
 6233.58 11      1183     -243.642   -242.645   0.997259    83       69       
 6233.62 11      1200     -243.642   -242.645   0.997259    26       69       
 6234.02 12      1309     -243.579   -242.645   0.933555    75       72       
 6234.04 12      1310     -243.579   -242.645   0.933555    76       72       
 6234.13 12      1350     -243.579   -242.645   0.933555    39       72       
 6234.54 13      1435     -243.521   -242.645   0.875484    33       76       
 6234.59 13      1450     -243.521   -242.645   0.875484    11       76       
 6235.07 14      1561     -243.453   -242.645   0.807661    29       81       
 6235.08 14      1562     -243.453   -242.645   0.807661    28       81       
 6235.15 14      1600     -243.453   -242.645   0.807661    16       81       
