
Loading the model ...
  input file   : /home/rstudio/RAM4_small/385033cec3.pomdpx
  loading time : 4.59s 

SARSOP initializing ...
  initialization time : 4675.35s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4675.35 0       0        -208.315   -199.692   8.62254     101      1        
 4676.76 1       55       -202.952   -199.894   3.05829     12       29       
 4677.77 2       115      -201.999   -199.894   2.10571     13       48       
 4678    2       150      -201.999   -199.894   2.10571     25       55       
 4678.16 3       200      -201.387   -199.894   1.49289     11       56       
 4679.38 4       275      -201.103   -199.894   1.2089      24       74       
 4680.45 4       300      -201.103   -199.894   1.2089      22       87       
 4681.55 5       357      -200.895   -199.894   1.00131     34       95       
 4682.78 5       400      -200.895   -199.894   1.00131     29       110      
 4682.93 6       450      -200.754   -199.894   0.860556    11       110      
 4683.38 7       531      -200.665   -199.894   0.771353    30       115      
 4684.1  7       550      -200.665   -199.894   0.771353    24       131      
 4685.12 8       611      -200.522   -199.894   0.627947    33       139      
 4685.75 8       650      -200.522   -199.894   0.627947    31       149      
 4686.42 9       705      -200.421   -199.894   0.527087    34       155      
 4688.32 9       750      -200.421   -199.894   0.527087    31       172      
 4689.24 10      807      -200.342   -199.894   0.448705    23       177      
 4689.34 10      850      -200.342   -199.894   0.448705    18       177      
 4690.13 11      913      -200.293   -199.894   0.399046    21       184      
 4690.22 11      950      -200.293   -199.894   0.399046    21       184      
 4690.97 12      1019     -200.265   -199.894   0.371012    17       190      
 4692.01 12      1050     -200.265   -199.894   0.371012    16       202      
 4693.51 13      1119     -200.24    -199.894   0.346753    12       212      
 4693.59 13      1150     -200.24    -199.894   0.346753    12       212      
 4694.31 14      1215     -200.203   -199.894   0.309094    11       219      
 4694.39 14      1250     -200.203   -199.894   0.309094    9        219      
 4695.01 15      1315     -200.176   -199.894   0.282083    10       227      
 4696.1  15      1350     -200.176   -199.894   0.282083    9        237      
 4698.13 16      1415     -200.147   -199.894   0.253042    9        250      
 4698.21 16      1450     -200.147   -199.894   0.253042    9        250      
 4700.79 17      1523     -200.123   -199.894   0.2288      8        265      
 4700.86 17      1550     -200.123   -199.894   0.2288      10       265      
