
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3860f06811.pomdpx
  loading time : 4.67s 

SARSOP initializing ...
  initialization time : 7628.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7628    0       0        -240.765   -224.327   16.4383     101      1        
 7629.83 1       83       -231.813   -224.78    7.03223     10       21       
 7629.86 1       100      -231.813   -224.78    7.03223     23       21       
 7630.11 2       181      -230.124   -224.78    5.34377     10       24       
 7630.15 2       200      -230.124   -224.78    5.34377     20       24       
 7630.84 3       283      -229.03    -224.78    4.25004     16       34       
 7630.87 3       300      -229.03    -224.78    4.25004     24       34       
 7631.25 4       389      -228.312   -224.78    3.53115     16       39       
 7631.27 4       400      -228.312   -224.78    3.53115     16       39       
 7631.6  5       505      -227.83    -224.78    3.04957     36       42       
 7631.61 5       506      -227.83    -224.78    3.04957     37       42       
 7631.68 5       550      -227.83    -224.78    3.04957     16       42       
 7631.99 6       625      -227.464   -224.78    2.68398     31       46       
 7632.03 6       650      -227.464   -224.78    2.68398     30       46       
 7632.44 7       747      -227.161   -224.78    2.38043     30       50       
 7632.45 7       750      -227.161   -224.78    2.38043     33       50       
 7632.54 7       800      -227.161   -224.78    2.38043     35       50       
 7632.97 8       871      -226.905   -224.78    2.12454     30       55       
 7633.02 8       900      -226.905   -224.78    2.12454     32       55       
 7633.44 9       995      -226.715   -224.78    1.93443     43       59       
 7633.46 9       1000     -226.715   -224.78    1.93443     48       59       
 7633.56 9       1050     -226.715   -224.78    1.93443     31       59       
 7633.83 10      1121     -226.533   -224.78    1.75265     36       60       
 7633.89 10      1150     -226.533   -224.78    1.75265     30       60       
 7634.23 11      1247     -226.399   -224.78    1.61888     47       62       
 7634.25 11      1250     -226.399   -224.78    1.61888     50       62       
 7634.33 11      1300     -226.399   -224.78    1.61888     39       62       
 7634.64 12      1375     -226.288   -224.78    1.50793     47       64       
 7634.7  12      1400     -226.288   -224.78    1.50793     24       64       
 7635.17 13      1505     -226.179   -224.78    1.39872     16       68       
 7635.18 13      1506     -226.179   -224.78    1.39872     13       68       
 7635.25 13      1550     -226.179   -224.78    1.39872     10       68       
 7635.58 14      1635     -226.089   -224.78    1.30887     14       71       
 7635.62 14      1650     -226.089   -224.78    1.30887     14       71       
 7635.85 14      1700     -226.089   -224.78    1.30887     13       74       
 7636    15      1767     -226.014   -224.78    1.23364     12       74       
 7636.06 15      1800     -226.014   -224.78    1.23364     12       74       
 7636.34 16      1899     -225.949   -224.78    1.16873     11       76       
 7636.36 16      1900     -225.949   -224.78    1.16873     11       76       
 7636.43 16      1950     -225.949   -224.78    1.16873     11       76       
 7636.87 17      2033     -225.877   -224.78    1.09637     14       80       
 7636.91 17      2050     -225.877   -224.78    1.09637     13       80       
 7637.28 18      2100     -225.877   -224.78    1.09637     11       84       
 7637.45 18      2167     -225.813   -224.78    1.03286     11       84       
 7637.51 18      2200     -225.813   -224.78    1.03286     10       84       
 7637.99 19      2301     -225.754   -224.78    0.973544    8        88       
 7638.01 19      2302     -225.754   -224.78    0.973544    8        88       
 7638.09 19      2350     -225.754   -224.78    0.973544    6        88       
 7638.59 20      2435     -225.701   -224.78    0.920097    5        92       
 7638.63 20      2450     -225.701   -224.78    0.920097    4        92       
 7638.92 20      2500     -225.701   -224.78    0.920097    6        95       
 7639.2  21      2569     -225.648   -224.78    0.867772    5        96       
 7639.25 21      2600     -225.648   -224.78    0.867772    4        96       
 7639.81 22      2703     -225.6     -224.78    0.819167    6        101      
 7639.83 22      2704     -225.6     -224.78    0.819167    5        101      
 7639.91 22      2750     -225.6     -224.78    0.819167    6        101      
 7640.17 23      2837     -225.557   -224.78    0.776341    6        102      
 7640.21 23      2850     -225.557   -224.78    0.776341    6        102      
 7640.29 23      2900     -225.557   -224.78    0.776341    6        102      
 7640.68 24      2971     -225.514   -224.78    0.733707    7        105      
 7640.74 24      3000     -225.514   -224.78    0.733707    6        105      
 7641.05 25      3105     -225.479   -224.78    0.69841     7        106      
 7641.07 25      3106     -225.479   -224.78    0.69841     6        106      
 7641.14 25      3150     -225.479   -224.78    0.69841     6        106      
 7641.66 26      3239     -225.445   -224.781   0.664593    7        110      
 7641.69 26      3250     -225.445   -224.781   0.664593    6        110      
 7641.79 26      3300     -225.445   -224.781   0.664593    6        110      
 7642.33 27      3373     -225.415   -224.781   0.634225    7        114      
 7642.38 27      3400     -225.415   -224.781   0.634225    6        114      
 7642.98 28      3509     -225.386   -224.781   0.605404    7        118      
 7643.01 28      3510     -225.386   -224.781   0.605404    6        118      
 7643.08 28      3550     -225.386   -224.781   0.605404    5        118      
 7643.44 29      3645     -225.361   -224.781   0.580123    8        120      
 7643.47 29      3650     -225.361   -224.781   0.580123    7        120      
 7643.57 29      3700     -225.361   -224.781   0.580123    6        120      
 7643.76 30      3781     -225.337   -224.781   0.556306    8        120      
 7643.81 30      3800     -225.337   -224.781   0.556306    6        120      
 7644.21 31      3917     -225.315   -224.781   0.534125    8        122      
 7644.23 31      3918     -225.315   -224.781   0.534125    7        122      
 7644.3  31      3950     -225.315   -224.781   0.534125    6        122      
 7644.54 32      4053     -225.293   -224.781   0.512773    7        122      
 7644.56 32      4054     -225.293   -224.781   0.512773    6        122      
 7644.65 32      4100     -225.293   -224.781   0.512773    6        122      
 7645.2  33      4189     -225.274   -224.781   0.493282    8        126      
 7645.24 33      4200     -225.274   -224.781   0.493282    7        126      
 7645.34 33      4250     -225.274   -224.781   0.493282    6        126      
 7645.92 34      4325     -225.257   -224.781   0.476127    7        130      
 7645.98 34      4350     -225.257   -224.781   0.476127    6        130      
 7646.66 35      4461     -225.24    -224.781   0.459953    9        134      
 7646.69 35      4462     -225.24    -224.781   0.459953    9        134      
 7646.77 35      4500     -225.24    -224.781   0.459953    6        134      
 7647.43 36      4597     -225.225   -224.781   0.444321    8        138      
