
Loading the model ...
  input file   : /home/rstudio/RAM4_small/38729c8ca5.pomdpx
  loading time : 4.39s 

SARSOP initializing ...
  initialization time : 6305.53s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6305.53 0       0        -373.165   -166.105   207.06      101      1        
 6306.31 1       51       -359.697   -353.17    6.52756     31       27       
 6307.11 2       139      -358.414   -353.17    5.24422     46       47       
 6307.45 2       150      -358.414   -353.17    5.24422     32       58       
 6308.08 3       213      -356.515   -353.17    3.34535     48       67       
 6308.4  3       250      -356.515   -353.17    3.34535     70       74       
 6308.89 4       329      -355.988   -353.17    2.81854     69       79       
 6308.96 4       350      -355.988   -353.17    2.81854     84       79       
 6309.46 5       443      -355.575   -353.17    2.40573     100      83       
 6309.72 5       450      -355.575   -353.17    2.40573     107      87       
 6311.56 6       549      -355.264   -353.17    2.09456     54       99       
 6311.58 6       550      -355.264   -353.17    2.09456     55       99       
 6314.47 7       600      -355.264   -353.17    2.09456     47       119      
 6314.79 7       651      -355.02    -353.17    1.84998     37       120      
 6316.03 7       700      -355.02    -353.17    1.84998     31       132      
 6316.27 8       751      -354.631   -353.17    1.46098     32       133      
 6316.73 8       800      -354.631   -353.17    1.46098     27       138      
 6317.23 9       879      -354.505   -353.17    1.33507     26       141      
 6319.02 9       900      -354.505   -353.17    1.33507     21       154      
 6322.63 10      1003     -354.388   -353.17    1.21836     22       173      
 6322.67 10      1004     -354.388   -353.17    1.21836     22       173      
 6324.1  10      1050     -354.388   -353.17    1.21836     20       181      
 6324.61 11      1121     -354.281   -353.17    1.1109      18       183      
 6325.67 11      1150     -354.281   -353.17    1.1109      14       190      
 6329.79 12      1235     -354.189   -353.17    1.01941     15       207      
 6330.22 12      1250     -354.189   -353.17    1.01941     10       210      
 6331.4  13      1347     -354.121   -353.17    0.951008    12       214      
 6331.45 13      1350     -354.121   -353.17    0.951008    7        214      
 6334.13 13      1400     -354.121   -353.17    0.951008    10       226      
 6334.49 14      1455     -354.059   -353.17    0.889043    7        227      
 6336.53 14      1500     -354.059   -353.17    0.889043    10       243      
 6338.22 15      1559     -353.88    -353.17    0.710253    11       249      
 6338.94 15      1600     -353.88    -353.17    0.710253    9        254      
 6341.34 16      1693     -353.832   -353.17    0.66209     8        266      
 6341.4  16      1700     -353.832   -353.17    0.66209     7        266      
 6341.53 16      1750     -353.832   -353.17    0.66209     10       266      
 6343.51 17      1827     -353.797   -353.17    0.627594    9        274      
 6343.6  17      1850     -353.797   -353.17    0.627594    8        274      
 6345.27 18      1957     -353.769   -353.17    0.599172    11       280      
 6345.32 18      1958     -353.769   -353.17    0.599172    11       280      
 6346.11 18      2000     -353.769   -353.17    0.599172    9        284      
