
Loading the model ...
  input file   : /home/rstudio/RAM4_small/394f38045b.pomdpx
  loading time : 4.31s 

SARSOP initializing ...
  initialization time : 5015.95s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5015.95 0       0        -313.68    -312.659   1.02025     101      1        
 5017.17 1       50       -313.382   -312.839   0.543317    18       32       
 5018.07 2       121      -313.267   -312.839   0.427907    39       48       
 5019.21 2       150      -313.267   -312.839   0.427907    27       70       
 5019.61 3       203      -313.205   -312.839   0.36549     43       74       
 5022.25 4       281      -313.15    -312.84    0.310937    50       113      
 5022.87 4       300      -313.15    -312.84    0.310937    50       127      
 5023.35 5       361      -313.095   -312.84    0.254784    47       134      
 5025.76 5       400      -313.095   -312.84    0.254784    82       163      
 5026.6  6       450      -313.068   -312.84    0.228242    45       171      
 5028.37 7       523      -313.031   -312.84    0.191443    46       198      
 5030.14 7       550      -313.031   -312.84    0.191443    72       216      
 5032.42 8       609      -313.008   -312.84    0.168145    74       232      
 5036.12 8       650      -313.008   -312.84    0.168145    40       273      
 5036.73 9       700      -312.987   -312.84    0.146732    61       278      
 5040.89 10      793      -312.974   -312.84    0.133685    51       321      
 5041.73 10      800      -312.974   -312.84    0.133685    51       328      
 5046.96 11      889      -312.965   -312.841   0.124089    42       369      
 5049.2  11      900      -312.965   -312.841   0.124089    30       380      
 5056.89 12      985      -312.954   -312.841   0.113781    32       409      
 5058.62 12      1000     -312.954   -312.841   0.113781    24       420      
 5064.81 13      1087     -312.945   -312.841   0.104021    30       451      
 5066.86 13      1100     -312.945   -312.841   0.104021    21       464      
 5075.26 14      1197     -312.939   -312.841   0.0979688   20       506      
 5075.77 14      1200     -312.939   -312.841   0.0979688   22       509      
 5080.34 14      1250     -312.939   -312.841   0.0979688   25       528      
 5081.57 15      1311     -312.938   -312.841   0.0965023   21       532      
 5085.82 15      1350     -312.938   -312.841   0.0965023   30       552      
 5089.99 16      1423     -312.935   -312.841   0.0937019   22       565      
 5094.2  16      1450     -312.935   -312.841   0.0937019   21       582      
 5099.18 17      1539     -312.931   -312.841   0.0899479   17       596      
 5101.74 17      1550     -312.931   -312.841   0.0899479   20       607      
 5110.59 18      1655     -312.93    -312.841   0.0884484   17       635      
 5110.85 18      1656     -312.93    -312.841   0.0884484   16       636      
 5115.43 18      1700     -312.93    -312.841   0.0884484   15       652      
 5120.01 19      1769     -312.927   -312.842   0.0856182   20       664      
 5123.28 19      1800     -312.927   -312.842   0.0856182   23       677      
 5129.85 20      1883     -312.925   -312.842   0.0837218   22       697      
 5132.35 20      1900     -312.925   -312.842   0.0837218   17       707      
 5137.82 21      1997     -312.922   -312.842   0.0804281   20       723      
 5138.49 21      2000     -312.922   -312.842   0.0804281   22       726      
 5143.75 21      2050     -312.922   -312.842   0.0804281   21       745      
 5145.53 22      2113     -312.921   -312.842   0.079367    23       750      
 5150.45 22      2150     -312.921   -312.842   0.079367    24       768      
 5155.11 23      2229     -312.917   -312.842   0.075192    22       781      
 5157.79 23      2250     -312.917   -312.842   0.075192    25       792      
 5162.38 24      2351     -312.916   -312.842   0.0733901   22       806      
 5162.68 24      2352     -312.916   -312.842   0.0733901   22       807      
 5169.37 24      2400     -312.916   -312.842   0.0733901   21       832      
 5172.56 25      2475     -312.913   -312.842   0.070798    21       842      
 5172.96 25      2500     -312.913   -312.842   0.070798    21       843      
 5180.04 26      2597     -312.911   -312.842   0.0692116   24       866      
 5180.17 26      2600     -312.911   -312.842   0.0692116   24       866      
 5192.83 26      2650     -312.911   -312.842   0.0692116   24       910      
 5195.59 27      2719     -312.91    -312.842   0.0680016   28       917      
 5197.83 27      2750     -312.91    -312.842   0.0680016   25       925      
 5202    28      2839     -312.909   -312.842   0.0664651   18       937      
 5205.49 28      2850     -312.909   -312.842   0.0664651   22       948      
 5215.08 29      2959     -312.907   -312.842   0.0650167   24       974      
 5215.46 29      2960     -312.907   -312.842   0.0650167   25       975      
 5220.06 29      3000     -312.907   -312.842   0.0650167   30       990      
 5223.81 30      3081     -312.907   -312.842   0.0643812   23       999      
 5226.06 30      3100     -312.907   -312.842   0.0643812   21       1006     
 5230.56 31      3203     -312.905   -312.842   0.0629128   24       1018     
 5231    31      3204     -312.905   -312.842   0.0629128   24       1019     
 5238.38 31      3250     -312.905   -312.842   0.0629128   24       1046     
 5240.68 32      3325     -312.904   -312.842   0.0614993   21       1052     
 5243.61 32      3350     -312.904   -312.842   0.0614993   18       1062     
 5249.23 33      3447     -312.903   -312.842   0.0602484   19       1079     
 5249.4  33      3450     -312.903   -312.842   0.0602484   19       1079     
 5250.59 33      3500     -312.903   -312.842   0.0602484   21       1083     
 5253.3  34      3569     -312.902   -312.842   0.0598108   23       1091     
 5257.71 34      3600     -312.902   -312.842   0.0598108   23       1106     
 5264.47 35      3691     -312.901   -312.843   0.0580975   19       1125     
 5266.31 35      3700     -312.901   -312.843   0.0580975   20       1131     
 5268.54 35      3750     -312.901   -312.843   0.0580975   19       1137     
 5269.84 36      3815     -312.9     -312.843   0.0576043   22       1140     
 5278.02 36      3850     -312.9     -312.843   0.0576043   25       1165     
 5281.77 37      3939     -312.899   -312.843   0.0558685   19       1174     
 5284.87 37      3950     -312.899   -312.843   0.0558685   20       1183     
 5291.42 37      4000     -312.899   -312.843   0.0558685   25       1202     
 5292.54 38      4065     -312.898   -312.843   0.0555199   27       1204     
 5296.04 38      4100     -312.898   -312.843   0.0555199   30       1214     
 5303.08 39      4193     -312.897   -312.843   0.0544798   26       1231     
 5305.33 39      4200     -312.897   -312.843   0.0544798   29       1237     
 5309.04 39      4250     -312.897   -312.843   0.0544798   28       1247     
 5311.82 40      4321     -312.897   -312.843   0.0538195   29       1253     
 5313.21 40      4350     -312.897   -312.843   0.0538195   28       1257     
 5317.62 41      4451     -312.896   -312.843   0.0536041   27       1268     
 5317.8  41      4452     -312.896   -312.843   0.0536041   27       1268     
 5321.1  41      4500     -312.896   -312.843   0.0536041   33       1277     
 5326.17 42      4581     -312.896   -312.843   0.0532553   29       1290     
 5331.89 42      4600     -312.896   -312.843   0.0532553   25       1305     
 5340.96 43      4711     -312.895   -312.843   0.0523907   25       1323     
 5341.54 43      4712     -312.895   -312.843   0.0523907   26       1324     
 5344.93 43      4750     -312.895   -312.843   0.0523907   31       1332     
 5350.89 44      4841     -312.895   -312.843   0.0521942   26       1345     
 5354.61 44      4850     -312.895   -312.843   0.0521942   30       1354     
 5363.35 44      4900     -312.895   -312.843   0.0521942   33       1374     
 5366.35 45      4971     -312.895   -312.843   0.0520588   24       1379     
 5370.12 45      5000     -312.895   -312.843   0.0520588   25       1388     
 5377.03 46      5101     -312.895   -312.843   0.0515468   30       1405     
 5377.22 46      5102     -312.895   -312.843   0.0515468   31       1405     
 5380.98 46      5150     -312.895   -312.843   0.0515468   33       1415     
 5387.59 47      5231     -312.894   -312.843   0.051482    29       1430     
 5393.12 47      5250     -312.894   -312.843   0.051482    32       1444     
 5399.66 48      5361     -312.894   -312.843   0.0508355   29       1458     
 5399.87 48      5362     -312.894   -312.843   0.0508355   29       1458     
 5400.2  48      5400     -312.894   -312.843   0.0508355   30       1458     
 5407.34 49      5493     -312.894   -312.843   0.050663    32       1473     
 5407.58 49      5500     -312.894   -312.843   0.050663    32       1473     
 5409.71 49      5550     -312.894   -312.843   0.050663    32       1477     
 5414.03 50      5625     -312.894   -312.843   0.050552    31       1485     
 5414.34 50      5650     -312.894   -312.843   0.050552    34       1485     
 5422    51      5757     -312.893   -312.843   0.0503443   32       1500     
 5422.21 51      5758     -312.893   -312.843   0.0503443   32       1500     
 5422.56 51      5800     -312.893   -312.843   0.0503443   35       1500     
 5428.04 52      5887     -312.893   -312.843   0.0502711   40       1511     
 5432.87 52      5900     -312.893   -312.843   0.0502711   41       1522     
 5437.88 52      5950     -312.893   -312.843   0.0502711   35       1532     
 5438.9  53      6017     -312.893   -312.843   0.0496059   33       1533     
 5439.24 53      6050     -312.893   -312.843   0.0496059   35       1533     
 5444.45 54      6149     -312.892   -312.843   0.0493518   32       1543     
 5444.67 54      6150     -312.892   -312.843   0.0493518   32       1543     
 5448.74 54      6200     -312.892   -312.843   0.0493518   33       1552     
 5455.47 55      6281     -312.892   -312.843   0.0493064   32       1565     
 5462.7  55      6300     -312.892   -312.843   0.0493064   37       1581     
 5478.21 56      6411     -312.892   -312.843   0.0489584   33       1611     
 5478.44 56      6412     -312.892   -312.843   0.0489584   33       1611     
 5483.91 56      6450     -312.892   -312.843   0.0489584   31       1622     
 5490.52 57      6543     -312.892   -312.843   0.0488725   31       1633     
 5493.67 57      6550     -312.892   -312.843   0.0488725   32       1639     
 5495.42 57      6600     -312.892   -312.843   0.0488725   33       1642     
 5499.73 58      6673     -312.892   -312.843   0.0487852   32       1649     
 5500.44 58      6700     -312.892   -312.843   0.0487852   33       1650     
 5507.54 59      6803     -312.892   -312.843   0.04861     30       1663     
 5507.78 59      6804     -312.892   -312.843   0.04861     30       1663     
 5508.19 59      6850     -312.892   -312.843   0.04861     30       1663     
 5512.69 60      6933     -312.892   -312.843   0.0485516   31       1671     
 5513    60      6950     -312.892   -312.843   0.0485516   35       1671     
 5521.87 61      7063     -312.892   -312.843   0.0484617   33       1687     
 5522.11 61      7064     -312.892   -312.843   0.0484617   33       1687     
 5528.43 61      7100     -312.892   -312.843   0.0484617   36       1699     
 5533.61 62      7193     -312.891   -312.843   0.0481854   34       1707     
 5533.88 62      7200     -312.891   -312.843   0.0481854   35       1707     
 5535.26 62      7250     -312.891   -312.843   0.0481854   37       1709     
 5539.52 63      7323     -312.891   -312.843   0.0480492   31       1716     
 5545.51 63      7350     -312.891   -312.843   0.0480492   33       1728     
 5550.41 64      7451     -312.891   -312.843   0.0479301   31       1736     
 5550.66 64      7452     -312.891   -312.843   0.0479301   31       1736     
 5551.08 64      7500     -312.891   -312.843   0.0479301   33       1736     
 5556.7  65      7579     -312.891   -312.843   0.0477581   32       1746     
 5567.2  65      7600     -312.891   -312.843   0.0477581   36       1766     
 5573.24 66      7705     -312.891   -312.843   0.0476178   35       1775     
 5574.05 66      7706     -312.891   -312.843   0.0476178   35       1776     
 5578.37 66      7750     -312.891   -312.843   0.0476178   36       1783     
 5584.74 67      7833     -312.89    -312.843   0.0469581   36       1793     
 5590.11 67      7850     -312.89    -312.843   0.0469581   38       1803     
 5611.38 68      7961     -312.89    -312.843   0.046897    31       1839     
 5612.18 68      7962     -312.89    -312.843   0.046897    30       1840     
 5616.94 68      8000     -312.89    -312.843   0.046897    33       1848     
 5623.99 69      8089     -312.89    -312.843   0.0464835   30       1859     
 5626.85 69      8100     -312.89    -312.843   0.0464835   28       1864     
 5632.72 69      8150     -312.89    -312.843   0.0464835   26       1873     
 5634.47 70      8217     -312.889   -312.843   0.0462058   31       1875     
 5634.85 70      8250     -312.889   -312.843   0.0462058   31       1875     
 5641.27 71      8345     -312.889   -312.843   0.0460812   30       1886     
 5641.57 71      8350     -312.889   -312.843   0.0460812   32       1886     
 5642.56 71      8400     -312.889   -312.843   0.0460812   36       1887     
 5647.87 72      8473     -312.889   -312.843   0.0459866   28       1895     
 5648.26 72      8500     -312.889   -312.843   0.0459866   29       1895     
 5655.57 73      8601     -312.889   -312.843   0.0459329   35       1906     
 5655.85 73      8602     -312.889   -312.843   0.0459329   35       1906     
 5656.35 73      8650     -312.889   -312.843   0.0459329   35       1906     
 5661.67 74      8729     -312.889   -312.843   0.045897    34       1914     
 5673.61 74      8750     -312.889   -312.843   0.045897    35       1934     
 5705.12 75      8857     -312.889   -312.843   0.0454225   32       1976     
 5705.42 75      8858     -312.889   -312.843   0.0454225   32       1976     
 5718.01 75      8900     -312.889   -312.843   0.0454225   37       1995     
 5725.16 76      8987     -312.889   -312.843   0.0453458   31       2004     
 5730.42 76      9000     -312.889   -312.843   0.0453458   31       2012     
 5734.33 76      9050     -312.889   -312.843   0.0453458   33       2017     
 5735.77 77      9117     -312.888   -312.843   0.0445475   30       2018     
 5743.82 77      9150     -312.888   -312.843   0.0445475   35       2030     
 5751.65 78      9251     -312.888   -312.843   0.0444397   31       2040     
 5751.95 78      9252     -312.888   -312.843   0.0444397   31       2040     
 5775.05 78      9300     -312.888   -312.843   0.0444397   33       2075     
 5788.17 79      9383     -312.888   -312.843   0.0443801   32       2091     
 5796.42 79      9400     -312.888   -312.843   0.0443801   36       2103     
 5806.21 80      9513     -312.888   -312.843   0.044351    31       2115     
 5806.54 80      9514     -312.888   -312.843   0.044351    31       2115     
 5808.85 80      9550     -312.888   -312.843   0.044351    37       2118     
 5816.23 81      9645     -312.888   -312.843   0.0441564   29       2128     
 5816.56 81      9650     -312.888   -312.843   0.0441564   29       2128     
 5818.14 81      9700     -312.888   -312.843   0.0441564   33       2130     
 5823.81 82      9777     -312.887   -312.843   0.0440622   32       2138     
 5828.45 82      9800     -312.887   -312.843   0.0440622   32       2145     
 5836.49 83      9907     -312.887   -312.843   0.0435082   27       2156     
 5836.8  83      9908     -312.887   -312.843   0.0435082   27       2156     
 5837.31 83      9950     -312.887   -312.843   0.0435082   29       2156     
 5845.99 84      10039    -312.887   -312.843   0.0434788   32       2168     
 5846.35 84      10050    -312.887   -312.843   0.0434788   33       2168     
 5852.89 84      10100    -312.887   -312.843   0.0434788   37       2177     
 5856.32 85      10171    -312.887   -312.843   0.0433915   34       2181     
 5856.78 85      10200    -312.887   -312.843   0.0433915   32       2181     
 5871.36 86      10303    -312.887   -312.843   0.0433186   31       2202     
