
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3957d59ee5.pomdpx
  loading time : 4.68s 

SARSOP initializing ...
  initialization time : 7031.05s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7031.05 0       0        -241.688   -227.908   13.7805     101      1        
 7032.72 1       87       -234.574   -228.254   6.31991     7        22       
 7032.74 1       100      -234.574   -228.254   6.31991     19       22       
 7032.9  2       177      -233.106   -228.254   4.85204     3        24       
 7032.93 2       200      -233.106   -228.254   4.85204     16       24       
 7033.32 3       269      -232.066   -228.254   3.81223     11       30       
 7033.36 3       300      -232.066   -228.254   3.81223     30       30       
 7033.6  4       363      -231.401   -228.254   3.14672     17       33       
 7033.65 4       400      -231.401   -228.254   3.14672     40       33       
 7034.03 5       463      -230.883   -228.254   2.62904     13       39       
 7034.08 5       500      -230.883   -228.254   2.62904     29       39       
 7034.37 6       571      -230.526   -228.254   2.27233     24       42       
 7034.41 6       600      -230.526   -228.254   2.27233     28       42       
 7034.65 7       685      -230.278   -228.254   2.0245      58       44       
 7034.68 7       700      -230.278   -228.254   2.0245      18       44       
 7034.98 8       803      -230.077   -228.254   1.82331     48       47       
 7034.99 8       804      -230.077   -228.254   1.82331     49       47       
 7035.05 8       850      -230.077   -228.254   1.82331     22       47       
 7035.31 9       925      -229.895   -228.254   1.64088     48       50       
 7035.36 9       950      -229.895   -228.254   1.64088     23       50       
 7035.6  10      1047     -229.737   -228.254   1.48265     44       52       
 7035.61 10      1050     -229.737   -228.254   1.48265     47       52       
 7035.68 10      1100     -229.737   -228.254   1.48265     35       52       
 7035.96 11      1171     -229.591   -228.254   1.33716     46       55       
 7036.01 11      1200     -229.591   -228.254   1.33716     30       55       
 7036.32 12      1295     -229.474   -228.254   1.2197      45       58       
 7036.34 12      1300     -229.474   -228.254   1.2197      50       58       
 7036.42 12      1350     -229.474   -228.254   1.2197      27       58       
 7036.72 13      1421     -229.363   -228.254   1.10926     55       61       
 7036.77 13      1450     -229.363   -228.254   1.10926     37       61       
 7037.06 14      1547     -229.291   -228.254   1.03655     48       63       
 7037.08 14      1550     -229.291   -228.254   1.03655     51       63       
 7037.16 14      1600     -229.291   -228.254   1.03655     45       63       
 7037.49 15      1677     -229.218   -228.254   0.96406     47       66       
 7037.54 15      1700     -229.218   -228.254   0.96406     30       66       
 7037.99 16      1809     -229.17    -228.254   0.916357    17       70       
 7038    16      1810     -229.17    -228.254   0.916357    14       70       
 7038.07 16      1850     -229.17    -228.254   0.916357    14       70       
 7038.4  17      1941     -229.106   -228.254   0.85215     13       73       
 7038.43 17      1950     -229.106   -228.254   0.85215     11       73       
 7038.5  17      2000     -229.106   -228.254   0.85215     13       73       
 7038.84 18      2075     -229.059   -228.254   0.805       13       76       
 7038.88 18      2100     -229.059   -228.254   0.805       13       76       
 7039.18 19      2209     -229.018   -228.254   0.764415    14       78       
 7039.2  19      2210     -229.018   -228.254   0.764415    13       78       
 7039.26 19      2250     -229.018   -228.254   0.764415    13       78       
 7039.49 20      2345     -228.968   -228.254   0.714019    10       79       
 7039.51 20      2350     -228.968   -228.254   0.714019    11       79       
 7039.59 20      2400     -228.968   -228.254   0.714019    11       79       
 7039.86 21      2481     -228.933   -228.254   0.679152    14       81       
 7039.9  21      2500     -228.933   -228.254   0.679152    10       81       
 7040.35 22      2617     -228.903   -228.254   0.648549    8        85       
 7040.36 22      2618     -228.903   -228.254   0.648549    7        85       
 7040.42 22      2650     -228.903   -228.254   0.648549    6        85       
 7040.64 23      2753     -228.874   -228.254   0.620091    7        86       
 7040.66 23      2754     -228.874   -228.254   0.620091    7        86       
 7040.73 23      2800     -228.874   -228.254   0.620091    6        86       
 7040.9  24      2889     -228.848   -228.254   0.593602    5        86       
 7040.93 24      2900     -228.848   -228.254   0.593602    6        86       
 7041    24      2950     -228.848   -228.254   0.593602    6        86       
 7041.25 25      3025     -228.823   -228.254   0.569457    6        88       
 7041.3  25      3050     -228.823   -228.254   0.569457    4        88       
 7041.5  26      3161     -228.801   -228.254   0.546721    6        88       
 7041.51 26      3162     -228.801   -228.254   0.546721    6        88       
 7041.57 26      3200     -228.801   -228.254   0.546721    6        88       
 7041.77 27      3297     -228.78    -228.254   0.525554    6        88       
 7041.79 27      3300     -228.78    -228.254   0.525554    5        88       
 7041.85 27      3350     -228.78    -228.254   0.525554    5        88       
 7042.17 28      3433     -228.762   -228.254   0.508108    7        91       
 7042.21 28      3450     -228.762   -228.254   0.508108    7        91       
 7042.28 28      3500     -228.762   -228.254   0.508108    8        91       
 7042.44 29      3569     -228.743   -228.254   0.489172    7        91       
 7042.49 29      3600     -228.743   -228.254   0.489172    6        91       
 7042.69 30      3705     -228.725   -228.254   0.471462    8        91       
 7042.71 30      3706     -228.725   -228.254   0.471462    8        91       
 7042.78 30      3750     -228.725   -228.254   0.471462    7        91       
 7042.95 31      3841     -228.711   -228.254   0.457286    6        91       
 7042.98 31      3850     -228.711   -228.254   0.457286    7        91       
 7043.05 31      3900     -228.711   -228.254   0.457286    7        91       
 7043.51 32      3977     -228.698   -228.254   0.443895    6        95       
 7043.56 32      4000     -228.698   -228.254   0.443895    7        95       
 7043.78 33      4113     -228.682   -228.254   0.42817     7        95       
 7043.79 33      4114     -228.682   -228.254   0.42817     7        95       
 7043.85 33      4150     -228.682   -228.254   0.42817     7        95       
 7044.26 34      4249     -228.67    -228.254   0.415911    7        98       
 7044.28 34      4250     -228.67    -228.254   0.415911    8        98       
 7044.36 34      4300     -228.67    -228.254   0.415911    9        98       
 7044.54 35      4385     -228.656   -228.254   0.401786    7        98       
 7044.58 35      4400     -228.656   -228.254   0.401786    7        98       
 7044.65 35      4450     -228.656   -228.254   0.401786    8        98       
 7044.85 36      4521     -228.644   -228.254   0.38959     6        99       
 7044.91 36      4550     -228.644   -228.254   0.38959     8        99       
 7045.29 37      4657     -228.632   -228.254   0.377974    6        102      
 7045.31 37      4658     -228.632   -228.254   0.377974    7        102      
 7045.38 37      4700     -228.632   -228.254   0.377974    8        102      
 7045.62 38      4793     -228.62    -228.254   0.365772    7        103      
 7045.65 38      4800     -228.62    -228.254   0.365772    6        103      
 7045.72 38      4850     -228.62    -228.254   0.365772    6        103      
 7046.1  39      4929     -228.608   -228.254   0.35379     8        106      
 7046.14 39      4950     -228.608   -228.254   0.35379     8        106      
 7046.56 40      5065     -228.597   -228.254   0.343016    8        109      
 7046.58 40      5066     -228.597   -228.254   0.343016    9        109      
 7046.65 40      5100     -228.597   -228.254   0.343016    10       109      
 7046.84 41      5201     -228.587   -228.254   0.333204    6        109      
 7046.86 41      5202     -228.587   -228.254   0.333204    7        109      
 7046.94 41      5250     -228.587   -228.254   0.333204    8        109      
 7047.43 42      5337     -228.576   -228.254   0.322373    9        113      
 7047.47 42      5350     -228.576   -228.254   0.322373    9        113      
 7047.55 42      5400     -228.576   -228.254   0.322373    9        113      
 7047.93 43      5473     -228.569   -228.254   0.314824    11       116      
 7047.98 43      5500     -228.569   -228.254   0.314824    11       116      
 7048.52 44      5609     -228.561   -228.254   0.307025    7        120      
 7048.54 44      5610     -228.561   -228.254   0.307025    8        120      
 7048.61 44      5650     -228.561   -228.254   0.307025    7        120      
 7049.05 45      5745     -228.551   -228.254   0.29703     9        123      
 7049.07 45      5750     -228.551   -228.254   0.29703     10       123      
