
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3959b75aa5.pomdpx
  loading time : 4.76s 

SARSOP initializing ...
  initialization time : 9704.13s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9704.13 0       0        -348.885   -341.778   7.10683     101      1        
 9705.28 0       50       -348.886   -342.11    6.77602     11       17       
 9705.98 1       115      -347.408   -342.11    5.29816     7        23       
 9706.02 1       150      -347.408   -342.11    5.29816     10       23       
 9706.46 2       241      -346.74    -342.11    4.62963     10       29       
 9706.47 2       250      -346.74    -342.11    4.62963     19       29       
 9706.54 2       300      -346.74    -342.11    4.62963     13       29       
 9706.76 3       371      -346.182   -342.11    4.07202     11       32       
 9706.8  3       400      -346.182   -342.11    4.07202     14       32       
 9707.07 4       505      -345.728   -342.11    3.61817     5        35       
 9707.08 4       506      -345.728   -342.11    3.61817     6        35       
 9707.14 4       550      -345.728   -342.11    3.61817     9        35       
 9707.44 5       641      -345.409   -342.11    3.29878     9        39       
 9707.46 5       650      -345.409   -342.11    3.29878     18       39       
 9707.52 5       700      -345.409   -342.11    3.29878     13       39       
 9707.84 6       779      -345.163   -342.11    3.05276     7        43       
 9707.87 6       800      -345.163   -342.11    3.05276     21       43       
 9708.24 7       915      -344.983   -342.11    2.87266     7        47       
 9708.26 7       916      -344.983   -342.11    2.87266     8        47       
 9708.3  7       950      -344.983   -342.11    2.87266     11       47       
 9708.57 8       1051     -344.77    -342.11    2.65923     10       49       
 9708.58 8       1052     -344.77    -342.11    2.65923     11       49       
 9708.64 8       1100     -344.77    -342.11    2.65923     14       49       
 9708.99 9       1187     -344.606   -342.11    2.49516     9        53       
 9709.02 9       1200     -344.606   -342.11    2.49516     12       53       
 9709.09 9       1250     -344.606   -342.11    2.49516     18       53       
 9709.42 10      1323     -344.462   -342.11    2.35204     10       57       
 9709.46 10      1350     -344.462   -342.11    2.35204     16       57       
 9709.81 11      1457     -344.332   -342.111   2.22123     16       60       
 9709.82 11      1458     -344.332   -342.111   2.22123     17       60       
 9709.88 11      1500     -344.332   -342.111   2.22123     21       60       
 9710.31 12      1591     -344.214   -342.111   2.10342     15       64       
 9710.76 12      1600     -344.214   -342.111   2.10342     8        69       
 9711.79 12      1650     -344.214   -342.111   2.10342     9        74       
 9712.92 13      1725     -344.07    -342.111   1.95968     12       78       
 9712.97 13      1750     -344.07    -342.111   1.95968     10       78       
 9713.25 14      1861     -343.97    -342.111   1.85897     9        79       
 9713.27 14      1862     -343.97    -342.111   1.85897     10       79       
 9713.33 14      1900     -343.97    -342.111   1.85897     9        79       
 9714.04 15      1997     -343.868   -342.111   1.75754     8        85       
 9714.41 15      2000     -343.868   -342.111   1.75754     10       88       
 9714.55 15      2050     -343.868   -342.111   1.75754     9        89       
 9715.64 16      2133     -343.779   -342.111   1.66832     11       94       
 9715.68 16      2150     -343.779   -342.111   1.66832     9        94       
 9716.04 16      2200     -343.779   -342.111   1.66832     9        98       
 9716.2  17      2269     -343.687   -342.111   1.57656     7        98       
 9716.26 17      2300     -343.687   -342.111   1.57656     4        98       
 9716.96 18      2405     -343.604   -342.111   1.49333     5        103      
 9716.98 18      2406     -343.604   -342.111   1.49333     4        103      
 9717.05 18      2450     -343.604   -342.111   1.49333     4        103      
 9717.89 19      2541     -343.543   -342.111   1.43229     5        109      
 9717.92 19      2550     -343.543   -342.111   1.43229     4        109      
 9718    19      2600     -343.543   -342.111   1.43229     4        109      
 9718.8  20      2677     -343.488   -342.111   1.37763     5        114      
 9718.85 20      2700     -343.488   -342.111   1.37763     4        114      
 9720.15 21      2813     -343.418   -342.111   1.30716     4        121      
 9720.17 21      2814     -343.418   -342.111   1.30716     5        121      
 9720.24 21      2850     -343.418   -342.111   1.30716     4        121      
 9721.15 22      2949     -343.367   -342.111   1.25657     5        126      
 9721.17 22      2950     -343.367   -342.111   1.25657     5        126      
 9721.26 22      3000     -343.367   -342.111   1.25657     5        126      
 9722.7  23      3085     -343.325   -342.111   1.21387     6        133      
 9722.75 23      3100     -343.325   -342.111   1.21387     4        133      
 9723.19 23      3150     -343.325   -342.111   1.21387     6        137      
 9723.65 24      3221     -343.282   -342.111   1.17116     6        139      
 9723.72 24      3250     -343.282   -342.111   1.17116     5        139      
 9724.38 25      3357     -343.241   -342.111   1.13037     6        142      
 9724.4  25      3358     -343.241   -342.111   1.13037     5        142      
 9724.48 25      3400     -343.241   -342.111   1.13037     4        142      
 9724.73 26      3493     -343.204   -342.111   1.09294     6        142      
 9724.76 26      3500     -343.204   -342.111   1.09294     4        142      
 9724.86 26      3550     -343.204   -342.111   1.09294     5        142      
 9725.49 27      3629     -343.165   -342.111   1.05362     6        145      
 9725.55 27      3650     -343.165   -342.111   1.05362     4        145      
 9726.82 28      3767     -343.098   -342.111   0.986798    5        152      
 9726.85 28      3768     -343.098   -342.111   0.986798    5        152      
 9726.93 28      3800     -343.098   -342.111   0.986798    5        152      
 9728.63 29      3905     -343.068   -342.111   0.956644    6        160      
 9728.86 29      3906     -343.068   -342.111   0.956644    7        161      
 9729.15 29      3950     -343.068   -342.111   0.956644    6        162      
 9732.27 30      4045     -343.013   -342.111   0.901853    6        172      
 9732.32 30      4050     -343.013   -342.111   0.901853    6        172      
 9732.42 30      4100     -343.013   -342.111   0.901853    6        172      
 9733.13 31      4185     -342.98    -342.111   0.868926    5        175      
 9733.19 31      4200     -342.98    -342.111   0.868926    6        175      
 9733.83 31      4250     -342.98    -342.111   0.868926    7        178      
 9734.92 32      4323     -342.942   -342.111   0.830639    7        182      
 9736.18 32      4350     -342.942   -342.111   0.830639    5        188      
 9742.71 33      4461     -342.899   -342.111   0.788061    9        203      
 9742.75 33      4462     -342.899   -342.111   0.788061    9        203      
 9742.85 33      4500     -342.899   -342.111   0.788061    6        203      
 9744.58 34      4599     -342.868   -342.111   0.756382    6        209      
 9744.63 34      4600     -342.868   -342.111   0.756382    7        209      
 9744.74 34      4650     -342.868   -342.111   0.756382    6        209      
 9746.22 35      4739     -342.843   -342.111   0.731581    7        215      
 9746.28 35      4750     -342.843   -342.111   0.731581    5        215      
 9746.39 35      4800     -342.843   -342.111   0.731581    5        215      
 9747.51 36      4877     -342.806   -342.111   0.69484     7        220      
 9747.59 36      4900     -342.806   -342.111   0.69484     6        220      
 9751.14 37      5017     -342.792   -342.111   0.680476    10       231      
 9751.19 37      5018     -342.792   -342.111   0.680476    9        231      
 9751.29 37      5050     -342.792   -342.111   0.680476    6        231      
 9754.66 38      5155     -342.754   -342.111   0.642573    6        241      
 9754.71 38      5156     -342.754   -342.111   0.642573    7        241      
 9754.84 38      5200     -342.754   -342.111   0.642573    7        241      
 9756.85 39      5295     -342.735   -342.111   0.623105    7        247      
 9756.91 39      5300     -342.735   -342.111   0.623105    6        247      
 9757.03 39      5350     -342.735   -342.111   0.623105    6        247      
 9759.27 40      5433     -342.714   -342.111   0.602267    8        253      
 9759.35 40      5450     -342.714   -342.111   0.602267    7        253      
 9761    40      5500     -342.714   -342.111   0.602267    7        258      
 9761.67 41      5571     -342.697   -342.111   0.585563    8        259      
 9761.76 41      5600     -342.697   -342.111   0.585563    7        259      
 9765.45 42      5709     -342.672   -342.111   0.560456    7        269      
 9765.5  42      5710     -342.672   -342.111   0.560456    7        269      
 9767.14 42      5750     -342.672   -342.111   0.560456    7        274      
 9771.05 43      5847     -342.653   -342.111   0.541671    9        282      
 9771.11 43      5850     -342.653   -342.111   0.541671    7        282      
 9771.25 43      5900     -342.653   -342.111   0.541671    7        282      
 9774.01 44      5983     -342.632   -342.111   0.520597    7        289      
 9774.1  44      6000     -342.632   -342.111   0.520597    7        289      
 9775.51 44      6050     -342.632   -342.111   0.520597    8        294      
 9776.09 45      6119     -342.616   -342.111   0.504657    7        295      
 9778    45      6150     -342.616   -342.111   0.504657    8        301      
 9780.2  46      6255     -342.593   -342.112   0.481215    9        305      
 9780.26 46      6256     -342.593   -342.112   0.481215    9        305      
 9782.26 46      6300     -342.593   -342.112   0.481215    7        310      
 9790.6  47      6393     -342.583   -342.112   0.470932    9        325      
 9790.69 47      6400     -342.583   -342.112   0.470932    8        325      
 9790.84 47      6450     -342.583   -342.112   0.470932    9        325      
 9794.05 48      6529     -342.562   -342.112   0.450464    8        332      
 9794.16 48      6550     -342.562   -342.112   0.450464    8        332      
 9798.52 49      6667     -342.544   -342.112   0.432239    8        342      
 9798.6  49      6668     -342.544   -342.112   0.432239    8        342      
