
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3971f7f1c3.pomdpx
  loading time : 4.52s 

SARSOP initializing ...
  initialization time : 5919.30s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5919.3  0       0        -221.349   -209.906   11.4429     101      1        
 5920.72 1       77       -214.601   -210.207   4.39402     7        27       
 5921.17 1       100      -214.601   -210.207   4.39402     16       36       
 5922.15 2       155      -213.54    -210.207   3.33301     10       45       
 5922.68 3       233      -212.795   -210.207   2.58813     11       54       
 5923.31 3       250      -212.795   -210.207   2.58813     25       69       
 5923.91 4       311      -212.042   -210.207   1.83484     20       75       
 5924.02 4       350      -212.042   -210.207   1.83484     26       76       
 5924.36 5       405      -211.533   -210.207   1.32626     16       81       
 5927.86 5       450      -211.533   -210.207   1.32626     30       112      
 5928.55 6       519      -211.366   -210.207   1.15895     28       114      
 5928.63 6       550      -211.366   -210.207   1.15895     15       114      
 5929.04 7       627      -211.175   -210.207   0.968394    12       118      
 5929.1  7       650      -211.175   -210.207   0.968394    16       118      
 5929.64 8       733      -211.033   -210.207   0.826014    20       123      
 5929.81 8       750      -211.033   -210.207   0.826014    17       126      
 5930.37 9       841      -210.939   -210.207   0.732435    21       131      
 5930.4  9       850      -210.939   -210.207   0.732435    18       131      
 5930.76 10      953      -210.86    -210.207   0.653342    12       134      
 5930.78 10      954      -210.86    -210.207   0.653342    13       134      
 5931.81 10      1000     -210.86    -210.207   0.653342    14       146      
 5933.33 11      1067     -210.782   -210.207   0.575144    11       155      
 5933.4  11      1100     -210.782   -210.207   0.575144    13       155      
 5935.46 12      1181     -210.73    -210.207   0.522998    11       172      
 5935.52 12      1200     -210.73    -210.207   0.522998    8        172      
 5936.31 13      1299     -210.676   -210.207   0.469429    7        178      
 5936.34 13      1300     -210.676   -210.207   0.469429    8        178      
 5937.41 13      1350     -210.676   -210.207   0.469429    11       189      
 5938    14      1417     -210.638   -210.207   0.431073    9        192      
 5940.66 14      1450     -210.638   -210.207   0.431073    8        212      
 5942.88 15      1537     -210.611   -210.207   0.403973    9        220      
 5942.94 15      1550     -210.611   -210.207   0.403973    8        220      
 5945.53 16      1655     -210.576   -210.207   0.369554    8        235      
 5945.56 16      1656     -210.576   -210.207   0.369554    8        235      
 5945.94 16      1700     -210.576   -210.207   0.369554    9        238      
 5946.67 17      1777     -210.547   -210.207   0.340275    6        242      
 5946.75 17      1800     -210.547   -210.207   0.340275    9        242      
 5948.47 18      1899     -210.526   -210.207   0.319527    10       255      
 5948.51 18      1900     -210.526   -210.207   0.319527    11       255      
 5949.26 18      1950     -210.526   -210.207   0.319527    11       262      
 5950.04 19      2023     -210.508   -210.207   0.300715    8        266      
 5950.13 19      2050     -210.508   -210.207   0.300715    9        266      
 5951.18 20      2145     -210.492   -210.207   0.284905    12       274      
 5951.44 20      2150     -210.492   -210.207   0.284905    8        276      
 5952.42 20      2200     -210.492   -210.207   0.284905    10       283      
 5953.01 21      2269     -210.48    -210.207   0.2729      9        285      
 5953.11 21      2300     -210.48    -210.207   0.2729      9        285      
 5953.84 22      2395     -210.463   -210.207   0.256195    9        289      
 5953.89 22      2400     -210.463   -210.207   0.256195    7        289      
 5954.98 22      2450     -210.463   -210.207   0.256195    9        299      
 5955.7  23      2523     -210.449   -210.207   0.242611    9        302      
 5955.79 23      2550     -210.449   -210.207   0.242611    8        302      
 5956.26 24      2651     -210.44    -210.207   0.232887    8        304      
 5956.31 24      2652     -210.44    -210.207   0.232887    9        304      
 5957.23 24      2700     -210.44    -210.207   0.232887    10       311      
 5958.31 25      2777     -210.429   -210.207   0.222578    10       316      
 5958.39 25      2800     -210.429   -210.207   0.222578    11       316      
 5959.24 26      2901     -210.42    -210.207   0.213567    7        321      
 5959.29 26      2902     -210.42    -210.207   0.213567    7        321      
 5959.43 26      2950     -210.42    -210.207   0.213567    10       321      
 5960.01 27      3027     -210.408   -210.207   0.201035    10       324      
 5960.1  27      3050     -210.408   -210.207   0.201035    8        324      
 5962.56 28      3155     -210.399   -210.207   0.192305    11       338      
 5962.61 28      3156     -210.399   -210.207   0.192305    11       338      
 5962.74 28      3200     -210.399   -210.207   0.192305    9        338      
 5963.5  29      3283     -210.39    -210.207   0.182784    9        342      
 5965.63 29      3300     -210.39    -210.207   0.182784    7        355      
 5975.42 30      3409     -210.378   -210.207   0.171188    9        388      
 5975.48 30      3410     -210.378   -210.207   0.171188    8        388      
 5975.63 30      3450     -210.378   -210.207   0.171188    9        388      
 5977.55 31      3537     -210.372   -210.207   0.165549    8        397      
 5977.64 31      3550     -210.372   -210.207   0.165549    8        397      
 5978.59 31      3600     -210.372   -210.207   0.165549    10       402      
 5978.83 32      3665     -210.366   -210.207   0.159053    11       402      
 5978.94 32      3700     -210.366   -210.207   0.159053    12       402      
 5980.19 33      3793     -210.361   -210.207   0.153677    11       408      
 5980.26 33      3800     -210.361   -210.207   0.153677    9        408      
 5980.41 33      3850     -210.361   -210.207   0.153677    10       408      
 5981.27 34      3919     -210.356   -210.207   0.149582    12       412      
 5982.13 34      3950     -210.356   -210.207   0.149582    16       417      
 5983.94 35      4045     -210.353   -210.207   0.146466    17       425      
 5984.16 35      4050     -210.353   -210.207   0.146466    18       426      
 5985.33 35      4100     -210.353   -210.207   0.146466    20       432      
 5986.69 36      4171     -210.348   -210.207   0.141273    8        437      
 5990.52 36      4200     -210.348   -210.207   0.141273    11       454      
 5997.32 37      4297     -210.34    -210.207   0.133602    9        474      
 5997.39 37      4300     -210.34    -210.207   0.133602    10       474      
 6002.7  37      4350     -210.34    -210.207   0.133602    10       496      
 6004.07 38      4423     -210.335   -210.207   0.128174    10       499      
 6004.48 38      4450     -210.335   -210.207   0.128174    7        501      
 6006.55 39      4551     -210.332   -210.207   0.125238    11       510      
 6006.63 39      4552     -210.332   -210.207   0.125238    12       510      
 6008.76 39      4600     -210.332   -210.207   0.125238    13       520      
 6010.92 40      4677     -210.328   -210.207   0.12137     14       527      
 6011.05 40      4700     -210.328   -210.207   0.12137     11       527      
 6012.49 41      4803     -210.324   -210.207   0.117602    12       532      
 6012.79 41      4804     -210.324   -210.207   0.117602    13       533      
 6023.02 41      4850     -210.324   -210.207   0.117602    12       568      
 6024.87 42      4927     -210.317   -210.207   0.110105    12       572      
 6026.64 42      4950     -210.317   -210.207   0.110105    10       579      
 6027.88 43      5059     -210.313   -210.207   0.105747    11       582      
 6027.98 43      5060     -210.313   -210.207   0.105747    12       582      
 6028.17 43      5100     -210.313   -210.207   0.105747    12       582      
 6029.51 44      5193     -210.31    -210.207   0.103237    12       586      
