
Loading the model ...
  input file   : /home/rstudio/RAM4_small/398cfbfa6.pomdpx
  loading time : 4.62s 

SARSOP initializing ...
  initialization time : 7601.68s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7601.68 0       0        -463.746   -463.268   0.478012    101      1        
 7617.15 1       65       -463.612   -463.37    0.242651    23       34       
 7619.67 1       100      -463.612   -463.37    0.242651    26       42       
 7622.36 2       175      -463.56    -463.37    0.190448    12       54       
 7624.21 2       200      -463.56    -463.37    0.190448    20       62       
 7627.57 3       293      -463.521   -463.37    0.15138     16       74       
 7628.56 3       300      -463.521   -463.37    0.15138     19       79       
 7631.59 3       350      -463.521   -463.37    0.15138     29       93       
 7634    4       417      -463.496   -463.37    0.12586     29       98       
 7634.85 4       450      -463.496   -463.37    0.12586     19       106      
 7642.37 5       539      -463.478   -463.37    0.107867    25       124      
 7643.44 5       550      -463.478   -463.37    0.107867    23       132      
 7651.94 6       655      -463.459   -463.37    0.089191    21       149      
 7652.23 6       656      -463.459   -463.37    0.089191    20       150      
 7653.41 6       700      -463.459   -463.37    0.089191    19       156      
 7657.51 7       777      -463.446   -463.37    0.0755089   25       171      
 7658.4  7       800      -463.446   -463.37    0.0755089   26       176      
 7663.3  8       903      -463.437   -463.37    0.0670901   27       191      
 7663.54 8       904      -463.437   -463.37    0.0670901   24       192      
 7665.74 8       950      -463.437   -463.37    0.0670901   18       204      
 7669.42 9       1023     -463.428   -463.37    0.0577431   21       217      
 7671.01 9       1050     -463.428   -463.37    0.0577431   16       224      
 7676.86 10      1145     -463.421   -463.37    0.0506876   14       241      
 7677.77 10      1150     -463.421   -463.37    0.0506876   15       245      
 7681.55 10      1200     -463.421   -463.37    0.0506876   15       255      
 7684.03 11      1267     -463.417   -463.371   0.046913    15       261      
 7686.28 11      1300     -463.417   -463.371   0.046913    13       269      
 7692.82 12      1385     -463.413   -463.371   0.0422504   15       286      
 7695.11 12      1400     -463.413   -463.371   0.0422504   12       293      
 7701.21 13      1503     -463.408   -463.371   0.037275    13       305      
 7701.66 13      1504     -463.408   -463.371   0.037275    13       306      
 7703.65 13      1550     -463.408   -463.371   0.037275    14       312      
 7709.16 14      1627     -463.405   -463.371   0.0345795   15       323      
 7711.32 14      1650     -463.405   -463.371   0.0345795   13       329      
 7717.15 15      1749     -463.402   -463.371   0.0307015   14       341      
 7717.65 15      1750     -463.402   -463.371   0.0307015   14       342      
 7719.87 15      1800     -463.402   -463.371   0.0307015   14       348      
 7727.09 16      1875     -463.4     -463.371   0.02863     13       359      
 7729.46 16      1900     -463.4     -463.371   0.02863     13       365      
 7735.66 17      1999     -463.397   -463.371   0.0264614   14       377      
 7736.2  17      2000     -463.397   -463.371   0.0264614   15       378      
 7738.37 17      2050     -463.397   -463.371   0.0264614   15       383      
 7743.83 18      2127     -463.396   -463.371   0.0249873   16       392      
 7745.52 18      2150     -463.396   -463.371   0.0249873   15       396      
 7759.54 19      2249     -463.394   -463.371   0.0231981   14       424      
 7759.65 19      2250     -463.394   -463.371   0.0231981   15       424      
 7761.99 19      2300     -463.394   -463.371   0.0231981   16       428      
 7767.29 20      2369     -463.392   -463.371   0.0213057   18       436      
 7770.83 20      2400     -463.392   -463.371   0.0213057   17       443      
 7777.55 21      2489     -463.391   -463.371   0.0200748   20       452      
 7777.69 21      2500     -463.391   -463.371   0.0200748   19       452      
 7788.28 22      2550     -463.391   -463.371   0.0200748   19       470      
 7789.22 22      2611     -463.39    -463.371   0.019037    20       471      
