
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3994f62da.pomdpx
  loading time : 4.68s 

SARSOP initializing ...
  initialization time : 8636.40s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8636.4  0       0        -370.312   -366.613   3.69865     101      1        
 8638.92 0       50       -370.313   -366.853   3.46007     15       16       
 8640.95 1       115      -369.546   -366.853   2.6931      8        23       
 8641.64 1       150      -369.546   -366.853   2.6931      23       29       
 8642.39 2       243      -369.17    -366.853   2.31716     20       33       
 8642.41 2       250      -369.17    -366.853   2.31716     27       33       
 8642.48 2       300      -369.17    -366.853   2.31716     30       33       
 8643.47 3       381      -368.871   -366.853   2.01838     9        43       
 8643.51 3       400      -368.871   -366.853   2.01838     16       43       
 8643.73 4       450      -368.871   -366.853   2.01838     12       46       
 8643.88 4       519      -368.764   -366.853   1.91111     13       46       
 8643.94 4       550      -368.764   -366.853   1.91111     6        46       
 8644.39 5       657      -368.66    -366.853   1.80749     11       50       
 8644.41 5       658      -368.66    -366.853   1.80749     11       50       
 8644.47 5       700      -368.66    -366.853   1.80749     7        50       
 8644.83 6       793      -368.559   -366.853   1.70607     14       53       
 8644.86 6       800      -368.559   -366.853   1.70607     10       53       
 8644.93 6       850      -368.559   -366.853   1.70607     7        53       
 8645.54 7       929      -368.46    -366.853   1.60738     12       58       
 8645.59 7       950      -368.46    -366.853   1.60738     17       58       
 8646.17 8       1065     -368.367   -366.853   1.51389     14       62       
 8646.18 8       1066     -368.367   -366.853   1.51389     11       62       
 8646.24 8       1100     -368.367   -366.853   1.51389     10       62       
 8646.66 9       1199     -368.286   -366.853   1.43297     11       65       
 8646.67 9       1200     -368.286   -366.853   1.43297     9        65       
 8646.75 9       1250     -368.286   -366.853   1.43297     6        65       
 8647.26 10      1333     -368.21    -366.853   1.35712     8        69       
 8647.3  10      1350     -368.21    -366.853   1.35712     5        69       
 8647.7  11      1400     -368.21    -366.853   1.35712     6        73       
 8647.87 11      1467     -368.139   -366.853   1.2858      5        73       
 8647.93 11      1500     -368.139   -366.853   1.2858      6        73       
 8648.17 12      1601     -368.075   -366.853   1.22171     6        73       
 8648.19 12      1602     -368.075   -366.853   1.22171     4        73       
 8648.26 12      1650     -368.075   -366.853   1.22171     4        73       
 8649.12 13      1737     -368.005   -366.853   1.15211     6        80       
 8649.16 13      1750     -368.005   -366.853   1.15211     7        80       
 8649.35 13      1800     -368.005   -366.853   1.15211     6        82       
 8650    14      1873     -367.946   -366.853   1.09338     7        86       
 8650.06 14      1900     -367.946   -366.853   1.09338     5        86       
 8650.67 15      2009     -367.891   -366.853   1.03791     6        90       
 8650.69 15      2010     -367.891   -366.853   1.03791     7        90       
 8650.76 15      2050     -367.891   -366.853   1.03791     7        90       
 8651.14 16      2145     -367.842   -366.853   0.989315    7        92       
 8651.17 16      2150     -367.842   -366.853   0.989315    4        92       
 8651.26 16      2200     -367.842   -366.853   0.989315    5        92       
 8652.62 17      2279     -367.78    -366.853   0.926514    6        102      
 8652.67 17      2300     -367.78    -366.853   0.926514    4        102      
 8654.6  18      2419     -367.742   -366.853   0.888558    7        111      
 8654.62 18      2420     -367.742   -366.853   0.888558    8        111      
 8654.69 18      2450     -367.742   -366.853   0.888558    7        111      
 8655.88 19      2559     -367.705   -366.853   0.852282    6        117      
 8655.9  19      2560     -367.705   -366.853   0.852282    5        117      
 8655.99 19      2600     -367.705   -366.853   0.852282    5        117      
 8656.62 20      2699     -367.661   -366.853   0.807434    6        121      
 8656.65 20      2700     -367.661   -366.853   0.807434    7        121      
 8656.74 20      2750     -367.661   -366.853   0.807434    7        121      
 8657.25 21      2839     -367.633   -366.853   0.779523    5        124      
 8657.3  21      2850     -367.633   -366.853   0.779523    5        124      
 8657.39 21      2900     -367.633   -366.853   0.779523    5        124      
 8658.21 22      2977     -367.601   -366.853   0.748277    6        129      
 8658.27 22      3000     -367.601   -366.853   0.748277    6        129      
 8659.11 23      3115     -367.574   -366.853   0.720999    6        133      
 8659.14 23      3116     -367.574   -366.853   0.720999    5        133      
 8659.22 23      3150     -367.574   -366.853   0.720999    4        133      
 8662.84 24      3253     -367.552   -366.853   0.699159    8        147      
 8662.87 24      3254     -367.552   -366.853   0.699159    9        147      
 8662.97 24      3300     -367.552   -366.853   0.699159    8        147      
 8664.11 25      3391     -367.522   -366.853   0.6692      7        152      
 8664.17 25      3400     -367.522   -366.853   0.6692      7        152      
 8664.27 25      3450     -367.522   -366.853   0.6692      7        152      
 8665.64 26      3529     -367.496   -366.853   0.642429    7        158      
 8665.71 26      3550     -367.496   -366.853   0.642429    6        158      
 8666.68 27      3665     -367.471   -366.853   0.617706    7        162      
 8666.72 27      3666     -367.471   -366.853   0.617706    7        162      
 8666.81 27      3700     -367.471   -366.853   0.617706    8        162      
 8667.6  28      3801     -367.448   -366.853   0.595054    7        165      
 8667.64 28      3802     -367.448   -366.853   0.595054    7        165      
 8667.75 28      3850     -367.448   -366.853   0.595054    7        165      
 8668.71 29      3937     -367.427   -366.853   0.573389    6        169      
 8669.38 29      3950     -367.427   -366.853   0.573389    6        172      
 8669.49 29      4000     -367.427   -366.853   0.573389    6        172      
 8670.79 30      4073     -367.409   -366.853   0.555441    6        176      
 8670.87 30      4100     -367.409   -366.853   0.555441    6        176      
 8671.53 31      4209     -367.381   -366.853   0.527622    6        178      
 8671.57 31      4210     -367.381   -366.853   0.527622    7        178      
 8671.67 31      4250     -367.381   -366.853   0.527622    7        178      
 8674.37 32      4349     -367.357   -366.853   0.503931    8        189      
 8674.42 32      4350     -367.357   -366.853   0.503931    8        189      
 8674.54 32      4400     -367.357   -366.853   0.503931    8        189      
 8674.82 33      4489     -367.34    -366.853   0.486364    6        189      
 8674.88 33      4500     -367.34    -366.853   0.486364    6        189      
 8674.99 33      4550     -367.34    -366.853   0.486364    6        189      
 8675.26 34      4629     -367.325   -366.853   0.471076    9        189      
 8675.33 34      4650     -367.325   -366.853   0.471076    7        189      
 8678.59 35      4769     -367.308   -366.853   0.454313    7        201      
 8678.85 35      4770     -367.308   -366.853   0.454313    7        202      
 8680.23 35      4800     -367.308   -366.853   0.454313    7        207      
 8682.22 36      4911     -367.294   -366.854   0.440251    10       211      
 8682.28 36      4912     -367.294   -366.854   0.440251    9        211      
 8682.38 36      4950     -367.294   -366.854   0.440251    8        211      
 8683.65 37      5051     -367.28    -366.854   0.426504    8        216      
 8683.71 37      5052     -367.28    -366.854   0.426504    8        216      
 8683.83 37      5100     -367.28    -366.854   0.426504    8        216      
 8685.6  38      5189     -367.265   -366.854   0.411542    7        223      
 8685.68 38      5200     -367.265   -366.854   0.411542    7        223      
 8685.8  38      5250     -367.265   -366.854   0.411542    7        223      
 8687.19 39      5329     -367.25    -366.854   0.396469    9        228      
 8687.27 39      5350     -367.25    -366.854   0.396469    9        228      
 8689.46 40      5469     -367.238   -366.854   0.384265    10       235      
 8689.74 40      5470     -367.238   -366.854   0.384265    10       236      
 8690.73 40      5500     -367.238   -366.854   0.384265    8        240      
 8692.2  41      5607     -367.229   -366.854   0.375278    8        244      
 8692.26 41      5608     -367.229   -366.854   0.375278    8        244      
 8692.37 41      5650     -367.229   -366.854   0.375278    8        244      
 8694.21 42      5745     -367.218   -366.854   0.364119    10       250      
 8694.28 42      5750     -367.218   -366.854   0.364119    10       250      
 8694.41 42      5800     -367.218   -366.854   0.364119    10       250      
 8695.96 43      5883     -367.208   -366.854   0.353692    10       255      
 8696.04 43      5900     -367.208   -366.854   0.353692    9        255      
 8698.01 43      5950     -367.208   -366.854   0.353692    11       261      
 8698.7  44      6021     -367.199   -366.854   0.344633    9        262      
 8698.81 44      6050     -367.199   -366.854   0.344633    9        262      
 8700.85 45      6161     -367.189   -366.854   0.334702    10       268      
 8700.91 45      6162     -367.189   -366.854   0.334702    10       268      
 8701.03 45      6200     -367.189   -366.854   0.334702    9        268      
 8702.77 46      6299     -367.178   -366.854   0.324357    10       273      
 8702.83 46      6300     -367.178   -366.854   0.324357    10       273      
 8702.98 46      6350     -367.178   -366.854   0.324357    10       273      
 8704.62 47      6439     -367.165   -366.854   0.311487    8        278      
 8704.7  47      6450     -367.165   -366.854   0.311487    8        278      
 8704.84 47      6500     -367.165   -366.854   0.311487    9        278      
 8707.14 48      6579     -367.155   -366.854   0.301291    9        285      
 8709.25 48      6600     -367.155   -366.854   0.301291    9        291      
 8711.76 49      6719     -367.148   -366.854   0.293522    8        296      
 8711.83 49      6720     -367.148   -366.854   0.293522    8        296      
 8711.94 49      6750     -367.148   -366.854   0.293522    8        296      
 8714.76 50      6859     -367.138   -366.854   0.284217    8        303      
 8714.82 50      6860     -367.138   -366.854   0.284217    9        303      
 8714.96 50      6900     -367.138   -366.854   0.284217    10       303      
 8717.23 51      6999     -367.131   -366.854   0.276532    11       309      
 8717.3  51      7000     -367.131   -366.854   0.276532    11       309      
 8717.45 51      7050     -367.131   -366.854   0.276532    11       309      
 8718.73 52      7137     -367.125   -366.854   0.270675    10       312      
 8718.82 52      7150     -367.125   -366.854   0.270675    10       312      
 8718.97 52      7200     -367.125   -366.854   0.270675    10       312      
 8721.57 53      7277     -367.119   -366.854   0.264688    10       318      
 8721.68 53      7300     -367.119   -366.854   0.264688    10       318      
 8725.29 54      7415     -367.111   -366.854   0.256559    11       327      
 8725.74 54      7416     -367.111   -366.854   0.256559    10       328      
 8727.34 54      7450     -367.111   -366.854   0.256559    10       332      
 8729.6  55      7553     -367.102   -366.854   0.248179    7        337      
 8729.67 55      7554     -367.102   -366.854   0.248179    8        337      
 8729.83 55      7600     -367.102   -366.854   0.248179    9        337      
 8733.1  56      7691     -367.096   -366.854   0.241928    10       344      
 8733.19 56      7700     -367.096   -366.854   0.241928    10       344      
 8733.35 56      7750     -367.096   -366.854   0.241928    10       344      
 8736.59 57      7831     -367.09    -366.854   0.235774    9        351      
 8738.58 57      7850     -367.09    -366.854   0.235774    9        356      
 8741.81 57      7900     -367.09    -366.854   0.235774    12       362      
 8742.13 58      7971     -367.085   -366.854   0.230852    11       362      
 8742.3  58      8000     -367.085   -366.854   0.230852    11       362      
 8743.99 59      8109     -367.078   -366.854   0.22374     10       366      
 8744.08 59      8110     -367.078   -366.854   0.22374     9        366      
 8744.23 59      8150     -367.078   -366.854   0.22374     9        366      
 8748.06 60      8249     -367.073   -366.854   0.218831    9        374      
 8748.15 60      8250     -367.073   -366.854   0.218831    9        374      
 8748.32 60      8300     -367.073   -366.854   0.218831    9        374      
 8749.88 61      8387     -367.069   -366.854   0.21416     10       377      
 8750    61      8400     -367.069   -366.854   0.21416     11       377      
 8750.55 61      8450     -367.069   -366.854   0.21416     13       378      
 8753.11 62      8525     -367.064   -366.854   0.209381    9        383      
 8753.25 62      8550     -367.064   -366.854   0.209381    10       383      
 8754.91 63      8661     -367.058   -366.854   0.204031    10       386      
 8755    63      8662     -367.058   -366.854   0.204031    10       386      
 8755.16 63      8700     -367.058   -366.854   0.204031    10       386      
 8759.09 64      8799     -367.053   -366.854   0.199105    12       394      
 8759.18 64      8800     -367.053   -366.854   0.199105    12       394      
 8759.36 64      8850     -367.053   -366.854   0.199105    12       394      
 8761.99 65      8935     -367.048   -366.854   0.193694    12       399      
 8762.11 65      8950     -367.048   -366.854   0.193694    10       399      
 8767.48 65      9000     -367.048   -366.854   0.193694    12       409      
 8768.95 66      9071     -367.044   -366.854   0.189382    9        411      
 8769.09 66      9100     -367.044   -366.854   0.189382    9        411      
 8772.27 67      9207     -367.038   -366.854   0.183254    11       417      
 8772.36 67      9208     -367.038   -366.854   0.183254    11       417      
 8772.53 67      9250     -367.038   -366.854   0.183254    10       417      
 8779.05 68      9343     -367.034   -366.854   0.17936     11       428      
 8779.16 68      9350     -367.034   -366.854   0.17936     11       428      
 8779.36 68      9400     -367.034   -366.854   0.17936     11       428      
 8782.07 69      9477     -367.028   -366.854   0.17342     11       433      
 8782.22 69      9500     -367.028   -366.854   0.17342     12       433      
 8787.21 70      9615     -367.023   -366.854   0.168503    12       442      
 8787.82 70      9616     -367.023   -366.854   0.168503    12       443      
 8790.43 70      9650     -367.023   -366.854   0.168503    12       448      
 8792.99 71      9753     -367.017   -366.855   0.16203     11       452      
 8793.1  71      9754     -367.017   -366.855   0.16203     12       452      
 8793.29 71      9800     -367.017   -366.855   0.16203     12       452      
 8799.23 72      9893     -367.012   -366.855   0.157733    13       463      
 8799.37 72      9900     -367.012   -366.855   0.157733    14       463      
 8799.56 72      9950     -367.012   -366.855   0.157733    14       463      
 8802.09 73      10033    -367.009   -366.855   0.154443    12       467      
 8802.23 73      10050    -367.009   -366.855   0.154443    13       467      
 8807.84 73      10100    -367.009   -366.855   0.154443    15       477      
 8808.86 74      10171    -367.007   -366.855   0.15229     14       478      
 8811.79 74      10200    -367.007   -366.855   0.15229     15       483      
 8814.07 75      10307    -367.003   -366.855   0.148502    13       486      
 8814.19 75      10308    -367.003   -366.855   0.148502    13       486      
 8814.37 75      10350    -367.003   -366.855   0.148502    13       486      
