
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3a2a18b23a.pomdpx
  loading time : 4.62s 

SARSOP initializing ...
  initialization time : 7302.49s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7302.49 0       0        -2149.53   -148.576   2000.95     101      1        
 7303.84 1       83       -2133.94   -2127.5    6.4344      58       25       
 7304.06 1       100      -2133.94   -2127.5    6.4344      41       30       
 7304.3  1       150      -2133.94   -2127.5    6.4344      55       33       
 7304.5  2       219      -2132.7    -2127.5    5.19686     73       33       
 7304.56 2       250      -2132.7    -2127.5    5.19686     101      33       
 7305.12 3       353      -2132.16   -2127.5    4.66327     59       38       
 7305.13 3       354      -2132.16   -2127.5    4.66327     60       39       
 7305.43 3       400      -2132.16   -2127.5    4.66327     84       46       
 7305.93 4       471      -2130.55   -2127.5    3.04872     101      51       
 7306.34 4       500      -2130.55   -2127.5    3.04872     51       58       
 7306.42 4       550      -2130.55   -2127.5    3.04872     56       58       
 7306.86 5       639      -2130.2    -2127.5    2.699       69       62       
 7306.91 5       650      -2130.2    -2127.5    2.699       77       62       
 7307    5       700      -2130.2    -2127.5    2.699       83       62       
 7307.48 6       809      -2130.08   -2127.5    2.57557     95       65       
 7307.49 6       810      -2130.08   -2127.5    2.57557     96       65       
 7307.57 6       850      -2130.08   -2127.5    2.57557     103      65       
 7308.17 7       975      -2129.93   -2127.5    2.43269     107      68       
 7308.18 7       976      -2129.93   -2127.5    2.43269     108      68       
 7308.25 7       1000     -2129.93   -2127.5    2.43269     124      68       
 7308.45 7       1050     -2129.93   -2127.5    2.43269     123      69       
 7309.19 8       1135     -2129.81   -2127.5    2.31054     46       73       
 7309.23 8       1150     -2129.81   -2127.5    2.31054     61       73       
 7309.33 8       1200     -2129.81   -2127.5    2.31054     47       73       
 7309.88 9       1291     -2129.72   -2127.5    2.21441     34       77       
 7309.92 9       1300     -2129.72   -2127.5    2.21441     33       77       
 7310    9       1350     -2129.72   -2127.5    2.21441     31       77       
 7310.3  10      1443     -2129.63   -2127.5    2.1299      31       78       
 7310.33 10      1450     -2129.63   -2127.5    2.1299      33       78       
 7310.42 10      1500     -2129.63   -2127.5    2.1299      31       78       
 7310.91 11      1591     -2129.53   -2127.5    2.02715     30       81       
 7311.31 11      1600     -2129.53   -2127.5    2.02715     25       86       
 7311.38 11      1650     -2129.53   -2127.5    2.02715     19       86       
 7312.29 12      1731     -2129.16   -2127.5    1.65565     21       91       
 7312.34 12      1750     -2129.16   -2127.5    1.65565     16       91       
 7312.41 12      1800     -2129.16   -2127.5    1.65565     14       91       
 7312.74 13      1897     -2129.07   -2127.5    1.5726      13       93       
 7312.77 13      1900     -2129.07   -2127.5    1.5726      14       93       
 7312.85 13      1950     -2129.07   -2127.5    1.5726      13       93       
 7313.31 14      2059     -2129.01   -2127.5    1.51146     9        96       
 7313.33 14      2060     -2129.01   -2127.5    1.51146     10       96       
 7313.4  14      2100     -2129.01   -2127.5    1.51146     11       96       
 7313.99 15      2219     -2128.95   -2127.5    1.45222     12       100      
 7314.01 15      2220     -2128.95   -2127.5    1.45222     13       100      
 7314.06 15      2250     -2128.95   -2127.5    1.45222     13       100      
 7314.63 16      2373     -2128.92   -2127.5    1.4174      15       103      
 7314.66 16      2374     -2128.92   -2127.5    1.4174      16       103      
 7314.71 16      2400     -2128.92   -2127.5    1.4174      16       103      
 7315.33 17      2525     -2128.87   -2127.5    1.3669      13       106      
 7315.34 17      2526     -2128.87   -2127.5    1.3669      10       106      
 7315.69 17      2550     -2128.87   -2127.5    1.3669      10       112      
 7316.26 18      2669     -2128.57   -2127.5    1.06983     11       115      
 7316.28 18      2670     -2128.57   -2127.5    1.06983     12       115      
 7316.34 18      2700     -2128.57   -2127.5    1.06983     13       115      
 7316.41 18      2750     -2128.57   -2127.5    1.06983     13       115      
 7316.96 19      2849     -2128.51   -2127.5    1.01366     13       120      
