
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3a57963970.pomdpx
  loading time : 4.70s 

SARSOP initializing ...
  initialization time : 5718.39s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5718.39 0       0        -184.728   -167.507   17.2213     101      1        
 5719.73 1       57       -172.331   -167.93    4.40117     8        21       
 5720.1  1       100      -172.331   -167.93    4.40117     36       28       
 5720.44 2       150      -171.151   -167.93    3.22112     21       32       
 5721.23 3       243      -170.42    -167.93    2.49068     24       40       
 5721.25 3       250      -170.42    -167.93    2.49068     31       40       
 5721.46 4       337      -169.92    -167.93    1.99008     24       42       
 5721.49 4       350      -169.92    -167.93    1.99008     23       42       
 5722.15 5       435      -169.592   -167.93    1.66253     50       50       
 5722.2  5       450      -169.592   -167.93    1.66253     25       50       
 5722.59 6       541      -169.335   -167.93    1.40541     60       54       
 5722.63 6       550      -169.335   -167.93    1.40541     69       54       
 5722.91 7       647      -169.166   -167.93    1.23614     73       56       
 5722.94 7       650      -169.166   -167.93    1.23614     76       56       
 5723.04 7       700      -169.166   -167.93    1.23614     57       56       
 5723.34 8       761      -169.017   -167.93    1.08701     75       59       
 5723.41 8       800      -169.017   -167.93    1.08701     43       59       
 5723.75 9       877      -168.895   -167.93    0.965009    74       62       
 5723.8  9       900      -168.895   -167.93    0.965009    31       62       
 5724.1  10      995      -168.783   -167.93    0.853782    83       64       
 5724.12 10      1000     -168.783   -167.93    0.853782    88       64       
 5724.25 10      1050     -168.783   -167.93    0.853782    49       65       
 5724.62 11      1113     -168.694   -167.93    0.764706    91       68       
 5724.69 11      1150     -168.694   -167.93    0.764706    46       68       
 5725.07 12      1233     -168.631   -167.93    0.701052    44       71       
 5725.13 12      1250     -168.631   -167.93    0.701052    25       71       
 5725.8  13      1355     -168.565   -167.93    0.635219    27       77       
 5725.82 13      1356     -168.565   -167.93    0.635219    26       77       
 5725.91 13      1400     -168.565   -167.93    0.635219    20       77       
 5726.69 14      1477     -168.507   -167.93    0.577577    17       85       
 5726.74 14      1500     -168.507   -167.93    0.577577    15       85       
 5727.14 15      1601     -168.454   -167.93    0.523872    19       88       
 5727.16 15      1602     -168.454   -167.93    0.523872    19       88       
 5727.24 15      1650     -168.454   -167.93    0.523872    13       88       
 5727.49 16      1727     -168.413   -167.93    0.483595    14       90       
 5727.53 16      1750     -168.413   -167.93    0.483595    11       90       
 5728.38 17      1853     -168.385   -167.93    0.455019    19       97       
 5728.4  17      1854     -168.385   -167.93    0.455019    17       97       
 5728.47 17      1900     -168.385   -167.93    0.455019    11       97       
 5728.93 18      1981     -168.352   -167.93    0.421941    11       101      
 5729.46 18      2000     -168.352   -167.93    0.421941    9        108      
 5730.6  19      2111     -168.321   -167.93    0.391618    11       114      
 5730.62 19      2112     -168.321   -167.93    0.391618    10       114      
 5730.69 19      2150     -168.321   -167.93    0.391618    9        114      
 5731.4  20      2241     -168.298   -167.93    0.368686    9        120      
 5731.43 20      2250     -168.298   -167.93    0.368686    7        120      
 5731.56 20      2300     -168.298   -167.93    0.368686    10       121      
 5732.32 21      2373     -168.281   -167.93    0.35136     10       127      
 5732.38 21      2400     -168.281   -167.93    0.35136     11       127      
 5733.14 22      2507     -168.263   -167.93    0.333555    7        133      
 5733.16 22      2508     -168.263   -167.93    0.333555    8        133      
 5733.24 22      2550     -168.263   -167.93    0.333555    8        133      
 5733.65 23      2641     -168.247   -167.93    0.317217    8        136      
 5733.69 23      2650     -168.247   -167.93    0.317217    8        136      
 5733.78 23      2700     -168.247   -167.93    0.317217    9        136      
 5734.16 24      2775     -168.236   -167.93    0.306159    9        139      
 5734.22 24      2800     -168.236   -167.93    0.306159    8        139      
 5734.7  25      2909     -168.221   -167.93    0.291069    7        143      
 5734.72 25      2910     -168.221   -167.93    0.291069    8        143      
 5734.8  25      2950     -168.221   -167.93    0.291069    9        143      
 5735.21 26      3043     -168.209   -167.93    0.278979    7        146      
 5735.25 26      3050     -168.209   -167.93    0.278979    7        146      
 5735.34 26      3100     -168.209   -167.93    0.278979    8        146      
 5735.75 27      3177     -168.198   -167.93    0.268411    8        149      
 5736.87 27      3200     -168.198   -167.93    0.268411    9        159      
 5738.07 28      3311     -168.187   -167.93    0.257017    11       164      
 5738.11 28      3312     -168.187   -167.93    0.257017    12       164      
 5738.19 28      3350     -168.187   -167.93    0.257017    9        164      
 5738.59 29      3445     -168.178   -167.93    0.248427    10       166      
 5738.63 29      3450     -168.178   -167.93    0.248427    8        166      
 5738.72 29      3500     -168.178   -167.93    0.248427    8        166      
 5739.14 30      3579     -168.17    -167.93    0.239793    11       169      
 5739.2  30      3600     -168.17    -167.93    0.239793    9        169      
 5740.46 31      3713     -168.164   -167.93    0.234092    9        178      
 5740.5  31      3714     -168.164   -167.93    0.234092    10       178      
 5740.58 31      3750     -168.164   -167.93    0.234092    8        178      
 5741.11 32      3847     -168.155   -167.93    0.225262    9        181      
 5741.15 32      3850     -168.155   -167.93    0.225262    9        181      
 5741.26 32      3900     -168.155   -167.93    0.225262    10       181      
 5741.99 33      3983     -168.149   -167.93    0.218971    11       186      
 5742.05 33      4000     -168.149   -167.93    0.218971    10       186      
 5742.55 33      4050     -168.149   -167.93    0.218971    9        190      
 5742.75 34      4119     -168.142   -167.93    0.212411    9        190      
 5742.83 34      4150     -168.142   -167.93    0.212411    9        190      
 5744.73 35      4255     -168.136   -167.93    0.205916    11       202      
 5744.77 35      4256     -168.136   -167.93    0.205916    11       202      
 5744.87 35      4300     -168.136   -167.93    0.205916    9        202      
 5745.57 36      4391     -168.13    -167.93    0.200653    9        206      
 5745.62 36      4400     -168.13    -167.93    0.200653    8        206      
 5745.82 36      4450     -168.13    -167.93    0.200653    10       207      
 5746.89 37      4527     -168.125   -167.93    0.195412    12       214      
 5746.96 37      4550     -168.125   -167.93    0.195412    11       214      
 5747.6  38      4663     -168.12    -167.93    0.190324    12       218      
 5747.64 38      4664     -168.12    -167.93    0.190324    11       218      
 5747.74 38      4700     -168.12    -167.93    0.190324    10       218      
 5748.6  39      4799     -168.113   -167.93    0.183703    10       223      
 5748.64 39      4800     -168.113   -167.93    0.183703    10       223      
 5748.76 39      4850     -168.113   -167.93    0.183703    10       223      
 5749.33 40      4935     -168.109   -167.93    0.178945    11       226      
 5749.4  40      4950     -168.109   -167.93    0.178945    11       226      
 5749.6  40      5000     -168.109   -167.93    0.178945    10       227      
 5750.02 41      5071     -168.104   -167.93    0.174756    9        229      
 5750.1  41      5100     -168.104   -167.93    0.174756    8        229      
 5751.14 42      5207     -168.1     -167.93    0.17039     10       235      
 5751.18 42      5208     -168.1     -167.93    0.17039     10       235      
 5751.28 42      5250     -168.1     -167.93    0.17039     9        235      
 5751.85 43      5343     -168.097   -167.93    0.166929    9        238      
 5752.38 43      5350     -168.097   -167.93    0.166929    10       242      
 5754.12 43      5400     -168.097   -167.93    0.166929    12       251      
 5755.42 44      5479     -168.091   -167.93    0.161398    10       255      
 5757    44      5500     -168.091   -167.93    0.161398    9        264      
 5759.96 45      5615     -168.087   -167.93    0.157027    10       274      
 5760.01 45      5616     -168.087   -167.93    0.157027    10       274      
 5764.78 45      5650     -168.087   -167.93    0.157027    10       294      
 5775.98 46      5749     -168.082   -167.93    0.15272     12       318      
 5776.04 46      5750     -168.082   -167.93    0.15272     11       318      
 5779.27 46      5800     -168.082   -167.93    0.15272     11       330      
 5785.66 47      5883     -168.078   -167.93    0.148696    12       345      
 5785.76 47      5900     -168.078   -167.93    0.148696    12       345      
 5791.26 47      5950     -168.078   -167.93    0.148696    11       366      
 5791.57 48      6019     -168.076   -167.93    0.145868    11       366      
 5791.69 48      6050     -168.076   -167.93    0.145868    10       366      
 5792.9  49      6155     -168.072   -167.93    0.141879    10       371      
 5793.17 49      6156     -168.072   -167.93    0.141879    10       372      
 5795.09 49      6200     -168.072   -167.93    0.141879    10       380      
 5796.56 50      6291     -168.069   -167.93    0.138984    11       384      
 5796.64 50      6300     -168.069   -167.93    0.138984    10       384      
 5796.79 50      6350     -168.069   -167.93    0.138984    10       384      
 5797.85 51      6427     -168.066   -167.93    0.136609    10       388      
 5797.96 51      6450     -168.066   -167.93    0.136609    11       388      
 5799.25 52      6563     -168.064   -167.93    0.134576    11       393      
 5799.33 52      6564     -168.064   -167.93    0.134576    10       393      
 5799.46 52      6600     -168.064   -167.93    0.134576    10       393      
