
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3a60f06811.pomdpx
  loading time : 4.61s 

SARSOP initializing ...
  initialization time : 5929.60s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 5929.6  0       0        -191.058   -174.573   16.4853     101      1        
 5931.9  1       71       -180.685   -174.969   5.71582     8        27       
 5932.24 1       100      -180.685   -174.969   5.71582     24       34       
 5933.07 2       150      -179.238   -174.969   4.26833     12       48       
 5934.33 3       219      -177.864   -174.969   2.89499     18       62       
 5934.62 3       250      -177.864   -174.969   2.89499     33       67       
 5936.17 4       325      -177.273   -174.969   2.30314     39       83       
 5936.24 4       350      -177.273   -174.969   2.30314     29       83       
 5937.32 5       435      -176.87    -174.969   1.90055     19       94       
 5937.36 5       450      -176.87    -174.969   1.90055     19       94       
 5938.5  6       541      -176.55    -174.969   1.58056     18       106      
 5938.53 6       550      -176.55    -174.969   1.58056     17       106      
 5939.19 7       649      -176.299   -174.969   1.32989     24       111      
 5939.21 7       650      -176.299   -174.969   1.32989     24       111      
 5939.36 7       700      -176.299   -174.969   1.32989     14       112      
 5939.7  8       759      -176.117   -174.969   1.14712     17       115      
 5939.78 8       800      -176.117   -174.969   1.14712     12       115      
 5940.13 9       873      -175.992   -174.969   1.02225     15       118      
 5940.18 9       900      -175.992   -174.969   1.02225     13       118      
 5940.52 10      993      -175.899   -174.969   0.929988    10       121      
 5940.55 10      1000     -175.899   -174.969   0.929988    11       121      
 5940.62 10      1050     -175.899   -174.969   0.929988    10       121      
 5940.99 11      1117     -175.816   -174.969   0.84671     10       125      
 5941.04 11      1150     -175.816   -174.969   0.84671     9        125      
 5942.09 12      1241     -175.739   -174.969   0.769184    10       135      
 5942.12 12      1250     -175.739   -174.969   0.769184    6        135      
 5942.29 12      1300     -175.739   -174.969   0.769184    8        137      
 5942.6  13      1365     -175.686   -174.969   0.716107    8        139      
 5942.67 13      1400     -175.686   -174.969   0.716107    6        139      
 5943.13 14      1491     -175.632   -174.969   0.662482    7        143      
 5943.16 14      1500     -175.632   -174.969   0.662482    6        143      
 5943.29 14      1550     -175.632   -174.969   0.662482    8        144      
 5943.67 15      1617     -175.587   -174.969   0.617609    9        147      
 5943.74 15      1650     -175.587   -174.969   0.617609    6        147      
 5944.13 16      1745     -175.542   -174.969   0.572057    7        150      
 5944.16 16      1750     -175.542   -174.969   0.572057    6        150      
 5944.25 16      1800     -175.542   -174.969   0.572057    6        150      
 5944.71 17      1873     -175.502   -174.969   0.532452    6        155      
 5944.77 17      1900     -175.502   -174.969   0.532452    6        155      
 5945.44 18      2001     -175.472   -174.969   0.502057    8        161      
 5945.46 18      2002     -175.472   -174.969   0.502057    8        161      
 5945.56 18      2050     -175.472   -174.969   0.502057    6        161      
 5946.07 19      2131     -175.441   -174.969   0.4718      7        165      
 5946.11 19      2150     -175.441   -174.969   0.4718      7        165      
 5947.13 20      2261     -175.415   -174.97    0.445174    9        174      
 5947.16 20      2262     -175.415   -174.97    0.445174    9        174      
 5947.24 20      2300     -175.415   -174.97    0.445174    6        174      
 5947.94 21      2391     -175.392   -174.97    0.422717    7        179      
 5947.98 21      2400     -175.392   -174.97    0.422717    8        179      
 5948.09 21      2450     -175.392   -174.97    0.422717    8        179      
 5948.64 22      2521     -175.372   -174.97    0.402346    9        183      
 5948.7  22      2550     -175.372   -174.97    0.402346    9        183      
 5950.17 23      2653     -175.349   -174.97    0.379662    11       193      
 5950.2  23      2654     -175.349   -174.97    0.379662    10       193      
 5950.3  23      2700     -175.349   -174.97    0.379662    7        193      
 5951.01 24      2785     -175.329   -174.97    0.359228    11       197      
 5951.06 24      2800     -175.329   -174.97    0.359228    7        197      
 5951.89 24      2850     -175.329   -174.97    0.359228    9        205      
 5952.08 25      2917     -175.309   -174.97    0.339086    7        205      
 5952.15 25      2950     -175.309   -174.97    0.339086    7        205      
 5954.27 26      3049     -175.29    -174.97    0.320644    8        221      
 5954.31 26      3050     -175.29    -174.97    0.320644    8        221      
 5954.42 26      3100     -175.29    -174.97    0.320644    7        221      
 5955.25 27      3181     -175.277   -174.97    0.307148    10       227      
 5955.31 27      3200     -175.277   -174.97    0.307148    7        227      
 5956.03 28      3313     -175.266   -174.97    0.296374    10       231      
 5956.07 28      3314     -175.266   -174.97    0.296374    11       231      
 5956.94 28      3350     -175.266   -174.97    0.296374    10       238      
 5958.17 29      3447     -175.256   -174.97    0.286436    8        244      
 5958.22 29      3450     -175.256   -174.97    0.286436    8        244      
 5958.33 29      3500     -175.256   -174.97    0.286436    8        244      
 5959.11 30      3581     -175.247   -174.97    0.277245    8        250      
 5959.18 30      3600     -175.247   -174.97    0.277245    7        250      
 5960.29 31      3715     -175.237   -174.97    0.267514    7        257      
 5960.33 31      3716     -175.237   -174.97    0.267514    7        257      
 5960.42 31      3750     -175.237   -174.97    0.267514    7        257      
 5961.17 32      3849     -175.228   -174.97    0.258817    8        261      
 5961.22 32      3850     -175.228   -174.97    0.258817    8        261      
 5961.32 32      3900     -175.228   -174.97    0.258817    7        261      
 5962.47 33      3983     -175.219   -174.97    0.249661    8        268      
 5962.53 33      4000     -175.219   -174.97    0.249661    7        268      
 5963.33 34      4050     -175.219   -174.97    0.249661    9        274      
 5963.52 34      4117     -175.211   -174.97    0.241448    10       274      
 5963.61 34      4150     -175.211   -174.97    0.241448    10       274      
 5964.24 35      4253     -175.202   -174.97    0.232897    8        277      
 5964.29 35      4254     -175.202   -174.97    0.232897    8        277      
 5964.4  35      4300     -175.202   -174.97    0.232897    9        277      
 5964.98 36      4387     -175.196   -174.97    0.226008    9        280      
 5965.05 36      4400     -175.196   -174.97    0.226008    9        280      
 5965.36 36      4450     -175.196   -174.97    0.226008    10       282      
 5966.14 37      4523     -175.189   -174.97    0.219186    9        286      
 5966.22 37      4550     -175.189   -174.97    0.219186    9        286      
 5967.09 38      4659     -175.184   -174.97    0.213968    12       291      
 5967.14 38      4660     -175.184   -174.97    0.213968    12       291      
 5967.24 38      4700     -175.184   -174.97    0.213968    10       291      
 5967.85 39      4795     -175.177   -174.97    0.207136    8        294      
 5968.25 39      4800     -175.177   -174.97    0.207136    9        297      
 5969.02 39      4850     -175.177   -174.97    0.207136    10       302      
 5970.92 40      4931     -175.169   -174.97    0.199338    10       311      
 5971    40      4950     -175.169   -174.97    0.199338    9        311      
 5972.09 41      5067     -175.162   -174.97    0.192907    12       317      
 5972.14 41      5068     -175.162   -174.97    0.192907    12       317      
 5972.23 41      5100     -175.162   -174.97    0.192907    10       317      
 5974.83 42      5203     -175.157   -174.97    0.187607    13       331      
 5974.88 42      5204     -175.157   -174.97    0.187607    13       331      
 5975    42      5250     -175.157   -174.97    0.187607    12       331      
 5975.88 43      5339     -175.152   -174.97    0.182241    9        335      
 5975.95 43      5350     -175.152   -174.97    0.182241    8        335      
 5976.31 43      5400     -175.152   -174.97    0.182241    8        337      
 5977.08 44      5473     -175.147   -174.97    0.177128    9        341      
 5977.17 44      5500     -175.147   -174.97    0.177128    10       341      
 5978.03 45      5609     -175.142   -174.97    0.172755    9        345      
 5978.09 45      5610     -175.142   -174.97    0.172755    8        345      
 5978.2  45      5650     -175.142   -174.97    0.172755    8        345      
 5979.6  46      5745     -175.139   -174.97    0.169856    10       353      
 5979.67 46      5750     -175.139   -174.97    0.169856    11       353      
 5979.8  46      5800     -175.139   -174.97    0.169856    9        353      
 5980.75 47      5879     -175.136   -174.97    0.166198    8        358      
 5982.29 47      5900     -175.136   -174.97    0.166198    8        367      
 5983.43 48      6013     -175.132   -174.97    0.1621      11       371      
 5983.49 48      6014     -175.132   -174.97    0.1621      11       371      
 5983.61 48      6050     -175.132   -174.97    0.1621      10       371      
 5985.64 49      6149     -175.128   -174.97    0.158017    11       380      
 5985.7  49      6150     -175.128   -174.97    0.158017    12       380      
 5985.85 49      6200     -175.128   -174.97    0.158017    11       380      
 5986.87 50      6285     -175.124   -174.97    0.153944    11       384      
 5986.95 50      6300     -175.124   -174.97    0.153944    11       384      
 5988.39 50      6350     -175.124   -174.97    0.153944    12       391      
 5989.05 51      6421     -175.119   -174.97    0.149623    12       393      
 5989.15 51      6450     -175.119   -174.97    0.149623    12       393      
 5990.33 52      6557     -175.116   -174.97    0.146037    11       398      
 5990.39 52      6558     -175.116   -174.97    0.146037    12       398      
 5990.51 52      6600     -175.116   -174.97    0.146037    11       398      
 5991.49 53      6691     -175.112   -174.97    0.142802    11       402      
 5991.57 53      6700     -175.112   -174.97    0.142802    11       402      
 5991.71 53      6750     -175.112   -174.97    0.142802    12       402      
 5993.03 54      6827     -175.11    -174.97    0.139904    9        408      
 5993.12 54      6850     -175.11    -174.97    0.139904    10       408      
 5994.11 55      6961     -175.107   -174.97    0.137347    10       412      
 5994.18 55      6962     -175.107   -174.97    0.137347    11       412      
 5994.3  55      7000     -175.107   -174.97    0.137347    9        412      
 5995.28 56      7095     -175.104   -174.97    0.134746    9        416      
 5995.35 56      7100     -175.104   -174.97    0.134746    9        416      
 5995.5  56      7150     -175.104   -174.97    0.134746    9        416      
 5996.57 57      7229     -175.102   -174.97    0.132226    8        421      
 5996.66 57      7250     -175.102   -174.97    0.132226    9        421      
 5997.68 58      7363     -175.098   -174.97    0.128601    12       425      
 5997.75 58      7364     -175.098   -174.97    0.128601    13       425      
 5997.87 58      7400     -175.098   -174.97    0.128601    11       425      
 5999.79 59      7499     -175.096   -174.97    0.126798    11       434      
 5999.86 59      7500     -175.096   -174.97    0.126798    11       434      
 6001.32 59      7550     -175.096   -174.97    0.126798    12       441      
 6002.22 60      7635     -175.094   -174.97    0.124696    7        444      
 6002.32 60      7650     -175.094   -174.97    0.124696    8        444      
 6003.18 60      7700     -175.094   -174.97    0.124696    11       448      
 6003.87 61      7771     -175.091   -174.97    0.121571    12       450      
 6003.98 61      7800     -175.091   -174.97    0.121571    10       450      
 6006.39 62      7907     -175.088   -174.97    0.118821    11       459      
 6006.46 62      7908     -175.088   -174.97    0.118821    11       459      
 6006.6  62      7950     -175.088   -174.97    0.118821    10       459      
 6009.06 63      8041     -175.086   -174.97    0.116808    10       468      
 6009.15 63      8050     -175.086   -174.97    0.116808    11       468      
 6009.41 63      8100     -175.086   -174.97    0.116808    12       469      
 6011.21 64      8175     -175.083   -174.97    0.113157    12       476      
 6011.32 64      8200     -175.083   -174.97    0.113157    11       476      
 6012.77 65      8311     -175.081   -174.97    0.111327    11       481      
 6012.85 65      8312     -175.081   -174.97    0.111327    12       481      
 6012.99 65      8350     -175.081   -174.97    0.111327    12       481      
 6014.15 66      8445     -175.079   -174.97    0.10946     11       485      
 6014.23 66      8450     -175.079   -174.97    0.10946     11       485      
 6014.39 66      8500     -175.079   -174.97    0.10946     11       485      
 6015.76 67      8579     -175.077   -174.97    0.107759    12       490      
 6017.25 67      8600     -175.077   -174.97    0.107759    13       497      
 6018.73 68      8713     -175.074   -174.97    0.104789    12       501      
 6018.81 68      8714     -175.074   -174.97    0.104789    12       501      
 6018.95 68      8750     -175.074   -174.97    0.104789    10       501      
 6021.03 69      8849     -175.073   -174.97    0.102895    12       508      
 6021.11 69      8850     -175.073   -174.97    0.102895    13       508      
 6021.27 69      8900     -175.073   -174.97    0.102895    14       508      
 6022.43 70      8983     -175.071   -174.97    0.101438    11       512      
 6022.54 70      9000     -175.071   -174.97    0.101438    12       512      
 6024.13 70      9050     -175.071   -174.97    0.101438    11       518      
 6024.39 71      9119     -175.069   -174.97    0.0990288   12       518      
 6024.53 71      9150     -175.069   -174.97    0.0990288   11       518      
 6028.16 72      9253     -175.068   -174.97    0.0978786   12       531      
 6028.24 72      9254     -175.068   -174.97    0.0978786   12       531      
 6028.4  72      9300     -175.068   -174.97    0.0978786   11       531      
 6030.19 73      9387     -175.066   -174.97    0.0962725   11       537      
 6031.4  73      9400     -175.066   -174.97    0.0962725   10       542      
 6033.94 73      9450     -175.066   -174.97    0.0962725   11       551      
 6035.24 74      9521     -175.064   -174.97    0.0940827   10       554      
 6036.9  74      9550     -175.064   -174.97    0.0940827   11       560      
 6046.98 75      9655     -175.062   -174.97    0.0922501   10       586      
 6047.07 75      9656     -175.062   -174.97    0.0922501   11       586      
 6047.26 75      9700     -175.062   -174.97    0.0922501   11       586      
 6050.35 76      9789     -175.06    -174.97    0.0902113   11       595      
 6052.21 76      9800     -175.06    -174.97    0.0902113   12       602      
 6052.86 76      9850     -175.06    -174.97    0.0902113   11       604      
 6054.86 77      9923     -175.058   -174.97    0.0882898   10       609      
 6055.02 77      9950     -175.058   -174.97    0.0882898   10       609      
 6059.68 78      10055    -175.056   -174.97    0.0867481   12       622      
 6059.78 78      10056    -175.056   -174.97    0.0867481   13       622      
 6059.98 78      10100    -175.056   -174.97    0.0867481   13       622      
 6064.18 79      10189    -175.055   -174.97    0.0857149   13       634      
 6068.09 79      10200    -175.055   -174.97    0.0857149   13       645      
 6086.44 79      10250    -175.055   -174.97    0.0857149   13       684      
 6089.52 80      10321    -175.053   -174.97    0.0828677   12       688      
 6089.69 80      10350    -175.053   -174.97    0.0828677   11       688      
 6093.55 81      10455    -175.05    -174.97    0.0806754   12       697      
 6094.04 81      10456    -175.05    -174.97    0.0806754   13       698      
 6098.1  81      10500    -175.05    -174.97    0.0806754   15       708      
 6102.67 82      10591    -175.049   -174.97    0.0795258   18       717      
 6102.82 82      10600    -175.049   -174.97    0.0795258   15       717      
 6103.03 82      10650    -175.049   -174.97    0.0795258   16       717      
 6106.61 83      10727    -175.048   -174.97    0.0787096   18       725      
 6106.77 83      10750    -175.048   -174.97    0.0787096   18       725      
 6109.79 84      10863    -175.048   -174.97    0.0778006   15       732      
 6109.91 84      10864    -175.048   -174.97    0.0778006   16       732      
 6110.09 84      10900    -175.048   -174.97    0.0778006   16       732      
 6112.37 85      10999    -175.047   -174.97    0.0767492   17       737      
 6112.49 85      11000    -175.047   -174.97    0.0767492   18       737      
 6112.71 85      11050    -175.047   -174.97    0.0767492   17       737      
 6116.86 86      11135    -175.046   -174.97    0.0760206   16       747      
 6117.01 86      11150    -175.046   -174.97    0.0760206   15       747      
 6119.58 86      11200    -175.046   -174.97    0.0760206   16       753      
 6120.37 87      11269    -175.045   -174.97    0.075256    15       754      
 6120.55 87      11300    -175.045   -174.97    0.075256    16       754      
 6125.45 88      11403    -175.044   -174.97    0.0745573   13       765      
 6125.58 88      11404    -175.044   -174.97    0.0745573   14       765      
 6125.79 88      11450    -175.044   -174.97    0.0745573   14       765      
 6127.9  89      11537    -175.043   -174.97    0.0735522   14       770      
 6130.54 89      11550    -175.043   -174.97    0.0735522   13       777      
 6144.27 89      11600    -175.043   -174.97    0.0735522   16       804      
 6147.02 90      11671    -175.043   -174.97    0.0727483   14       808      
 6151.76 90      11700    -175.043   -174.97    0.0727483   17       818      
 6159.99 91      11803    -175.041   -174.97    0.0707079   17       833      
 6160.13 91      11804    -175.041   -174.97    0.0707079   15       833      
 6161.48 91      11850    -175.041   -174.97    0.0707079   13       836      
 6169.45 92      11937    -175.039   -174.97    0.0692804   16       850      
 6169.63 92      11950    -175.039   -174.97    0.0692804   16       850      
 6172.54 92      12000    -175.039   -174.97    0.0692804   15       856      
 6174.79 93      12073    -175.038   -174.97    0.0685607   15       860      
 6186.98 93      12100    -175.038   -174.97    0.0685607   16       884      
 6202.49 94      12207    -175.038   -174.97    0.068075    19       909      
 6203.14 94      12208    -175.038   -174.97    0.068075    16       910      
 6208.73 94      12250    -175.038   -174.97    0.068075    16       920      
 6216.99 95      12341    -175.037   -174.97    0.0666685   14       933      
 6217.19 95      12350    -175.037   -174.97    0.0666685   14       933      
 6221.38 95      12400    -175.037   -174.97    0.0666685   13       940      
 6226.9  96      12477    -175.036   -174.97    0.0656976   15       948      
 6227.13 96      12500    -175.036   -174.97    0.0656976   17       948      
 6233.01 97      12611    -175.035   -174.97    0.0648773   17       958      
 6233.17 97      12612    -175.035   -174.97    0.0648773   18       958      
 6233.45 97      12650    -175.035   -174.97    0.0648773   19       958      
 6241.73 98      12745    -175.034   -174.97    0.0644165   16       972      
 6241.91 98      12750    -175.034   -174.97    0.0644165   16       972      
 6242.18 98      12800    -175.034   -174.97    0.0644165   18       972      
 6246.42 99      12879    -175.034   -174.97    0.064102    14       979      
 6246.64 99      12900    -175.034   -174.97    0.064102    14       979      
 6250.97 100     13013    -175.033   -174.97    0.0631448   17       986      
 6251.14 100     13014    -175.033   -174.97    0.0631448   18       986      
 6251.4  100     13050    -175.033   -174.97    0.0631448   19       986      
 6262.63 101     13147    -175.033   -174.97    0.0627451   17       1004     
 6262.82 101     13150    -175.033   -174.97    0.0627451   17       1004     
 6263.1  101     13200    -175.033   -174.97    0.0627451   18       1004     
 6267.33 102     13281    -175.032   -174.97    0.0621671   17       1011     
 6267.54 102     13300    -175.032   -174.97    0.0621671   17       1011     
 6278.57 103     13413    -175.032   -174.97    0.0615979   16       1029     
 6279.31 103     13414    -175.032   -174.97    0.0615979   16       1030     
 6284.9  103     13450    -175.032   -174.97    0.0615979   16       1039     
 6291.25 104     13545    -175.03    -174.97    0.0603171   17       1048     
 6291.44 104     13550    -175.03    -174.97    0.0603171   16       1048     
 6291.74 104     13600    -175.03    -174.97    0.0603171   16       1048     
 6298.56 105     13681    -175.029   -174.97    0.0594379   14       1058     
 6298.77 105     13700    -175.029   -174.97    0.0594379   16       1058     
 6303.23 106     13817    -175.029   -174.97    0.0590748   16       1065     
 6303.41 106     13818    -175.029   -174.97    0.0590748   17       1065     
 6303.65 106     13850    -175.029   -174.97    0.0590748   17       1065     
