
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3a65a90d07.pomdpx
  loading time : 4.48s 

SARSOP initializing ...
  initialization time : 2720.52s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2720.52 0       0        -144.274   -138.11    6.16461     101      1        
 2721.08 1       50       -140.404   -138.265   2.13921     26       36       
 2721.8  3       123      -139.373   -138.265   1.10808     25       63       
 2723.16 3       150      -139.373   -138.265   1.10808     36       90       
 2724.5  4       200      -139.1     -138.265   0.835163    33       112      
 2726.15 6       250      -138.936   -138.265   0.671157    34       136      
 2727.03 7       309      -138.719   -138.265   0.453521    33       156      
 2728.05 8       351      -138.633   -138.265   0.367315    56       177      
 2729.85 9       400      -138.562   -138.265   0.296354    36       204      
 2732.02 10      450      -138.52    -138.265   0.254792    66       231      
 2734.84 11      500      -138.488   -138.265   0.22255     53       260      
 2737.27 13      571      -138.429   -138.265   0.163414    52       286      
 2740.29 14      617      -138.409   -138.265   0.143481    63       309      
 2741.76 15      665      -138.382   -138.265   0.116708    46       333      
 2744.3  16      729      -138.368   -138.265   0.102612    67       364      
 2745.3  16      750      -138.368   -138.265   0.102612    53       374      
 2746.54 17      800      -138.352   -138.265   0.0865342   52       384      
 2749.87 18      867      -138.345   -138.265   0.0794781   67       410      
 2755.16 18      900      -138.345   -138.265   0.0794781   50       443      
 2757.18 19      950      -138.338   -138.265   0.0724803   50       457      
 2762.24 20      1011     -138.33    -138.265   0.0647792   35       482      
 2770.96 21      1050     -138.33    -138.265   0.0647792   25       520      
 2772.66 21      1100     -138.325   -138.265   0.0597455   26       532      
 2779.58 22      1169     -138.321   -138.265   0.0556273   23       561      
 2785.29 22      1200     -138.321   -138.265   0.0556273   18       592      
 2788.01 23      1253     -138.318   -138.265   0.0522406   18       602      
 2792.59 24      1333     -138.314   -138.265   0.0482304   20       626      
 2794.31 24      1350     -138.314   -138.265   0.0482304   16       637      
 2798.56 25      1409     -138.31    -138.265   0.0446432   16       658      
 2806.82 26      1485     -138.307   -138.265   0.0418572   20       696      
 2810.09 26      1500     -138.307   -138.265   0.0418572   21       711      
 2817.28 27      1565     -138.304   -138.265   0.0388122   23       735      
 2820.88 27      1600     -138.304   -138.265   0.0388122   21       752      
 2823.11 28      1653     -138.302   -138.265   0.0368688   22       761      
 2834.33 29      1743     -138.3     -138.265   0.0349944   21       806      
 2835.77 29      1750     -138.3     -138.265   0.0349944   20       813      
 2846.94 30      1835     -138.298   -138.265   0.032594    18       850      
 2850.55 30      1850     -138.298   -138.265   0.032594    17       865      
 2858.38 31      1935     -138.297   -138.265   0.0312907   17       891      
 2860.63 31      1950     -138.297   -138.265   0.0312907   20       901      
 2870.47 32      2031     -138.296   -138.265   0.0301003   21       934      
 2875.39 32      2050     -138.296   -138.265   0.0301003   24       953      
 2882.33 33      2123     -138.294   -138.265   0.0290342   18       975      
 2883.53 33      2150     -138.294   -138.265   0.0290342   16       980      
 2888.27 34      2213     -138.293   -138.265   0.0276656   21       998      
 2897.19 34      2250     -138.293   -138.265   0.0276656   18       1032     
 2900.43 35      2307     -138.292   -138.265   0.0261654   20       1041     
 2913.36 35      2350     -138.292   -138.265   0.0261654   18       1084     
 2914.96 36      2401     -138.29    -138.265   0.0249141   18       1088     
 2929.21 37      2495     -138.29    -138.265   0.0241594   19       1135     
 2930.46 37      2500     -138.29    -138.265   0.0241594   17       1140     
 2943.64 38      2585     -138.289   -138.266   0.0232562   16       1179     
 2946.29 38      2600     -138.289   -138.266   0.0232562   16       1188     
 2956.77 39      2675     -138.288   -138.266   0.0225685   19       1218     
 2964.93 39      2700     -138.288   -138.266   0.0225685   21       1243     
 2973.39 40      2767     -138.287   -138.266   0.0212944   22       1263     
 2982.44 40      2800     -138.287   -138.266   0.0212944   21       1290     
 2988.55 41      2863     -138.286   -138.266   0.0207972   21       1305     
 3000.57 41      2900     -138.286   -138.266   0.0207972   20       1339     
 3005.62 42      2961     -138.285   -138.266   0.0196764   27       1350     
 3018.92 42      3000     -138.285   -138.266   0.0196764   24       1387     
 3024.94 43      3067     -138.285   -138.266   0.0192301   23       1401     
 3038.04 43      3100     -138.285   -138.266   0.0192301   25       1434     
 3047.7  44      3173     -138.284   -138.266   0.018535    23       1454     
 3058.36 44      3200     -138.284   -138.266   0.018535    24       1481     
 3071.49 45      3283     -138.284   -138.266   0.0182827   28       1508     
 3078.07 45      3300     -138.284   -138.266   0.0182827   27       1525     
 3094.46 46      3391     -138.284   -138.266   0.0179841   26       1560     
 3094.71 46      3400     -138.284   -138.266   0.0179841   26       1560     
 3114.12 47      3499     -138.283   -138.266   0.017709    27       1605     
 3114.58 47      3500     -138.283   -138.266   0.017709    28       1606     
 3137.93 47      3550     -138.283   -138.266   0.017709    27       1656     
 3140.08 48      3609     -138.283   -138.266   0.0171461   33       1659     
 3145.26 48      3650     -138.283   -138.266   0.0171461   31       1672     
 3152.47 49      3723     -138.283   -138.266   0.0169532   36       1687     
 3161.24 49      3750     -138.283   -138.266   0.0169532   33       1708     
 3173.78 50      3837     -138.282   -138.266   0.0168204   28       1735     
 3179.53 50      3850     -138.282   -138.266   0.0168204   33       1748     
 3198.8  51      3951     -138.282   -138.266   0.0165521   34       1785     
 3199.34 51      3952     -138.282   -138.266   0.0165521   35       1786     
 3219.51 51      4000     -138.282   -138.266   0.0165521   35       1827     
 3224.84 52      4067     -138.282   -138.266   0.016498    42       1835     
 3240.22 52      4100     -138.282   -138.266   0.016498    32       1868     
 3253.87 53      4183     -138.282   -138.266   0.0164197   37       1892     
 3254.2  53      4200     -138.282   -138.266   0.0164197   39       1892     
 3271.16 54      4299     -138.282   -138.266   0.0163405   36       1927     
 3271.71 54      4300     -138.282   -138.266   0.0163405   35       1928     
 3288.7  54      4350     -138.282   -138.266   0.0163405   34       1964     
 3292.38 55      4415     -138.282   -138.266   0.0162748   42       1970     
 3303.93 55      4450     -138.282   -138.266   0.0162748   43       1995     
 3308.41 56      4531     -138.282   -138.266   0.0161679   39       2003     
 3311.46 56      4550     -138.282   -138.266   0.0161679   39       2009     
 3321    57      4647     -138.282   -138.266   0.0161246   39       2028     
 3321.28 57      4650     -138.282   -138.266   0.0161246   40       2028     
 3331.84 57      4700     -138.282   -138.266   0.0161246   33       2051     
 3334.3  58      4763     -138.282   -138.266   0.0160871   36       2055     
 3346.78 58      4800     -138.282   -138.266   0.0160871   35       2081     
 3357.43 59      4879     -138.282   -138.266   0.0159169   34       2101     
 3367.67 59      4900     -138.282   -138.266   0.0159169   36       2122     
 3387.13 60      4993     -138.281   -138.266   0.0157879   43       2157     
 3387.45 60      5000     -138.281   -138.266   0.0157879   45       2157     
 3395.68 60      5050     -138.281   -138.266   0.0157879   40       2173     
 3396.3  61      5109     -138.281   -138.266   0.0157566   42       2173     
 3397.17 61      5150     -138.281   -138.266   0.0157566   39       2174     
 3404.78 62      5223     -138.281   -138.266   0.0157323   48       2189     
 3405.16 62      5250     -138.281   -138.266   0.0157323   47       2189     
 3410.43 63      5339     -138.281   -138.266   0.0157127   46       2199     
 3410.75 63      5350     -138.281   -138.266   0.0157127   43       2199     
 3416.55 64      5453     -138.281   -138.266   0.0156798   38       2210     
 3416.84 64      5454     -138.281   -138.266   0.0156798   37       2210     
 3431.69 64      5500     -138.281   -138.266   0.0156798   35       2241     
 3437.07 65      5567     -138.281   -138.266   0.0156318   35       2250     
 3437.46 65      5600     -138.281   -138.266   0.0156318   37       2250     
 3442.57 66      5681     -138.281   -138.266   0.0156001   36       2259     
 3442.9  66      5700     -138.281   -138.266   0.0156001   36       2259     
 3451.06 67      5795     -138.281   -138.266   0.0155658   38       2275     
 3453.42 67      5800     -138.281   -138.266   0.0155658   37       2280     
 3481.78 67      5850     -138.281   -138.266   0.0155658   27       2330     
 3483.09 68      5909     -138.281   -138.266   0.0152321   36       2331     
 3502.74 68      5950     -138.281   -138.266   0.0152321   35       2365     
 3514.03 69      6025     -138.281   -138.266   0.0152029   34       2381     
 3524.75 69      6050     -138.281   -138.266   0.0152029   42       2399     
 3544.96 70      6139     -138.281   -138.266   0.0151714   42       2430     
 3546.91 70      6150     -138.281   -138.266   0.0151714   46       2433     
 3576.04 71      6255     -138.281   -138.266   0.0151163   31       2479     
 3576.36 71      6256     -138.281   -138.266   0.0151163   31       2479     
 3606.94 71      6300     -138.281   -138.266   0.0151163   37       2522     
 3616.38 72      6369     -138.281   -138.266   0.0150914   35       2533     
 3626.18 72      6400     -138.281   -138.266   0.0150914   38       2549     
 3643.11 73      6485     -138.281   -138.266   0.0150727   40       2575     
 3644.11 73      6500     -138.281   -138.266   0.0150727   38       2576     
 3672.17 74      6599     -138.281   -138.266   0.0150258   41       2617     
 3672.92 74      6600     -138.281   -138.266   0.0150258   42       2618     
