
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3b2d07a972.pomdpx
  loading time : 4.56s 

SARSOP initializing ...
  initialization time : 4966.06s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4966.06 0       0        -9046.65   -5391.33   3655.32     101      1        
 4966.75 0       50       -9045.22   -7902.12   1143.11     58       7        
 4966.96 0       100      -9045.22   -7902.12   1143.11     53       7        
 4969.03 1       291      -8882.81   -7902.16   980.647     53       14       
 4969.12 1       292      -8882.81   -7902.16   980.647     54       15       
 4969.16 1       293      -8882.81   -7902.16   980.647     55       16       
 4969.18 1       300      -8882.81   -7902.16   980.647     62       16       
 4969.28 1       350      -8882.81   -7902.16   980.647     56       16       
 4969.36 1       400      -8882.81   -7902.16   980.647     62       16       
 4970.77 2       585      -8734.15   -7902.19   831.966     52       21       
 4970.9  2       586      -8734.15   -7902.19   831.966     53       22       
 4971    2       587      -8734.15   -7902.19   831.966     54       23       
 4971.03 2       600      -8734.15   -7902.19   831.966     56       23       
 4971.12 2       650      -8734.15   -7902.19   831.966     63       23       
 4971.22 2       700      -8734.15   -7902.19   831.966     58       23       
 4972.9  3       881      -8654.54   -7902.21   752.326     9        27       
 4972.9  3       882      -8654.54   -7902.21   752.326     8        27       
 4972.91 3       883      -8654.54   -7902.21   752.326     8        27       
 4972.94 3       900      -8654.54   -7902.21   752.326     6        27       
 4973    3       950      -8654.54   -7902.21   752.326     6        27       
 4973.07 3       1000     -8654.54   -7902.21   752.326     6        27       
 4974.71 4       1177     -8583.78   -7902.23   681.547     6        31       
 4974.72 4       1178     -8583.78   -7902.23   681.547     6        31       
 4974.73 4       1179     -8583.78   -7902.23   681.547     6        31       
 4974.76 4       1200     -8583.78   -7902.23   681.547     6        31       
 4974.83 4       1250     -8583.78   -7902.23   681.547     6        31       
 4974.9  4       1300     -8583.78   -7902.23   681.547     6        31       
 4977.12 5       1475     -8507.08   -7902.26   604.825     6        36       
 4977.13 5       1476     -8507.08   -7902.26   604.825     5        36       
 4977.14 5       1477     -8507.08   -7902.26   604.825     5        36       
 4977.18 5       1500     -8507.08   -7902.26   604.825     5        36       
 4977.24 5       1550     -8507.08   -7902.26   604.825     5        36       
 4977.31 5       1600     -8507.08   -7902.26   604.825     5        36       
 4980.35 6       1775     -8431.83   -7902.28   529.546     6        42       
 4980.36 6       1776     -8431.83   -7902.28   529.546     5        42       
 4980.37 6       1777     -8431.83   -7902.28   529.546     5        42       
 4980.41 6       1800     -8431.83   -7902.28   529.546     5        42       
 4980.48 6       1850     -8431.83   -7902.28   529.546     5        42       
 4980.56 6       1900     -8431.83   -7902.28   529.546     5        42       
 4983.77 7       2075     -8372.74   -7902.3    470.44      7        48       
 4983.78 7       2076     -8372.74   -7902.3    470.44      6        48       
 4984.22 7       2077     -8372.74   -7902.3    470.44      6        49       
 4984.26 7       2100     -8372.74   -7902.3    470.44      6        49       
 4984.34 7       2150     -8372.74   -7902.3    470.44      6        49       
 4984.41 7       2200     -8372.74   -7902.3    470.44      6        49       
 4988.68 8       2375     -8335.51   -7902.32   433.194     7        56       
 4988.7  8       2376     -8335.51   -7902.32   433.194     6        56       
 4988.71 8       2377     -8335.51   -7902.32   433.194     6        56       
 4988.76 8       2400     -8335.51   -7902.32   433.194     6        56       
 4988.84 8       2450     -8335.51   -7902.32   433.194     6        56       
 4988.91 8       2500     -8335.51   -7902.32   433.194     6        56       
 4993.63 9       2675     -8289.23   -7902.35   386.879     8        62       
 4993.64 9       2676     -8289.23   -7902.35   386.879     7        62       
 4993.66 9       2677     -8289.23   -7902.35   386.879     7        62       
 4993.7  9       2700     -8289.23   -7902.35   386.879     7        62       
 4993.79 9       2750     -8289.23   -7902.35   386.879     7        62       
 4993.87 9       2800     -8289.23   -7902.35   386.879     7        62       
 4998.51 10      2973     -8246.75   -7902.36   344.395     7        68       
 4998.53 10      2974     -8246.75   -7902.36   344.395     6        68       
 4998.54 10      2975     -8246.75   -7902.36   344.395     6        68       
 4998.59 10      3000     -8246.75   -7902.36   344.395     6        68       
 4998.68 10      3050     -8246.75   -7902.36   344.395     6        68       
 4998.76 10      3100     -8246.75   -7902.36   344.395     6        68       
 5005.18 11      3273     -8207.15   -7902.36   304.785     9        75       
 5005.2  11      3274     -8207.15   -7902.36   304.785     8        75       
 5005.21 11      3275     -8207.15   -7902.36   304.785     8        75       
 5005.26 11      3300     -8207.15   -7902.36   304.785     8        75       
 5005.36 11      3350     -8207.15   -7902.36   304.785     8        75       
 5005.44 11      3400     -8207.15   -7902.36   304.785     8        75       
 5013.42 12      3571     -8170.75   -7902.37   268.372     8        83       
 5013.44 12      3572     -8170.75   -7902.37   268.372     7        83       
 5013.46 12      3573     -8170.75   -7902.37   268.372     7        83       
 5013.52 12      3600     -8170.75   -7902.37   268.372     7        83       
 5013.62 12      3650     -8170.75   -7902.37   268.372     7        83       
 5013.71 12      3700     -8170.75   -7902.37   268.372     8        83       
 5024.31 13      3871     -8141.26   -7902.39   238.862     9        93       
 5024.33 13      3872     -8141.26   -7902.39   238.862     8        93       
 5024.36 13      3873     -8141.26   -7902.39   238.862     8        93       
 5024.42 13      3900     -8141.26   -7902.39   238.862     8        93       
 5024.52 13      3950     -8141.26   -7902.39   238.862     8        93       
 5024.62 13      4000     -8141.26   -7902.39   238.862     9        93       
 5034.54 14      4173     -8125.98   -7902.41   223.576     10       103      
 5034.57 14      4174     -8125.98   -7902.41   223.576     9        103      
 5034.61 14      4175     -8125.98   -7902.41   223.576     9        103      
 5034.69 14      4200     -8125.98   -7902.41   223.576     10       103      
 5034.8  14      4250     -8125.98   -7902.41   223.576     10       103      
 5034.91 14      4300     -8125.98   -7902.41   223.576     10       103      
 5044.1  15      4473     -8098.12   -7902.42   195.703     8        111      
 5044.12 15      4474     -8098.12   -7902.42   195.703     7        111      
 5044.15 15      4475     -8098.12   -7902.42   195.703     7        111      
 5044.21 15      4500     -8098.12   -7902.42   195.703     8        111      
 5044.31 15      4550     -8098.12   -7902.42   195.703     8        111      
 5044.42 15      4600     -8098.12   -7902.42   195.703     8        111      
 5049.95 16      4775     -8081.81   -7902.43   179.382     8        116      
 5049.98 16      4776     -8081.81   -7902.43   179.382     7        116      
 5050    16      4777     -8081.81   -7902.43   179.382     7        116      
 5050.06 16      4800     -8081.81   -7902.43   179.382     8        116      
 5050.17 16      4850     -8081.81   -7902.43   179.382     8        116      
 5050.28 16      4900     -8081.81   -7902.43   179.382     8        116      
 5059.18 17      5077     -8063.3    -7902.44   160.865     9        123      
 5059.21 17      5078     -8063.3    -7902.44   160.865     9        123      
 5059.24 17      5079     -8063.3    -7902.44   160.865     8        123      
 5059.3  17      5100     -8063.3    -7902.44   160.865     9        123      
 5059.41 17      5150     -8063.3    -7902.44   160.865     9        123      
 5059.53 17      5200     -8063.3    -7902.44   160.865     9        123      
 5066.76 18      5379     -8049.11   -7902.44   146.662     10       128      
 5066.79 18      5380     -8049.11   -7902.44   146.662     10       128      
 5066.82 18      5381     -8049.11   -7902.44   146.662     9        128      
 5066.89 18      5400     -8049.11   -7902.44   146.662     10       128      
 5066.99 18      5450     -8049.11   -7902.44   146.662     10       128      
 5067.11 18      5500     -8049.11   -7902.44   146.662     10       128      
 5071.28 19      5681     -8038.18   -7902.45   135.725     10       131      
 5071.31 19      5682     -8038.18   -7902.45   135.725     10       131      
 5071.34 19      5683     -8038.18   -7902.45   135.725     9        131      
 5071.4  19      5700     -8038.18   -7902.45   135.725     10       131      
 5071.51 19      5750     -8038.18   -7902.45   135.725     10       131      
 5071.63 19      5800     -8038.18   -7902.45   135.725     10       131      
 5076.77 20      5983     -8027.13   -7902.45   124.674     10       134      
 5076.8  20      5984     -8027.13   -7902.45   124.674     10       134      
 5076.83 20      5985     -8027.13   -7902.45   124.674     9        134      
 5076.89 20      6000     -8027.13   -7902.45   124.674     10       134      
 5077    20      6050     -8027.13   -7902.45   124.674     10       134      
 5077.12 20      6100     -8027.13   -7902.45   124.674     10       134      
 5084.62 21      6287     -8016.23   -7902.46   113.769     10       139      
 5084.65 21      6288     -8016.23   -7902.46   113.769     9        139      
 5084.69 21      6289     -8016.23   -7902.46   113.769     8        139      
 5084.74 21      6300     -8016.23   -7902.46   113.769     9        139      
 5084.85 21      6350     -8016.23   -7902.46   113.769     9        139      
