
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3b41323669.pomdpx
  loading time : 4.60s 

SARSOP initializing ...
  initialization time : 3282.54s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3282.54 0       0        -164.904   -158.441   6.46304     101      1        
 3283.35 1       50       -160.958   -158.625   2.33357     15       28       
 3284.12 2       100      -160.303   -158.625   1.67807     26       55       
 3285.1  3       150      -159.836   -158.625   1.2114      22       78       
 3286.61 4       209      -159.568   -158.625   0.943394    19       106      
 3287.39 5       273      -159.351   -158.625   0.726268    40       137      
 3287.56 5       300      -159.351   -158.625   0.726268    53       141      
 3288.45 6       350      -159.193   -158.625   0.568173    31       159      
 3289.09 7       401      -159.086   -158.625   0.460991    46       170      
 3290.76 8       469      -159.025   -158.625   0.399813    55       190      
 3290.85 8       500      -159.025   -158.625   0.399813    47       190      
 3291.76 9       550      -158.97    -158.625   0.344971    36       202      
 3293.77 10      621      -158.938   -158.625   0.312913    33       219      
 3295.66 10      650      -158.938   -158.625   0.312913    30       236      
 3296.3  11      700      -158.898   -158.625   0.27324     24       241      
 3296.75 12      775      -158.87    -158.625   0.24525     30       246      
 3298.29 12      800      -158.87    -158.625   0.24525     25       264      
 3298.61 13      859      -158.844   -158.625   0.219388    26       266      
 3301.08 13      900      -158.844   -158.625   0.219388    22       289      
 3301.37 14      950      -158.825   -158.625   0.200346    30       297      
 3303.11 15      1023     -158.796   -158.625   0.171142    29       321      
 3303.19 15      1050     -158.796   -158.625   0.171142    24       321      
 3303.6  16      1113     -158.781   -158.625   0.155973    24       326      
 3304.76 16      1150     -158.781   -158.625   0.155973    21       341      
 3305.25 17      1203     -158.762   -158.625   0.136561    22       345      
 3307.15 17      1250     -158.762   -158.625   0.136561    15       363      
 3307.62 18      1305     -158.752   -158.625   0.126907    15       366      
 3307.74 18      1350     -158.752   -158.625   0.126907    15       366      
 3308.2  19      1407     -158.743   -158.625   0.118174    15       370      
 3310.31 19      1450     -158.743   -158.625   0.118174    13       388      
 3310.86 20      1513     -158.735   -158.625   0.109815    15       391      
 3314.11 20      1550     -158.735   -158.625   0.109815    12       413      
 3314.85 21      1623     -158.73    -158.625   0.105374    12       416      
 3314.94 21      1650     -158.73    -158.625   0.105374    11       416      
 3315.41 22      1729     -158.727   -158.625   0.102428    13       419      
 3318.02 22      1750     -158.727   -158.625   0.102428    11       440      
 3318.65 23      1833     -158.724   -158.625   0.0988074   13       444      
 3320.89 23      1850     -158.724   -158.625   0.0988074   11       460      
 3321.82 24      1931     -158.715   -158.625   0.0902637   11       464      
 3323.25 24      1950     -158.715   -158.625   0.0902637   11       475      
 3323.88 25      2031     -158.711   -158.625   0.0857861   12       478      
 3325.89 25      2050     -158.711   -158.625   0.0857861   10       493      
 3329.52 26      2115     -158.704   -158.625   0.0785097   12       514      
 3334.93 27      2183     -158.695   -158.625   0.0694711   14       542      
 3335.03 27      2200     -158.695   -158.625   0.0694711   12       542      
 3335.82 28      2263     -158.688   -158.625   0.0631213   14       547      
 3338.13 28      2300     -158.688   -158.625   0.0631213   13       564      
 3339.11 29      2357     -158.683   -158.625   0.058339    17       571      
 3342.3  29      2400     -158.683   -158.625   0.058339    14       594      
 3343.23 30      2457     -158.68    -158.625   0.0544871   15       599      
 3346.88 30      2500     -158.68    -158.625   0.0544871   14       620      
 3347.94 31      2565     -158.677   -158.625   0.0520328   14       624      
 3348.07 31      2600     -158.677   -158.625   0.0520328   13       624      
 3349.15 32      2677     -158.675   -158.625   0.0499611   16       630      
 3351.85 32      2700     -158.675   -158.625   0.0499611   13       646      
 3353.27 33      2791     -158.674   -158.625   0.0489789   15       652      
 3354.26 33      2800     -158.674   -158.625   0.0489789   16       658      
 3365.48 34      2899     -158.673   -158.625   0.0475238   18       702      
 3365.57 34      2900     -158.673   -158.625   0.0475238   18       702      
 3375.32 35      2950     -158.673   -158.625   0.0475238   16       737      
 3375.82 35      3001     -158.671   -158.625   0.0463111   20       738      
 3387.47 36      3097     -158.669   -158.625   0.0440533   18       781      
 3387.57 36      3100     -158.669   -158.625   0.0440533   17       781      
 3393.59 37      3193     -158.668   -158.625   0.0425245   19       805      
 3395.08 37      3200     -158.668   -158.625   0.0425245   14       812      
 3400.82 38      3289     -158.666   -158.625   0.0409443   18       834      
 3400.96 38      3300     -158.666   -158.625   0.0409443   15       834      
 3402.13 39      3389     -158.663   -158.625   0.038269    18       839      
 3404.24 39      3400     -158.663   -158.625   0.038269    15       850      
 3413.01 40      3495     -158.662   -158.625   0.0364112   18       883      
 3413.13 40      3500     -158.662   -158.625   0.0364112   19       883      
 3417.99 41      3603     -158.661   -158.625   0.0354176   21       903      
 3418.1  41      3604     -158.661   -158.625   0.0354176   19       903      
 3418.3  41      3650     -158.661   -158.625   0.0354176   17       903      
 3419.69 42      3713     -158.66    -158.625   0.0347905   20       909      
 3425.27 42      3750     -158.66    -158.625   0.0347905   16       933      
 3427.98 43      3823     -158.658   -158.625   0.0332153   20       942      
 3431.74 43      3850     -158.658   -158.625   0.0332153   19       957      
 3433.4  44      3939     -158.658   -158.625   0.0325611   19       962      
 3434.39 44      3950     -158.658   -158.625   0.0325611   18       966      
 3438.99 45      4053     -158.657   -158.625   0.0320305   20       984      
 3439.28 45      4054     -158.657   -158.625   0.0320305   18       985      
 3443.64 45      4100     -158.657   -158.625   0.0320305   16       1002     
 3445.94 46      4163     -158.656   -158.625   0.0306102   23       1009     
 3448.72 46      4200     -158.656   -158.625   0.0306102   17       1020     
 3450.26 47      4279     -158.655   -158.625   0.0301227   16       1025     
 3450.44 47      4300     -158.655   -158.625   0.0301227   15       1025     
 3452    48      4395     -158.655   -158.625   0.0297583   18       1031     
 3453.21 48      4400     -158.655   -158.625   0.0297583   19       1036     
 3456.62 48      4450     -158.655   -158.625   0.0297583   20       1049     
 3457.5  49      4511     -158.654   -158.625   0.0286978   17       1051     
 3464.57 49      4550     -158.654   -158.625   0.0286978   16       1077     
 3471.04 50      4629     -158.654   -158.625   0.0282827   18       1096     
 3473.91 50      4650     -158.654   -158.625   0.0282827   16       1106     
 3483.21 51      4747     -158.653   -158.625   0.027905    17       1136     
 3483.35 51      4750     -158.653   -158.625   0.027905    17       1136     
 3484.79 51      4800     -158.653   -158.625   0.027905    20       1141     
 3486.18 52      4863     -158.653   -158.625   0.0275231   19       1145     
 3486.41 52      4900     -158.653   -158.625   0.0275231   22       1145     
 3488.47 53      4979     -158.653   -158.625   0.0272822   20       1152     
 3491.32 53      5000     -158.653   -158.625   0.0272822   19       1163     
 3492.65 54      5093     -158.652   -158.625   0.0271242   20       1167     
 3492.81 54      5100     -158.652   -158.625   0.0271242   21       1167     
 3494.44 55      5150     -158.652   -158.625   0.0271242   21       1173     
 3494.74 55      5207     -158.652   -158.625   0.0269134   22       1173     
 3494.99 55      5250     -158.652   -158.625   0.0269134   23       1173     
 3496.88 56      5319     -158.652   -158.625   0.0262819   21       1180     
 3506.03 56      5350     -158.652   -158.625   0.0262819   19       1211     
 3516.18 57      5433     -158.651   -158.625   0.0259548   19       1237     
 3521.16 57      5450     -158.651   -158.625   0.0259548   21       1252     
 3523.41 58      5545     -158.65    -158.625   0.0248502   25       1257     
 3523.58 58      5550     -158.65    -158.625   0.0248502   26       1257     
 3523.85 58      5600     -158.65    -158.625   0.0248502   25       1257     
 3524.93 59      5665     -158.65    -158.625   0.0246831   24       1260     
 3529.97 59      5700     -158.65    -158.625   0.0246831   27       1278     
 3532.44 60      5785     -158.65    -158.625   0.0244161   27       1285     
 3532.66 60      5800     -158.65    -158.625   0.0244161   26       1285     
 3535.12 61      5907     -158.65    -158.625   0.0242774   24       1292     
 3535.29 61      5908     -158.65    -158.625   0.0242774   23       1292     
 3535.54 61      5950     -158.65    -158.625   0.0242774   26       1292     
 3537.95 62      6027     -158.649   -158.625   0.0241059   20       1299     
 3541.43 62      6050     -158.649   -158.625   0.0241059   18       1310     
 3549.11 63      6145     -158.649   -158.625   0.0239272   20       1332     
 3549.28 63      6150     -158.649   -158.625   0.0239272   18       1332     
 3550.71 63      6200     -158.649   -158.625   0.0239272   22       1336     
 3552.09 64      6263     -158.649   -158.625   0.0237953   24       1339     
 3556.1  64      6300     -158.649   -158.625   0.0237953   20       1352     
 3559.15 65      6379     -158.649   -158.625   0.0237117   20       1360     
 3560.28 65      6400     -158.649   -158.625   0.0237117   21       1363     
 3563.26 66      6495     -158.649   -158.625   0.0235583   19       1371     
 3563.44 66      6500     -158.649   -158.625   0.0235583   20       1371     
 3571.76 66      6550     -158.649   -158.625   0.0235583   22       1395     
 3572.59 67      6609     -158.649   -158.625   0.0234473   18       1396     
 3581.1  67      6650     -158.649   -158.625   0.0234473   20       1419     
 3583.68 68      6721     -158.649   -158.625   0.0233531   22       1425     
 3590.15 68      6750     -158.649   -158.625   0.0233531   24       1442     
 3594.77 69      6835     -158.649   -158.625   0.0232709   22       1452     
 3594.99 69      6850     -158.649   -158.625   0.0232709   22       1452     
 3597.5  70      6947     -158.648   -158.625   0.0231485   22       1458     
 3597.69 70      6950     -158.648   -158.625   0.0231485   22       1458     
 3598.6  70      7000     -158.648   -158.625   0.0231485   22       1460     
 3599.64 71      7059     -158.648   -158.625   0.0230628   20       1462     
 3599.93 71      7100     -158.648   -158.625   0.0230628   22       1462     
 3601.86 72      7169     -158.648   -158.625   0.0229478   23       1467     
 3602.16 72      7200     -158.648   -158.625   0.0229478   21       1467     
 3602.87 73      7279     -158.648   -158.625   0.0228873   21       1468     
 3603.13 73      7300     -158.648   -158.625   0.0228873   22       1468     
 3605.02 74      7389     -158.648   -158.625   0.0225386   26       1473     
 3605.24 74      7400     -158.648   -158.625   0.0225386   25       1473     
 3606.89 75      7501     -158.648   -158.625   0.0224508   25       1477     
 3607.08 75      7502     -158.648   -158.625   0.0224508   24       1477     
 3609.19 75      7550     -158.648   -158.625   0.0224508   25       1483     
 3610.52 76      7613     -158.647   -158.625   0.0217195   25       1486     
 3610.85 76      7650     -158.647   -158.625   0.0217195   22       1486     
 3612.96 77      7731     -158.647   -158.625   0.0216026   22       1491     
 3613.21 77      7750     -158.647   -158.625   0.0216026   24       1491     
 3614.93 78      7847     -158.647   -158.625   0.0215265   24       1495     
 3615.14 78      7850     -158.647   -158.625   0.0215265   25       1495     
 3615.47 78      7900     -158.647   -158.625   0.0215265   25       1495     
 3617    79      7963     -158.647   -158.625   0.0214966   29       1499     
 3617.28 79      8000     -158.647   -158.625   0.0214966   26       1499     
 3619.53 80      8081     -158.647   -158.625   0.0214281   30       1505     
 3619.79 80      8100     -158.647   -158.625   0.0214281   26       1505     
 3621.73 81      8197     -158.647   -158.625   0.0213874   26       1510     
 3622.78 81      8200     -158.647   -158.625   0.0213874   26       1513     
 3627.72 81      8250     -158.647   -158.625   0.0213874   24       1526     
 3629.21 82      8311     -158.646   -158.625   0.0205132   22       1529     
 3629.49 82      8350     -158.646   -158.625   0.0205132   26       1529     
 3631.55 83      8433     -158.646   -158.625   0.0204621   30       1534     
 3633.78 83      8450     -158.646   -158.625   0.0204621   27       1540     
 3650.72 84      8555     -158.646   -158.625   0.0204029   27       1583     
 3650.92 84      8556     -158.646   -158.625   0.0204029   25       1583     
 3665.47 84      8600     -158.646   -158.625   0.0204029   28       1617     
 3672.72 85      8675     -158.646   -158.625   0.0203629   29       1631     
 3673.06 85      8700     -158.646   -158.625   0.0203629   32       1631     
 3676.78 86      8795     -158.646   -158.625   0.020352    35       1639     
 3677.02 86      8800     -158.646   -158.625   0.020352    38       1639     
 3678.11 86      8850     -158.646   -158.625   0.020352    41       1641     
 3680.67 87      8917     -158.646   -158.625   0.0203017   35       1646     
 3688.68 87      8950     -158.646   -158.625   0.0203017   37       1664     
 3690.99 88      9037     -158.646   -158.625   0.020271    29       1668     
 3691.26 88      9050     -158.646   -158.625   0.020271    29       1668     
 3694.31 89      9155     -158.646   -158.625   0.0202423   33       1674     
 3694.53 89      9156     -158.646   -158.625   0.0202423   33       1674     
 3694.87 89      9200     -158.646   -158.625   0.0202423   33       1674     
 3697.66 90      9275     -158.645   -158.625   0.0201841   40       1680     
 3697.95 90      9300     -158.645   -158.625   0.0201841   33       1680     
 3699.56 91      9393     -158.645   -158.625   0.0201481   29       1683     
 3699.82 91      9400     -158.645   -158.625   0.0201481   30       1683     
 3701.31 91      9450     -158.645   -158.625   0.0201481   30       1686     
 3701.76 92      9509     -158.645   -158.625   0.0199817   22       1686     
 3702.08 92      9550     -158.645   -158.625   0.0199817   24       1686     
 3703.54 93      9627     -158.645   -158.625   0.0199565   30       1689     
