
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3b4ea096db.pomdpx
  loading time : 4.68s 

SARSOP initializing ...
  initialization time : 8632.88s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8632.88 0       0        -2869.3    -177.103   2692.2      101      1        
 8633.72 0       50       -2863.43   -2849.48   13.9578     44       13       
 8634.39 1       137      -2859.46   -2849.48   9.98755     56       17       
 8634.62 1       150      -2859.46   -2849.48   9.98755     49       21       
 8634.97 2       200      -2859.46   -2849.48   9.98755     63       25       
 8635.23 2       263      -2855.55   -2849.48   6.07831     88       25       
 8635.66 2       300      -2855.55   -2849.48   6.07831     58       30       
 8635.93 2       350      -2855.55   -2849.48   6.07831     63       32       
 8636.35 3       441      -2854.74   -2849.48   5.26099     63       33       
 8636.39 3       450      -2854.74   -2849.48   5.26099     72       33       
 8636.51 3       500      -2854.74   -2849.48   5.26099     81       33       
 8637.22 4       621      -2854.33   -2849.48   4.85132     86       36       
 8637.23 4       622      -2854.33   -2849.48   4.85132     87       36       
 8637.32 4       650      -2854.33   -2849.48   4.85132     99       36       
 8637.46 4       700      -2854.33   -2849.48   4.85132     94       36       
 8638.41 5       797      -2854.04   -2849.48   4.56338     113      40       
 8638.43 5       800      -2854.04   -2849.48   4.56338     116      40       
 8638.61 5       850      -2854.04   -2849.48   4.56338     130      40       
 8639.61 6       965      -2853.83   -2849.48   4.35779     39       43       
 8639.62 6       966      -2853.83   -2849.48   4.35779     34       43       
 8639.71 6       1000     -2853.83   -2849.48   4.35779     30       43       
 8641.01 7       1129     -2853.64   -2849.48   4.16653     28       49       
 8641.06 7       1130     -2853.64   -2849.48   4.16653     27       50       
 8641.5  7       1150     -2853.64   -2849.48   4.16653     25       55       
 8641.59 7       1200     -2853.64   -2849.48   4.16653     24       55       
 8642.36 8       1283     -2852.56   -2849.48   3.08433     21       59       
 8642.41 8       1300     -2852.56   -2849.48   3.08433     20       59       
 8642.49 8       1350     -2852.56   -2849.48   3.08433     19       59       
 8643.13 9       1479     -2852.37   -2849.48   2.89277     19       63       
 8643.15 9       1480     -2852.37   -2849.48   2.89277     18       63       
 8643.2  9       1500     -2852.37   -2849.48   2.89277     18       63       
 8643.28 9       1550     -2852.37   -2849.48   2.89277     18       63       
 8643.8  10      1675     -2852.27   -2849.48   2.79411     13       65       
 8643.82 10      1676     -2852.27   -2849.48   2.79411     13       65       
 8643.87 10      1700     -2852.27   -2849.48   2.79411     12       65       
 8643.96 10      1750     -2852.27   -2849.48   2.79411     11       65       
 8644.6  11      1869     -2852.18   -2849.48   2.70499     11       68       
 8644.61 11      1870     -2852.18   -2849.48   2.70499     10       68       
 8644.68 11      1900     -2852.18   -2849.48   2.70499     10       68       
 8644.76 11      1950     -2852.18   -2849.48   2.70499     10       68       
 8645.84 12      2061     -2852.1    -2849.48   2.62339     12       73       
 8645.86 12      2062     -2852.1    -2849.48   2.62339     11       73       
 8645.94 12      2100     -2852.1    -2849.48   2.62339     12       73       
 8646.03 12      2150     -2852.1    -2849.48   2.62339     12       73       
 8646.87 13      2249     -2852.02   -2849.48   2.54309     11       76       
 8646.89 13      2250     -2852.02   -2849.48   2.54309     11       76       
 8646.98 13      2300     -2852.02   -2849.48   2.54309     9        76       
 8647.71 14      2435     -2851.95   -2849.48   2.47576     11       78       
 8647.74 14      2436     -2851.95   -2849.48   2.47576     11       78       
 8647.79 14      2450     -2851.95   -2849.48   2.47576     10       78       
 8647.88 14      2500     -2851.95   -2849.48   2.47576     10       78       
 8649.27 15      2619     -2851.75   -2849.48   2.27771     8        83       
 8649.3  15      2620     -2851.75   -2849.48   2.27771     8        83       
 8649.36 15      2650     -2851.75   -2849.48   2.27771     7        83       
 8649.45 15      2700     -2851.75   -2849.48   2.27771     7        83       
 8650.46 16      2809     -2851.68   -2849.48   2.20698     11       87       
 8650.48 16      2810     -2851.68   -2849.48   2.20698     11       87       
 8650.57 16      2850     -2851.68   -2849.48   2.20698     11       87       
 8651.02 16      2900     -2851.68   -2849.48   2.20698     9        89       
 8651.5  17      2995     -2851.62   -2849.48   2.14248     10       90       
 8651.53 17      3000     -2851.62   -2849.48   2.14248     9        90       
 8651.63 17      3050     -2851.62   -2849.48   2.14248     9        90       
 8652.37 18      3179     -2851.44   -2849.48   1.96026     8        93       
 8652.4  18      3180     -2851.44   -2849.48   1.96026     8        93       
 8652.44 18      3200     -2851.44   -2849.48   1.96026     7        93       
 8652.53 18      3250     -2851.44   -2849.48   1.96026     7        93       
 8652.89 19      3371     -2851.38   -2849.48   1.9074      8        94       
 8652.92 19      3372     -2851.38   -2849.48   1.9074      8        94       
 8652.98 19      3400     -2851.38   -2849.48   1.9074      9        94       
 8653.06 19      3450     -2851.38   -2849.48   1.9074      9        94       
 8653.62 20      3561     -2851.32   -2849.48   1.84504     9        97       
 8653.64 20      3562     -2851.32   -2849.48   1.84504     8        97       
 8653.72 20      3600     -2851.32   -2849.48   1.84504     8        97       
 8653.81 20      3650     -2851.32   -2849.48   1.84504     8        97       
 8654.59 21      3749     -2851.27   -2849.48   1.79057     9        101      
 8654.62 21      3750     -2851.27   -2849.48   1.79057     9        101      
 8654.71 21      3800     -2851.27   -2849.48   1.79057     9        101      
 8655.31 22      3933     -2851.23   -2849.48   1.74975     10       103      
 8655.34 22      3934     -2851.23   -2849.48   1.74975     10       103      
 8655.39 22      3950     -2851.23   -2849.48   1.74975     9        103      
 8655.48 22      4000     -2851.23   -2849.48   1.74975     9        103      
 8655.86 23      4115     -2851.16   -2849.48   1.6812      9        104      
 8655.89 23      4116     -2851.16   -2849.48   1.6812      8        104      
 8655.96 23      4150     -2851.16   -2849.48   1.6812      9        104      
 8656.05 23      4200     -2851.16   -2849.48   1.6812      8        104      
 8656.45 24      4297     -2851.12   -2849.48   1.64158     10       105      
 8656.48 24      4300     -2851.12   -2849.48   1.64158     9        105      
 8656.57 24      4350     -2851.12   -2849.48   1.64158     10       105      
 8657.92 25      4477     -2851.06   -2849.48   1.58807     11       111      
 8657.96 25      4478     -2851.06   -2849.48   1.58807     11       111      
 8658.02 25      4500     -2851.06   -2849.48   1.58807     10       111      
 8658.12 25      4550     -2851.06   -2849.48   1.58807     10       111      
 8659.6  26      4655     -2851.02   -2849.48   1.54101     13       118      
 8659.63 26      4656     -2851.02   -2849.48   1.54101     13       118      
 8659.74 26      4700     -2851.02   -2849.48   1.54101     12       118      
 8660.63 27      4829     -2850.98   -2849.48   1.50713     13       121      
 8660.67 27      4830     -2850.98   -2849.48   1.50713     13       121      
 8660.73 27      4850     -2850.98   -2849.48   1.50713     12       121      
 8660.84 27      4900     -2850.98   -2849.48   1.50713     12       121      
 8662.24 28      5001     -2850.94   -2849.48   1.46187     12       126      
 8662.27 28      5002     -2850.94   -2849.48   1.46187     12       126      
 8662.38 28      5050     -2850.94   -2849.48   1.46187     10       126      
 8663.81 29      5169     -2850.91   -2849.48   1.43232     13       131      
 8663.92 29      5170     -2850.91   -2849.48   1.43232     10       132      
 8664.63 29      5200     -2850.91   -2849.48   1.43232     8        136      
 8666.86 29      5250     -2850.91   -2849.48   1.43232     11       144      
 8667.11 30      5333     -2850.6    -2849.48   1.12541     7        144      
 8667.17 30      5350     -2850.6    -2849.48   1.12541     7        144      
 8667.26 30      5400     -2850.6    -2849.48   1.12541     7        144      
 8668.55 31      5535     -2850.57   -2849.48   1.09096     10       149      
 8668.58 31      5536     -2850.57   -2849.48   1.09096     10       149      
 8668.64 31      5550     -2850.57   -2849.48   1.09096     11       149      
 8668.75 31      5600     -2850.57   -2849.48   1.09096     11       149      
 8670.01 32      5735     -2850.54   -2849.48   1.06941     9        154      
 8670.05 32      5736     -2850.54   -2849.48   1.06941     9        154      
 8670.11 32      5750     -2850.54   -2849.48   1.06941     8        154      
 8670.21 32      5800     -2850.54   -2849.48   1.06941     8        154      
 8671.7  33      5933     -2850.51   -2849.48   1.03627     10       159      
 8671.74 33      5934     -2850.51   -2849.48   1.03627     10       159      
 8671.8  33      5950     -2850.51   -2849.48   1.03627     8        159      
 8671.91 33      6000     -2850.51   -2849.48   1.03627     8        159      
 8673.33 34      6129     -2850.49   -2849.48   1.01501     10       163      
 8673.37 34      6130     -2850.49   -2849.48   1.01501     10       163      
 8673.45 34      6150     -2850.49   -2849.48   1.01501     9        163      
 8673.55 34      6200     -2850.49   -2849.48   1.01501     9        163      
 8675.32 35      6325     -2850.46   -2849.48   0.984331    11       168      
 8675.36 35      6326     -2850.46   -2849.48   0.984331    11       168      
 8675.44 35      6350     -2850.46   -2849.48   0.984331    9        168      
 8675.55 35      6400     -2850.46   -2849.48   0.984331    9        168      
 8675.95 36      6519     -2850.44   -2849.48   0.965285    11       168      
 8676    36      6520     -2850.44   -2849.48   0.965285    11       168      
 8676.08 36      6550     -2850.44   -2849.48   0.965285    10       168      
 8676.2  36      6600     -2850.44   -2849.48   0.965285    10       168      
 8677.37 37      6711     -2850.42   -2849.48   0.940378    12       172      
 8677.41 37      6712     -2850.42   -2849.48   0.940378    12       172      
 8677.52 37      6750     -2850.42   -2849.48   0.940378    10       172      
 8677.63 37      6800     -2850.42   -2849.48   0.940378    11       172      
 8679.47 38      6901     -2850.4    -2849.48   0.920728    12       177      
 8679.52 38      6902     -2850.4    -2849.48   0.920728    12       177      
 8679.64 38      6950     -2850.4    -2849.48   0.920728    10       177      
 8680.39 39      7089     -2850.38   -2849.48   0.902731    13       178      
 8680.43 39      7090     -2850.38   -2849.48   0.902731    12       178      
 8680.5  39      7100     -2850.38   -2849.48   0.902731    12       178      
 8680.61 39      7150     -2850.38   -2849.48   0.902731    12       178      
 8682.4  40      7275     -2850.36   -2849.48   0.883751    12       183      
 8682.45 40      7276     -2850.36   -2849.48   0.883751    12       183      
 8682.54 40      7300     -2850.36   -2849.48   0.883751    13       183      
 8682.66 40      7350     -2850.36   -2849.48   0.883751    13       183      
 8685.32 41      7459     -2850.35   -2849.48   0.869794    14       189      
 8685.38 41      7460     -2850.35   -2849.48   0.869794    14       189      
 8685.49 41      7500     -2850.35   -2849.48   0.869794    13       189      
 8688.27 41      7550     -2850.35   -2849.48   0.869794    15       195      
 8688.59 42      7643     -2850.33   -2849.48   0.852778    14       195      
 8688.67 42      7650     -2850.33   -2849.48   0.852778    14       195      
 8688.8  42      7700     -2850.33   -2849.48   0.852778    14       195      
 8690.48 43      7825     -2850.31   -2849.48   0.838735    14       199      
 8690.53 43      7826     -2850.31   -2849.48   0.838735    14       199      
 8690.63 43      7850     -2850.31   -2849.48   0.838735    13       199      
 8690.76 43      7900     -2850.31   -2849.48   0.838735    13       199      
 8694.02 44      8005     -2850.3    -2849.48   0.822109    13       205      
 8694.07 44      8006     -2850.3    -2849.48   0.822109    13       205      
 8694.21 44      8050     -2850.3    -2849.48   0.822109    14       205      
 8694.82 45      8183     -2850.29   -2849.48   0.810373    13       206      
 8694.87 45      8184     -2850.29   -2849.48   0.810373    13       206      
 8694.96 45      8200     -2850.29   -2849.48   0.810373    12       206      
 8695.1  45      8250     -2850.29   -2849.48   0.810373    12       206      
 8697.26 46      8359     -2850.22   -2849.48   0.743263    11       210      
 8697.31 46      8360     -2850.22   -2849.48   0.743263    11       210      
 8697.43 46      8400     -2850.22   -2849.48   0.743263    10       210      
 8699.54 46      8450     -2850.22   -2849.48   0.743263    10       215      
 8700.79 47      8547     -2850.2    -2849.48   0.726238    11       217      
 8700.86 47      8550     -2850.2    -2849.48   0.726238    10       217      
 8700.99 47      8600     -2850.2    -2849.48   0.726238    10       217      
 8705.1  48      8733     -2850.19   -2849.48   0.712395    12       225      
 8705.16 48      8734     -2850.19   -2849.48   0.712395    12       225      
 8705.25 48      8750     -2850.19   -2849.48   0.712395    12       225      
 8705.38 48      8800     -2850.19   -2849.48   0.712395    12       225      
 8708.71 49      8917     -2850.17   -2849.48   0.694082    12       231      
 8708.77 49      8918     -2850.17   -2849.48   0.694082    12       231      
 8708.89 49      8950     -2850.17   -2849.48   0.694082    10       231      
 8709.02 49      9000     -2850.17   -2849.48   0.694082    11       231      
 8711.8  50      9099     -2850.16   -2849.48   0.680106    11       237      
 8712.3  50      9100     -2850.16   -2849.48   0.680106    12       238      
 8713.45 50      9150     -2850.16   -2849.48   0.680106    11       241      
 8717.2  51      9279     -2850.14   -2849.48   0.669417    14       248      
 8717.27 51      9280     -2850.14   -2849.48   0.669417    15       248      
 8717.38 51      9300     -2850.14   -2849.48   0.669417    14       248      
 8717.52 51      9350     -2850.14   -2849.48   0.669417    14       248      
 8718.83 52      9457     -2850.13   -2849.48   0.653691    12       250      
 8718.91 52      9458     -2850.13   -2849.48   0.653691    12       250      
 8719.05 52      9500     -2850.13   -2849.48   0.653691    11       250      
 8724.02 53      9633     -2850.12   -2849.48   0.642864    12       259      
 8724.28 53      9634     -2850.12   -2849.48   0.642864    9        260      
 8726.23 53      9650     -2850.12   -2849.48   0.642864    8        265      
 8726.36 53      9700     -2850.12   -2849.48   0.642864    9        265      
 8729.14 54      9807     -2850.01   -2849.48   0.537276    9        270      
 8729.21 54      9808     -2850.01   -2849.48   0.537276    9        270      
 8729.33 54      9850     -2850.01   -2849.48   0.537276    9        270      
 8729.81 54      9900     -2850.01   -2849.48   0.537276    10       271      
 8733.05 55      10011    -2850      -2849.48   0.525955    11       279      
 8733.11 55      10012    -2850      -2849.48   0.525955    11       279      
 8733.24 55      10050    -2850      -2849.48   0.525955    10       279      
 8733.38 55      10100    -2850      -2849.48   0.525955    10       279      
 8737.52 56      10213    -2849.99   -2849.48   0.514301    13       287      
 8737.59 56      10214    -2849.99   -2849.48   0.514301    13       287      
