
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3b5e279f84.pomdpx
  loading time : 4.89s 

SARSOP initializing ...
  initialization time : 7802.02s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7802.02 0       0        -298.662   -288.716   9.94624     101      1        
 7803.68 1       97       -294.395   -288.99    5.4048      9        21       
 7803.68 1       100      -294.395   -288.99    5.4048      12       21       
 7804.13 2       150      -294.395   -288.99    5.4048      19       28       
 7804.25 2       203      -293.365   -288.99    4.37466     11       28       
 7804.31 2       250      -293.365   -288.99    4.37466     21       28       
 7804.64 3       311      -292.354   -288.99    3.36321     9        33       
 7804.69 3       350      -292.354   -288.99    3.36321     31       33       
 7805.08 4       431      -291.799   -288.99    2.80858     14       38       
 7805.1  4       450      -291.799   -288.99    2.80858     22       38       
 7805.45 5       561      -291.501   -288.99    2.51017     31       42       
 7805.45 5       562      -291.501   -288.99    2.51017     32       42       
 7805.5  5       600      -291.501   -288.99    2.51017     26       42       
 7805.79 6       693      -291.297   -288.99    2.30678     19       45       
 7805.8  6       700      -291.297   -288.99    2.30678     26       45       
 7805.86 6       750      -291.297   -288.99    2.30678     24       45       
 7806.21 7       825      -291.13    -288.99    2.13919     22       49       
 7806.25 7       850      -291.13    -288.99    2.13919     17       49       
 7806.48 8       957      -290.947   -288.99    1.95638     26       50       
 7806.48 8       958      -290.947   -288.99    1.95638     27       50       
 7806.54 8       1000     -290.947   -288.99    1.95638     21       50       
 7806.78 9       1089     -290.8     -288.99    1.80974     20       52       
 7806.8  9       1100     -290.8     -288.99    1.80974     14       52       
 7806.86 9       1150     -290.8     -288.99    1.80974     22       52       
 7807.14 10      1221     -290.673   -288.99    1.68275     23       55       
 7807.18 10      1250     -290.673   -288.99    1.68275     28       55       
 7807.51 11      1351     -290.569   -288.99    1.5789      35       58       
 7807.52 11      1352     -290.569   -288.99    1.5789      36       58       
 7807.6  11      1400     -290.569   -288.99    1.5789      35       58       
 7808.09 12      1483     -290.486   -288.991   1.49545     33       63       
 7808.13 12      1500     -290.486   -288.991   1.49545     43       63       
 7808.71 13      1615     -290.408   -288.991   1.417       21       68       
 7808.72 13      1616     -290.408   -288.991   1.417       22       68       
 7808.78 13      1650     -290.408   -288.991   1.417       17       68       
 7809.09 14      1747     -290.343   -288.991   1.35199     13       70       
 7809.21 14      1750     -290.343   -288.991   1.35199     11       72       
 7809.8  14      1800     -290.343   -288.991   1.35199     11       78       
 7810.74 15      1879     -290.263   -288.991   1.27214     15       83       
 7811.1  15      1900     -290.263   -288.991   1.27214     11       87       
 7812.5  16      2013     -290.2     -288.991   1.20908     11       95       
 7812.61 16      2014     -290.2     -288.991   1.20908     11       96       
 7813.32 16      2050     -290.2     -288.991   1.20908     8        102      
 7814.34 17      2147     -290.146   -288.991   1.15524     12       107      
 7814.37 17      2150     -290.146   -288.991   1.15524     11       107      
 7814.46 17      2200     -290.146   -288.991   1.15524     9        107      
 7814.9  18      2281     -290.096   -288.991   1.10491     11       110      
 7814.95 18      2300     -290.096   -288.991   1.10491     9        110      
 7815.48 19      2415     -290.045   -288.991   1.05404     8        114      
 7815.5  19      2416     -290.045   -288.991   1.05404     7        114      
 7815.56 19      2450     -290.045   -288.991   1.05404     7        114      
 7816.09 20      2549     -289.996   -288.991   1.00559     7        118      
 7816.11 20      2550     -289.996   -288.991   1.00559     7        118      
 7816.2  20      2600     -289.996   -288.991   1.00559     8        118      
 7816.86 21      2683     -289.953   -288.991   0.962695    6        123      
 7816.9  21      2700     -289.953   -288.991   0.962695    7        123      
 7817.35 22      2750     -289.953   -288.991   0.962695    8        127      
 7817.51 22      2817     -289.915   -288.991   0.923953    7        127      
 7817.58 22      2850     -289.915   -288.991   0.923953    6        127      
 7818.29 23      2951     -289.87    -288.991   0.879592    6        132      
 7818.33 23      2952     -289.87    -288.991   0.879592    7        132      
 7818.41 23      3000     -289.87    -288.991   0.879592    7        132      
 7818.9  24      3087     -289.836   -288.991   0.845425    10       135      
 7819.73 24      3100     -289.836   -288.991   0.845425    6        142      
 7820.11 24      3150     -289.836   -288.991   0.845425    6        144      
 7821.01 25      3223     -289.796   -288.991   0.805068    8        148      
 7821.08 25      3250     -289.796   -288.991   0.805068    7        148      
 7821.6  26      3359     -289.768   -288.991   0.777317    10       151      
 7821.63 26      3360     -289.768   -288.991   0.777317    11       151      
 7821.71 26      3400     -289.768   -288.991   0.777317    10       151      
 7822.67 27      3495     -289.739   -288.991   0.748255    7        157      
 7822.71 27      3500     -289.739   -288.991   0.748255    7        157      
 7822.8  27      3550     -289.739   -288.991   0.748255    7        157      
 7823.33 28      3631     -289.714   -288.991   0.722849    9        160      
 7823.39 28      3650     -289.714   -288.991   0.722849    7        160      
 7824.27 29      3767     -289.698   -288.991   0.707607    10       165      
 7824.3  29      3768     -289.698   -288.991   0.707607    9        165      
 7824.37 29      3800     -289.698   -288.991   0.707607    9        165      
 7825.49 30      3901     -289.671   -288.991   0.68023     8        171      
 7825.52 30      3902     -289.671   -288.991   0.68023     7        171      
 7825.61 30      3950     -289.671   -288.991   0.68023     7        171      
 7825.94 31      4037     -289.651   -288.991   0.660063    9        172      
 7825.99 31      4050     -289.651   -288.991   0.660063    9        172      
 7826.09 31      4100     -289.651   -288.991   0.660063    9        172      
 7826.37 32      4173     -289.63    -288.991   0.638926    9        173      
 7826.44 32      4200     -289.63    -288.991   0.638926    8        173      
 7826.79 33      4309     -289.607   -288.991   0.616072    7        174      
 7826.82 33      4310     -289.607   -288.991   0.616072    7        174      
 7826.9  33      4350     -289.607   -288.991   0.616072    7        174      
 7827.91 34      4445     -289.585   -288.991   0.594775    8        180      
 7827.95 34      4450     -289.585   -288.991   0.594775    8        180      
 7828.05 34      4500     -289.585   -288.991   0.594775    8        180      
 7828.37 35      4581     -289.563   -288.991   0.572771    8        181      
