
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3b65a90d07.pomdpx
  loading time : 4.74s 

SARSOP initializing ...
  initialization time : 7384.31s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7384.31 0       0        -1074.93   -166.369   908.565     101      1        
 7385.98 1       71       -1060.14   -1053.03   7.10784     34       29       
 7386.31 1       100      -1060.14   -1053.03   7.10784     35       36       
 7386.94 2       181      -1058.6    -1053.03   5.56978     55       43       
 7387.23 2       200      -1058.6    -1053.03   5.56978     73       47       
 7387.95 3       287      -1057.9    -1053.03   4.8761      86       53       
 7388.46 3       300      -1057.9    -1053.03   4.8761      61       63       
 7390.17 4       375      -1056.16   -1053.03   3.12807     46       78       
 7390.25 4       400      -1056.16   -1053.03   3.12807     37       78       
 7390.92 5       511      -1055.7    -1053.03   2.67501     77       84       
 7390.94 5       512      -1055.7    -1053.03   2.67501     78       84       
 7391.04 5       550      -1055.7    -1053.03   2.67501     43       84       
 7391.67 6       645      -1055.46   -1053.03   2.42741     38       88       
 7391.86 6       650      -1055.46   -1053.03   2.42741     36       90       
 7392.17 6       700      -1055.46   -1053.03   2.42741     33       93       
 7393.55 7       777      -1055.29   -1053.03   2.25889     31       103      
 7393.63 7       800      -1055.29   -1053.03   2.25889     33       103      
 7394.36 8       901      -1055.14   -1053.03   2.11529     27       107      
 7394.48 8       902      -1055.14   -1053.03   2.11529     23       108      
 7395.45 8       950      -1055.14   -1053.03   2.11529     23       115      
 7396.82 9       1017     -1054.76   -1053.03   1.73327     23       122      
 7397.71 9       1050     -1054.76   -1053.03   1.73327     19       128      
 7398.43 10      1149     -1054.62   -1053.03   1.59382     19       131      
 7398.46 10      1150     -1054.62   -1053.03   1.59382     18       131      
 7400.49 10      1200     -1054.62   -1053.03   1.59382     16       143      
 7401.57 11      1279     -1054.55   -1053.03   1.52646     15       147      
 7401.65 11      1300     -1054.55   -1053.03   1.52646     14       147      
 7402.52 12      1405     -1054.49   -1053.03   1.46521     14       149      
 7402.56 12      1406     -1054.49   -1053.03   1.46521     9        150      
 7403.17 12      1450     -1054.49   -1053.03   1.46521     8        157      
 7403.67 13      1523     -1054.18   -1053.03   1.15697     12       160      
 7403.75 13      1550     -1054.18   -1053.03   1.15697     12       160      
 7404.42 14      1671     -1054.1    -1053.03   1.07049     13       164      
 7404.45 14      1672     -1054.1    -1053.03   1.07049     14       164      
 7405.64 14      1700     -1054.1    -1053.03   1.07049     12       173      
 7408.55 15      1819     -1054.05   -1053.03   1.01847     11       186      
 7408.59 15      1820     -1054.05   -1053.03   1.01847     11       186      
 7411.25 15      1850     -1054.05   -1053.03   1.01847     12       200      
 7412.57 16      1965     -1054      -1053.03   0.972926    13       203      
 7412.61 16      1966     -1054      -1053.03   0.972926    13       203      
 7412.73 16      2000     -1054      -1053.03   0.972926    12       203      
 7413.96 17      2107     -1053.97   -1053.03   0.940428    13       207      
 7414    17      2108     -1053.97   -1053.03   0.940428    13       207      
 7414.19 17      2150     -1053.97   -1053.03   0.940428    13       207      
 7415.57 18      2247     -1053.93   -1053.03   0.904629    12       211      
 7415.62 18      2250     -1053.93   -1053.03   0.904629    11       211      
 7416.57 18      2300     -1053.93   -1053.03   0.904629    12       216      
 7417.7  19      2383     -1053.91   -1053.03   0.878097    13       219      
 7418.15 19      2400     -1053.91   -1053.03   0.878097    13       221      
 7419.14 20      2515     -1053.88   -1053.03   0.853993    13       223      
 7419.19 20      2516     -1053.88   -1053.03   0.853993    14       223      
 7419.32 20      2550     -1053.88   -1053.03   0.853993    13       223      
 7420.46 21      2645     -1053.86   -1053.03   0.835142    15       226      
 7420.52 21      2650     -1053.86   -1053.03   0.835142    12       226      
 7420.66 21      2700     -1053.86   -1053.03   0.835142    14       226      
 7422.72 22      2773     -1053.81   -1053.03   0.778402    10       232      
 7422.84 22      2800     -1053.81   -1053.03   0.778402    10       232      
 7424.25 23      2901     -1053.78   -1053.03   0.751405    15       236      
 7424.49 23      2902     -1053.78   -1053.03   0.751405    12       237      
 7427.39 23      2950     -1053.78   -1053.03   0.751405    12       246      
 7429.7  24      3025     -1053.67   -1053.03   0.641896    11       251      
 7433.01 24      3050     -1053.67   -1053.03   0.641896    9        264      
 7434.62 25      3167     -1053.64   -1053.03   0.609526    13       267      
 7434.68 25      3168     -1053.64   -1053.03   0.609526    13       267      
 7435.18 25      3200     -1053.64   -1053.03   0.609526    10       269      
 7436.76 26      3307     -1053.61   -1053.03   0.587001    11       273      
 7436.81 26      3308     -1053.61   -1053.03   0.587001    11       273      
 7436.95 26      3350     -1053.61   -1053.03   0.587001    10       273      
 7437.85 27      3443     -1053.6    -1053.03   0.573369    12       275      
 7437.92 27      3450     -1053.6    -1053.03   0.573369    10       275      
 7438.09 27      3500     -1053.6    -1053.03   0.573369    11       275      
 7439.28 28      3577     -1053.58   -1053.03   0.556307    10       278      
 7439.4  28      3600     -1053.58   -1053.03   0.556307    10       278      
 7440.68 29      3707     -1053.57   -1053.03   0.542372    12       281      
 7440.74 29      3708     -1053.57   -1053.03   0.542372    12       281      
 7440.9  29      3750     -1053.57   -1053.03   0.542372    12       281      
 7442.98 30      3835     -1053.56   -1053.03   0.530052    13       286      
 7443.08 30      3850     -1053.56   -1053.03   0.530052    11       286      
 7444.96 31      3961     -1053.55   -1053.03   0.519505    14       290      
 7445.03 31      3962     -1053.55   -1053.03   0.519505    12       290      
 7445.58 31      4000     -1053.55   -1053.03   0.519505    11       292      
 7450.38 32      4085     -1053.53   -1053.03   0.502602    10       302      
 7451.68 32      4100     -1053.53   -1053.03   0.502602    8        310      
 7453.5  33      4205     -1053.43   -1053.03   0.404647    12       315      
 7453.56 33      4206     -1053.43   -1053.03   0.404647    10       315      
 7454.72 33      4250     -1053.43   -1053.03   0.404647    10       321      
 7457.61 34      4359     -1053.41   -1053.03   0.386215    15       333      
 7457.68 34      4360     -1053.41   -1053.03   0.386215    15       333      
 7457.81 34      4400     -1053.41   -1053.03   0.386215    13       333      
 7459.8  35      4513     -1053.4    -1053.03   0.373295    13       341      
 7459.87 35      4514     -1053.4    -1053.03   0.373295    12       341      
 7460.4  35      4550     -1053.4    -1053.03   0.373295    12       344      
 7461.65 36      4663     -1053.39   -1053.03   0.362789    13       347      
 7461.72 36      4664     -1053.39   -1053.03   0.362789    13       347      
 7461.86 36      4700     -1053.39   -1053.03   0.362789    13       347      
 7463.15 37      4811     -1053.38   -1053.03   0.354883    14       350      
 7463.22 37      4812     -1053.38   -1053.03   0.354883    13       350      
 7463.35 37      4850     -1053.38   -1053.03   0.354883    12       350      
 7464.65 38      4957     -1053.38   -1053.03   0.347716    14       353      
 7464.73 38      4958     -1053.38   -1053.03   0.347716    13       353      
 7464.89 38      5000     -1053.38   -1053.03   0.347716    14       353      
 7467.41 39      5103     -1053.36   -1053.03   0.335752    16       360      
 7467.49 39      5104     -1053.36   -1053.03   0.335752    16       360      
 7467.65 39      5150     -1053.36   -1053.03   0.335752    11       360      
 7470.16 40      5245     -1053.36   -1053.03   0.328033    13       367      
 7470.24 40      5250     -1053.36   -1053.03   0.328033    12       367      
 7470.45 40      5300     -1053.36   -1053.03   0.328033    12       367      
 7470.85 41      5385     -1053.35   -1053.03   0.321991    14       367      
 7470.96 41      5400     -1053.35   -1053.03   0.321991    14       367      
 7473.24 41      5450     -1053.35   -1053.03   0.321991    13       373      
 7474.79 42      5523     -1053.34   -1053.03   0.313897    16       376      
 7474.94 42      5550     -1053.34   -1053.03   0.313897    15       376      
 7476.58 43      5659     -1053.33   -1053.03   0.305824    14       379      
 7476.66 43      5660     -1053.33   -1053.03   0.305824    14       379      
 7476.95 43      5700     -1053.33   -1053.03   0.305824    13       380      
 7478.85 44      5793     -1053.33   -1053.03   0.298026    13       384      
 7478.95 44      5800     -1053.33   -1053.03   0.298026    12       384      
 7479.17 44      5850     -1053.33   -1053.03   0.298026    13       384      
 7481.16 45      5925     -1053.32   -1053.03   0.291388    16       388      
 7481.31 45      5950     -1053.32   -1053.03   0.291388    15       388      
 7484.52 46      6055     -1053.31   -1053.03   0.285295    17       395      
 7484.61 46      6056     -1053.31   -1053.03   0.285295    16       395      
 7484.83 46      6100     -1053.31   -1053.03   0.285295    15       395      
 7487.48 47      6183     -1053.31   -1053.03   0.279867    17       401      
 7489.9  47      6200     -1053.31   -1053.03   0.279867    13       408      
 7492.75 48      6311     -1053.27   -1053.03   0.244624    14       413      
 7492.84 48      6312     -1053.27   -1053.03   0.244624    12       413      
 7492.99 48      6350     -1053.27   -1053.03   0.244624    12       413      
 7496.21 49      6455     -1053.26   -1053.03   0.23692     12       420      
 7496.29 49      6456     -1053.26   -1053.03   0.23692     12       420      
 7496.48 49      6500     -1053.26   -1053.03   0.23692     11       420      
 7500.11 50      6599     -1053.26   -1053.03   0.231802    12       430      
 7500.2  50      6600     -1053.26   -1053.03   0.231802    12       430      
 7500.96 50      6650     -1053.26   -1053.03   0.231802    12       432      
 7503.82 51      6741     -1053.26   -1053.03   0.227602    12       438      
 7503.94 51      6750     -1053.26   -1053.03   0.227602    11       438      
 7504.14 51      6800     -1053.26   -1053.03   0.227602    11       438      
 7506.59 52      6881     -1053.25   -1053.03   0.222227    14       442      
 7507.38 52      6900     -1053.25   -1053.03   0.222227    12       444      
 7514.72 53      6950     -1053.25   -1053.03   0.222227    16       460      
 7515.18 53      7019     -1053.25   -1053.03   0.218016    14       460      
 7515.37 53      7050     -1053.25   -1053.03   0.218016    12       460      
 7517.99 54      7155     -1053.24   -1053.03   0.214191    16       465      
 7518.09 54      7156     -1053.24   -1053.03   0.214191    16       465      
 7518.34 54      7200     -1053.24   -1053.03   0.214191    13       465      
 7521.14 55      7289     -1053.24   -1053.03   0.210052    14       469      
 7521.32 55      7300     -1053.24   -1053.03   0.210052    13       469      
 7523.94 55      7350     -1053.24   -1053.03   0.210052    14       474      
 7527.5  56      7421     -1053.23   -1053.03   0.205886    15       479      
 7531.4  56      7450     -1053.23   -1053.03   0.205886    16       485      
 7533.3  57      7549     -1053.23   -1053.03   0.202701    15       487      
 7533.42 57      7550     -1053.23   -1053.03   0.202701    16       487      
 7533.71 57      7600     -1053.23   -1053.03   0.202701    14       487      
 7538.4  58      7675     -1053.23   -1053.03   0.200065    15       493      
 7541.93 58      7700     -1053.23   -1053.03   0.200065    13       504      
 7548.26 59      7799     -1053.2    -1053.03   0.167643    16       517      
 7548.36 59      7800     -1053.2    -1053.03   0.167643    14       517      
 7551.06 59      7850     -1053.2    -1053.03   0.167643    14       524      
 7555.52 60      7955     -1053.19   -1053.03   0.163113    16       532      
 7555.62 60      7956     -1053.19   -1053.03   0.163113    16       532      
 7555.83 60      8000     -1053.19   -1053.03   0.163113    14       532      
 7561.55 61      8109     -1053.19   -1053.03   0.160545    15       544      
 7561.66 61      8110     -1053.19   -1053.03   0.160545    15       544      
 7562.52 61      8150     -1053.19   -1053.03   0.160545    15       546      
 7565.53 62      8263     -1053.18   -1053.03   0.15695     16       552      
 7565.65 62      8264     -1053.18   -1053.03   0.15695     16       552      
 7568.22 62      8300     -1053.18   -1053.03   0.15695     14       558      
 7575.7  63      8415     -1053.18   -1053.03   0.153903    17       570      
 7575.82 63      8416     -1053.18   -1053.03   0.153903    17       570      
 7578.77 63      8450     -1053.18   -1053.03   0.153903    15       575      
 7584.87 64      8565     -1053.18   -1053.03   0.151507    15       583      
 7585    64      8566     -1053.18   -1053.03   0.151507    15       583      
 7586.74 64      8600     -1053.18   -1053.03   0.151507    15       587      
 7595.18 65      8713     -1053.18   -1053.03   0.149744    16       598      
 7595.32 65      8714     -1053.18   -1053.03   0.149744    16       598      
 7595.55 65      8750     -1053.18   -1053.03   0.149744    16       598      
 7600.86 66      8861     -1053.17   -1053.03   0.145853    15       605      
 7601.68 66      8862     -1053.17   -1053.03   0.145853    15       606      
 7607.32 66      8900     -1053.17   -1053.03   0.145853    14       615      
 7615.52 67      9007     -1053.17   -1053.03   0.14418     15       624      
 7615.67 67      9008     -1053.17   -1053.03   0.14418     16       624      
 7618.45 67      9050     -1053.17   -1053.03   0.14418     16       628      
 7622.2  68      9151     -1053.17   -1053.03   0.141349    16       633      
 7622.34 68      9152     -1053.17   -1053.03   0.141349    16       633      
 7622.67 68      9200     -1053.17   -1053.03   0.141349    17       633      
 7628.44 69      9295     -1053.17   -1053.03   0.139933    17       639      
 7629.3  69      9300     -1053.17   -1053.03   0.139933    17       640      
 7631.15 69      9350     -1053.17   -1053.03   0.139933    17       643      
 7637.33 70      9437     -1053.17   -1053.03   0.1372      16       650      
 7642.28 70      9450     -1053.17   -1053.03   0.1372      14       656      
 7649.58 70      9500     -1053.17   -1053.03   0.1372      17       667      
 7657.14 71      9579     -1053.16   -1053.03   0.135996    20       674      
 7657.69 71      9600     -1053.16   -1053.03   0.135996    18       675      
 7663.36 72      9719     -1053.16   -1053.03   0.132981    15       681      
 7663.52 72      9720     -1053.16   -1053.03   0.132981    16       681      
 7666.12 72      9750     -1053.16   -1053.03   0.132981    18       684      
 7670.82 73      9857     -1053.16   -1053.03   0.131457    16       688      
 7670.99 73      9858     -1053.16   -1053.03   0.131457    16       688      
 7671.33 73      9900     -1053.16   -1053.03   0.131457    19       688      
 7676.89 74      9993     -1053.16   -1053.03   0.129151    18       693      
 7677.1  74      10000    -1053.16   -1053.03   0.129151    19       693      
 7680.29 74      10050    -1053.16   -1053.03   0.129151    20       698      
 7685.66 75      10127    -1053.16   -1053.03   0.128416    21       703      
 7685.95 75      10150    -1053.16   -1053.03   0.128416    20       703      
 7693.53 76      10259    -1053.15   -1053.03   0.126519    19       710      
 7693.71 76      10260    -1053.15   -1053.03   0.126519    19       710      
 7698.13 76      10300    -1053.15   -1053.03   0.126519    19       715      
 7707.78 77      10391    -1053.15   -1053.03   0.12561     18       723      
 7708.08 77      10400    -1053.15   -1053.03   0.12561     21       723      
 7710.86 77      10450    -1053.15   -1053.03   0.12561     20       725      
 7717.67 78      10521    -1053.15   -1053.03   0.123941    18       730      
 7719.01 78      10550    -1053.15   -1053.03   0.123941    18       732      
 7728.33 79      10651    -1053.15   -1053.03   0.123172    19       739      
 7728.53 79      10652    -1053.15   -1053.03   0.123172    19       739      
 7728.9  79      10700    -1053.15   -1053.03   0.123172    19       739      
 7737.5  80      10779    -1053.15   -1053.03   0.121612    20       746      
 7738.16 80      10800    -1053.15   -1053.03   0.121612    17       747      
 7746.47 81      10907    -1053.15   -1053.03   0.120895    17       754      
 7746.67 81      10908    -1053.15   -1053.03   0.120895    18       754      
 7747.02 81      10950    -1053.15   -1053.03   0.120895    19       754      
 7755.02 82      11033    -1053.15   -1053.03   0.119408    18       760      
 7755.32 82      11050    -1053.15   -1053.03   0.119408    18       760      
 7766.24 83      11157    -1053.15   -1053.03   0.118748    21       768      
 7766.49 83      11158    -1053.15   -1053.03   0.118748    19       768      
 7767.69 83      11200    -1053.15   -1053.03   0.118748    19       770      
 7772.6  84      11279    -1053.13   -1053.03   0.104507    15       774      
 7772.85 84      11300    -1053.13   -1053.03   0.104507    14       774      
 7780.55 84      11350    -1053.13   -1053.03   0.104507    15       783      
 7782.1  85      11425    -1053.13   -1053.03   0.102586    15       784      
