
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3c5e279f84.pomdpx
  loading time : 4.39s 

SARSOP initializing ...
  initialization time : 2447.11s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2447.11 0       0        -149.855   -145.7     4.15446     101      1        
 2448.06 1       50       -147.699   -145.793   1.90568     25       34       
 2448.81 3       113      -146.904   -145.794   1.1105      16       58       
 2449.21 4       169      -146.689   -145.794   0.895151    29       86       
 2449.77 5       215      -146.463   -145.794   0.669404    39       109      
 2450.69 6       261      -146.34    -145.794   0.546566    40       132      
 2451.69 7       300      -146.235   -145.794   0.441394    52       154      
 2452.58 9       363      -146.104   -145.794   0.3107      50       169      
 2453.04 10      400      -146.045   -145.794   0.25141     38       185      
 2454.46 11      450      -146.006   -145.794   0.212492    67       215      
 2455.68 13      503      -145.944   -145.794   0.150729    54       233      
 2456.09 14      561      -145.923   -145.794   0.129068    75       261      
 2457.33 15      613      -145.903   -145.794   0.109455    71       283      
 2458.71 16      653      -145.887   -145.794   0.0937316   67       303      
 2460.47 17      700      -145.873   -145.794   0.0790619   74       326      
 2462.83 19      763      -145.856   -145.794   0.0623955   57       353      
 2464.81 20      800      -145.848   -145.794   0.0546427   62       370      
 2466.72 21      850      -145.842   -145.794   0.0480794   60       393      
 2468.87 22      900      -145.838   -145.794   0.0443906   99       416      
 2472.25 24      950      -145.833   -145.794   0.0396225   117      444      
 2475.99 25      1019     -145.824   -145.794   0.0307727   79       469      
 2480.51 26      1073     -145.822   -145.794   0.0286834   96       496      
 2484.54 27      1121     -145.82    -145.794   0.0262798   91       519      
 2488.44 28      1167     -145.817   -145.794   0.0231212   81       542      
 2493.52 29      1223     -145.815   -145.794   0.0211869   80       569      
 2498.19 29      1250     -145.815   -145.794   0.0211869   60       593      
 2501.15 30      1300     -145.814   -145.794   0.0199787   39       615      
 2504.2  31      1350     -145.812   -145.794   0.0187247   34       638      
 2507.52 32      1400     -145.811   -145.794   0.0172939   30       661      
 2510.65 33      1450     -145.81    -145.794   0.0160424   33       683      
 2513.64 34      1507     -145.808   -145.794   0.0140615   34       708      
 2518.79 35      1587     -145.807   -145.794   0.0135679   38       747      
 2520.14 35      1600     -145.807   -145.794   0.0135679   38       756      
 2524.68 36      1667     -145.807   -145.794   0.0130084   38       783      
 2530.52 36      1700     -145.807   -145.794   0.0130084   36       816      
 2532.8  37      1753     -145.806   -145.794   0.0121946   37       826      
 2542.39 38      1845     -145.805   -145.794   0.0116368   36       871      
 2542.55 38      1850     -145.805   -145.794   0.0116368   34       871      
 2551.78 39      1939     -145.805   -145.794   0.0111933   39       911      
 2552.95 39      1950     -145.805   -145.794   0.0111933   37       916      
 2562.43 40      2037     -145.805   -145.794   0.0109928   40       954      
 2565.49 40      2050     -145.805   -145.794   0.0109928   37       967      
 2575.35 41      2133     -145.804   -145.794   0.0106922   41       1002     
 2579.82 41      2150     -145.804   -145.794   0.0106922   43       1019     
 2590.04 42      2231     -145.804   -145.794   0.0104644   42       1051     
 2595.56 42      2250     -145.804   -145.794   0.0104644   40       1070     
 2606.38 43      2329     -145.804   -145.794   0.010224    33       1100     
 2612.87 43      2350     -145.804   -145.794   0.010224    35       1121     
 2624.04 44      2429     -145.804   -145.794   0.0100738   38       1150     
 2631.2  44      2450     -145.804   -145.794   0.0100738   41       1171     
 2642.48 45      2527     -145.804   -145.794   0.00984537  37       1199     
 2649.83 45      2550     -145.804   -145.794   0.00984537  27       1222     
 2661.63 46      2629     -145.803   -145.794   0.00964884  32       1250     
 2668.49 46      2650     -145.803   -145.794   0.00964884  36       1271     
 2680.64 47      2731     -145.803   -145.794   0.00948314  37       1300     
 2686.5  47      2750     -145.803   -145.794   0.00948314  40       1319     
 2699.66 48      2837     -145.803   -145.794   0.00926944  31       1353     
 2704.23 48      2850     -145.803   -145.794   0.00926944  34       1366     
 2722.88 49      2943     -145.803   -145.794   0.00914634  33       1406     
 2725.18 49      2950     -145.803   -145.794   0.00914634  35       1413     
 2745.31 50      3051     -145.803   -145.794   0.00897619  29       1460     
 2745.71 50      3052     -145.803   -145.794   0.00897619  30       1461     
 2766.06 50      3100     -145.803   -145.794   0.00897619  30       1509     
 2768.94 51      3159     -145.803   -145.794   0.00887069  35       1514     
 2785.65 51      3200     -145.803   -145.794   0.00887069  39       1555     
 2792.52 52      3269     -145.802   -145.794   0.00863237  40       1568     
 2801.53 52      3300     -145.802   -145.794   0.00863237  37       1592     
 2812.84 53      3381     -145.802   -145.794   0.00851901  36       1616     
 2817.98 53      3400     -145.802   -145.794   0.00851901  37       1629     
 2836.18 54      3495     -145.802   -145.794   0.0084584   40       1667     
 2838.06 54      3500     -145.802   -145.794   0.0084584   41       1672     
 2861.05 54      3550     -145.802   -145.794   0.0084584   39       1722     
 2863.21 55      3611     -145.802   -145.794   0.00838033  36       1725     
 2880.26 55      3650     -145.802   -145.794   0.00838033  36       1764     
 2889.94 56      3725     -145.802   -145.794   0.00833442  41       1782     
 2901.1  56      3750     -145.802   -145.794   0.00833442  42       1807     
 2918.88 57      3839     -145.802   -145.794   0.00827248  43       1839     
 2923.73 57      3850     -145.802   -145.794   0.00827248  46       1850     
 2949.87 58      3953     -145.802   -145.794   0.00821506  43       1896     
