
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3c60f06811.pomdpx
  loading time : 4.67s 

SARSOP initializing ...
  initialization time : 4423.95s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4423.95 0       0        -188.026   -179.299   8.72659     101      1        
 4425.28 1       50       -182.135   -179.512   2.62332     15       30       
 4427.14 2       103      -181.37    -179.512   1.85801     14       53       
 4428.77 3       173      -180.882   -179.512   1.3706      25       87       
 4430.55 3       200      -180.882   -179.512   1.3706      35       112      
 4432.18 4       250      -180.496   -179.512   0.983733    19       125      
 4437.33 5       333      -180.32    -179.512   0.808194    32       164      
 4439.57 5       350      -180.32    -179.512   0.808194    19       180      
 4445.37 6       419      -180.2     -179.512   0.688128    27       205      
 4450.14 6       450      -180.2     -179.512   0.688128    34       233      
 4451.83 7       500      -180.091   -179.512   0.578903    16       243      
 4455.13 8       571      -180.004   -179.512   0.492395    30       268      
 4458.26 8       600      -180.004   -179.512   0.492395    18       293      
 4460.08 9       650      -179.933   -179.512   0.420765    27       305      
 4464.17 10      719      -179.843   -179.512   0.331427    24       337      
 4467.1  10      750      -179.843   -179.512   0.331427    27       363      
 4468.69 11      801      -179.794   -179.512   0.282486    27       372      
 4475.1  12      889      -179.745   -179.512   0.23347     24       409      
 4476.8  12      900      -179.745   -179.512   0.23347     20       418      
 4485.55 13      979      -179.714   -179.512   0.201776    14       452      
 4490.52 13      1000     -179.714   -179.512   0.201776    14       473      
 4497.92 14      1067     -179.689   -179.512   0.177242    12       495      
 4502.23 14      1100     -179.689   -179.512   0.177242    11       514      
 4503.61 15      1159     -179.668   -179.512   0.155583    8        518      
 4510.2  15      1200     -179.668   -179.512   0.155583    11       549      
 4511.65 16      1257     -179.654   -179.512   0.142525    10       554      
 4518.01 16      1300     -179.654   -179.512   0.142525    12       583      
 4519.8  17      1355     -179.641   -179.512   0.129554    11       588      
 4521.98 17      1400     -179.641   -179.512   0.129554    11       602      
 4523.02 18      1455     -179.635   -179.512   0.123122    11       606      
 4527.34 18      1500     -179.635   -179.512   0.123122    11       627      
 4528.33 19      1553     -179.63    -179.512   0.118387    12       630      
 4538.35 19      1600     -179.63    -179.512   0.118387    12       668      
 4538.94 20      1650     -179.623   -179.512   0.111013    12       670      
 4552.26 21      1747     -179.609   -179.512   0.0971656   10       711      
 4552.36 21      1750     -179.609   -179.512   0.0971656   9        711      
 4558.82 21      1800     -179.609   -179.512   0.0971656   11       736      
 4559.75 22      1859     -179.604   -179.512   0.0920615   12       738      
 4563.58 22      1900     -179.604   -179.512   0.0920615   12       755      
 4569.08 23      1975     -179.6     -179.512   0.0878088   13       772      
 4573.97 23      2000     -179.6     -179.512   0.0878088   13       792      
 4576.12 24      2089     -179.597   -179.512   0.0848033   13       798      
 4576.24 24      2100     -179.597   -179.512   0.0848033   14       798      
 4583.66 25      2201     -179.594   -179.512   0.0822409   18       827      
 4583.77 25      2202     -179.594   -179.512   0.0822409   19       827      
 4588.11 25      2250     -179.594   -179.512   0.0822409   15       843      
 4589.72 26      2309     -179.592   -179.512   0.0797455   15       847      
 4590.27 26      2350     -179.592   -179.512   0.0797455   15       849      
 4592.9  27      2415     -179.587   -179.512   0.0748457   12       858      
 4597.24 27      2450     -179.587   -179.512   0.0748457   13       875      
 4601.61 28      2527     -179.584   -179.512   0.0717771   12       888      
 4604.41 28      2550     -179.584   -179.512   0.0717771   12       898      
 4607.34 29      2639     -179.582   -179.512   0.0697161   13       907      
 4609.01 29      2650     -179.582   -179.512   0.0697161   12       914      
 4617.87 30      2749     -179.58    -179.512   0.0679055   15       944      
 4618    30      2750     -179.58    -179.512   0.0679055   15       944      
 4628.54 30      2800     -179.58    -179.512   0.0679055   15       976      
 4630.05 31      2859     -179.578   -179.512   0.06564     11       979      
 4635.36 31      2900     -179.578   -179.512   0.06564     13       999      
 4639.81 32      2967     -179.575   -179.512   0.0631807   13       1012     
 4644.69 32      3000     -179.575   -179.512   0.0631807   16       1030     
 4651.87 33      3073     -179.569   -179.512   0.0571495   16       1049     
 4652.08 33      3100     -179.569   -179.512   0.0571495   14       1049     
 4655.72 34      3193     -179.568   -179.512   0.0555391   18       1060     
 4657.95 34      3200     -179.568   -179.512   0.0555391   16       1067     
 4672.19 34      3250     -179.568   -179.512   0.0555391   15       1105     
 4673.56 35      3313     -179.565   -179.512   0.0529178   14       1107     
