
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3c8cfbfa6.pomdpx
  loading time : 4.38s 

SARSOP initializing ...
  initialization time : 2629.56s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2629.56 0       0        -167.638   -164.018   3.61999     101      1        
 2630.03 2       50       -165.426   -164.102   1.32403     24       31       
 2630.6  4       100      -165.155   -164.102   1.05254     42       61       
 2631.44 5       165      -164.737   -164.102   0.634403    23       84       
 2632.18 6       203      -164.634   -164.102   0.531453    40       102      
 2633.54 7       250      -164.556   -164.102   0.453412    33       131      
 2633.96 9       305      -164.419   -164.102   0.316786    60       152      
 2634.86 10      353      -164.346   -164.103   0.24385     70       176      
 2636.34 11      401      -164.308   -164.103   0.205871    76       200      
 2638.61 12      450      -164.286   -164.103   0.183572    48       231      
 2640.34 14      500      -164.235   -164.103   0.132392    46       252      
 2642.46 16      557      -164.206   -164.103   0.103497    78       278      
 2643.9  17      600      -164.19    -164.103   0.0869856   51       303      
 2646.03 18      650      -164.179   -164.103   0.0768481   85       331      
 2648.06 20      707      -164.163   -164.103   0.0601266   83       352      
 2650.24 21      750      -164.155   -164.103   0.0522385   103      373      
 2653.05 23      800      -164.15    -164.103   0.0469975   96       398      
 2655.65 24      857      -164.141   -164.103   0.0384876   90       417      
 2659.22 25      900      -164.138   -164.103   0.0353114   58       441      
 2661.91 26      950      -164.134   -164.103   0.0318288   66       469      
 2664.48 27      1000     -164.129   -164.103   0.026817    63       496      
 2666.72 28      1050     -164.127   -164.103   0.0242315   84       515      
 2669.78 29      1103     -164.124   -164.103   0.0218725   89       537      
 2674.73 30      1169     -164.123   -164.103   0.0205507   78       569      
 2679.09 30      1200     -164.123   -164.103   0.0205507   66       597      
 2681.45 31      1250     -164.122   -164.103   0.0191907   51       613      
 2684.74 32      1305     -164.12    -164.103   0.0177484   55       634      
 2690.26 33      1373     -164.119   -164.103   0.0163564   47       667      
 2694.88 33      1400     -164.119   -164.103   0.0163564   34       693      
 2697.58 34      1450     -164.118   -164.103   0.0156804   35       707      
 2703.68 35      1515     -164.117   -164.103   0.0145666   35       737      
 2712.16 35      1550     -164.117   -164.103   0.0145666   33       772      
 2713.08 36      1600     -164.116   -164.103   0.0137312   33       775      
 2720.53 37      1671     -164.116   -164.103   0.0131304   27       806      
 2727.6  37      1700     -164.116   -164.103   0.0131304   27       835      
 2731.29 38      1753     -164.115   -164.103   0.0126207   23       846      
 2741.75 39      1835     -164.115   -164.103   0.0121737   25       886      
 2745.26 39      1850     -164.115   -164.103   0.0121737   25       901      
 2753.21 40      1917     -164.114   -164.103   0.0117062   24       927      
 2762.31 40      1950     -164.114   -164.103   0.0117062   22       960      
 2765.75 41      2003     -164.114   -164.103   0.0111435   25       969      
 2778.75 42      2091     -164.113   -164.103   0.0107262   24       1013     
 2781.01 42      2100     -164.113   -164.103   0.0107262   26       1022     
 2793.01 43      2181     -164.113   -164.103   0.0104941   29       1058     
 2798.36 43      2200     -164.113   -164.103   0.0104941   30       1077     
 2808.03 44      2273     -164.113   -164.103   0.0101166   29       1103     
 2815.35 44      2300     -164.113   -164.103   0.0101166   32       1127     
