
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3cdc9917e.pomdpx
  loading time : 4.39s 

SARSOP initializing ...
  initialization time : 2210.13s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2210.13 0       0        -146.766   -144.12    2.64609     101      1        
 2211.4  1       50       -146.021   -144.205   1.8158      12       28       
 2212.99 2       100      -145.585   -144.205   1.38049     14       54       
 2215.01 4       150      -145.328   -144.205   1.12353     24       83       
 2215.57 5       200      -145.036   -144.205   0.830856    36       104      
 2216.07 7       277      -144.792   -144.205   0.587627    62       140      
 2216.59 8       319      -144.685   -144.205   0.480344    72       160      
 2217.17 9       353      -144.63    -144.205   0.425189    76       177      
 2218.14 11      411      -144.494   -144.205   0.288998    59       205      
 2219.26 13      459      -144.436   -144.205   0.231053    43       229      
 2220.18 15      513      -144.375   -144.205   0.170463    41       255      
 2220.91 16      550      -144.353   -144.205   0.148643    50       273      
 2222.41 18      611      -144.314   -144.205   0.109648    55       303      
 2223.89 19      650      -144.302   -144.205   0.0967089   51       328      
 2225.17 21      700      -144.279   -144.205   0.0740804   53       348      
 2227.21 23      757      -144.265   -144.205   0.0602052   50       375      
 2228.56 25      811      -144.251   -144.205   0.0464959   76       402      
 2230.17 26      859      -144.247   -144.205   0.0421132   87       426      
 2231.86 27      903      -144.243   -144.205   0.0382136   106      448      
 2233.99 28      950      -144.239   -144.205   0.0336656   82       474      
 2236.22 29      1000     -144.236   -144.205   0.0307695   70       502      
 2238.78 31      1067     -144.23    -144.205   0.0254808   63       529      
 2240.89 32      1107     -144.229   -144.205   0.0236587   47       548      
 2242.63 33      1150     -144.226   -144.205   0.0215731   47       566      
 2245.32 34      1200     -144.225   -144.205   0.0198078   45       594      
 2248.06 35      1250     -144.223   -144.205   0.0183747   31       620      
 2250.71 36      1300     -144.222   -144.205   0.0171432   33       647      
 2253.41 38      1371     -144.22    -144.205   0.0153303   23       672      
 2254.89 39      1421     -144.219   -144.205   0.0136703   37       696      
 2257.69 39      1450     -144.219   -144.205   0.0136703   35       725      
 2259.62 40      1500     -144.217   -144.205   0.0124626   42       742      
 2262.2  41      1557     -144.217   -144.205   0.0117313   40       763      
 2266.49 42      1629     -144.216   -144.205   0.0111009   40       799      
 2269.02 42      1650     -144.216   -144.205   0.0111009   46       820      
 2271.35 43      1703     -144.216   -144.205   0.0106443   41       836      
 2276.91 44      1779     -144.215   -144.205   0.0103056   40       874      
 2280.01 44      1800     -144.215   -144.205   0.0103056   40       895      
 2282.91 45      1855     -144.215   -144.205   0.00994116  37       912      
 2289.22 46      1931     -144.215   -144.205   0.00961617  33       950      
 2292.36 46      1950     -144.215   -144.205   0.00961617  37       969      
 2296.02 47      2007     -144.214   -144.205   0.00911259  36       988      
 2303.35 48      2087     -144.214   -144.205   0.00886487  40       1028     
 2305.59 48      2100     -144.214   -144.205   0.00886487  38       1041     
 2311.12 49      2167     -144.214   -144.205   0.00863972  34       1068     
 2317.32 49      2200     -144.214   -144.205   0.00863972  36       1101     
 2319.58 50      2250     -144.213   -144.205   0.00835871  34       1112     
 2326.69 51      2325     -144.213   -144.205   0.00801286  39       1146     
 2329.46 51      2350     -144.213   -144.205   0.00801286  35       1160     
 2332.76 52      2407     -144.213   -144.205   0.0078114   37       1175     
 2338.54 53      2491     -144.213   -144.205   0.00761485  35       1202     
 2340.3  53      2500     -144.213   -144.205   0.00761485  38       1211     
 2348.22 54      2577     -144.212   -144.205   0.00748513  33       1245     
 2353.32 54      2600     -144.212   -144.205   0.00748513  36       1268     
 2358.43 55      2661     -144.212   -144.205   0.0072656   32       1287     
 2367.82 55      2700     -144.212   -144.205   0.0072656   31       1326     
 2369.67 56      2750     -144.212   -144.205   0.00706579  37       1333     
 2380.21 57      2837     -144.212   -144.205   0.00694718  32       1375     
 2383.1  57      2850     -144.212   -144.205   0.00694718  30       1388     
 2391.51 58      2925     -144.212   -144.205   0.00677814  35       1419     
 2397.78 58      2950     -144.212   -144.205   0.00677814  34       1444     
 2403.62 59      3015     -144.212   -144.205   0.00666263  33       1464     
 2412.39 59      3050     -144.212   -144.205   0.00666263  36       1499     
 2415.8  60      3107     -144.212   -144.205   0.00651679  33       1510     
 2426.2  60      3150     -144.212   -144.205   0.00651679  29       1553     
 2427.55 61      3200     -144.211   -144.205   0.00639014  38       1558     
 2438.43 62      3289     -144.211   -144.205   0.00630244  36       1601     
 2441.13 62      3300     -144.211   -144.205   0.00630244  42       1612     
 2451.43 63      3381     -144.211   -144.205   0.00618265  40       1646     
 2454.18 63      3400     -144.211   -144.205   0.00618265  44       1656     
 2462.52 64      3477     -144.211   -144.205   0.00611057  43       1685     
 2468.93 64      3500     -144.211   -144.205   0.00611057  48       1708     
 2476.75 65      3573     -144.211   -144.205   0.00599328  40       1732     
 2484.59 65      3600     -144.211   -144.205   0.00599328  50       1759     
 2492.11 66      3671     -144.211   -144.205   0.00592105  40       1781     
 2500.78 66      3700     -144.211   -144.205   0.00592105  40       1810     
 2508.03 67      3771     -144.211   -144.205   0.00582556  40       1830     
 2516.7  67      3800     -144.211   -144.205   0.00582556  39       1859     
 2524.05 68      3873     -144.211   -144.205   0.00569969  37       1881     
 2532.49 68      3900     -144.211   -144.205   0.00569969  44       1908     
 2539.43 69      3977     -144.211   -144.205   0.0056389   39       1928     
 2546.54 69      4000     -144.211   -144.205   0.0056389   43       1951     
 2556.59 70      4083     -144.211   -144.205   0.00558605  36       1980     
 2559.9  70      4100     -144.211   -144.205   0.00558605  41       1990     
 2572.68 71      4189     -144.211   -144.205   0.00552473  42       2026     
 2576.02 71      4200     -144.211   -144.205   0.00552473  42       2037     
 2589.68 72      4295     -144.21    -144.205   0.00544637  42       2075     
 2591.15 72      4300     -144.21    -144.205   0.00544637  46       2080     
 2603.39 73      4350     -144.21    -144.205   0.00544637  40       2116     
 2604.24 73      4405     -144.21    -144.205   0.00540621  45       2117     
 2619.87 73      4450     -144.21    -144.205   0.00540621  51       2162     
 2623.73 74      4515     -144.21    -144.205   0.00536416  50       2171     
 2636.28 74      4550     -144.21    -144.205   0.00536416  60       2206     
 2644.46 75      4625     -144.21    -144.205   0.00533088  52       2226     
 2653.56 75      4650     -144.21    -144.205   0.00533088  57       2251     
 2659.23 76      4737     -144.21    -144.205   0.00529454  51       2264     
 2659.55 76      4750     -144.21    -144.205   0.00529454  51       2264     
 2669.52 77      4849     -144.21    -144.205   0.00524474  53       2290     
 2670    77      4850     -144.21    -144.205   0.00524474  54       2291     
 2688.75 77      4900     -144.21    -144.205   0.00524474  61       2341     
 2691.33 78      4961     -144.21    -144.205   0.00522592  57       2346     
 2703.47 78      5000     -144.21    -144.205   0.00522592  59       2378     
 2708.3  79      5075     -144.21    -144.205   0.00518053  75       2389     
 2718.01 79      5100     -144.21    -144.205   0.00518053  66       2414     
 2731.33 80      5189     -144.21    -144.205   0.00514846  58       2446     
 2735.54 80      5200     -144.21    -144.205   0.00514846  62       2457     
 2752.23 81      5303     -144.21    -144.205   0.00511653  62       2496     
 2752.75 81      5304     -144.21    -144.205   0.00511653  61       2497     
 2769.97 81      5350     -144.21    -144.205   0.00511653  63       2537     
 2774.7  82      5417     -144.21    -144.205   0.00509752  52       2546     
 2785.04 82      5450     -144.21    -144.205   0.00509752  52       2570     
 2795.94 83      5531     -144.21    -144.205   0.00505936  55       2593     
 2796.68 83      5550     -144.21    -144.205   0.00505936  54       2594     
 2808.86 84      5647     -144.21    -144.205   0.0050426   58       2623     
 2809.94 84      5650     -144.21    -144.205   0.0050426   59       2626     
 2830.51 84      5700     -144.21    -144.205   0.0050426   55       2676     
 2833.26 85      5763     -144.21    -144.205   0.00502112  69       2681     
 2848.95 85      5800     -144.21    -144.205   0.00502112  66       2718     
 2858.28 86      5879     -144.21    -144.205   0.00499603  60       2738     
 2866.99 86      5900     -144.21    -144.205   0.00499603  67       2759     
 2884.14 87      5995     -144.21    -144.205   0.00498397  59       2795     
 2886.11 87      6000     -144.21    -144.205   0.00498397  61       2800     
 2905.45 87      6050     -144.21    -144.205   0.00498397  56       2845     
 2907.02 88      6111     -144.21    -144.205   0.00496822  63       2847     
 2913.87 88      6150     -144.21    -144.205   0.00496822  70       2863     
 2920.25 89      6227     -144.21    -144.205   0.00494088  55       2878     
 2929.84 89      6250     -144.21    -144.205   0.00494088  58       2901     
 2936.19 90      6345     -144.21    -144.205   0.00490651  62       2914     
 2936.52 90      6350     -144.21    -144.205   0.00490651  63       2914     
 2948.86 90      6400     -144.21    -144.205   0.00490651  62       2943     
 2950.4  91      6461     -144.21    -144.205   0.00488268  71       2945     
 2966.81 91      6500     -144.21    -144.205   0.00488268  78       2982     
 2973.75 92      6579     -144.21    -144.205   0.0048662   91       2996     
 2976.72 92      6600     -144.21    -144.205   0.0048662   76       3002     
 2986.32 93      6697     -144.21    -144.205   0.00484508  72       3023     
 2986.66 93      6700     -144.21    -144.205   0.00484508  72       3023     
 3002.72 93      6750     -144.21    -144.205   0.00484508  72       3058     
 3006    94      6815     -144.21    -144.205   0.00483618  79       3064     
 3022.52 94      6850     -144.21    -144.205   0.00483618  79       3099     
 3027.57 95      6933     -144.21    -144.205   0.00481311  69       3108     
 3035.72 95      6950     -144.21    -144.205   0.00481311  73       3125     
 3051.94 96      7053     -144.21    -144.205   0.00480227  82       3156     
 3052.57 96      7054     -144.21    -144.205   0.00480227  81       3157     
 3075.68 96      7100     -144.21    -144.205   0.00480227  74       3203     
 3082.4  97      7173     -144.21    -144.205   0.00478705  69       3215     
 3086.41 97      7200     -144.21    -144.205   0.00478705  77       3222     
 3100.16 98      7297     -144.21    -144.205   0.00478069  84       3248     
 3101.61 98      7300     -144.21    -144.205   0.00478069  84       3251     
 3117.32 98      7350     -144.21    -144.205   0.00478069  72       3280     
 3120.71 99      7415     -144.21    -144.205   0.00476071  80       3285     
 3121.33 99      7450     -144.21    -144.205   0.00476071  68       3285     
 3126.22 100     7535     -144.21    -144.205   0.00474957  70       3294     
 3133.16 100     7550     -144.21    -144.205   0.00474957  77       3308     
 3154.8  101     7655     -144.21    -144.205   0.00474458  74       3347     
 3155.43 101     7656     -144.21    -144.205   0.00474458  75       3348     
 3168.61 101     7700     -144.21    -144.205   0.00474458  77       3373     
 3173.33 102     7775     -144.21    -144.205   0.00472639  86       3381     
 3173.88 102     7800     -144.21    -144.205   0.00472639  101      3381     
 3178.33 103     7895     -144.21    -144.205   0.0047142   86       3389     
 3180.52 103     7900     -144.21    -144.205   0.0047142   91       3394     
 3199.08 103     7950     -144.21    -144.205   0.0047142   103      3430     
 3202.81 104     8017     -144.21    -144.205   0.00471004  85       3436     
 3220.2  104     8050     -144.21    -144.205   0.00471004  88       3469     
 3229.76 105     8139     -144.21    -144.205   0.00467551  96       3486     
 3230.23 105     8150     -144.21    -144.205   0.00467551  101      3486     
 3243.81 106     8200     -144.21    -144.205   0.00467551  93       3511     
 3244.58 106     8261     -144.21    -144.205   0.00466224  92       3511     
 3256.06 106     8300     -144.21    -144.205   0.00466224  102      3534     
 3259.9  107     8383     -144.21    -144.205   0.00465827  83       3540     
 3260.42 107     8400     -144.21    -144.205   0.00465827  85       3540     
 3264.04 108     8507     -144.21    -144.205   0.00464974  85       3546     
 3264.42 108     8508     -144.21    -144.205   0.00464974  84       3546     
 3275.75 108     8550     -144.21    -144.205   0.00464974  87       3567     
 3280.73 109     8629     -144.21    -144.205   0.0046431   96       3575     
 3283.94 109     8650     -144.21    -144.205   0.0046431   108      3580     
 3296.25 110     8753     -144.21    -144.205   0.0046392   91       3602     
 3296.66 110     8754     -144.21    -144.205   0.0046392   91       3602     
 3308.24 110     8800     -144.21    -144.205   0.0046392   91       3622     
 3312.17 111     8875     -144.21    -144.205   0.00463697  99       3628     
 3314.51 111     8900     -144.21    -144.205   0.00463697  96       3631     
 3319.15 112     8997     -144.21    -144.205   0.0046323   88       3638     
 3320.77 112     9000     -144.21    -144.205   0.0046323   90       3641     
 3338.86 112     9050     -144.21    -144.205   0.0046323   98       3673     
 3343.55 113     9121     -144.21    -144.205   0.00461262  87       3680     
 3345.71 113     9150     -144.21    -144.205   0.00461262  89       3683     
 3351.36 114     9245     -144.21    -144.205   0.00461044  87       3692     
 3353.98 114     9250     -144.21    -144.205   0.00461044  89       3697     
 3367.39 114     9300     -144.21    -144.205   0.00461044  92       3720     
 3371.55 115     9369     -144.21    -144.205   0.00459379  94       3726     
 3389.52 115     9400     -144.21    -144.205   0.00459379  96       3757     
 3401.55 116     9491     -144.21    -144.205   0.00459081  100      3776     
 3402.13 116     9500     -144.21    -144.205   0.00459081  100      3776     
 3405.32 116     9550     -144.21    -144.205   0.00459081  104      3780     
 3406.78 117     9613     -144.21    -144.205   0.0045794   101      3781     
 3408.12 117     9650     -144.21    -144.205   0.0045794   102      3782     
 3411.43 118     9735     -144.21    -144.205   0.00457577  100      3786     
 3420.21 118     9750     -144.21    -144.205   0.00457577  98       3801     
 3441.19 119     9859     -144.21    -144.205   0.00457381  99       3834     
 3442.13 119     9860     -144.21    -144.205   0.00457381  99       3835     
 3467.89 119     9900     -144.21    -144.205   0.00457381  101      3875     
 3481.2  120     9983     -144.21    -144.205   0.00456854  93       3895     
 3481.86 120     10000    -144.21    -144.205   0.00456854  93       3895     
 3495.1  121     10107    -144.21    -144.205   0.00456542  96       3915     
 3495.59 121     10108    -144.21    -144.205   0.00456542  96       3915     
 3498.69 121     10150    -144.21    -144.205   0.00456542  104      3919     
 3504.86 122     10231    -144.21    -144.205   0.00456426  91       3928     
 3516.98 122     10250    -144.21    -144.205   0.00456426  97       3947     
 3545.01 123     10353    -144.21    -144.205   0.00456272  105      3988     
 3545.57 123     10354    -144.21    -144.205   0.00456272  105      3988     
 3546.5  123     10400    -144.21    -144.205   0.00456272  122      3988     
 3551.38 124     10475    -144.21    -144.205   0.00456141  111      3994     
 3552.14 124     10500    -144.21    -144.205   0.00456141  115      3994     
 3557.73 125     10597    -144.21    -144.205   0.00455906  96       4001     
 3558.25 125     10600    -144.21    -144.205   0.00455906  97       4001     
 3562.86 125     10650    -144.21    -144.205   0.00455906  99       4007     
 3568.18 126     10719    -144.21    -144.205   0.00455665  110      4014     
 3588.21 126     10750    -144.21    -144.205   0.00455665  107      4044     
 3608.98 127     10841    -144.21    -144.205   0.00455554  102      4073     
 3609.57 127     10850    -144.21    -144.205   0.00455554  104      4073     
 3636.59 127     10900    -144.21    -144.205   0.00455554  111      4112     
 3639.1  128     10965    -144.21    -144.205   0.00455413  106      4114     
 3653.39 128     11000    -144.21    -144.205   0.00455413  116      4134     
 3658.76 129     11085    -144.21    -144.205   0.00455306  103      4140     
 3668.19 129     11100    -144.21    -144.205   0.00455306  106      4155     
 3684.8  130     11207    -144.21    -144.205   0.00454627  94       4179     
 3685.3  130     11208    -144.21    -144.205   0.00454627  94       4179     
 3686.18 130     11250    -144.21    -144.205   0.00454627  99       4179     
 3692.68 131     11329    -144.21    -144.205   0.00454405  96       4189     
 3705.3  131     11350    -144.21    -144.205   0.00454405  102      4210     
 3732.78 132     11451    -144.21    -144.205   0.00454109  105      4249     
 3733.32 132     11452    -144.21    -144.205   0.00454109  105      4249     
 3751.2  132     11500    -144.21    -144.205   0.00454109  99       4274     
 3758.93 133     11573    -144.21    -144.205   0.00453389  109      4285     
 3777.07 133     11600    -144.21    -144.205   0.00453389  113      4312     
 3800.1  134     11695    -144.21    -144.205   0.00453267  120      4345     
 3800.71 134     11700    -144.21    -144.205   0.00453267  121      4345     
 3807.19 134     11750    -144.21    -144.205   0.00453267  124      4354     
 3811    135     11815    -144.21    -144.205   0.00453189  121      4358     
 3836    135     11850    -144.21    -144.205   0.00453189  130      4393     
 3850.85 136     11937    -144.21    -144.205   0.0045306   120      4413     
 3851.59 136     11950    -144.21    -144.205   0.0045306   118      4413     
 3860.5  137     12057    -144.21    -144.205   0.00452983  121      4424     
 3861.14 137     12058    -144.21    -144.205   0.00452983  122      4424     
 3862.32 137     12100    -144.21    -144.205   0.00452983  145      4424     
 3870.68 138     12179    -144.21    -144.205   0.00452637  132      4435     
 3871.65 138     12200    -144.21    -144.205   0.00452637  148      4435     
 3882.5  139     12303    -144.21    -144.205   0.00452313  133      4449     
 3883.13 139     12304    -144.21    -144.205   0.00452313  133      4449     
 3892.72 139     12350    -144.21    -144.205   0.00452313  140      4461     
 3902.88 140     12425    -144.21    -144.205   0.00452255  150      4474     
 3921.11 140     12450    -144.21    -144.205   0.00452255  142      4499     
 3947.88 141     12545    -144.21    -144.205   0.00452088  119      4533     
 3948.53 141     12550    -144.21    -144.205   0.00452088  120      4533     
 3974.48 141     12600    -144.21    -144.205   0.00452088  118      4566     
 3979.73 142     12667    -144.21    -144.205   0.0045202   118      4571     
