
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d41323669.pomdpx
  loading time : 4.76s 

SARSOP initializing ...
  initialization time : 9198.28s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9198.28 0       0        -2885.42   -171.733   2713.68     101      1        
 9198.79 0       50       -2879.26   -2861.24   18.0175     42       12       
 9199.22 1       135      -2873.47   -2861.24   12.2236     61       16       
 9199.43 1       150      -2873.47   -2861.24   12.2236     59       21       
 9199.96 2       261      -2868.45   -2861.24   7.20905     74       26       
 9200.02 2       262      -2868.45   -2861.24   7.20905     75       27       
 9200.29 2       300      -2868.45   -2861.24   7.20905     62       30       
 9200.56 3       350      -2868.45   -2861.24   7.20905     58       33       
 9200.87 3       439      -2867.5    -2861.24   6.25633     81       33       
 9200.91 3       450      -2867.5    -2861.24   6.25633     80       33       
 9201.01 3       500      -2867.5    -2861.24   6.25633     85       33       
 9201.57 4       621      -2866.96   -2861.24   5.71726     100      36       
 9201.57 4       622      -2866.96   -2861.24   5.71726     101      36       
 9201.64 4       650      -2866.96   -2861.24   5.71726     104      36       
 9201.75 4       700      -2866.96   -2861.24   5.71726     99       36       
 9202.42 5       799      -2866.6    -2861.24   5.35488     104      40       
 9202.43 5       800      -2866.6    -2861.24   5.35488     105      40       
 9202.55 5       850      -2866.6    -2861.24   5.35488     122      40       
 9203.28 6       971      -2866.34   -2861.24   5.09329     135      43       
 9203.29 6       972      -2866.34   -2861.24   5.09329     136      43       
 9203.38 6       1000     -2866.34   -2861.24   5.09329     142      43       
 9203.54 6       1050     -2866.34   -2861.24   5.09329     147      43       
 9204.55 7       1139     -2866.16   -2861.24   4.91896     35       48       
 9204.88 7       1150     -2866.16   -2861.24   4.91896     31       53       
 9204.97 7       1200     -2866.16   -2861.24   4.91896     30       53       
 9205.51 8       1295     -2865.02   -2861.24   3.77531     26       56       
 9205.54 8       1300     -2865.02   -2861.24   3.77531     26       56       
 9205.62 8       1350     -2865.02   -2861.24   3.77531     26       56       
 9206.1  9       1487     -2864.85   -2861.24   3.6039      25       59       
 9206.12 9       1488     -2864.85   -2861.24   3.6039      23       59       
 9206.15 9       1500     -2864.85   -2861.24   3.6039      23       59       
 9206.22 9       1550     -2864.85   -2861.24   3.6039      20       59       
 9206.84 10      1677     -2864.71   -2861.24   3.465       17       63       
 9206.85 10      1678     -2864.71   -2861.24   3.465       17       63       
 9206.9  10      1700     -2864.71   -2861.24   3.465       14       63       
 9206.97 10      1750     -2864.71   -2861.24   3.465       14       63       
 9207.79 11      1863     -2864.59   -2861.24   3.34694     12       67       
 9207.81 11      1864     -2864.59   -2861.24   3.34694     12       67       
 9207.88 11      1900     -2864.59   -2861.24   3.34694     11       67       
 9207.96 11      1950     -2864.59   -2861.24   3.34694     10       67       
 9208.91 12      2047     -2864.47   -2861.24   3.22373     8        71       
 9208.93 12      2050     -2864.47   -2861.24   3.22373     9        71       
 9209.01 12      2100     -2864.47   -2861.24   3.22373     10       71       
 9209.94 13      2227     -2864.38   -2861.24   3.13786     10       74       
 9209.96 13      2228     -2864.38   -2861.24   3.13786     10       74       
 9210.04 13      2250     -2864.38   -2861.24   3.13786     10       74       
 9210.13 13      2300     -2864.38   -2861.24   3.13786     10       74       
 9211.42 14      2405     -2864.3    -2861.24   3.05177     9        78       
 9211.45 14      2406     -2864.3    -2861.24   3.05177     9        78       
 9211.53 14      2450     -2864.3    -2861.24   3.05177     10       78       
 9212.99 15      2579     -2864.23   -2861.24   2.98731     11       82       
 9213.02 15      2580     -2864.23   -2861.24   2.98731     11       82       
 9213.07 15      2600     -2864.23   -2861.24   2.98731     11       82       
 9213.16 15      2650     -2864.23   -2861.24   2.98731     11       82       
 9214.57 16      2751     -2864.03   -2861.24   2.78575     8        86       
 9214.6  16      2752     -2864.03   -2861.24   2.78575     8        86       
 9214.68 16      2800     -2864.03   -2861.24   2.78575     7        86       
 9215.89 17      2927     -2863.95   -2861.24   2.70677     9        90       
 9215.92 17      2928     -2863.95   -2861.24   2.70677     9        90       
 9215.97 17      2950     -2863.95   -2861.24   2.70677     9        90       
 9216.06 17      3000     -2863.95   -2861.24   2.70677     9        90       
 9217.33 18      3101     -2863.87   -2861.24   2.62575     8        94       
 9217.35 18      3102     -2863.87   -2861.24   2.62575     8        94       
 9217.44 18      3150     -2863.87   -2861.24   2.62575     8        94       
 9218.93 19      3271     -2863.81   -2861.24   2.56596     10       99       
 9218.99 19      3272     -2863.81   -2861.24   2.56596     8        100      
 9219.64 19      3300     -2863.81   -2861.24   2.56596     6        106      
 9219.72 19      3350     -2863.81   -2861.24   2.56596     8        106      
 9220.35 20      3435     -2863.25   -2861.24   2.00991     6        108      
 9220.42 20      3450     -2863.25   -2861.24   2.00991     8        108      
 9220.51 20      3500     -2863.25   -2861.24   2.00991     9        108      
 9221.13 21      3637     -2863.18   -2861.24   1.93129     10       111      
 9221.16 21      3638     -2863.18   -2861.24   1.93129     9        111      
