
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d5033cec3.pomdpx
  loading time : 4.78s 

SARSOP initializing ...
  initialization time : 6206.51s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6206.51 0       0        -7786.93   -4894.6    2892.33     101      1        
 6207.16 0       50       -7786.29   -7096.65   689.643     45       7        
 6208    0       100      -7786.29   -7096.65   689.643     40       12       
 6212.45 1       217      -7490.18   -7096.68   393.5       13       21       
 6212.7  1       218      -7490.18   -7096.68   393.5       13       22       
 6212.96 1       250      -7490.18   -7096.68   393.5       9        23       
 6213.03 1       300      -7490.18   -7096.68   393.5       8        23       
 6216.66 2       477      -7429.03   -7096.7    332.328     6        31       
 6216.68 2       478      -7429.03   -7096.7    332.328     5        31       
 6216.68 2       479      -7429.03   -7096.7    332.328     5        31       
 6216.72 2       500      -7429.03   -7096.7    332.328     5        31       
 6216.8  2       550      -7429.03   -7096.7    332.328     5        31       
 6217.62 2       600      -7429.03   -7096.7    332.328     6        33       
 6219.5  3       733      -7374.44   -7096.72   277.72      5        36       
 6219.5  3       734      -7374.44   -7096.72   277.72      5        36       
 6219.53 3       750      -7374.44   -7096.72   277.72      4        36       
 6219.6  3       800      -7374.44   -7096.72   277.72      4        36       
 6219.67 3       850      -7374.44   -7096.72   277.72      5        36       
 6224.04 4       989      -7333.56   -7096.74   236.818     5        44       
 6224.05 4       990      -7333.56   -7096.74   236.818     5        44       
 6224.08 4       1000     -7333.56   -7096.74   236.818     4        44       
 6224.16 4       1050     -7333.56   -7096.74   236.818     4        44       
 6224.23 4       1100     -7333.56   -7096.74   236.818     5        44       
 6228.52 5       1245     -7300.05   -7096.77   203.289     6        51       
 6228.53 5       1246     -7300.05   -7096.77   203.289     5        51       
 6228.55 5       1250     -7300.05   -7096.77   203.289     5        51       
 6228.63 5       1300     -7300.05   -7096.77   203.289     5        51       
 6228.71 5       1350     -7300.05   -7096.77   203.289     5        51       
 6236.17 6       1501     -7267.89   -7096.78   171.106     6        61       
 6236.19 6       1502     -7267.89   -7096.78   171.106     7        61       
 6236.2  6       1503     -7267.89   -7096.78   171.106     6        61       
 6236.28 6       1550     -7267.89   -7096.78   171.106     6        61       
 6236.37 6       1600     -7267.89   -7096.78   171.106     6        61       
 6244.87 7       1757     -7241.53   -7096.8    144.736     8        72       
 6244.89 7       1758     -7241.53   -7096.8    144.736     7        72       
 6244.9  7       1759     -7241.53   -7096.8    144.736     7        72       
 6244.98 7       1800     -7241.53   -7096.8    144.736     7        72       
 6245.08 7       1850     -7241.53   -7096.8    144.736     7        72       
 6250.69 8       2011     -7219.51   -7096.81   122.7       7        78       
 6250.71 8       2012     -7219.51   -7096.81   122.7       8        78       
 6250.74 8       2013     -7219.51   -7096.81   122.7       7        78       
 6250.85 8       2050     -7219.51   -7096.81   122.7       7        78       
 6250.96 8       2100     -7219.51   -7096.81   122.7       7        78       
 6258.18 9       2267     -7204.31   -7096.82   107.496     8        85       
 6258.2  9       2268     -7204.31   -7096.82   107.496     7        85       
 6258.23 9       2269     -7204.31   -7096.82   107.496     8        85       
 6258.29 9       2300     -7204.31   -7096.82   107.496     7        85       
 6258.4  9       2350     -7204.31   -7096.82   107.496     7        85       
 6266.5  10      2527     -7189.47   -7096.82   92.6467     7        93       
 6266.52 10      2528     -7189.47   -7096.82   92.6467     8        93       
 6266.55 10      2529     -7189.47   -7096.82   92.6467     7        93       
 6266.6  10      2550     -7189.47   -7096.82   92.6467     7        93       
 6266.7  10      2600     -7189.47   -7096.82   92.6467     7        93       
 6269.59 10      2650     -7189.47   -7096.82   92.6467     7        97       
 6275.03 11      2785     -7176.87   -7096.82   80.047      8        101      
 6275.06 11      2786     -7176.87   -7096.82   80.047      7        101      
 6275.11 11      2800     -7176.87   -7096.82   80.047      7        101      
 6275.21 11      2850     -7176.87   -7096.82   80.047      7        101      
 6275.31 11      2900     -7176.87   -7096.82   80.047      8        101      
 6282.61 12      3043     -7167.34   -7096.83   70.5037     8        107      
 6282.64 12      3044     -7167.34   -7096.83   70.5037     9        107      
 6282.67 12      3050     -7167.34   -7096.83   70.5037     8        107      
 6282.78 12      3100     -7167.34   -7096.83   70.5037     8        107      
 6282.88 12      3150     -7167.34   -7096.83   70.5037     7        107      
 6291.29 13      3303     -7159.02   -7096.84   62.1876     8        115      
 6291.32 13      3304     -7159.02   -7096.84   62.1876     8        115      
 6291.35 13      3305     -7159.02   -7096.84   62.1876     8        115      
 6291.45 13      3350     -7159.02   -7096.84   62.1876     8        115      
 6291.56 13      3400     -7159.02   -7096.84   62.1876     8        115      
 6297.8  14      3561     -7152.47   -7096.84   55.6386     9        121      
 6297.83 14      3562     -7152.47   -7096.84   55.6386     8        121      
 6297.86 14      3563     -7152.47   -7096.84   55.6386     9        121      
 6297.95 14      3600     -7152.47   -7096.84   55.6386     8        121      
 6298.07 14      3650     -7152.47   -7096.84   55.6386     8        121      
 6304.81 15      3821     -7145.78   -7096.84   48.9414     10       127      
 6304.84 15      3822     -7145.78   -7096.84   48.9414     9        127      
 6305.94 15      3823     -7145.78   -7096.84   48.9414     10       128      
 6306.02 15      3850     -7145.78   -7096.84   48.9414     9        128      
 6306.13 15      3900     -7145.78   -7096.84   48.9414     9        128      
 6314.32 15      3950     -7145.78   -7096.84   48.9414     9        135      
 6314.78 16      4081     -7140.86   -7096.84   44.0221     9        135      
 6314.82 16      4082     -7140.86   -7096.84   44.0221     9        135      
 6314.88 16      4100     -7140.86   -7096.84   44.0221     9        135      
 6314.99 16      4150     -7140.86   -7096.84   44.0221     9        135      
 6316.59 16      4200     -7140.86   -7096.84   44.0221     10       137      
 6324.24 17      4341     -7135.7    -7096.84   38.8526     9        142      
 6324.28 17      4342     -7135.7    -7096.84   38.8526     8        142      
 6324.32 17      4350     -7135.7    -7096.84   38.8526     9        142      
 6324.44 17      4400     -7135.7    -7096.84   38.8526     9        142      
 6324.57 17      4450     -7135.7    -7096.84   38.8526     10       142      
 6331.74 18      4601     -7131.73   -7096.85   34.8832     10       147      
 6332.96 18      4602     -7131.73   -7096.85   34.8832     10       148      
 6334.27 18      4603     -7131.73   -7096.85   34.8832     10       149      
 6335.12 18      4650     -7131.73   -7096.85   34.8832     10       150      
 6335.24 18      4700     -7131.73   -7096.85   34.8832     10       150      
 6344.89 19      4861     -7128.68   -7096.85   31.8312     13       157      
 6344.92 19      4862     -7128.68   -7096.85   31.8312     12       157      
 6344.96 19      4863     -7128.68   -7096.85   31.8312     13       157      
 6345.07 19      4900     -7128.68   -7096.85   31.8312     12       157      
 6345.2  19      4950     -7128.68   -7096.85   31.8312     12       157      
 6353.46 20      5123     -7125.61   -7096.85   28.7568     9        162      
 6353.5  20      5124     -7125.61   -7096.85   28.7568     9        162      
 6353.54 20      5125     -7125.61   -7096.85   28.7568     9        162      
 6353.63 20      5150     -7125.61   -7096.85   28.7568     9        162      
 6353.76 20      5200     -7125.61   -7096.85   28.7568     10       162      
 6359.88 20      5250     -7125.61   -7096.85   28.7568     11       166      
