
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d59b75aa5.pomdpx
  loading time : 4.79s 

SARSOP initializing ...
  initialization time : 7450.63s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7450.63 0       0        -2861.89   -101.599   2760.29     101      1        
 7455.4  1       77       -2833.69   -2826.06   7.62886     53       23       
 7455.86 1       100      -2833.69   -2826.06   7.62886     48       28       
 7457.01 1       150      -2833.69   -2826.06   7.62886     57       35       
 7458.04 2       235      -2832.35   -2826.06   6.28202     60       38       
 7458.11 2       250      -2832.35   -2826.06   6.28202     73       38       
 7458.25 2       300      -2832.35   -2826.06   6.28202     87       38       
 7459.92 3       395      -2831.78   -2826.06   5.71218     111      43       
 7461.28 3       400      -2831.78   -2826.06   5.71218     35       48       
 7461.49 3       450      -2831.78   -2826.06   5.71218     31       49       
 7463.32 4       529      -2830.63   -2826.06   4.56434     24       54       
 7464.69 4       550      -2830.63   -2826.06   4.56434     23       61       
 7465.4  4       600      -2830.63   -2826.06   4.56434     24       63       
 7466.24 5       677      -2829.39   -2826.06   3.32574     25       65       
 7466.32 5       700      -2829.39   -2826.06   3.32574     25       65       
 7466.43 5       750      -2829.39   -2826.06   3.32574     23       65       
 7467.5  6       863      -2829.16   -2826.06   3.09469     24       69       
 7467.52 6       864      -2829.16   -2826.06   3.09469     22       69       
 7467.61 6       900      -2829.16   -2826.06   3.09469     19       69       
 7467.71 6       950      -2829.16   -2826.06   3.09469     17       69       
 7468.58 7       1045     -2829.04   -2826.06   2.98018     15       72       
 7468.61 7       1050     -2829.04   -2826.06   2.98018     16       72       
 7468.72 7       1100     -2829.04   -2826.06   2.98018     15       72       
 7469.49 8       1221     -2828.97   -2826.06   2.90236     13       74       
 7469.51 8       1222     -2828.97   -2826.06   2.90236     13       74       
 7469.58 8       1250     -2828.97   -2826.06   2.90236     12       74       
 7469.68 8       1300     -2828.97   -2826.06   2.90236     12       74       
 7470.27 9       1391     -2828.89   -2826.06   2.82388     12       75       
 7470.31 9       1400     -2828.89   -2826.06   2.82388     13       75       
 7470.41 9       1450     -2828.89   -2826.06   2.82388     12       75       
