
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d65a90d07.pomdpx
  loading time : 4.93s 

SARSOP initializing ...
  initialization time : 9836.40s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9836.4  0       0        -1731.04   -238.2     1492.84     101      1        
 9836.95 0       50       -1728.29   -1713.79   14.4941     36       12       
 9837.29 1       129      -1723.92   -1713.79   10.1226     42       15       
 9837.33 1       150      -1723.92   -1713.79   10.1226     60       15       
 9837.53 1       200      -1723.92   -1713.79   10.1226     59       19       
 9837.81 2       277      -1722.12   -1713.79   8.32645     40       21       
 9837.85 2       300      -1722.12   -1713.79   8.32645     40       21       
 9837.93 2       350      -1722.12   -1713.79   8.32645     49       21       
 9838.24 3       433      -1720.83   -1713.79   7.03125     28       24       
 9838.26 3       450      -1720.83   -1713.79   7.03125     35       24       
 9838.33 3       500      -1720.83   -1713.79   7.03125     30       24       
 9838.64 4       599      -1720.31   -1713.79   6.51403     31       27       
 9838.64 4       600      -1720.31   -1713.79   6.51403     32       27       
 9838.71 4       650      -1720.31   -1713.79   6.51403     42       27       
 9838.96 5       763      -1719.85   -1713.79   6.05941     37       27       
 9838.96 5       764      -1719.85   -1713.79   6.05941     38       27       
 9839.02 5       800      -1719.85   -1713.79   6.05941     41       27       
 9839.4  6       927      -1719.59   -1713.79   5.79487     53       30       
 9839.4  6       928      -1719.59   -1713.79   5.79487     54       30       
 9839.44 6       950      -1719.59   -1713.79   5.79487     55       30       
 9839.52 6       1000     -1719.59   -1713.79   5.79487     61       30       
 9839.91 7       1089     -1719.36   -1713.79   5.56688     77       33       
 9839.94 7       1100     -1719.36   -1713.79   5.56688     76       33       
 9840.03 7       1150     -1719.36   -1713.79   5.56688     82       33       
 9840.58 8       1247     -1719.18   -1713.79   5.38089     91       37       
 9840.59 8       1250     -1719.18   -1713.79   5.38089     94       37       
 9840.7  8       1300     -1719.18   -1713.79   5.38089     102      37       
 9841.37 9       1403     -1718.73   -1713.79   4.93708     37       42       
 9841.38 9       1404     -1718.73   -1713.79   4.93708     38       42       
 9841.46 9       1450     -1718.73   -1713.79   4.93708     46       42       
 9842.16 10      1565     -1718.58   -1713.79   4.78527     20       49       
