
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d71f7f1c3.pomdpx
  loading time : 4.52s 

SARSOP initializing ...
  initialization time : 2768.64s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2768.64 0       0        -163.161   -158.285   4.87632     101      1        
 2769.8  1       51       -160.637   -158.411   2.22598     12       27       
 2770.5  2       101      -160.107   -158.411   1.69547     19       52       
 2771.23 3       150      -159.655   -158.411   1.24367     28       79       
 2771.74 4       203      -159.372   -158.411   0.960809    33       103      
 2772.62 5       257      -159.137   -158.411   0.726123    55       130      
 2774.09 6       309      -159.019   -158.411   0.608074    56       156      
 2775.72 7       357      -158.908   -158.411   0.49639     43       180      
 2777.37 8       400      -158.831   -158.411   0.419925    31       202      
 2779.29 9       450      -158.751   -158.411   0.339989    25       233      
 2780.8  10      500      -158.682   -158.411   0.270399    41       260      
 2782.6  11      550      -158.64    -158.411   0.228437    63       285      
 2784.84 12      600      -158.597   -158.411   0.186091    52       313      
 2787.33 13      650      -158.562   -158.411   0.151019    50       339      
 2790.03 14      700      -158.542   -158.411   0.130391    54       363      
 2792.98 15      750      -158.525   -158.411   0.113701    44       388      
 2795.76 17      800      -158.513   -158.411   0.101275    77       412      
 2798.7  18      865      -158.491   -158.411   0.0796384   58       434      
 2800.73 19      915      -158.477   -158.411   0.0657806   76       459      
 2804.24 20      979      -158.469   -158.411   0.0578635   63       491      
 2806.93 20      1000     -158.469   -158.411   0.0578635   51       512      
 2809.42 21      1050     -158.463   -158.411   0.0518703   71       529      
 2813.52 22      1105     -158.457   -158.411   0.0461255   55       554      
 2818.87 23      1169     -158.453   -158.411   0.0418999   38       586      
 2823.88 24      1200     -158.453   -158.411   0.0418999   34       616      
 2826.68 24      1250     -158.449   -158.411   0.0374319   30       635      
 2830    25      1300     -158.445   -158.411   0.0339567   27       653      
 2836.44 26      1363     -158.443   -158.411   0.0314902   21       681      
 2842.06 27      1431     -158.44    -158.411   0.0288838   23       709      
 2845.61 27      1450     -158.44    -158.411   0.0288838   19       728      
 2849.85 28      1505     -158.438   -158.411   0.027099    21       745      
 2857.8  29      1579     -158.437   -158.411   0.0256802   21       782      
 2862.34 29      1600     -158.437   -158.411   0.0256802   20       803      
 2866.68 30      1653     -158.435   -158.411   0.024139    22       819      
 2876.41 31      1729     -158.434   -158.411   0.0222419   23       857      
 2881.48 31      1750     -158.434   -158.411   0.0222419   25       878      
 2887.92 32      1813     -158.432   -158.411   0.0210228   23       898      
 2896.64 32      1850     -158.432   -158.411   0.0210228   23       931      
 2898.87 33      1901     -158.432   -158.411   0.0202088   24       937      
 2911.37 34      1993     -158.43    -158.411   0.0191473   24       980      
 2913.05 34      2000     -158.43    -158.411   0.0191473   28       987      
 2926.8  35      2089     -158.43    -158.411   0.018336    24       1027     
 2929.49 35      2100     -158.43    -158.411   0.018336    25       1037     
 2943.13 36      2189     -158.429   -158.411   0.0179244   26       1076     
 2946.3  36      2200     -158.429   -158.411   0.0179244   28       1087     
 2960.76 37      2289     -158.429   -158.411   0.017278    25       1125     
 2963.6  37      2300     -158.429   -158.411   0.017278    25       1136     
 2977.02 38      2391     -158.428   -158.411   0.0167883   27       1176     
 2979.56 38      2400     -158.428   -158.411   0.0167883   30       1185     
 2995.02 39      2493     -158.428   -158.411   0.0164931   25       1227     
 2997.09 39      2500     -158.428   -158.411   0.0164931   27       1234     
 3015.08 40      2597     -158.427   -158.411   0.0159707   28       1279     
 3016.01 40      2600     -158.427   -158.411   0.0159707   29       1282     
 3037.52 40      2650     -158.427   -158.411   0.0159707   29       1332     
 3038.34 41      2705     -158.427   -158.411   0.0157204   26       1333     
 3056.45 41      2750     -158.427   -158.411   0.0157204   25       1378     
 3061.32 42      2815     -158.427   -158.411   0.0154209   25       1387     
 3074.28 42      2850     -158.427   -158.411   0.0154209   27       1419     
 3083.38 43      2923     -158.427   -158.411   0.0150881   30       1437     
 3094.05 43      2950     -158.427   -158.411   0.0150881   29       1464     
 3105.61 44      3033     -158.426   -158.411   0.014842    28       1488     
 3112.27 44      3050     -158.426   -158.411   0.014842    36       1505     
 3131.32 45      3145     -158.426   -158.411   0.0147034   32       1543     
 3132.5  45      3150     -158.426   -158.411   0.0147034   35       1546     
 3157.83 45      3200     -158.426   -158.411   0.0147034   38       1596     
 3158.8  46      3257     -158.426   -158.411   0.0143804   32       1597     
 3180.05 46      3300     -158.426   -158.411   0.0143804   34       1640     
 3188.69 47      3371     -158.426   -158.411   0.0140669   33       1653     
 3200.34 47      3400     -158.426   -158.411   0.0140669   38       1678     
 3216.98 48      3487     -158.425   -158.411   0.0139505   29       1706     
 3221.86 48      3500     -158.425   -158.411   0.0139505   28       1717     
 3245.67 49      3603     -158.425   -158.411   0.0138344   38       1759     
 3246.21 49      3604     -158.425   -158.411   0.0138344   38       1760     
 3271.17 49      3650     -158.425   -158.411   0.0138344   35       1806     
 3278.3  50      3719     -158.425   -158.411   0.0136877   34       1816     
 3291.47 50      3750     -158.425   -158.411   0.0136877   32       1842     
 3305.64 51      3837     -158.425   -158.411   0.0136185   33       1865     
